sensor_id,comment
???,  ??? Unknown instrument category because data is not available for checking^
AA3,"  AA3 Australia Astor 72 MHz thermistor in S-shaped duct radiosonde {<= 1953}^ (I=K including 72 and 403 MHz, T=087)"
AA4,"  AA4 Australia Astor 72 MHz external thermistor radiosonde {1962}^ (I=K including 72 and 403 MHz, T=087) <F=V72AB,P=A,T=TR,U=L>"
AA5,"  AA5 Australia Astor 403 MHz thermistor in duct radiosonde {<= 1953}^ (I=K including 72 and 403 MHz, T=090) <F=V403FB,P=A,T=TRd,U=L>"
AA6,"  AA6 Australia Astor Type 403 (402 MHz) external thermistor radiosonde {1962}^ (T=088) <F=V402FB,P=A,T=TR,U=L>"
AA7,"  AA7 Australia Astor RS4 radiosonde {~ 1971} WMO instr=13^ (C=785,W3=13) <F=V403FB,P=A,T=TR,U=L>"
AA8,"  AA8 Australia Astor MK I transistorized radiosonde {197608} WMO instr=13^ (T=089,W3=13) <F=T402FB,P=A,T=TR,U=L>"
AAA,  AAA Australia Astor 72 MHz unspecified model^
AAB,  AAB Australia Astor 402 MHz unspecified model^
AAC,"  AAC Australia Astor 72 MHz thermistor in S-shaped duct radiosonde, solar corrected {19570401}^ (I=K including 72 and 403 MHz, T=087)"
AAD,"  AAD Australia Astor 403 MHz thermistor in S-shaped duct radiosonde, solar corrected {19570401}^ (I=K including 72 and 403 MHz, T=087)"
AA_,"  AA_ Australia Astor unspecified model WMO instr=13^ (W3=13, T=085)"
AB1,"  AB1 Australia Bendix-Friez license AN/AMQ-1 radiosonde, Bendix radiation corrections {1943}^ <F=V72AB,P=2A,T=TRd,U=L>"
ABA,"  ABA Australia Bendix-Friez license USWB radiosonde, no radiation corrections {1942}^ <F=V72AB,P=2A,T=E,U=H>"
ABB,"  ABB Australia Bendix-Friez license Astor Raysonde T. D. C. radiosonde, no radiation corr {1945}^ (T=086) <F=V72AB,P=2A,T=TRd,U=L>"
ABN,"  ABN Australia Bendix-Friez license AN/AMQ-1 radiosonde, no Bendix radiation corrections {194810}^"
AD1,"  AD1 Australia Diamond Hinman type, unspecified model^ (W2=17 ending before 198607)"
AE1,"  AE1 Australia Eclipse Radio radiosonde, baroswitch type {1943}^ (T=151)"
AP1,  AP1 Australia Philips RS4 Model I radiosonde {~ 1977}^ (T=285)
AP2,  AP2 Australia Philips RS4 Model II radiosonde {1978}^ (T=286)
AP3,"  AP3 Australia Philips RS4 Model III radiosonde {~ 1984}^ (T=287) <F=T403FB,P=A,T=TR(VIZ),U=C(VIZ),W=Ra>"
APA,"  APA Australia Philips Mk II LiCl hygristor radiosonde {1978}^ (T=282) <F=T403FB,P=A,T=TR,U=L>"
APB,"  APB Australia Philips Mk II.5 Carbon hygristor radiosonde, no censoring {1982}^ (T=283) <F=T403FB,P=A,T=TR,U=C(VIZ)>"
APBa,"  APBa Australia Philips Mk II.5 Carbon hygristor radiosonde, DP censoring {1982}^ (T=283) <F=T403FB,P=A,T=TR,U=C(VIZ)>"
APC,"  APC Australia Philips Mk III improved humidity duct radiosonde, no censoring {1983}^ (T=284) (F=T403FB,P=A,T=TR(VIZ),U=C(VIZ)>"
APCa,"  APCa Australia Philips Mk III improved humidity duct radiosonde, DP censor {1983}^ (T=284) (F=T403FB,P=A,T=TR(VIZ),U=C(VIZ)>"
APJ,"  APJ Australia Philips Mk III manufacturing pressure adjustment, no censoring {19851115}^ <F=T403FB,P=A,T=TR,U=C(VIZ)>"
APJa,"  APJa Australia Philips Mk III manufacturing pressure adjustment, DP censoring {19851115}^ <F=T403FB,P=A,T=TR,U=C(VIZ)>"
APP,"  APP Australia Philips Pakistan 403 MHz radiosonde {~ 1962}^ <F=V403??,P=A,T=?,U=?,W=Dm>"
APU,  APU Australia Philips RS4 unspecified model^
AP_,"  AP_ Australia Philips unspecified model^ (W2=16 ending 199101, T=281)"
AS1,"  AS1 Australia Aerosonde robotic aircraft radiosonde {prototype 1992}^ <F=T400-406DL,P=2A,T=T,U=A,N=G>"
AS2,  AS2 Australia Aerosonde Mark 2 robotic aircraft radiosonde {~2000}^
AS3,"  AS3 Australia Aerosonde Mark 3 robotic aircraft radiosonde {2001}^ <F=?,P=2Ac (Vaisala RSS901 instruments),T=2TCc,U=2A,N=GD>"
AS4,"  AS4 Australia Aerosonde Mark 4 robotic aircraft radiosonde {development 2001}^ <F=?,P=2Ac (Vaisala RSS901 sensor module),T=2TCc,U=2A,N=GD>"
AW1,"  AW1 Australia AWA MET 5238 radiosonde {1947}^ (T=117) <F=V72AB,P=A,T=TRd,U=L>"
AW_,  AW_ Australia AWA radiosonde {1947}^ (T=116)
AX1,  AX1 Australia Bureau of Meteorology experimental radiosonde {1940}^
BA1,  BA1 Austria Elin radiosonde {~early 1980s}^
BA4,  BA4 Austria modified AN/AMT-4 {1960}^
BAE,"  BAE Austria Elin radiosonde model 2404, hypsometer pressure {~ 1992} WMO instr=16^ (W2=23, W3=16) <F=?403,P=H>"
BAU,  BAU Austria Tech Univ of Graz speed of sound radiosonde {1999}^ <T=SS>
BBI,"  BBI Belgium Institut Royal Meteorologique (I. R. M.) radiosonde {~ 1956}^ <F=V?A?,P=A,T=B>"
BC9,"  BC9 Czech Metra 972 radiosonde {1961}^ (T=271) <F=V400MB,P=A,T=B,U=H,W=O or W=Dm>"
BCK,"  BCK Czech MARS 1 K radiosonde, assumed similar to RKZ-2 {~ 1970}^"
BCM,  BCM Czech Metra Praha MARS radiosonde {~ 1986}^
BCS,"  BCS Czech Star 1 radiosonde, similar to RKZ-5 {1991}^ <F=T1680PL,P=0,T=TR,U=G,W=Ta>"
BCV,"  BCV Czech Vinohrady Zap MARS 4WF Berlin radiosonde {~ 1986} WMO instr=34^ (W2=26, W3=34) <F=V1680PL,P=0,T=TR,U=G,W=Ta>"
BC_,  BC_ Czech Metra unspecified model^ (T=270)
BD2,"  BD2 Argentina Vaisala RS12 {1962}^ <F=V25FR,P=Ac,T=BSc,U=Hrc>"
BF2,"  BF2 South Africa Vaisala RS12 {1962}^ <F=V25FR,P=Ac,T=BSc,U=Hrc>"
