primary_id	primary_id_scheme	record_number	secondary_id	secondary_id_scheme	station_name	station_abbreviation	alternative_name	station_crs	longitude	latitude	local_gravity	start_date	end_date	station_type	platform_type	platform_sub_type	operating_institute	operating_territory	city	contact	role	observing_frequency	reporting_time	telecommunication_method	station_automation	measuring_system_model	measuring_system_id	observed_variables	comment	optional_data	bbox_min_longitude	bbox_max_longitude	bbox_min_latitude	bbox_max_latitude	metadata_contact	metadata_contact_role	station_configuration_code
0-20000-0-27612	5	0	"['4525' '4526' '4527' '4528' '4529' '4530' '4531' '4532' '4533' '4534'
 '4535' '4536' '4537' '4538' '4662' '4663' '4524' '4523']"	4	MOSKVA VDNH	[]	[]	0	37.52	55.93	NA	1949-01-01	1949-12-31	1	0	63	NMS	[]	Dolgoprudnyy	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 29]	NA	[]	36.6274701388452	38.41252986115481	55.43	56.43	S. Schroeder	0	13
0-20000-0-27612	5	1	"['4525' '4526' '4527' '4528' '4529' '4530' '4531' '4532' '4533' '4534'
 '4535' '4536' '4537' '4538' '4662' '4663' '4524' '4523']"	4	MOSKVA VDNH	[]	[]	0	37.52	55.93	NA	1950-01-01	1950-12-31	1	0	63	NMS	[]	Dolgoprudnyy	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 29]	NA	[]	36.6274701388452	38.41252986115481	55.43	56.43	S. Schroeder	0	13
0-20000-0-27612	5	2	"['4525' '4526' '4527' '4528' '4529' '4530' '4531' '4532' '4533' '4534'
 '4535' '4536' '4537' '4538' '4662' '4663' '4524' '4523']"	4	MOSKVA VDNH	[]	[]	0	37.52	55.93	NA	1951-01-01	1951-12-31	1	0	63	NMS	[]	Dolgoprudnyy	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 29]	NA	[]	36.6274701388452	38.41252986115481	55.43	56.43	S. Schroeder	0	13
0-20000-0-27612	5	3	"['4525' '4526' '4527' '4528' '4529' '4530' '4531' '4532' '4533' '4534'
 '4535' '4536' '4537' '4538' '4662' '4663' '4524' '4523']"	4	MOSKVA VDNH	[]	[]	0	37.52	55.93	NA	1952-01-01	1952-12-31	1	0	63	NMS	[]	Dolgoprudnyy	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 29]	NA	[]	36.6274701388452	38.41252986115481	55.43	56.43	S. Schroeder	0	13
0-20000-0-27612	5	4	"['4525' '4526' '4527' '4528' '4529' '4530' '4531' '4532' '4533' '4534'
 '4535' '4536' '4537' '4538' '4662' '4663' '4524' '4523']"	4	MOSKVA VDNH	[]	[]	0	37.52	55.93	NA	1953-01-01	1953-12-31	1	0	63	NMS	[]	Dolgoprudnyy	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 29]	NA	[]	36.6274701388452	38.41252986115481	55.43	56.43	S. Schroeder	0	13
0-20000-0-27612	5	5	"['4525' '4526' '4527' '4528' '4529' '4530' '4531' '4532' '4533' '4534'
 '4535' '4536' '4537' '4538' '4662' '4663' '4524' '4523']"	4	MOSKVA VDNH	[]	[]	0	37.25	55.93	NA	1946-01-04	1946-08-28	1	0	63	NMS	[]	Skhodnya	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 29]	NA	[]	36.357470138845194	38.142529861154806	55.43	56.43	S. Schroeder	0	13
0-20000-0-27612	5	6	"['4525' '4526' '4527' '4528' '4529' '4530' '4531' '4532' '4533' '4534'
 '4535' '4536' '4537' '4538' '4662' '4663' '4524' '4523']"	4	MOSKVA VDNH	[]	[]	0	37.42	55.73	NA	1938-01-01	1938-12-31	1	0	63	NMS	[]	Odintsovo	NA	NA	0	63	29	1	NA	NA	[1, 2, 29]	NA	[]	36.532047885051064	38.30795211494894	55.23	56.23	S. Schroeder	0	13
0-20000-0-27612	5	7	"['4525' '4526' '4527' '4528' '4529' '4530' '4531' '4532' '4533' '4534'
 '4535' '4536' '4537' '4538' '4662' '4663' '4524' '4523']"	4	MOSKVA VDNH	[]	[]	0	37.42	55.73	NA	1939-01-01	1939-12-31	1	0	63	NMS	[]	Odintsovo	NA	NA	0	63	29	1	NA	NA	[1, 2, 29]	NA	[]	36.532047885051064	38.30795211494894	55.23	56.23	S. Schroeder	0	13
0-20000-0-27612	5	8	"['4525' '4526' '4527' '4528' '4529' '4530' '4531' '4532' '4533' '4534'
 '4535' '4536' '4537' '4538' '4662' '4663' '4524' '4523']"	4	MOSKVA VDNH	[]	[]	0	37.52	55.93	NA	1940-01-01	1940-12-31	1	0	63	NMS	[]	Dolgoprudnyy	NA	NA	0	63	29	1	NA	NA	[1, 2, 29]	NA	[]	36.6274701388452	38.41252986115481	55.43	56.43	S. Schroeder	0	13
0-20000-0-27612	5	9	"['4525' '4526' '4527' '4528' '4529' '4530' '4531' '4532' '4533' '4534'
 '4535' '4536' '4537' '4538' '4662' '4663' '4524' '4523']"	4	MOSKVA VDNH	[]	[]	0	37.52	55.93	NA	1941-01-01	1941-12-31	1	0	63	NMS	[]	Dolgoprudnyy	NA	NA	0	63	29	1	NA	NA	[1, 2, 29]	NA	[]	36.6274701388452	38.41252986115481	55.43	56.43	S. Schroeder	0	13
