station_id	source_uid	source_name	descriptionDataset	data_repository_ftp	wmo_id	station name	lat	lon	elev	fips_code	country	continent	station_data_policy	station_data_type	data_update_status	station_metadata_link	timestep	ver	obs_freq	obs_time_GMT	Temperature_start_year	Temperature_end_year	Wind_speed_start_year	Wind_speed_end_year	Wind_direction_start_year	Wind_direction_end_year	Dew_Point_Temperature_start_year	Dew_Point_Temperature_end_year	Frost_Point_Temperature_start_year	Frost_Point_Temperature_end_year	Relative_humidity_start_year	Relative_humidity_end_year	Ozone_concentration_start_year	Ozone_concentration_end_year	Geopotential_height_start_year	Geopotential_height_end_year	Obs_altitude_start_year	Obs_altitude_end_year	Air_pressure_start_year	Air_pressure_end_year	pointOfContact_Organisation	pointOfContact_ContactName	pointOfContact_Position	pointOfContact_MailAddress	principalInvestigator_Name	principalInvestigator_MailAddress	principalInvestigator_OnlineResource	revisionDate	creationDate	metadataStandard	alternativeMetadataReference_Title	alternativeMetadataReference_OnlineResource	referenceSystem	data_Identification	abstract	purpose	originator_Organisation	originator_Name	originator_Position	originator_MailAddress	applicationArea	stationDescription	startOfOperation	spatialExtent	spatialExtent	maintenanceAndUpdateFrequency	dataCentre	observedVariable-measurand_domain	stationPlatformModel	observedVariable-measurand_variable	stationPlatformType	temporal	featureType	useConstraints	otherConstraints	LanguageCode	characterEncoding	observedVariable-measurand_subdomain	measurementUnit_name	measurementUnit_abbreviation	temporalExtent	representativenessOfObservation	programmeNetworkAffiliation_Definition	regionOfOriginOfData	territoryOfOriginOfData_Name	territoryOfOriginOfData_ISO3CountryCode	stationPlatformUniqueIdentifier	coordinatesSourceDevice	stationStatus	sourceOfObservation	measurementObservingMethod	instrumentSpecifications	instrumentOperatingStatus	coordinatesSourceDevice	statusOfObservation	dataFormat	versionOfDataFormat	aggregationPeriod	referenceTime	qualityFlag_BUFR	qualityFlag_OGC	qualityFlaggingSystem	traceability	network_Names	network_IDs	measurementOriginalUnit_name
'1:27612'	'3188'	'CHUAN2.1'		'3188'		MOSKVA VDNH	55.92999999999999972	37.52000000000000313	187.00000000000000000														19490101	19491231																																	10730					MOSKVA VDNH							35		5													Europe	Russian Federation	RUS	0-20000-0-27612																			
'1:27612'	'3188'	'CHUAN2.1'		'3188'		MOSKVA VDNH	55.92999999999999972	37.52000000000000313	187.00000000000000000														19500101	19501231																																	10740					MOSKVA VDNH							35		5													Europe	Russian Federation	RUS	0-20000-0-27612																			
'1:27612'	'3188'	'CHUAN2.1'		'3188'		MOSKVA VDNH	55.92999999999999972	37.52000000000000313	187.00000000000000000														19510101	19511231																																	10750					MOSKVA VDNH							35		5													Europe	Russian Federation	RUS	0-20000-0-27612																			
'1:27612'	'3188'	'CHUAN2.1'		'3188'		MOSKVA VDNH	55.92999999999999972	37.52000000000000313	187.00000000000000000														19520101	19521231																																	10760					MOSKVA VDNH							35		5													Europe	Russian Federation	RUS	0-20000-0-27612																			
'1:27612'	'3188'	'CHUAN2.1'		'3188'		MOSKVA VDNH	55.92999999999999972	37.52000000000000313	187.00000000000000000														19530101	19531231																																	10770					MOSKVA VDNH							35		5													Europe	Russian Federation	RUS	0-20000-0-27612																			
'1:27612'	'3188'	'CHUAN2.1'		'3188'		MOSKVA VDNH	55.92999999999999972	37.25000000000000000	187.00000000000000000														19460104	19460828																																	10780					MOSKVA VDNH							35		5													Europe	Russian Federation	RUS	0-20000-0-27612																			
'1:27612'	'3188'	'CHUAN2.1'		'3188'		MOSKVA VDNH	55.72999999999999687	37.42000000000000171	160.00000000000000000																										19380101	19381231																					10790					MOSKVA VDNH							35		5													Europe	Russian Federation	RUS	0-20000-0-27612																			
'1:27612'	'3188'	'CHUAN2.1'		'3188'		MOSKVA VDNH	55.72999999999999687	37.42000000000000171	160.00000000000000000																										19390101	19391231																					10790					MOSKVA VDNH							35		5													Europe	Russian Federation	RUS	0-20000-0-27612																			
'1:27612'	'3188'	'CHUAN2.1'		'3188'		MOSKVA VDNH	55.92999999999999972	37.52000000000000313	187.00000000000000000																										19400101	19401231																					10790					MOSKVA VDNH							35		5													Europe	Russian Federation	RUS	0-20000-0-27612																			
'1:27612'	'3188'	'CHUAN2.1'		'3188'		MOSKVA VDNH	55.92999999999999972	37.52000000000000313	187.00000000000000000																										19410101	19411231																					10790					MOSKVA VDNH							35		5													Europe	Russian Federation	RUS	0-20000-0-27612																			
