2/era5.conv._10401,10401,  66.40,   4.00,,,,
2/era5.conv._1:51855,51855,  38.13,  85.53,,,,
2/era5.conv._1:58005,58005,  34.40, 115.62,,,,
2/era5.conv._1:29854,29854,  53.00,  89.00,,,,
2/era5.conv._1:29915,29915,  53.97,  78.65,,,,
2/era5.conv._1:56856,56856,  24.43, 100.90,,,,
2/era5.conv._10008,10008,  31.90,-121.60,,,,
2/era5.conv._10011,10011,  36.00, -11.70,,,,
2/era5.conv._10012,10012,  44.80, -21.80,,,,
2/era5.conv._1:52633,52633,  38.92,  98.22,,,,
2/era5.conv._11500,11500,  86.60, 169.70,,,,
2/era5.conv._10024,10024, -18.80, 147.00,,,,
2/era5.conv._10025,10025,  19.50,-137.20,,,,
2/era5.conv._10029,10029,  60.40, -29.80,,,,
2/era5.conv._10030,10030,  61.30, -30.30,,,,
2/era5.conv._10031,10031,  20.30, -31.20,,,,
2/era5.conv._1:52657,52657,  38.18, 100.30,,,,
2/era5.conv._10411,10411,  47.10, 151.00,,,,
2/era5.conv._10414,10414,  37.60, -33.90,,,,
2/era5.conv._10415,10415,  15.00, -45.00,,,,
2/era5.conv._10425,10425,  15.60, -58.50,,,,
2/era5.conv._10427,10427,  17.70, -55.00,,,,
2/era5.conv._10885,10885,  83.10,   0.50,,,,
2/era5.conv._1:52707,52707,  37.25,  92.62,,,,
2/era5.conv._10899,10899,  41.80,-131.10,,,,
2/era5.conv._10903,10903,  80.20, 144.20,,,,
2/era5.conv._10914,10914,  14.20, -95.60,,,,
2/era5.conv._1:54266,54266,  42.52, 125.63,,,,
2/era5.conv._10916,10916,  16.90, 126.90,,,,
2/era5.conv._11501,11501,  75.80, 171.50,  13.07, -59.50,19430901,19451231
2/era5.conv._1:31883,31883,  45.88, 134.97,,,,
2/era5.conv._10924,10924,  24.50, -37.50,,,,
2/era5.conv._10926,10926,  26.00, -65.00,,,,
2/era5.conv._10928,10928,  28.30, -95.10,,,,
2/era5.conv._10929,10929,  29.00, -88.00,,,,
2/era5.conv._10931,10931,  31.00, -45.00,,,,
2/era5.conv._10933,10933,  33.60, -74.30,,,,
2/era5.conv._10934,10934,  34.50, -37.50,,,,
2/era5.conv._10937,10937,  37.00, -64.30,,,,
2/era5.conv._10938,10938,  38.80, -12.30,,,,
2/era5.conv._10939,10939,  39.00, -68.40,,,,
2/era5.conv._10464,10464,  44.70, -15.30,,,,
2/era5.conv._10959,10959, -29.20, -11.30,,,,
2/era5.conv._10483,10483,  43.70, -34.90,,,,
2/era5.conv._10963,10963, -23.00, -11.20,,,,
2/era5.conv._10977,10977,  26.00,-161.30,,,,
2/era5.conv._12099,12099,  60.30, 167.10,,,,
2/era5.conv._12101,12101,  36.00,  -8.50,  20.47, -13.03,19430201,19450930
2/era5.conv._1:54449,54449,  40.00, 119.73,,,,
2/era5.conv._1:53231,53231,  42.37, 108.20,,,,
2/era5.conv._1:21146,21146,  76.65, 148.58,,,,
2/era5.conv._10493,10493,  43.50, -40.50,,,,
2/era5.conv._1:53446,53446,  40.57, 109.83,,,,
2/era5.conv._1:35225,35225,  50.75,  56.53,,,,
2/era5.conv._11502,11502,  77.60, 164.00,,,,
2/era5.conv._10515,10515,  87.10, -31.90,,,,
2/era5.conv._10524,10524,  64.30,   5.10,,,,
2/era5.conv._1:54765,54765,  37.55, 121.37,  41.96, -71.14,19941215,99991231
2/era5.conv._10036,10036,  25.00, -36.00,,,,
2/era5.conv._10037,10037,  51.80, -37.40,,,,
2/era5.conv._12501,12501,  45.20,  -8.40,,,,
2/era5.conv._10042,10042,  18.80, 107.10,,,,
2/era5.conv._10045,10045,  46.90, -45.50,,,,
2/era5.conv._1:41950,41950,  21.43,  91.97,,,,
2/era5.conv._10555,10555, -25.60, 165.10,,,,
2/era5.conv._10592,10592,  -3.20, 107.30,,,,
2/era5.conv._10615,10615,  38.00, -40.80,,,,
2/era5.conv._10047,10047,  54.10, -47.90,,,,
2/era5.conv._10049,10049,  17.90, 107.40,,,,
2/era5.conv._10059,10059,  18.50, 117.20,,,,
2/era5.conv._10060,10060, -36.10, 154.10,,,,
2/era5.conv._10064,10064,  42.60, -64.40,,,,
2/era5.conv._10066,10066,  36.10, -66.60,,,,
2/era5.conv._10069,10069,  37.10, -69.80,,,,
2/era5.conv._10071,10071, -49.40,  71.90,,,,
2/era5.conv._10075,10075, -22.60,  72.20,,,,
2/era5.conv._10077,10077, -52.60,  77.70,,,,
2/era5.conv._10079,10079, -38.50,  79.70,,,,
2/era5.conv._10081,10081, -60.40, -81.50,,,,
2/era5.conv._10083,10083, -31.60,  83.90,,,,
2/era5.conv._10084,10084, -62.30,  84.40,,,,
2/era5.conv._10088,10088,  85.30, -88.60,,,,
2/era5.conv._10089,10089,  85.30, -89.00,,,,
2/era5.conv._10090,10090, -58.30,  90.00,,,,
2/era5.conv._10319,10319,  39.00, 136.10,,,,
2/era5.conv._10624,10624,  44.60,-170.80,,,,
2/era5.conv._10633,10633,  30.00,-163.10,,,,
2/era5.conv._10636,10636,  17.60, 107.40,,,,
2/era5.conv._10645,10645, -23.70,  51.50,,,,
2/era5.conv._1:53821,53821,  36.77, 107.20,  37.48, -82.52,19911031,19930615
2/era5.conv._10653,10653,  27.80, 135.00,,,,
2/era5.conv._10664,10664,  15.40, 154.60,,,,
2/era5.conv._1:53853,53853,  36.70, 110.93,  30.40, -86.47,19961106,99991231
2/era5.conv._1:53868,53868,  36.15, 111.45,  36.02, -84.23,19980901,20001016
2/era5.conv._1:53887,53887,  36.20, 113.12,  38.51, -89.09,19980901,99991231
2/era5.conv._1:53942,53942,  35.83, 109.52,  30.68, -97.68,19901213,99991231
2/era5.conv._1:55248,55248,  32.07,  84.13,,,,
2/era5.conv._1:60545,60545,  33.77,   2.93,,,,
2/era5.conv._1:35406,35406,  49.05,  51.87,,,,
2/era5.conv._1:35633,35633,  47.85,  59.62,,,,
2/era5.conv._1:30469,30469,  55.10, 116.70,,,,
2/era5.conv._1:63013,63013,  15.55,  37.88,,,,
2/era5.conv._1:60608,60608,  28.13,   6.83,,,,
2/era5.conv._1:58626,58626,  28.28, 117.10,,,,
2/era5.conv._10357,10357,  39.90,  13.50,,,,
2/era5.conv._10358,10358,  49.10, -19.50,,,,
2/era5.conv._10364,10364,  23.50, 158.20,,,,
2/era5.conv._10365,10365,   3.60, 105.60,,,,
2/era5.conv._10374,10374,  16.10, 109.00,,,,
2/era5.conv._10375,10375,  18.50, 107.50,,,,
2/era5.conv._10376,10376,  18.50, 107.40,,,,
2/era5.conv._10379,10379,  30.00, 155.90,,,,
2/era5.conv._10380,10380, -22.90,  63.30,,,,
2/era5.conv._1:58647,58647,  28.10, 119.12,,,,
2/era5.conv._1:57089,57089,  34.02, 113.83,,,,
2/era5.conv._1:30565,30565,  54.45, 116.52,,,,
2/era5.conv._1:61696,61696,  33.10, -45.70,,,,
2/era5.conv._1:57206,57206,  32.43, 105.80,,,,
2/era5.conv._1:57208,57208,  32.33, 105.68,,,,
2/era5.conv._1:30669,30669,  53.00, 117.40,,,,
2/era5.conv._12201,12201,   5.80,  90.60,,,,
2/era5.conv._1:35756,35756,  46.88,  64.67,,,,
2/era5.conv._1:63676,63676,   0.67,  30.28,,,,
2/era5.conv._10389,10389,  31.10,-124.30,,,,
2/era5.conv._1:35884,35884,  45.50,  55.00,,,,
2/era5.conv._1:25621,25621,  64.00, 158.90,  53.38,-167.90,19501231,19631114
2/era5.conv._1:30858,30858,  51.20, 113.72,,,,
2/era5.conv._1:59012,59012,  24.50, 106.00,,,,
2/era5.conv._10756,10756,  25.00, 135.00,,,,
2/era5.conv._1:32227,32227,  59.10, 159.98,,,,
2/era5.conv._1:25902,25902,  60.70, 151.70,,,,
2/era5.conv._10777,10777,  34.00, -66.00,,,,
2/era5.conv._10799,10799, -61.30,  85.20,,,,
2/era5.conv._10810,10810,  60.00,  -7.70,,,,
2/era5.conv._10812,10812,  30.80, -71.00,,,,
2/era5.conv._10823,10823,  53.20, -19.20,,,,
2/era5.conv._10828,10828,  58.90, -29.50,,,,
2/era5.conv._1:30969,30969,  49.60, 117.30,,,,
2/era5.conv._10841,10841,  51.40, -37.90,,,,
2/era5.conv._1:51232,51232,  45.67,  82.50,,,,
2/era5.conv._1:51346,51346,  44.38,  84.50,,,,
2/era5.conv._12301,12301,  36.00, 142.30,,,,
2/era5.conv._1:36622,36622,  47.30,  80.70,,,,
2/era5.conv._1:36665,36665,  47.47,  84.92,,,,
2/era5.conv._1:36778,36778,  44.80,  78.70,,,,
2/era5.conv._1:67045,67045, -17.00,  46.80,,,,
2/era5.conv._12601,12601,  12.20,  45.50,,,,
2/era5.conv._1:51701,51701,  40.45,  75.38, -12.02, -77.13,19571001,19950101
2/era5.conv._1:51706,51706,  39.70,  76.35,,,,
2/era5.conv._11900,11900,   7.90,-157.90,,,,
2/era5.conv._1:78810,78810,   8.60, -78.13,,,,
2/era5.conv._1:78825,78825,  10.30,-109.20,,,,
2/era5.conv._1:89175,89175, -78.80, 174.70,,,,
2/era5.conv._12000,12000,  40.00, 152.50,,,,
2/era5.conv._12001,12001,  42.30, 133.30,  27.68,  -8.15,19430301,19450630
