1759/era5.1759.conv.6:30712	0-20600-0-6:30712
1759/era5.1759.conv.6:22061	0-20600-0-6:22061
1759/era5.1759.conv.6:100097	0-20600-0-6:100097
1759/era5.1759.conv.6:100974	0-20600-0-6:100974
1759/era5.1759.conv.6:100266	0-20600-0-6:100266
1759/era5.1759.conv.6:99021	0-20600-0-6:99021
1759/era5.1759.conv.6:99024	0-20600-0-6:99024
1759/era5.1759.conv.6:100019	0-20600-0-6:100019
1759/era5.1759.conv.1:7270	0-20600-0-1:7270
1759/era5.1759.conv.1:63013	0-20600-0-1:63013
1759/era5.1759.conv.6:99017	0-20600-0-6:99017
1759/era5.1759.conv.1:87281	0-20600-0-1:87281
1759/era5.1759.conv.1:87673	0-20600-0-1:87673
1759/era5.1759.conv.1:51855	0-20600-0-1:51855
1759/era5.1759.conv.1:51232	0-20600-0-1:51232
1759/era5.1759.conv.1:63676	0-20600-0-1:63676
1759/era5.1759.conv.1:53446	0-20600-0-1:53446
1759/era5.1759.conv.1:53231	0-20600-0-1:53231
1759/era5.1759.conv.1:54266	0-20600-0-1:54266
1759/era5.1759.conv.1:53868	0-20600-0-1:53868
1759/era5.1759.conv.1:52657	0-20600-0-1:52657
1759/era5.1759.conv.1:52707	0-20600-0-1:52707
1759/era5.1759.conv.1:56856	0-20600-0-1:56856
1759/era5.1759.conv.1:58626	0-20600-0-1:58626
1759/era5.1759.conv.1:53887	0-20600-0-1:53887
1759/era5.1759.conv.1:54449	0-20600-0-1:54449
1759/era5.1759.conv.1:21146	0-20600-0-1:21146
1759/era5.1759.conv.1:58647	0-20600-0-1:58647
1759/era5.1759.conv.1:58005	0-20600-0-1:58005
1759/era5.1759.conv.1:57089	0-20600-0-1:57089
1759/era5.1759.conv.1:89595	0-20600-0-1:89595
1759/era5.1759.conv.1:57206	0-20600-0-1:57206
1759/era5.1759.conv.1:89596	0-20600-0-1:89596
1759/era5.1759.conv.6:100020	0-20600-0-6:100020
1759/era5.1759.conv.6:99018	0-20600-0-6:99018
1759/era5.1759.conv.1:52633	0-20600-0-1:52633
1759/era5.1759.conv.1:59012	0-20600-0-1:59012
1759/era5.1759.conv.1:51346	0-20600-0-1:51346
1759/era5.1759.conv.6:100050	0-20600-0-6:100050
1759/era5.1759.conv.6:100068	0-20600-0-6:100068
1759/era5.1759.conv.1:51706	0-20600-0-1:51706
1759/era5.1759.conv.6:100011	0-20600-0-6:100011
1759/era5.1759.conv.6:51077	0-20600-0-6:51077
1759/era5.1759.conv.6:100071	0-20600-0-6:100071
1759/era5.1759.conv.6:60675	0-20600-0-6:60675
1759/era5.1759.conv.3:0N0	0-20600-0-3:0N0
1759/era5.1759.conv.3:0N1	0-20600-0-3:0N1
1759/era5.1759.conv.1:54765	0-20600-0-1:54765
1759/era5.1759.conv.6:88956	0-20600-0-6:88956
1759/era5.1759.conv.3:0N2	0-20600-0-3:0N2
1759/era5.1759.conv.3:IPT	0-20600-0-3:IPT
1759/era5.1759.conv.6:99368	0-20600-0-6:99368
1759/era5.1759.conv.1:25621	0-20600-0-1:25621
1759/era5.1759.conv.1:25902	0-20600-0-1:25902
1759/era5.1759.conv.1:62336	0-20600-0-1:62336
1759/era5.1759.conv.6:100066	0-20600-0-6:100066
1759/era5.1759.conv.1:76648	0-20600-0-1:76648
1759/era5.1759.conv.1:76827	0-20600-0-1:76827
1759/era5.1759.conv.1:30469	0-20600-0-1:30469
1759/era5.1759.conv.1:30669	0-20600-0-1:30669
1759/era5.1759.conv.1:53853	0-20600-0-1:53853
1759/era5.1759.conv.1:53942	0-20600-0-1:53942
1759/era5.1759.conv.1:30969	0-20600-0-1:30969
1759/era5.1759.conv.1:29854	0-20600-0-1:29854
1759/era5.1759.conv.1:34398	0-20600-0-1:34398
1759/era5.1759.conv.1:36622	0-20600-0-1:36622
1759/era5.1759.conv.1:36778	0-20600-0-1:36778
1759/era5.1759.conv.1:36665	0-20600-0-1:36665
1759/era5.1759.conv.1:32227	0-20600-0-1:32227
1759/era5.1759.conv.6:100181	0-20600-0-6:100181
1759/era5.1759.conv.6:100182	0-20600-0-6:100182
1759/era5.1759.conv.6:100183	0-20600-0-6:100183
1759/era5.1759.conv.6:100407	0-20600-0-6:100407
1759/era5.1759.conv.6:100185	0-20600-0-6:100185
1759/era5.1759.conv.6:100410	0-20600-0-6:100410
1759/era5.1759.conv.1:78810	0-20600-0-1:78810
1759/era5.1759.conv.6:100186	0-20600-0-6:100186
1759/era5.1759.conv.6:100411	0-20600-0-6:100411
1759/era5.1759.conv.6:101100	0-20600-0-6:101100
1759/era5.1759.conv.1:80081	0-20600-0-1:80081
1759/era5.1759.conv.6:100187	0-20600-0-6:100187
1759/era5.1759.conv.6:101101	0-20600-0-6:101101
1759/era5.1759.conv.6:100414	0-20600-0-6:100414
1759/era5.1759.conv.6:104114	0-20600-0-6:104114
1759/era5.1759.conv.6:101168	0-20600-0-6:101168
1759/era5.1759.conv.6:100189	0-20600-0-6:100189
1759/era5.1759.conv.6:100439	0-20600-0-6:100439
1759/era5.1759.conv.6:104141	0-20600-0-6:104141
1759/era5.1759.conv.6:101201	0-20600-0-6:101201
1759/era5.1759.conv.6:100190	0-20600-0-6:100190
1759/era5.1759.conv.6:104645	0-20600-0-6:104645
1759/era5.1759.conv.6:109639	0-20600-0-6:109639
1759/era5.1759.conv.6:100455	0-20600-0-6:100455
1759/era5.1759.conv.6:101241	0-20600-0-6:101241
1759/era5.1759.conv.6:104646	0-20600-0-6:104646
1759/era5.1759.conv.6:100191	0-20600-0-6:100191
1759/era5.1759.conv.6:100403	0-20600-0-6:100403
1759/era5.1759.conv.6:110010	0-20600-0-6:110010
1759/era5.1759.conv.6:109777	0-20600-0-6:109777
1759/era5.1759.conv.6:100473	0-20600-0-6:100473
1759/era5.1759.conv.6:110160	0-20600-0-6:110160
1759/era5.1759.conv.6:101267	0-20600-0-6:101267
1759/era5.1759.conv.6:100192	0-20600-0-6:100192
1759/era5.1759.conv.6:100404	0-20600-0-6:100404
1759/era5.1759.conv.6:104655	0-20600-0-6:104655
1759/era5.1759.conv.6:100479	0-20600-0-6:100479
1759/era5.1759.conv.6:109779	0-20600-0-6:109779
1759/era5.1759.conv.6:101348	0-20600-0-6:101348
1759/era5.1759.conv.1:78825	0-20600-0-1:78825
1759/era5.1759.conv.6:110170	0-20600-0-6:110170
1759/era5.1759.conv.6:110020	0-20600-0-6:110020
1759/era5.1759.conv.6:100427	0-20600-0-6:100427
1759/era5.1759.conv.6:110080	0-20600-0-6:110080
1759/era5.1759.conv.6:100193	0-20600-0-6:100193
1759/era5.1759.conv.6:104656	0-20600-0-6:104656
