primary_id	primary_id_scheme	record_number	secondary_id	secondary_id_scheme	station_name	station_abbreviation	alternative_name	station_crs	longitude	latitude	local_gravity	start_date	end_date	station_type	platform_type	platform_sub_type	operating_institute	operating_territory	city	contact	role	observing_frequency	reporting_time	telecommunication_method	station_automation	measuring_system_model	measuring_system_id	observed_variables	comment	optional_data	bbox_min_longitude	bbox_max_longitude	bbox_min_latitude	bbox_max_latitude	metadata_contact	metadata_contact_role	station_configuration_code
0-20600-0-00009	-1	0	00009	[]		[]	[]	0	-11.2	24.200001	NA	1969-06-12	1969-06-12	1	0	63	NMS	[]	Atâr	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	[]	-11.748173420426433	-10.651826579573566	23.700001	24.700001	S. Schroeder	0	13
0-20001-0-01001	5	1	01001	[]	JAN MAYEN (1001-1)	[]	[]	0	-8.67	70.949997	NA	1957-09-01	1978-12-31	1	0	63	NMS	[]	Akureyri	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	[]	-10.20189465726207	-7.13810534273793	70.449997	71.449997	S. Schroeder	0	13
0-20000-0-01013	5	2	01005	[]	AKSELOYA	[]	[]	0	13.63	78.07	NA	1957-09-19	1961-06-18	1	0	63	NMS	[]	Alta	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	[]	11.21122843494943	16.048771565050572	77.57	78.57	S. Schroeder	0	13
0-20000-0-01002	5	3	01020	[]	VERLEGENHUKEN	[]	[]	0	18.299999	80.050011	NA	1957-09-18	1958-08-15	1	0	63	NMS	[]	Alta	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	[]	15.406288164717315	21.193709835282682	79.550011	80.550011	S. Schroeder	0	13
0-20001-0-01028	5	4	01028	[]	BJORNOYA (1028-1)	[]	[]	0	19.02	74.519997	NA	1957-09-01	1978-12-31	1	0	63	NMS	[]	Alta	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	[]	17.146653507741703	20.893346492258296	74.019997	75.019997	S. Schroeder	0	13
0-20000-0-01025	5	5	01030	[]	HEKKINGEN LH	[]	[]	0	19.02	69.699997	NA	1957-09-01	1961-06-30	1	0	63	NMS	[]	Tromsø	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	[]	17.578810756521907	20.461189243478092	69.199997	70.199997	S. Schroeder	0	13
0-20000-0-01152	5	6	01152	[]	SALTDAL-NORDNES	[]	[]	0	14.37	67.269997	NA	1957-09-01	1978-12-31	1	0	63	NMS	[]	Bodø	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	[]	13.075967561967802	15.664032438032196	66.769997	67.769997	S. Schroeder	0	13
0-20001-0-01241	5	7	01241	[]	ORLAND III (1241-1)	[]	[]	0	9.4	63.700001	NA	1959-01-01	1978-12-31	1	0	63	NMS	[]	Trondheim	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	[]	8.271513138268025	10.528486861731976	63.200001	64.200001	S. Schroeder	0	13
0-20001-0-01492	5	8	01384	[]	OSLO-BLINDERN (1492-1)	[]	[]	0	11.08	60.200001	NA	1957-09-01	1978-12-31	1	0	63	NMS	[]	Jessheim	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	[]	10.0739110407238	12.0860889592762	59.700001	60.700001	S. Schroeder	0	13
0-20001-0-01415	5	9	01415	[]	STAVANGER/SOLA (1415-1)	[]	[]	0	5.63	58.880001	NA	1957-09-01	1978-12-31	1	0	63	NMS	[]	Stavanger	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	[]	4.662567972406034	6.597432027593966	58.380001	59.380001	S. Schroeder	0	13
0-20000-0-02185	5	10	02057	[]	LULEA-KALLAX (2185-0)	[]	[]	0	22.129999	65.550011	NA	1966-10-28	1977-06-30	1	0	63	NMS	[]	Luleå	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	[]	20.921974292123195	23.338023707876808	65.050011	66.050011	S. Schroeder	0	13
0-20000-0-02226	5	11	02062	[]	MATTMAR	[]	[]	0	14.5	63.18	NA	1957-09-01	1977-06-30	1	0	63	NMS	[]	Östersund	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	[]	13.391817162158217	15.608182837841783	62.68	63.68	S. Schroeder	0	13
0-20000-0-02365	5	12	02066	[]	SUNDSVALL HARNOSAND (2365-0)	[]	[]	0	17.450001	62.529999	NA	1966-12-15	1977-06-30	1	0	63	NMS	[]	Timrå	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	[]	16.366070359385166	18.533931640614835	62.029999	63.029999	S. Schroeder	0	13
0-20000-0-02464	5	13	02077	[]	SKARPO A	[]	[]	0	17.950001	59.349998	NA	1957-09-01	1977-06-30	1	0	63	NMS	[]	Solna	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	[]	16.969209585983062	18.93079241401694	58.849998	59.849998	S. Schroeder	0	13
0-20000-0-02527	5	14	02084	[]	GOTEBORG/LANDVETTER	[]	[]	0	11.78	57.720001	NA	1957-09-01	1977-06-30	1	0	63	NMS	[]	Göteborg	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	[]	10.843770784952136	12.716229215047862	57.220001	58.220001	S. Schroeder	0	13
0-20000-0-02591	5	15	02160	[]	VISBY AEROLOGISKA STATION	[]	[]	0	18.35	57.650002	NA	1966-10-31	1977-06-30	1	0	63	NMS	[]	Visby	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	[]	17.415577310490164	19.28442268950984	57.150002	58.150002	S. Schroeder	0	13
0-20000-0-02185	5	16	02185	[]	LULEA-KALLAX (2185-0)	[]	[]	0	22.129999	65.550011	NA	1963-08-14	1978-12-31	1	0	63	NMS	[]	Luleå	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	[]	20.921974292123195	23.338023707876808	65.050011	66.050011	S. Schroeder	0	13
0-20000-0-02226	5	17	02225	[]	MATTMAR	[]	[]	0	14.5	63.18	NA	1962-03-05	1978-12-31	1	0	63	NMS	[]	Östersund	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	[]	13.391817162158217	15.608182837841783	62.68	63.68	S. Schroeder	0	13
0-20000-0-02365	5	18	02365	[]	SUNDSVALL HARNOSAND (2365-0)	[]	[]	0	17.450001	62.529999	NA	1965-09-01	1978-12-31	1	0	63	NMS	[]	Timrå	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	[]	16.366070359385166	18.533931640614835	62.029999	63.029999	S. Schroeder	0	13
0-20000-0-02464	5	19	02465	[]	SKARPO A	[]	[]	0	17.950001	59.349998	NA	1962-03-04	1978-12-31	1	0	63	NMS	[]	Solna	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	[]	16.969209585983062	18.93079241401694	58.849998	59.849998	S. Schroeder	0	13
0-20000-0-02527	5	20	02515	[]	GOTEBORG/LANDVETTER	[]	[]	0	11.78	57.720001	NA	1977-07-01	1977-10-02	1	0	63	NMS	[]	Göteborg	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	[]	10.843770784952136	12.716229215047862	57.220001	58.220001	S. Schroeder	0	13
0-20000-0-02527	5	21	02527	[]	GOTEBORG/LANDVETTER	[]	[]	0	11.78	57.720001	NA	1962-03-17	1978-12-31	1	0	63	NMS	[]	Göteborg	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	[]	10.843770784952136	12.716229215047862	57.220001	58.220001	S. Schroeder	0	13
0-20000-0-02591	5	22	02591	[]	VISBY AEROLOGISKA STATION	[]	[]	0	18.35	57.650002	NA	1966-05-20	1978-12-31	1	0	63	NMS	[]	Visby	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	[]	17.415577310490164	19.28442268950984	57.150002	58.150002	S. Schroeder	0	13
0-20000-0-02836	5	23	02836	[]	SODANKYLA ARCTIC RESEARCH CENTRE	[]	[]	0	26.65	67.37001	NA	1957-09-01	1978-12-31	1	0	63	NMS	[]	Rovaniemi	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	[]	25.35055109831716	27.94944890168284	66.87001	67.87001	S. Schroeder	0	13
0-20000-0-02935	5	24	02935	[]	MULTIA KARHILA	[]	[]	0	25.67	62.400002	NA	1957-09-01	1978-12-31	1	0	63	NMS	[]	Laukaa	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	[]	24.59077636007458	26.74922363992542	61.900002	62.900002	S. Schroeder	0	13
0-20000-0-02963	5	25	02963	[]	JOKIOINEN OBSERVATORY	[]	[]	0	23.48	60.82	NA	1957-09-01	1978-12-31	1	0	63	NMS	[]	Forssa	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	[]	22.454474510871695	24.505525489128306	60.32	61.32	S. Schroeder	0	13
0-20000-0-03005	5	26	03005	[]	LERWICK	[]	[]	0	-1.18	60.130001	NA	1957-09-01	1978-12-31	1	0	63	NMS	[]	Fraserburgh	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	[]	-2.183948025143283	-0.1760519748567171	59.630001	60.630001	S. Schroeder	0	13
0-20000-0-03026	5	27	03026	[]	STORNOWAY AIRPORT	[]	[]	0	-6.32	58.220001	NA	1957-09-01	1978-12-31	1	0	63	NMS	[]	Inverness	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	[]	-7.269380764413846	-5.370619235586155	57.720001	58.720001	S. Schroeder	0	13
0-20300-0-USW00003143	3	28	03110	[]	JACKASS FLATS	[]	[]	0	-116.730003	36.93	NA	1957-09-01	1957-09-28	1	0	63	NMS	[]	Pahrump	NA	NA	0	63	29	1	NA	NA	[111, 112, 1]	NA	[]	-117.35549544270393	-116.10451055729607	36.43	37.43	S. Schroeder	0	8
0-20000-0-72487	5	29	03113	[]	CALIENTE, NV.	[]	[]	0	-114.449997	37.720001	NA	1957-09-01	1957-09-23	1	0	63	NMS	[]	Saint George	NA	NA	0	63	29	1	NA	NA	[111, 112, 1]	NA	[]	-115.08210025169157	-113.81789374830842	37.220001	38.220001	S. Schroeder	0	8
0-20000-0-74612	5	30	03120	[]	CHINA LAKE, NAF, CA.	[]	[]	0	-117.779999	35.779999	NA	1958-09-10	1958-10-31	1	0	63	NMS	[]	Ridgecrest	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	[]	-118.3963181687563	-117.16367983124371	35.279999	36.279999	S. Schroeder	0	13
0-20300-0-USXUA724755	3	31	03121	[]	ST. GEORGE	[]	[]	0	-113.599998	37.099998	NA	1957-09-01	1957-09-28	1	0	63	NMS	[]	Saint George	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	[]	-114.22689125690982	-112.97310474309018	36.599998	37.599998	S. Schroeder	0	13
0-20000-0-72273	5	32	03124	[]	FORT HUACHUCA, AZ.	[]	[]	0	-110.330002	31.57	NA	1957-09-02	1971-07-30	1	0	63	NMS	[]	Sierra Vista	NA	NA	0	63	29	1	NA	NA	[111, 112, 1, 2, 59, 29]	NA	[]	-110.91685565023832	-109.74314834976167	31.07	32.07	S. Schroeder	0	13
