primary_id	primary_id_scheme	record_number	secondary_id	secondary_id_scheme	station_name	station_abbreviation	alternative_name	station_crs	longitude	latitude	local_gravity	start_date	end_date	station_type	platform_type	platform_sub_type	operating_institute	operating_territory	city	contact	role	observing_frequency	reporting_time	telecommunication_method	station_automation	measuring_system_model	measuring_system_id	observed_variables	comment	optional_data	bbox_min_longitude	bbox_max_longitude	bbox_min_latitude	bbox_max_latitude	metadata_contact	metadata_contact_role	station_configuration_code
0-20600-0-671	-1	0	671	[]		[]	[]	0	-17.5	14.73	NA	1904-01-01	1904-01-01	1	0	63	NMS	[]	Dakar	NA	NA	0	63	29	1	NA	NA	[111, 112]	NA	[]	-18.016991038250634	-16.983008961749366	14.23	15.23	S. Schroeder	0	8
0-20001-0-10393	5	1	10393	[]	LINDENBERG (10393-1)	[]	[]	0	14.12	52.22	NA	1905-04-05	1905-12-09	1	0	63	NMS	[]	Fürstenwalde	NA	NA	0	63	29	1	NA	NA	[1, 2]	NA	[]	13.303848292663611	14.936151707336387	51.72	52.72	S. Schroeder	0	13
0-20001-0-10393	5	2	10393	[]	LINDENBERG (10393-1)	[]	[]	0	14.12	52.22	NA	1906-01-03	1906-12-27	1	0	63	NMS	[]	Fürstenwalde	NA	NA	0	63	29	1	NA	NA	[1, 2]	NA	[]	13.303848292663611	14.936151707336387	51.72	52.72	S. Schroeder	0	13
0-20001-0-10393	5	3	10393	[]	LINDENBERG (10393-1)	[]	[]	0	14.12	52.22	NA	1907-01-01	1907-12-28	1	0	63	NMS	[]	Fürstenwalde	NA	NA	0	63	29	1	NA	NA	[1, 2]	NA	[]	13.303848292663611	14.936151707336387	51.72	52.72	S. Schroeder	0	13
0-20001-0-10393	5	4	10393	[]	LINDENBERG (10393-1)	[]	[]	0	14.12	52.22	NA	1908-01-02	1908-12-31	1	0	63	NMS	[]	Fürstenwalde	NA	NA	0	63	29	1	NA	NA	[1, 2]	NA	[]	13.303848292663611	14.936151707336387	51.72	52.72	S. Schroeder	0	13
0-20001-0-10393	5	5	10393	[]	LINDENBERG (10393-1)	[]	[]	0	14.12	52.22	NA	1909-01-02	1909-12-20	1	0	63	NMS	[]	Fürstenwalde	NA	NA	0	63	29	1	NA	NA	[1, 2]	NA	[]	13.303848292663611	14.936151707336387	51.72	52.72	S. Schroeder	0	13
0-20001-0-10393	5	6	10393	[]	LINDENBERG (10393-1)	[]	[]	0	14.12	52.22	NA	1910-01-05	1910-12-31	1	0	63	NMS	[]	Fürstenwalde	NA	NA	0	63	29	1	NA	NA	[1, 2]	NA	[]	13.303848292663611	14.936151707336387	51.72	52.72	S. Schroeder	0	13
0-20001-0-10393	5	7	10393	[]	LINDENBERG (10393-1)	[]	[]	0	14.12	52.22	NA	1911-01-02	1911-12-30	1	0	63	NMS	[]	Fürstenwalde	NA	NA	0	63	29	1	NA	NA	[1, 2]	NA	[]	13.303848292663611	14.936151707336387	51.72	52.72	S. Schroeder	0	13
0-20001-0-10393	5	8	10393	[]	LINDENBERG (10393-1)	[]	[]	0	14.12	52.22	NA	1912-01-02	1912-12-31	1	0	63	NMS	[]	Fürstenwalde	NA	NA	0	63	29	1	NA	NA	[1, 2]	NA	[]	13.303848292663611	14.936151707336387	51.72	52.72	S. Schroeder	0	13
0-20001-0-10393	5	9	10393	[]	LINDENBERG (10393-1)	[]	[]	0	14.12	52.22	NA	1913-01-02	1913-12-31	1	0	63	NMS	[]	Fürstenwalde	NA	NA	0	63	29	1	NA	NA	[1, 2]	NA	[]	13.303848292663611	14.936151707336387	51.72	52.72	S. Schroeder	0	13
