	primary_id	primary_id_scheme	secondary_id	secondary_id_scheme	station_name	station_abbreviation	alternative_name	station_crs	longitude	latitude	local_gravity	start_date	end_date	station_type	platform_type	platform_sub_type	operating_institute	operating_territory	city	contact	role	observing_frequency	reporting_time	telecommunication_method	station_automation	measuring_system_model	measuring_system_id	observed_variables	comment	optional_data	bbox_min_longitude	bbox_max_longitude	bbox_min_latitude	bbox_max_latitude	metadata_contact	metadata_contact_role
0	0-12-20000-60490	0	1:60490,60490	1	ORAN-SENIA			0	0.36	35.38		19490701	20080701	1	0	63			None,Wahran									104,105,106,107,117,126,138,36,39							L.Haimberger	0
1	0-12-20000-60580	0	1:60580,60580	1	OUARGLA			0	5.4	31.93		19490702	20060101	1	0	63			Warqla									104,105,106,107,117,126,138,36,39							L.Haimberger	0
2	0-124-0-73033	0	1:71115,1:74115,71115,73033,74115	1	Vernon UA, BC			0	-119.27	50.26		19720214	20201231	1	0	63			Vernon									104,105,106,107,117,126,138,36,39							L.Haimberger	0
3	0-124-0-73110	0	14633,1:71601,2:14633,71194,71601,73110	1	Shearwater UA, NS			0	-63.51	44.63		19550705	20201231	1	0	63			Halifax,None									104,105,106,107,117,126,138,36,39							L.Haimberger	0
4	0-152-0-320051	0	1:87400,9:1485	1	Los Libertadores			0	-70.12	-32.85		19360407	19390420	1	0	63			Los Andes									106,107							L.Haimberger	0
5	0-152-0-320063	0	53701,85543	1	Zapallar Catapilco			0	-71.3	-32.56		19570901	19781231	1	0	63			Vina Del Mar									104,105,106,107,117,126,138,36,39							L.Haimberger	0
6	0-152-0-85471	0	85470	1	Copiapó Universidad de Atacama			0	-70.35	-27.36		19940803	19940803	1	0	63			Copiapo									104,105,106,107,117,126,138,36,39							L.Haimberger	0
7	0-152-0-85484	0	1:85486,6:85487,85487	1	Freirina Nicolasa			0	-71.01	-28.52		19390702	19581231	1	0	63			Vallenar									104,105,106,107,117,138							L.Haimberger	0
8	0-20000-0-01002	0	01002	1	VERLEGENHUKEN			0	16.25	80.06		19980501	19980501	1	0	63			None									104,105,106,107,117,126,138,36,39							L.Haimberger	0
9	0-20000-0-01003	0	01003	1	HORNSUND			0	15.5	77.0		19980501	19980501	1	0	63			None									104,105,106,107,117,126,138,36,39							L.Haimberger	0
10	0-20000-0-01006	0	01006	1	EDGEOYA			0	22.82	78.25		19790726	19931218	1	0	63			Harstad									104,105,106,107,117,126,138,36,39							L.Haimberger	0
11	0-20000-0-01008	0	01008	1	SVALBARD AP			0	15.47	78.25		20000519	20000519	1	0	63			None									104,105,106,107,117							L.Haimberger	0
12	0-20000-0-01009	0	01009	1	KARL XII OYA			0	25.01	80.65		20060520	20060612	1	0	63			None									104,105,106,107,117,126,138,36,39							L.Haimberger	0
13	0-20000-0-01013	0	01005,1005,1:1005,9:3710	1	ISFJORD RADIO			0	13.62	78.06		19570919	19610618	1	0	63			None									104,105,106,107,117,126,138,36,39							L.Haimberger	0
14	0-20000-0-01020	0	01020,1020	1	SORKAPPOYA			0	16.55	76.48		19570918	19810622	1	0	63			Narvik,None									104,105,106,107,117,126,138,36,39							L.Haimberger	0
15	0-20000-0-01025	0	01025,1030,1:1030,C:5628	1	TROMSO/LANGNES			0	18.91	69.68		19220131	20140824	1	0	63			Tromso									104,105,106,107,117,126,138,36,39							L.Haimberger	0
16	0-20000-0-01030	0	01030,1030	1	KISTEFJELL			0	18.13	69.29		19570901	19610630	1	0	63			Tromso									104,105,106,107,117,126,138,36,39							L.Haimberger	0
17	0-20000-0-01035	0	01035	1	LYNGEN GJERDVASSBU			0	20.09	69.56		19890605	19890605	1	0	63			Tromso									104,105,106,107,117,126,138,36,39							L.Haimberger	0
18	0-20000-0-01052	0	01052	1	HAMMERFEST AP			0	23.68	70.68		19801003	19890923	1	0	63			Alta									104,105,106,107,117,126,138,36,39							L.Haimberger	0
19	0-20000-0-01055	0	C:5162	1	FRUHOLMEN LH			0	23.98	71.09		19250416	19281112	1	0	63			Alta									106,107,117							L.Haimberger	0
20	0-20000-0-01098	0	C:5382	1	VARDO			0	31.1	70.37		19250820	19271024	1	0	63			Zapolyarnyy									106,107,117							L.Haimberger	0
21	0-20000-0-01107	0	C:5303	1	ROST AP			0	12.1	67.53		19250415	19280718	1	0	63			Bodo									106,107,117							L.Haimberger	0
22	0-20000-0-01141	0	01141	1	LEKNES AP			0	13.62	68.16		19831129	19840716	1	0	63			Bodo									104,105,106,107,117,126,138,36,39							L.Haimberger	0
23	0-20000-0-01144	0	01138	1	HELLIGVAER II			0	13.9	67.4		20010301	20010301	1	0	63			Bodo									104,105,106,107,117,126,138,36,39							L.Haimberger	0
24	0-20000-0-01152	0	01152,1152,1:1152	1	BODO VI			0	14.36	67.27		19420401	20141125	1	0	63			Bodo									104,105,106,107,117,126,138,36,39							L.Haimberger	0
25	0-20000-0-01192	0	4178,9:4178	1	STRAUMSNES			0	17.66	68.43		19400929	19410628	1	0	63			Narvik									106,107,117,126,138							L.Haimberger	0
26	0-20000-0-01205	0	01206	1	SVINOY LH			0	5.27	62.33		20171107	20180405	1	0	63			Molde									104,105,106,107,117,126,138,36,39							L.Haimberger	0
27	0-20000-0-01224	0	01224	1	AALESUND			0	6.21	62.47		19921217	19921217	1	0	63			Kristiansund									104,105,106,107,117,126,138,36,39							L.Haimberger	0
28	0-20000-0-01253	0	01252	1	SOKNEDAL			0	10.18	62.95		19880321	19880321	1	0	63			Trondheim									104,105,106,107,117,126,138,36,39							L.Haimberger	0
29	0-20000-0-01257	0	C:5369	1	TRONDHEIM/VOLL			0	10.45	63.41		19250819	19280326	1	0	63			Trondheim									106,107,117							L.Haimberger	0
30	0-20000-0-01262	0	01262	1	NORDOYAN LH			0	10.55	64.8		19971122	19971122	1	0	63			Steinkjer									104,105,106,107,117,126,138,36,39							L.Haimberger	0
31	0-20000-0-01271	0	9:1391,9:1396,9:4175	1	TRONDHEIM/VERNES			0	10.94	63.46		19401203	19420321	1	0	63			Trondheim									117,126							L.Haimberger	0
32	0-20000-0-01317	0	4176,9:4176,C:4887,C:5062	1	BERGEN/FLORIDA			0	5.33	60.38		19230403	19420331	1	0	63			Bergen									106,107,117,126,138							L.Haimberger	0
33	0-20000-0-01332	0	01334	1	FJAERLAND-BREMUSEET			0	6.76	61.42		20050811	20050811	1	0	63			Bergen									104,105,106,107,117,126,138,36,39							L.Haimberger	0
34	0-20000-0-01384	0	01384,1384,1:1384	1	OSLO/GARDERMOEN			0	11.08	60.21		19320107	20010401	1	0	63			Jessheim									104,105,106,107,117,126,138,36,39							L.Haimberger	0
35	0-20000-0-01393	0	01393	1	DREVSJO			0	12.03	61.89		19860429	19860429	1	0	63			Elverum									104,105,106,107,117,126,138,36,39							L.Haimberger	0
36	0-20000-0-01408	0	01408	1	HAUGESUND AP			0	5.2	59.35		20151014	20151014	1	0	63			Leirvik									104,105,106,107,117,126,138,36,39							L.Haimberger	0
37	0-20000-0-01412	0	10256,6:102561	1	OBRESTAD			0	5.56	58.66		19720831	19720928	1	0	63			None									104,105,106,107,117,126,138,36,39							L.Haimberger	0
38	0-20000-0-01431	0	01432	1	SIRDAL-SINNES			0	6.91	58.92		19811223	19811223	1	0	63			Stavanger									104,105,106,107,117,126,138,36,39							L.Haimberger	0
39	0-20000-0-01452	0	9:1392	1	KRISTIANSAND/KJEVIK			0	8.08	58.2		19401210	19420318	1	0	63			Kristiansand									117,126							L.Haimberger	0
40	0-20000-0-01455	0	01455	1	TVEITSUND			0	8.52	59.03		19920612	19920612	1	0	63			Larvik									104,105,106,107,117,126,138,36,39							L.Haimberger	0
41	0-20000-0-01463	0	C:4883,C:5046	1	AS			0	10.78	59.66		19230403	19280316	1	0	63			Drobak									106,107,117							L.Haimberger	0
42	0-20000-0-01465	0	01465	1	TORUNGEN LH			0	8.79	58.4		19891024	19891024	1	0	63			Kristiansand									104,105,106,107,117,126,138,36,39							L.Haimberger	0
43	0-20000-0-01468	0	C:5337	1	KONGSVINGER			0	12.01	60.19		19270618	19270618	1	0	63			Kongsvinger									106,107							L.Haimberger	0
44	0-20000-0-02019	0	C:5573	1	KATTERJAKK A			0	18.17	68.42		19211113	19261229	1	0	63			Narvik									106,107							L.Haimberger	0
45	0-20000-0-02020	0	02020,9:1389	1	KATTERJAKK			0	18.17	68.42		19300916	19860106	1	0	63			Narvik									104,105,106,107,117,126,138,36,39							L.Haimberger	0
46	0-20000-0-02049	0	02048	1	GALLIVARE			0	20.65	67.14		19881201	19881201	1	0	63			Kiruna									104,105,106,107,117,126,138,36,39							L.Haimberger	0
47	0-20000-0-02054	0	02084	1	NEDRE SOPPERO			0	21.75	68.04		19801213	19810114	1	0	63			Kiruna									104,105,106,107,117,126,138,36,39							L.Haimberger	0
48	0-20000-0-02055	0	02055	1	NAIMAKKA			0	21.53	68.68		20030728	20041106	1	0	63			Kiruna									104,105,106,107,117,126,138,36,39							L.Haimberger	0
49	0-20000-0-02095	0	9:4177	1	PAJALA			0	23.39	67.2		19400313	19400514	1	0	63			Rovaniemi									117,126							L.Haimberger	0
50	0-20000-0-02110	0	02105	1	GIELAS			0	15.07	65.33		19860115	19860115	1	0	63			Mo I Rana									104,105,106,107,117							L.Haimberger	0
51	0-20000-0-02119	0	02120	1	KVIKKJOKK ARRENJARKA			0	18.02	66.89		19810604	20010902	1	0	63			Kiruna									104,105,106,107,117,126,138,36,39							L.Haimberger	0
52	0-20000-0-02151	0	02152	1	JOKKMOKK FPL			0	20.17	66.48		19810727	19810727	1	0	63			Boden									104,105,106,107,117,126,138,36,39							L.Haimberger	0
53	0-20000-0-02154	0	02154	1	VIDSEL			0	20.15	65.87		19980612	19980612	1	0	63			Boden									104,105,106,107,117,126,138,36,39							L.Haimberger	0
54	0-20000-0-02171	0	9:4182	1	BODEN			0	21.63	65.81		19320815	19331213	1	0	63			Boden									117,126							L.Haimberger	0
55	0-20000-0-02173	0	9:3355	1	ALVSBYN			0	21.07	65.67		19320815	19331213	1	0	63			Pitea									117,126							L.Haimberger	0
