	primary_id	primary_id_scheme	record_number	secondary_id	secondary_id_scheme	station_name	station_abbreviation	alternative_name	station_crs	longitude	latitude	local_gravity	start_date	end_date	station_type	platform_type	platform_sub_type	operating_institute	operating_territory	city	contact	role	observing_frequency	reporting_time	telecommunication_method	station_automation	measuring_system_model	measuring_system_id	observed_variables	comment	optional_data	bbox_min_longitude	bbox_max_longitude	bbox_min_latitude	bbox_max_latitude	metadata_contact	metadata_contact_role	,primary_id,primary_id_scheme,record_number,secondary_id,secondary_id_scheme,station_name,station_abbreviation,alternative_name,station_crs,longitude,latitude,local_gravity,start_date,end_date,station_type,platform_type,platform_sub_type,operating_institute,operating_territory,city,contact,role,observing_frequency,reporting_time,telecommunication_method,station_automation,measuring_system_model,measuring_system_id,observed_variables,comment,optional_data,bbox_min_longitude,bbox_max_longitude,bbox_min_latitude,bbox_max_latitude,metadata_contact,metadata_contact_role
0	0-12-20000-60490	0.0	0	1:60490,60490	1.0,3.0	ORAN-SENIA			0.0	0.36	35.38		19490701	20080701	1.0	0.0	63.0			Wahran									104,105,106,107,117,126,138,36,39							L.Haimberger	0.0	
1	0-12-20000-60580	0.0	1	1:60580,60580	1.0,3.0	OUARGLA			0.0	5.4	31.93		19490702	20060101	1.0	0.0	63.0			Warqla									104,105,106,107,117,126,138,36,39							L.Haimberger	0.0	
2	0-124-0-73033	0.0	2	1:71115,1:74115,71115,73033,74115	1.0,3.0	 BC,Vernon UA			0.0	-119.27	50.26		19720214	20201231	1.0	0.0	63.0			Vernon									104,105,106,107,117,126,138,36,39							L.Haimberger	0.0	
3	0-124-0-73110	0.0	3	14633,1:71601,2:14633,71194,71601,73110	1.0,3.0	 NS,Shearwater UA			0.0	-63.51	44.63		19550705	20201231	1.0	0.0	63.0			Halifax									104,105,106,107,117,126,138,36,39							L.Haimberger	0.0	
4	0-152-0-320051	0.0	4	1:87400,9:1485	1.0,3.0	Los Libertadores			0.0	-70.12	-32.85		19360407	19390420	1.0	0.0	63.0			Los Andes									106,107							L.Haimberger	0.0	
5	0-152-0-320063	0.0	5	 85543),(53701,53701,85543	1.0,3.0	Zapallar Catapilco			0.0	-71.3	-32.56		19570901	19781231	1.0	0.0	63.0			Vina Del Mar									104,105,106,107,117,126,138,36,39							L.Haimberger	0.0	
6	0-152-0-85471	0.0	6	85470	1.0,3.0	Copiapó Universidad de Atacama			0.0	-70.35	-27.36		19940803	19940803	1.0	0.0	63.0			Copiapo									104,105,106,107,117,126,138,36,39							L.Haimberger	0.0	
7	0-152-0-85484	0.0	7	1:85486,6:85487,85487	1.0,3.0	Freirina Nicolasa			0.0	-71.01	-28.52		19390702	19581231	1.0	0.0	63.0			Vallenar									104,105,106,107,117,138							L.Haimberger	0.0	
8	0-20000-0-01002	0	8	01002,JNM00001020	3	KINNVIKA STATION,VERLEGENHUKEN			0	16.25	80.06		19980501	19980501	1	0	63	NMS	200.0	Alta					29	1			104,105,106,107,117,126,138,36,39							E. Tramutola,L.Haimberger	0.0	
9	0-20000-0-01003	0.0	9	01003	1.0,3.0	HORNSUND			0.0	15.5	77.0		19980501	19980501	1.0	0.0	63.0												104,105,106,107,117,126,138,36,39							L.Haimberger	0.0	
10	0-20000-0-01006	0.0	10	01006	1.0,3.0	EDGEOYA			0.0	22.82	78.25		19790726	19931218	1.0	0.0	63.0			Harstad									104,105,106,107,117,126,138,36,39							L.Haimberger	0.0	
11	0-20000-0-01008	0.0	11	01008	1.0,3.0	SVALBARD AP			0.0	15.47	78.25		20000519	20000519	1.0	0.0	63.0												104,105,106,107,117							L.Haimberger	0.0	
12	0-20000-0-01009	0.0	12	01009	1.0,3.0	KARL XII OYA			0.0	25.01	80.65		20060520	20060612	1.0	0.0	63.0												104,105,106,107,117,126,138,36,39							L.Haimberger	0.0	
13	0-20000-0-01013	0	13	01005,1005,1:1005,9:3710,JNM00001005	3	ISFJORD RADIO			0	13.62	78.06		19570919	19610618	1	0	63	NMS	200.0	Alta					29	1			104,105,106,107,117,126,138,36,39							E. Tramutola,L.Haimberger	0.0	
14	0-20000-0-01020	0.0	14	01020,1020	1.0,3.0	SORKAPPOYA			0.0	16.55	76.48		19570918	19810622	1.0	0.0	63.0			Narvik									104,105,106,107,117,126,138,36,39							L.Haimberger	0.0	
15	0-20000-0-01025	0	15	01025,1030,1:1030,C:5628,NOM00001030	3	TROMSO,TROMSO/LANGNES			0	18.91	69.68		19220131	20140824	1	0	63	NMS	166.0	Tromso,TromsÃ¸					29	1			104,105,106,107,117,126,138,36,39							E. Tramutola,L.Haimberger	0.0	
16	0-20000-0-01030	0.0	16	01030,1030	1.0,3.0	KISTEFJELL			0.0	18.13	69.29		19570901	19610630	1.0	0.0	63.0			Tromso									104,105,106,107,117,126,138,36,39							L.Haimberger	0.0	
17	0-20000-0-01035	0.0	17	01035	1.0,3.0	LYNGEN GJERDVASSBU			0.0	20.09	69.56		19890605	19890605	1.0	0.0	63.0			Tromso									104,105,106,107,117,126,138,36,39							L.Haimberger	0.0	
18	0-20000-0-01052	0.0	18	01052	1.0,3.0	HAMMERFEST AP			0.0	23.68	70.68		19801003	19890923	1.0	0.0	63.0			Alta									104,105,106,107,117,126,138,36,39							L.Haimberger	0.0	
19	0-20000-0-01055	0.0	19	C:5162	1.0,3.0	FRUHOLMEN LH			0.0	23.98	71.09		19250416	19281112	1.0	0.0	63.0			Alta									106,107,117							L.Haimberger	0.0	
20	0-20000-0-01098	0.0	20	C:5382	1.0,3.0	VARDO			0.0	31.1	70.37		19250820	19271024	1.0	0.0	63.0			Zapolyarnyy									106,107,117							L.Haimberger	0.0	
21	0-20000-0-01107	0.0	21	C:5303	1.0,3.0	ROST AP			0.0	12.1	67.53		19250415	19280718	1.0	0.0	63.0			Bodo									106,107,117							L.Haimberger	0.0	
22	0-20000-0-01141	0.0	22	01141	1.0,3.0	LEKNES AP			0.0	13.62	68.16		19831129	19840716	1.0	0.0	63.0			Bodo									104,105,106,107,117,126,138,36,39							L.Haimberger	0.0	
23	0-20000-0-01144	0.0	23	01138	1.0,3.0	HELLIGVAER II			0.0	13.9	67.4		20010301	20010301	1.0	0.0	63.0			Bodo									104,105,106,107,117,126,138,36,39							L.Haimberger	0.0	
24	0-20000-0-01152	0	24	01152,1152,1:1152,NOM00001152	3	BODO,BODO VI			0	14.36	67.27		19420401	20141125	1	0	63	NMS	166.0	Bodo,BodÃ¸					29	1	Vaisala RS92/Autosonde (Finland)		104,105,106,107,117,126,138,36,39							E. Tramutola,L.Haimberger	0.0	
