	primary_id	primary_id_scheme	record_number	secondary_id	secondary_id_scheme	station_name	station_abbreviation	alternative_name	station_crs	longitude	latitude	local_gravity	start_date	end_date	station_type	platform_type	platform_sub_type	operating_institute	operating_territory	city	contact	role	observing_frequency	reporting_time	telecommunication_method	station_automation	measuring_system_model	measuring_system_id	observed_variables	comment	optional_data	bbox_min_longitude	bbox_max_longitude	bbox_min_latitude	bbox_max_latitude	metadata_contact	metadata_contact_role
0	0-20000-0-91530	0	1	['80605']	1	NAURU AIRPORT			0	166.92	-0.53				1	0	63			None									[36, 85, 106, 107]							L.Haimberger	0
1	0-20000-0-40712	0	2	['40712']	1	ORUMIEH			0	45.06	37.66				1	0	63			Bairiki									[36, 85, 106, 107]							L.Haimberger	0
2	0-20000-0-28676	0	3	['28679']	1	PETROPAVLOVSK (28676-0)			0	69.12	54.79				1	0	63			Petropavl									[36, 85, 106, 107]							L.Haimberger	0
3	0-20000-0-61612	0	4	['61612']	1	PODOR			0	-14.93	16.65				1	0	63			Dagana									[36, 85, 106, 107]							L.Haimberger	0
4	0-20000-0-62700	0	5	['62700']	1	SHENDI			0	33.43	16.7				1	0	63			Khartoum									[36, 85, 106, 107]							L.Haimberger	0
5	0-20000-0-71946	0	6	['71946']	1	FORT SIMPSON A, NWT			0	-121.24	61.76				1	0	63			None									[36, 85, 106, 107]							L.Haimberger	0
6	0-20000-0-80437	0	7	['80437']	1	EL VIGIA			0	-71.65	8.63				1	0	63			Daru									[36, 85, 106, 107]							L.Haimberger	0
7	0-20000-0-03976	0	8	['03976']	1	BELMULLET			0	-10.01	54.23				1	0	63			Ballina									[36, 85, 106, 107]							L.Haimberger	0
8	0-20000-0-61641	0	9	['61642']	1	DAKAR/YOFF			0	-17.5	14.73				1	0	63			Dakar									[36, 85, 106, 107]							L.Haimberger	0
9		0	10	['99021']	1				0						1	0	63			None									[36, 85, 106, 107]							L.Haimberger	0
10	0-20000-0-62062	0	11	['62063']	1	TOBRUK			0	23.96	32.1				1	0	63			Tubruq									[36, 85, 106, 107]							L.Haimberger	0
11	0-20000-0-10142	0	12	['10142']	1	ITZEHOE			0	9.57	53.99				1	0	63			None									[36, 85, 106, 107]							L.Haimberger	0
12		0	13	['10494']	1				0						1	0	63			None									[36, 85, 106, 107]							L.Haimberger	0
13	0-20000-0-10963	0	14	['10963']	1	GARMISCH-PARTENKIRCHEN			0	11.06	47.48				1	0	63			None									[36, 85, 106, 107]							L.Haimberger	0
14		0	15	['48910']	1				0						1	0	63			Vinh Long									[36, 85, 106, 107]							L.Haimberger	0
15		0	16	['48889']	1				0						1	0	63			Phan Rang									[36, 85, 106, 107]							L.Haimberger	0
16	0-20000-0-10126	0	17	['10126']	1	WITTMUNDHAVEN			0	7.67	53.55				1	0	63			Ishigaki									[36, 85, 106, 107]							L.Haimberger	0
17	0-20000-0-96509	0	18	['96509']	1	TARAKAN/JUWATA			0	117.57	3.33				1	0	63			Tarakan									[36, 85, 106, 107]							L.Haimberger	0
18	0-20000-0-74413	0	19	['74413']	1	SAYLOR CREEK GUNNERY RANGE, ID.			0	-115.7	42.53				1	0	63			Mountain Home									[36, 85, 106, 107]							L.Haimberger	0
19	0-20000-0-40045	0	20	['40045']	1	DEIR EZZOR			0	40.15	35.32				1	0	63			Abu Kamal									[36, 85, 106, 107]							L.Haimberger	0
20	0-20000-0-30957	0	21	['30954']	1	AKSA			0	113.27	50.27				1	0	63			Aginskoye									[36, 85, 106, 107]							L.Haimberger	0
21	0-20000-0-67665	0	22	['67665']	1	LUSAKA CITY AIRPORT			0	28.47	-15.42				1	0	63			Lusaka									[36, 85, 106, 107]							L.Haimberger	0
22	0-20000-0-43497	0	23	['43497']	1	HAMBANTOTA			0	81.13	6.12				1	0	63			Hambantota									[36, 85, 106, 107]							L.Haimberger	0
23	0-20000-0-91554	0	24	['91554']	1	PEKOA AIRPORT (SANTO)			0	167.22	-15.52				1	0	63			Luganville									[36, 85, 106, 107]							L.Haimberger	0
24	0-20000-0-48402	0	25	['41012']	1	CHAI NAT AGROMET			0	100.19	15.16				1	0	63			Takhli									[36, 85, 106, 107]							L.Haimberger	0
25	0-20000-0-48455	0	26	['48456']	1	BANGNA AGROMET			0	100.61	13.67				1	0	63			Pak Kret									[36, 85, 106, 107]							L.Haimberger	0
26	0-20000-0-67085	0	27	['67085']	1	ANTANANARIVO/IVATO			0	47.48	-18.8				1	0	63			Antananarivo									[36, 85, 106, 107]							L.Haimberger	0
27		0	28	['96773']	1				0						1	0	63			Subang									[36, 85, 106, 107]							L.Haimberger	0
28	0-20000-0-67581	0	29	['67581']	1	CHIPATA			0	32.58	-13.55				1	0	63			Chipata									[36, 85, 106, 107]							L.Haimberger	0
29	0-20000-0-71393	0	30	['72877']	1	CALGARY INT'L CS, ALTA			0	-114.0	51.11				1	0	63			Calgary									[36, 85, 106, 107]							L.Haimberger	0
30	0-20000-0-10379	0	31	['10379']	1	POTSDAM			0	13.06	52.38				1	0	63			None									[36, 85, 106, 107]							L.Haimberger	0
31	0-20000-0-80410	0	32	['80410']	1	BARQUISIMETO			0	-69.32	10.07				1	0	63			Barquisimeto									[36, 85, 106, 107]							L.Haimberger	0
32	0-20000-0-61666	0	33	['61666']	1	DIOURBEL			0	-16.23	14.65				1	0	63			Diourbel									[36, 85, 106, 107]							L.Haimberger	0
33	0-20000-0-71714	0	34	['71714']	1	VALCARTIER A, QUE			0	-71.5	46.9				1	0	63			Quebec									[36, 85, 106, 107]							L.Haimberger	0
34	0-20000-0-72757	0	35	['72757']	1	GRAND FORKS, ND, GRAND FORKS INT. ARPT			0	-97.18	47.95				1	0	63			Grand Forks									[36, 85, 106, 107]							L.Haimberger	0
35	0-20000-0-87121	0	36	['87120']	1	TUCUMAN AERO			0	-65.11	-26.84				1	0	63			Tucuman									[36, 85, 106, 107]							L.Haimberger	0
36	0-20000-0-10042	0	37	['10042']	1	SCHOENHAGEN (OSTSEEBAD)			0	10.02	54.64				1	0	63			Ha Tinh									[36, 85, 106, 107]							L.Haimberger	0
37	0-20000-0-63630	0	38	['63630']	1	GULU			0	32.33	2.75				1	0	63			Gulu									[36, 85, 106, 107]							L.Haimberger	0
38	0-20000-0-59985	0	39	['59985']	1	SANHU DAO			0	111.62	16.53				1	0	63			Wanning									[36, 85, 106, 107]							L.Haimberger	0
39	0-20000-0-10756	0	40	['10756']	1	FEUCHTWANGEN-HEILBRONN			0	10.37	49.16				1	0	63			None									[36, 85, 106, 107]							L.Haimberger	0
40	0-20000-0-84135	0	41	['84120']	1	PORTOVIEJO			0	-80.46	-1.04				1	0	63			Portoviejo									[36, 85, 106, 107]							L.Haimberger	0
41	0-20000-0-78073	0	42	['78074']	1	NASSAU AIRPORT NEW PROVIDENCE			0	-77.47	25.05				1	0	63			Nassau									[36, 85, 106, 107]							L.Haimberger	0
42	0-20000-0-61698	0	43	['61698']	1	KOLDA			0	-14.97	12.88				1	0	63			Kolda									[36, 85, 106, 107]							L.Haimberger	0
43	0-20000-0-40648	0	44	['40648']	1	HABANYAH			0	43.57	33.38				1	0	63			Hit									[36, 85, 106, 107]							L.Haimberger	0
44	0-20000-0-80415	0	45	['80415']	1	CARACAS/MAIQUETIA AEROP. INTL. SIMON BOLIVAR			0	-66.98	10.6				1	0	63			Maiquetia									[36, 85, 106, 107]							L.Haimberger	0
45	0-20000-0-67283	0	46	['67283']	1	QUELIMANE			0	36.88	-17.88				1	0	63			Quelimane									[36, 85, 106, 107]							L.Haimberger	0
46	0-20000-0-29594	0	47	['29594']	1	TAJSHET			0	98.0	55.95				1	0	63			Tayshet									[36, 85, 106, 107]							L.Haimberger	0
47	0-20000-0-72370	0	48	['23108']	1	KINGMAN/MOHAVE COUNTY A., AZ.			0	-113.93	35.27				1	0	63			Kingman									[36, 85, 106, 107]							L.Haimberger	0
48		0	49	['10019']	1				0						1	0	63			None									[36, 85, 106, 107]							L.Haimberger	0
49	0-20000-0-25282	0	50	['25282']	1	MYS VANKAREM			0	-175.83	67.83				1	0	63			None									[36, 85, 106, 107]							L.Haimberger	0
50	0-20000-0-10139	0	51	['10139']	1	BREMERVOERDE			0	9.14	53.44				1	0	63			None									[36, 85, 106, 107]							L.Haimberger	0
51		0	52	['10822']	1				0						1	0	63			None									[36, 85, 106, 107]							L.Haimberger	0
52	0-20000-0-72209	0	53	['72209']	1	FT. STEWART, GA			0	-81.57	31.88				1	0	63			Hinesville									[36, 85, 106, 107]							L.Haimberger	0
53	0-20000-0-91155	0	54	['22604']	1	FRENCH FRIGATE SHOALS			0	-166.28	23.87				1	0	63			None									[36, 85, 106, 107]							L.Haimberger	0
54	0-20000-0-67489	0	55	['67489']	1	MZUZU			0	34.02	-11.45				1	0	63			Nkhata Bay									[36, 85, 106, 107]							L.Haimberger	0
55	0-20000-0-62600	0	56	['62600']	1	WADI HALFA			0	31.35	21.82				1	0	63			Aswan									[36, 85, 106, 107]							L.Haimberger	0
56	0-20000-0-67403	0	57	['67403']	1	KAWAMBWA			0	29.08	-9.8				1	0	63			Kawambwa									[36, 85, 106, 107]							L.Haimberger	0
57	0-20000-0-10261	0	58	['10261']	1	SEEHAUSEN			0	11.73	52.89				1	0	63			Katsuura									[36, 85, 106, 107]							L.Haimberger	0
58	0-20000-0-84027	0	59	['84027']	1	TULCAN AEROPUERTO			0	-77.71	0.81				1	0	63			Esmeraldas									[36, 85, 106, 107]							L.Haimberger	0
59	0-20000-0-08589	0	60	['08589']	1	PRAIA			0	-23.48	14.94				1	0	63			Praia									[36, 85, 106, 107]							L.Haimberger	0
60	0-20000-0-41560	0	61	['41560']	1	PARACHINAR			0	70.08	33.87				1	0	63			Azrow									[36, 85, 106, 107]							L.Haimberger	0
61	0-20000-0-48948	0	62	['48948']	1	SENO			0	105.0	16.67				1	0	63			Savannakhet									[36, 85, 106, 107]							L.Haimberger	0
62	0-20000-0-63682	0	63	['63682']	1	JINJA			0	33.18	0.45				1	0	63			Bugembe									[36, 85, 106, 107]							L.Haimberger	0
63	0-20000-0-62615	0	64	['62615']	1	HALIB			0	36.65	22.22				1	0	63			Jiddah									[36, 85, 106, 107]							L.Haimberger	0
64	0-20000-0-91568	0	65	['91568']	1	ANEITYUM			0	169.77	-20.23				1	0	63			We									[36, 85, 106, 107]							L.Haimberger	0
65	0-20000-0-48687	0	66	['48687']	1	SINGAPORE/CHANGI AIRPORT			0	103.98	1.37				1	0	63			Johor Bahru									[36, 85, 106, 107]							L.Haimberger	0
66	0-20000-0-43243	0	67	['43243']	1	KAVALI			0	80.0	14.92				1	0	63			Seoul									[36, 85, 106, 107]							L.Haimberger	0
67	0-20000-0-61829	0	68	['61829']	1	KANKAN			0	-9.3	10.38				1	0	63			Kankan									[36, 85, 106, 107]							L.Haimberger	0
68	0-20000-0-60445	0	69	['60445']	1	SETIF/AIN ARNAT			0	5.32	36.17				1	0	63			Tazmalt									[36, 85, 106, 107]							L.Haimberger	0
69	0-20000-0-55696	0	70	['55696']	1	LHUNZE			0	92.47	28.42				1	0	63			Ziro									[36, 85, 106, 107]							L.Haimberger	0
70	0-20000-0-65557	0	71	['65557']	1	GAGNOA			0	-5.95	6.13				1	0	63			Gagnoa									[36, 85, 106, 107]							L.Haimberger	0
71	0-20000-0-89175	0	72	['89175']	1	BROCKTON			0	-174.67	-78.8				1	0	63			None									[36, 85, 106, 107]							L.Haimberger	0
72	0-20000-0-76612	0	73	['76612']	1	GUADALAJARA, JAL.			0	-103.39	20.71				1	0	63			Zapopan									[36, 85, 106, 107]							L.Haimberger	0
73	0-20000-0-37575	0	74	['37575']	1	ZAKATALA			0	46.65	41.67				1	0	63			Zaqatala									[36, 85, 106, 107]							L.Haimberger	0
74		0	75	['13802']	1				0						1	0	63			Shiloh									[36, 85, 106, 107]							L.Haimberger	0
75	0-20000-0-72278	0	76	['23183']	1	PHOENIX/SKY HARBOR,  INT, AZ.			0	-112.02	33.43				1	0	63			Phoenix									[36, 85, 106, 107]							L.Haimberger	0
76	0-20000-0-64456	0	77	['64456']	1	MAKOUA			0	15.65	-0.02				1	0	63			Owando									[36, 85, 106, 107]							L.Haimberger	0
77	0-20000-0-62440	0	78	['62438']	1	ISMAILIA			0	32.25	30.59				1	0	63			Ismailia									[36, 85, 106, 107]							L.Haimberger	0
78	0-20000-0-82288	0	79	['82288']	1	PARNAIBA (AERO)			0	-41.75	-2.92				1	0	63			Parnaiba									[36, 85, 106, 107]							L.Haimberger	0
