	primary_id	primary_id_scheme	record_number	secondary_id	secondary_id_scheme	station_name	station_abbreviation	alternative_name	station_crs	longitude	latitude	local_gravity	start_date	end_date	station_type	platform_type	platform_sub_type	operating_institute	operating_territory	city	contact	role	observing_frequency	reporting_time	telecommunication_method	station_automation	measuring_system_model	measuring_system_id	observed_variables	comment	optional_data	bbox_min_longitude	bbox_max_longitude	bbox_min_latitude	bbox_max_latitude	metadata_contact	metadata_contact_role	distance_km	distance_km_minusLat	city_dist_km	file
0	0-20000-0-43364	0	1	['43364']	3	HUT BAY			0	92.55	10.58		19800305	19800305	1	0	63	NMS	104	Port Blair									[39, 106, 107, 117]							L.Haimberger	0	0.0		122.2	era5.conv._43364
1	0-20000-0-62301	0	2	['62301']	3	SIDI BARRANI			0	25.9	31.62		19850413	19850413	1	0	63	NMS	135	Marsa Matruh									[104, 105, 106, 107, 117]							L.Haimberger	0	0.0		130.2	era5.conv._62301
2	0-20000-0-24988	0	3	['24988']	3	ARKA			0	142.33	60.08		19800108	19800108	1	0	63	NMS	190	None									[104, 105, 106, 107, 117]							L.Haimberger	0	0.0		None	era5.conv._24988
3	0-20000-0-91491	0	4	['91491']	3	CHRISTMAS ISLAND (91491-0)			0	-157.17	1.72		19840123	19840123	1	0	63	NMS	117	None									[104, 105, 106, 107, 117]							L.Haimberger	0	0.0		None	era5.conv._91491
4	0-20000-0-94715	0	5	['94715']	3	FORBES AIRPORT AWS			0	147.92	-33.36		19801118	19801118	1	0	63	NMS	13	Dubbo									[104, 105, 106, 107, 117]							L.Haimberger	0	370.8		250.8	era5.conv._94715
5	0-20000-0-94325	0	6	['94325']	3	ALI CURUNG			0	134.4	-21.0		19810905	19810913	1	0	63	NMS	13	Alice Springs									[104, 105, 106, 107, 117]							L.Haimberger	0	79.7		240.0	era5.conv._94325
6	0-20000-0-94237	0	7	['94237']	3	LARRIMAH			0	133.21	-15.57		19821202	19821202	1	0	63	NMS	13	Katherine									[104, 105, 106, 107, 117]							L.Haimberger	0	1.1		158.4	era5.conv._94237
7	0-20000-0-48920	0	8	['48920']	3	TRUONG SA			0	111.92	8.65		19860711	19860711	1	0	63	NMS	239	Phan Rang									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	0.0		455.7	era5.conv._48920
8	0-20000-0-28696	0	9	['28696']	3	KALACINSK			0	74.61	55.02		19890830	19890830	1	0	63	NMS	190	Kalachinsk									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	2.2		2.6	era5.conv._28696
9	0-20000-0-60200	0	10	['60200']	3	BOUARFA			0	-1.95	32.57		19860228	19860228	1	0	63	NMS	136	Nador									[104, 105, 106, 107, 117]							L.Haimberger	0	0.0		302.7	era5.conv._60200
10	0-20000-0-71415	0	11	['71415']	3	CARIBOU POINT (AUT), NS			0	-62.68	45.76		20000429	20000429	1	0	63	NMS	37	New Glasgow									[104, 105, 106, 107, 117]							L.Haimberger	0	1.1		21.1	era5.conv._71415
11	0-20000-0-65465	0	12	['65465']	3	AXIM			0	-2.23	4.87		19861109	19861109	1	0	63	NMS	81	Axim									[104, 105, 106, 107, 117]							L.Haimberger	0	0.0		1.3	era5.conv._65465
12	0-20000-0-80423	0	13	['80423']	3	GUIRIA			0	-62.32	10.58		19941222	19941222	1	0	63	NMS	236	Point Fortin									[104, 105, 106, 107, 117]							L.Haimberger	0	0.0		82.4	era5.conv._80423
13	0-20000-0-67346	0	14	['67346']	3	CHANGALANE			0	32.18	-26.28		19801206	19801206	1	0	63	NMS	158	Matola									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	0.0		44.9	era5.conv._67346
14	0-20000-0-67699	0	15	['67699']	3	MIMOSA			0	35.58	-16.08		19920519	19920519	1	0	63	NMS	155	Mulanje									[104, 105, 106, 107, 117]							L.Haimberger	0	0.0		10.0	era5.conv._67699
15	0-20300-0-21358	0	16	['20358']	3	OSTROV ZOHOVA			0	152.83	76.15		19831225	19831225	1	0	63	NMS	190	None									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	0.0		None	era5.conv._20358
16	0-20000-0-94980	0	17	['94984']	3	FLINDERS ISLAND AIRPORT			0	148.0	-40.09		19810510	19810510	1	0	63	NMS	13	Launceston									[104, 105, 106, 107, 117]							L.Haimberger	0	3.7		164.4	era5.conv._94984
17	0-20000-0-34186	0	18	['34186']	3	ERSHOV			0	48.3	51.37		19931116	19931116	1	0	63	NMS	190	Yershov									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	4.9		2.4	era5.conv._34186
18	0-20000-0-74638	0	19	['74638']	3	MELROSE GUNNERY RANGE, NM.			0	-103.8	34.3		19800724	19800724	1	0	63	NMS	231	Portales									[104, 105, 106, 107, 117]							L.Haimberger	0	0.0		44.8	era5.conv._74638
19	0-20000-0-01262	0	20	['01262']	3	NORDOYAN LH			0	10.55	64.8		19971122	19971122	1	0	63	NMS	166	Steinkjer									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	0.0		98.6	era5.conv._01262
20	0-20000-0-26666	0	21	['26666']	3	VITEBSK			0	30.25	55.25		19810328	19860723	1	0	63	NMS	35	Haradok									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	11.7		33.4	era5.conv._26666
21	0-20000-0-60515	0	22	['60515']	3	BOU-SAADA			0	4.2	35.33		19880504	19891213	1	0	63	NMS	61	Birin									[104, 105, 106, 107, 117]							L.Haimberger	0	0.0		94.7	era5.conv._60515
22	0-20000-0-68104	0	23	['68104']	3	WALVIS BAY (PELICAN POINT)			0	14.43	-22.88		19920606	19920606	1	0	63	NMS	159	Walvis Bay									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	0.0		11.5	era5.conv._68104
23	0-20000-0-68114	0	24	['68108']	3	OMARURU			0	15.93	-21.42		19931017	19931017	1	0	63	NMS	159	Omaruru									[104, 105, 106, 107, 117]							L.Haimberger	0	21.7		23.2	era5.conv._68108
24	0-20000-0-94474	0	25	['94464']	3	PUKATJA			0	132.18	-26.26		19800826	19800826	1	0	63	NMS	13	Alice Springs									[104, 105, 106, 107, 117]							L.Haimberger	0	6.4		336.9	era5.conv._94464
25	0-20000-0-67243	0	26	['67243']	3	ZUMBO			0	30.43	-15.62		19861103	19861103	1	0	63	NMS	158	Karoi									[104, 105, 106, 107, 117]							L.Haimberger	0	0.0		154.6	era5.conv._67243
26	0-20000-0-38318	0	27	['38317']	3	BAYYRKUM			0	68.12	42.1		19870422	19870422	1	0	63	NMS	124	Arys									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	3.4		64.7	era5.conv._38317
27	0-20000-0-41314	0	28	['41314']	3	THUMRAIT			0	54.02	17.68		19900623	19900623	1	0	63	NMS	171	Salalah									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	1.5		72.4	era5.conv._41314
28	0-20000-0-02417	0	29	['02417']	3	PALGRUNDEN			0	13.15	58.75		20000510	20000510	1	0	63	NMS	196	Lidkoping									[104, 105, 106, 107, 117]							L.Haimberger	0	6.2		30.5	era5.conv._02417
29	0-20000-0-72241	0	30	['72241']	3	PORT ARTHUR/JEFFERSON CO., TX.			0	-94.02	29.95		20010415	20010415	1	0	63	NMS	231	Nederland									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	0.0		3.8	era5.conv._72241
30	0-20000-0-28831	0	31	['28831']	3	BELORECK			0	58.36	53.97		19891030	19891030	1	0	63	NMS	190	Beloretsk									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	4.9		5.8	era5.conv._28831
31	0-20000-0-24871	0	32	['24871']	3	OHOTSKIJ PEREVOZ			0	135.5	61.87		19801224	19801224	1	0	63	NMS	190	None									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	1.6		None	era5.conv._24871
32	0-20000-0-94356	0	33	['94356']	3	CHARTERS TOWERS AIRPORT			0	146.27	-20.05		19801207	19801207	1	0	63	NMS	13	Townsville									[104, 105, 106, 107, 117]							L.Haimberger	0	3.0		106.3	era5.conv._94356
33	0-20000-0-16723	0	34	['16723']	3	SAMOS (AIRPORT)			0	26.92	37.69		19850316	19850316	1	0	63	NMS	88	Soke									[104, 105, 106, 107, 117]							L.Haimberger	0	1.1		43.2	era5.conv._16723
34	0-20500-0-94611	0	35	['94611']	3	CARIBOU POINT			0	-61.32	45.77		20010415	20010415	1	0	63	NMS	37	Perth									[36, 38, 39, 85, 104, 105, 106, 107, 117]							L.Haimberger	0	18307.7	11539.2	147.2	era5.conv._94611
