	primary_id	primary_id_scheme	record_number	secondary_id	secondary_id_scheme	station_name	station_abbreviation	alternative_name	station_crs	longitude	latitude	local_gravity	start_date	end_date	station_type	platform_type	platform_sub_type	operating_institute	operating_territory	city	contact	role	observing_frequency	reporting_time	telecommunication_method	station_automation	measuring_system_model	measuring_system_id	observed_variables	comment	optional_data	bbox_min_longitude	bbox_max_longitude	bbox_min_latitude	bbox_max_latitude	metadata_contact	metadata_contact_role
0	0-20000-0-36883	0	1	36880	1	ILIYSKY			0	76.98	43.48				1	0	63			Energeticheskiy																L.Haimberger	0
1	0-20000-0-62640	0	2	C:4944	1	ABU HAMED			0	33.32	19.53				1	0	63			Barbar																L.Haimberger	0
2	0-20000-0-61979	0	3	C:4409	1	SAINT-DENIS/GILLOT (REUNION)			0	55.53	-20.89				1	0	63			Saint-Denis																L.Haimberger	0
3	0-20000-0-91371	0	4	91371	1	WOTJE ATOLL, MARSHALL IS.			0	170.25	9.47				1	0	63			None																L.Haimberger	0
4	0-20000-0-63695	0	5	63695	1	MERU			0	37.65	0.05				1	0	63			Meru																L.Haimberger	0
5	0-20000-0-68024	0	6	68024	1	GHANZI			0	21.65	-21.7				1	0	63			Ghanzi																L.Haimberger	0
6	0-20000-0-65460	0	7	65460	1	AKUSE			0	0.12	6.1				1	0	63			Akropong																L.Haimberger	0
7	0-20000-0-72260	0	8	1:72260	1	STEPHENVILLE/CLARK FIELD MUN., TX.			0	-98.18	32.22				1	0	63			Stephenville																L.Haimberger	0
8	0-20000-0-63450	0	9	2:30302	1	ADDIS ABABA-BOLE			0	38.75	9.03				1	0	63			Addis Abeba																L.Haimberger	0
9	0-20000-0-47644	0	10	1:47644	1	KIYOSE			0	139.53	35.78				1	0	63			Niiza																L.Haimberger	0
10	0-20000-0-38836	0	11	C:4589	1	DUSHANBE			0	68.73	38.58				1	0	63			Dushanbe																L.Haimberger	0
11	0-20000-0-35746	0	12	C:4604	1	ARAL TENIZI			0	61.66	46.78				1	0	63			Dzhusaly																L.Haimberger	0
12	0-20000-0-62770	0	13	C:4947	1	GENINA			0	22.45	13.48				1	0	63			Adre																L.Haimberger	0
13	0-20000-0-07650	0	14	1:7650	1	MARIGNANE			0	5.22	43.44				1	0	63			Vitrolles																L.Haimberger	0
14	0-20000-0-16597	0	15	16597	1	LUQA			0	14.48	35.85				1	0	63			Qormi																L.Haimberger	0
15	0-70-0-Butmir	0	16	1:13353	1	BUTMIR			0	18.32	43.83				1	0	63			Sarajevo																L.Haimberger	0
16	0-20000-0-43128	0	17	C:5987	1	HYDERABAD AIRPORT			0	78.47	17.45				1	0	63			Hyderabad																L.Haimberger	0
17	0-20000-0-23933	0	18	C:4585	1	HANTY-MANSIJSK			0	69.12	61.03				1	0	63			Nefteyugansk																L.Haimberger	0
18	0-20000-0-25563	0	19	C:4603	1	ANADYR'			0	177.57	64.78				1	0	63			Anadyr																L.Haimberger	0
19	0-20000-0-35700	0	20	C:4615	1	ATYRAU			0	51.88	47.12				1	0	63			Atyrau																L.Haimberger	0
20	0-20000-0-92035	0	21	9:4129	1	PORT MORESBY W.O.			0	147.22	-9.38				1	0	63			Port Moresby																L.Haimberger	0
