	primary_id	primary_id_scheme	record_number	secondary_id	secondary_id_scheme	station_name	station_abbreviation	alternative_name	station_crs	longitude	latitude	local_gravity	start_date	end_date	station_type	platform_type	platform_sub_type	operating_institute	operating_territory	city	contact	role	observing_frequency	reporting_time	telecommunication_method	station_automation	measuring_system_model	measuring_system_id	observed_variables	comment	optional_data	bbox_min_longitude	bbox_max_longitude	bbox_min_latitude	bbox_max_latitude	metadata_contact	metadata_contact_role
0	0-20300-0-89051	0	1	89051	3	PETREL NAS			0	-56.2833	-63.4667		1969	1972	1	0	63	NMS		None									['85', '38', '106', '107']							L.Haimberger	0
1	0-20000-0-89625	0	2	89625	3	CONCORDIA			0	123.41	-75.1		2006	2021	1	0	63	NMS	9	None									['85', '38', '106', '107']							L.Haimberger	0
2	0-20000-0-64459	0	3	64459	3	IMPFONDO			0	18.07	1.62		1973	1982	1	0	63	NMS	39	Impfondo									['85', '38', '106', '107']							L.Haimberger	0
3	0-20000-0-60640	0	4	60640	3	ILLIZI			0	8.42	26.5		1973	1986	1	0	63	NMS	61	Gat									['85', '38', '106', '107']							L.Haimberger	0
4	0-20000-0-94238	0	5	94238	3	TENNANT CREEK AIRPORT			0	134.18	-19.64		1969	2012	1	0	63	NMS	13	Alice Springs									['85', '38', '106', '107']							L.Haimberger	0
5	0-20300-0-51848	0	6	51848	3	ANDIR			0	83.65	37.93		1979	1998	1	0	63	NMS	47	Kuche									['85', '38', '106', '107']							L.Haimberger	0
6	0-20001-0-71925	0	7	71925	3	CAMBRIDGE BAY UA, NU			0	-105.07	69.13		1962	2021	1	0	63	NMS	37	None									['85', '38', '106', '107']							L.Haimberger	0
7	0-20000-0-82917	0	8	82917	3	RIO BRANCO (AERO)			0	-67.8	-10.0		2004	2021	1	0	63	NMS	30	Rio Branco									['85', '38', '106', '107']							L.Haimberger	0
8	0-20300-0-53546	0	9	53546	3	CHASAKOCHI			0	109.75	39.283		1957	1962	1	0	63	NMS	47	Dongsheng									['85', '38', '106', '107']							L.Haimberger	0
9	0-20000-0-94403	0	10	94403	3	GERALDTON AIRPORT			0	114.7	-28.8		1950	2021	1	0	63	NMS	13	Geraldton									['85', '38', '106', '107']							L.Haimberger	0
10	0-20000-0-52836	0	11	52836	3	DOULAN			0	98.1	36.3		1956	2021	1	0	63	NMS	47	Xining									['85', '38', '106', '107']							L.Haimberger	0
11	0-20000-0-94711	0	12	94711	3	COBAR MO			0	145.83	-31.48		1962	2021	1	0	63	NMS	13	Dubbo									['85', '38', '106', '107']							L.Haimberger	0
12	0-20000-0-94975	0	13	94975	3	HOBART AIRPORT			0	147.5	-42.83		1953	2021	1	0	63	NMS	13	Hobart									['85', '38', '106', '107']							L.Haimberger	0
13	0-20000-0-82332	0	14	82332	3	MANAUS (AERO)			0	-59.98	-3.15		1967	2021	1	0	63	NMS	30	Manaus									['85', '38', '106', '107']							L.Haimberger	0
14	0-20000-0-71866	0	15	71866	3	SASKATOON DIEFENBAKER INT'L A, SASK			0	-106.72	52.17		1994	1998	1	0	63	NMS	37	Saskatoon									['85', '38', '106', '107']							L.Haimberger	0
