	primary_id	primary_id_scheme	record_number	secondary_id	secondary_id_scheme	station_name	station_abbreviation	alternative_name	station_crs	longitude	latitude	local_gravity	start_date	end_date	station_type	platform_type	platform_sub_type	operating_institute	operating_territory	city	contact	role	observing_frequency	reporting_time	telecommunication_method	station_automation	measuring_system_model	measuring_system_id	observed_variables	comment	optional_data	bbox_min_longitude	bbox_max_longitude	bbox_min_latitude	bbox_max_latitude	metadata_contact	metadata_contact_role
0	0-20000-0-97530	0	1	[97530]	3	MANOKWARI/RENDANI			0	134.05	-0.89		20090417	20110104	1	0	63	NMS		Manokwari									['38', '85', '106', '107']							L.Haimberger	0
1	0-20000-0-74531	0	2	[74531]	3	AIR FORCE ACADEMY,  CO.			0	-104.82	38.97		19690222	20010106	1	0	63	NMS		None									['38', '85', '106', '107']							L.Haimberger	0
2	0-20000-0-74530	0	3	[74530]	3	GRANADA, CO.			0	-102.18	37.77		19710701	19730316	1	0	63	NMS		None									['38', '85', '106', '107']							L.Haimberger	0
3	0-20000-0-85245	0	4	[85245]	3	SANTA CRUZ/EL TROMPILLO			0	-63.18	-17.8		20020320	20040311	1	0	63	NMS		None									['38', '85', '106', '107']							L.Haimberger	0
4	0-20000-0-81250	0	5	[81250]	3	TAFELBERG			0	-56.15	3.78		19760129	19860319	1	0	63	NMS		None									['38', '85', '106', '107']							L.Haimberger	0
5	0-20000-0-66450	0	6	[66450]	3	BAIA DOS TIGRES			0	11.72	-16.6		20141023	20141023	1	0	63	NMS		Namibe									['38', '85', '106', '107']							L.Haimberger	0
6	0-20000-0-87270	0	7	[87270]	3	RECONQUISTA AERO			0	-59.69	-29.2		19570701	19581009	1	0	63	NMS		None									['38', '85', '106', '107']							L.Haimberger	0
7	0-20000-0-60141	0	8	[60141]	3	FES-SAIS			0	-4.98	33.93		19620102	19661017	1	0	63	NMS	227	None									['38', '85', '106', '107']							L.Haimberger	0
8	0-20000-0-91902	0	9	[91902]	3	MALDEN ISLAND (NORPAX)			0	-155.0	-4.05		19620320	19620711	1	0	63	NMS		None									['38', '85', '106', '107']							L.Haimberger	0
9	0-20000-0-91385	0	10	[91385]	3	PALMYRA ISLAND			0	-162.05	5.88		19510330	19621030	1	0	63	NMS		None									['38', '85', '106', '107']							L.Haimberger	0
10	0-20000-0-80421	0	11	[80421]	3	PORLAMAR (AEROPUERTO INT. DEL CARIBE)			0	-63.97	10.92		19760722	19840908	1	0	63	NMS		None									['38', '85', '106', '107']							L.Haimberger	0
11	0-20000-0-71892	0	12	[71892]	3	VANCOUVER INT'L A, BC			0	-123.18	49.19		19700316	19911003	1	0	63	NMS		None									['38', '85', '106', '107']							L.Haimberger	0
12	0-20000-0-91176	0	13	[91176]	3	KANEOHE BAY (MCAS),  OAHU, HAWAII			0	-157.77	21.45		19850207	20080709	1	0	63	NMS		None									['38', '85', '106', '107']							L.Haimberger	0
13	0-20000-0-70291	0	14	[70291]	3	NORTHWAY			0	-141.93	62.97		19500709	19520630	1	0	63	NMS		None									['38', '85', '106', '107']							L.Haimberger	0
14	0-20000-0-72423	0	15	[72423]	3	LOUISVILLE/STANDIFORD, KY.			0	-85.73	38.18		19680117	19730615	1	0	63	NMS	9	None									['38', '85', '106', '107']							L.Haimberger	0
15	0-20000-0-70381	0	16	[70381]	3	JUNEAU			0	-134.58	58.37		19490225	19520630	1	0	63	NMS		None									['38', '85', '106', '107']							L.Haimberger	0
16	0-20000-0-91541	0	17	[91541]	3	SANTA CRUZ (91541-0)			0	165.8	-10.7		19921112	19930222	1	0	63	NMS		Luganville									['38', '85', '106', '107']							L.Haimberger	0
17	0-20000-0-56586	0	18	[56586]	3	ZHAOTONG			0	103.75	27.33		19560820	19591231	1	0	63	NMS		Zhaotong									['38', '85', '106', '107']							L.Haimberger	0
18	0-20000-0-43367	0	19	[43367]	3	CAR NICOBAR			0	92.83	9.17		19550102	19621031	1	0	63	NMS		Port Blair									['38', '85', '106', '107']							L.Haimberger	0
19	0-20500-0-43015	0	20	[52856]	3	QINGHAI PROV AIR SAM			0	100.92	36.27		19660527	19990830	1	0	63	NMS		Xining									['38', '85', '106', '107']							L.Haimberger	0
20	0-20000-0-62760	0	21	[62760]	3	EL FASHER			0	25.33	13.62		19730207	20090801	1	0	63	NMS	135	Umm Kaddadah									['38', '85', '106', '107']							L.Haimberger	0
