	station_id	WMO_id	station_name	latitude	longitude
0					
1	24044.0		ALLIANCE MUNI AP	00 00 00	0  0  0
2	54733.0		BEVERLY MUNICIPAL AP	00 00 00	0  0  0
3	54733.0		BEVERLY MUNICIPAL AP	00 00 00	0  0  0
4	54733.0		BEVERLY MUNICIPAL AP	00 00 00	0  0  0
5	13882.0		CHATTANOOGA WSO AIRPORT	00 00 00	0  0  0
6	13882.0		CHATTANOOGA WSO AIRPORT	00 00 00	0  0  0
7	4839.0		HOLLAND TULIP CITY	00 00 00	0  0  0
8	4839.0		HOLLAND TULIP CITY	00 00 00	0  0  0
9	4839.0		HOLLAND TULIP CITY	00 00 00	0  0  0
10	13809.0		LAWRENCEVILLE INT AP	00 00 00	0  0  0
11	24110.0		MOSES LAKE GRANT CO	00 00 00	0  0  0
12	53884.0		NEWNAN COWETA COUNTY AIRPORT	00 00 00	0  0  0
13	13737.0		NORFOLK WSO AIRPORT	00 00 00	0  0  0
14	24023.0	72562.0	NORTH PLATTE WB ARPT	00 00 00	0  0  0
15	12972.0		ROCKPORT ARANSAS CO	00 00 00	0  0  0
16	12972.0		ROCKPORT ARANSAS CO	00 00 00	0  0  0
17	25629.0		TOGIAK	00 00 00	0  0  0
18	33601.0	40948.0	KABUL INTL	34 43 00	069 13 00
19	33013.0		AIN EL	36 23 00	006 37 00
20	33001.0		AIN MLILA	36 04 00	006 35 00
21	33005.0		ALGIERS	36 46 00	003 03 00
22	33045.0		ALGIERS	36 46 00	003 05 00
23	33034.0		ANNABA	36 50 00	007 48 00
24	33007.0		BERTEAUX	32 06 00	006 27 00
25	33008.0		BISKRA	34 51 00	005 46 00
26	33006.0		BLIDA	36 30 00	002 49 00
27	33011.0		CANROBERT	35 52 00	007 08 00
28	33012.0		CHATEAUDUN DU RHUMEL	36 10 00	006 20 00
29	33018.0		EL GUERRAH	36 08 00	006 37 00
30	33031.0		LA SENIA	35 37 00	000 37 00
31	33016.0		LE KHROUB	36 18 00	006 42 00
32	33023.0		MAISON BLANCHE	36 43 00	003 14 00
33	33025.0		MASCARA	35 23 00	000 07 00
34	33028.0		MONTESQUIEU	36 08 00	007 49 00
35	33029.0		NAVARIN	36 05 00	005 48 00
36	33030.0		NOUVION	35 41 00	000 11 00
37	33033.0		ORLEANSVILLE	36 12 00	-001 19 00
38	33002.0		REGHAIA	36 46 00	003 24 00
39	33035.0		RELIZANE	35 45 00	000 38 00
40	33042.0		ST DONAT	36 12 00	005 58 00
41	33043.0		TAFARAOUI	35 27 00	-000 32 00
42	33044.0		TELERGMA	36 07 00	006 21 00
43	12001.0		TINDOUF	27 41 00	-008 09 00
44	61707.0		CAPE MATATULA OBSRVY	-14 15 00	-170 34 00
45	61706.0		PAGO PAGO AMERICAN S	-14 15 00	-170 34 00
46	61704.0		LEONE BAY AMERICAN S	-14 22 00	-170 47 00
47	61705.0		PAGO PAGO WB AP	-14 20 00	-170 43 00
48	61705.0		PAGO PAGO WSO AIRPORT	-14 20 00	-170 43 00
49	61705.0		PAGO PAGO WSO AIRPORT	-14 20 00	-170 43 00
50	61705.0		PAGO PAGO WSO AIRPORT	-14 20 00	-170 43 00
51	61702.0		TAFUNA AMERICAN SAMO	-14 20 00	-170 41 00
52	61705.0		PAGO PAGO WSO AIRPORT	-14 19 50	-170 42 49
53	73701.0		AMSTERDAM IS AIR SAM	-37 57 00	077 32 00
54	87701.0		ADARE HALLETT	-72 18 00	170 13 00
55	90001.0		AMUNDSEN-SCOTT	-90 00 00	000 00 00
56	68601.0		BEARDMORE CAMP	-85 02 00	-164 40 00
57	88702.0		BEARDMORE CAMP	-83 24 00	174 45 00
58	68701.0		BROCKTON STATION	-80 01 00	-178 25 00
59	68201.0		BYRD STATION	-80 01 00	-119 32 00
60	57701.0		EIGHTS	-75 14 00	-077 10 00
61	57401.0		ELLSWORTH IGY	-77 44 00	-041 07 00
62	57201.0		HALLEY BAY AIR SAMPL	-75 40 00	-025 30 00
63	87603.0		HUT POINT	-77 53 00	166 44 00
64	67601.0		LITTLE AMERICA	-78 12 00	-162 15 00
65	88703.0		LITTLE JEANA STATION	-81 23 00	170 45 00
66	67401.0		LITTLE ROCKFORD	-79 15 00	-147 30 00
67	67402.0		LITTLE ROCKFORD	-76 16 00	-147 30 00
68	67501.0		LITTLE ROCKFORD	-79 35 00	-152 56 00
69	88701.0		LIV	-83 17 00	175 45 00
70	87602.0		MARBLE POINT	-77 25 00	163 41 00
71	87601.0		MCMURDO SOUND NAF	-77 53 00	166 44 00
72	87604.0		MCMURDO STN AIR SAMP	-77 50 00	166 36 00
