level_0	index	WIGOS	station_name	latitude	longitude	elevation	ObsRems	original_lat	original_lon	station_id	start_date	end_date	isRadio	distance_km	distance_km_minusLat	inventory	WIGOS_calc	city	city_dist_km	city_lat	city_lon	station_id_igra	WMO_id	Unnamed: 0	date_min	date_max
1	1		HILO HI	19.7183	-155.0583	11.0				91285	1943.0	2021.0	True	1.8		IGRA2	0-20300-0-91285	hilo	2.1	19.7297222	-155.09	USM00091285				
0	0		OSTROV PREOBRAZHENIA	74.67	112.93	60.0				21504	1958.0	1996.0	True	7960.5		IGRA2	0-20300-0-21504	hilo	2.1	19.7297222	-155.09	RSM00021504				
0	0	0-20000-0-91285	HILO HI, HAWAII	19.71833333333333	-155.05833333333334	10.4	Climatological station, Upper-air / Radiosonde station, Surface land meteorological station (SYNOP), GUAN, RBCN, GOS, GSN, CLIMAT(C), RBSN(ST)	19 43 06N	155 03 30W	91285	999.0	999.0	True	1.8		OSCAR	0-20000-0-91285	hilo	2.1	19.7297222	-155.09					
0	0		PHTO = ITO Hilo AP - NWS Office, Administration Building, Gen. Lyman AP, 137 Operations St., Hilo, HI 96720	19.7186	-155.0611	-999.0				91285				1.6		SCHROEDER	0-20600-0-91285	hilo	2.1	19.7297222	-155.09		91285	3734.0	1972-05-02 00:00:00	2006-08-26 00:00:00
1	1		(assigned station ID) Hilo - NOAA/CMDL ozonesondes, HI	19.7186	-155.0611	-999.0				91287				1.6		SCHROEDER	0-20600-0-91287	hilo	2.1	19.7297222	-155.09		91287	3736.0	1984-01-01 00:00:00	2006-08-01 00:00:00
2	2		(made up station ID) Makuu - Paradise Park HARP 915 MHz wind profiler, Hawaii, HI	19.6	-154.95	-999.0				91286				19.1		SCHROEDER	0-20600-0-91286	hilo	2.1	19.7297222	-155.09		91286	3735.0	1990-07-11 00:00:00	1990-07-11 00:00:00
0	0		HILO WSO AP 87	19.73	-155.07	9.144				21504	19500101.0	19531231.0		0.0		WBAN	0-20500-0-21504	hilo	2.1	19.7297222	-155.09					
1	1		HILO WSO AP 87	19.73	-155.07	9.144				21504	19410101.0	19420101.0		0.0		WBAN	0-20500-0-21504	hilo	2.1	19.7297222	-155.09					
2	2		HILO WSO AP 87	19.73	-155.07	3.048				21504	19420101.0	19471231.0		0.0		WBAN	0-20500-0-21504	hilo	2.1	19.7297222	-155.09					
3	3		HILO WSO AP 87	19.72	-155.07	10.3632				21504	19690101.0	19730101.0		1.1		WBAN	0-20500-0-21504	hilo	2.1	19.7297222	-155.09		91285.0			
4	4		LYMAN FIELD AAF	19.72	-155.07	10.972800000000001				21501	19430401.0	19451231.0		1.1		WBAN	0-20500-0-21501	hilo	2.1	19.7297222	-155.09					
5	5		HILO WSO AP 87	19.72	-155.07	10.3632				21504	19950101.0	19980101.0		1.1		WBAN	0-20500-0-21504	hilo	2.1	19.7297222	-155.09		91285.0			
6	6		HILO WSO AP 87	19.72	-155.07	10.3632				21504	19900418.0	19950101.0		1.1		WBAN	0-20500-0-21504	hilo	2.1	19.7297222	-155.09		91285.0			
7	7		HILO WSO AP 87	19.72	-155.07	10.3632				21504	19811231.0	19900418.0		1.1		WBAN	0-20500-0-21504	hilo	2.1	19.7297222	-155.09		91285.0			
8	8		HILO WSO AP 87	19.72	-155.07	10.3632				21504	19730101.0	19811231.0		1.1		WBAN	0-20500-0-21504	hilo	2.1	19.7297222	-155.09		91285.0			
9	9		HILO WSO AP 87	19.72	-155.07	10.3632				21504	19540202.0	19690101.0		1.1		WBAN	0-20500-0-21504	hilo	2.1	19.7297222	-155.09		91285.0			
10	10		HILO WSO AP 87	19.72	-155.07	11.8872				21504	19491001.0	19491031.0		1.1		WBAN	0-20500-0-21504	hilo	2.1	19.7297222	-155.09					
11	11		HILO WSO AP 87	19.72	-155.07	11.8872				21504	19491031.0	19491231.0		1.1		WBAN	0-20500-0-21504	hilo	2.1	19.7297222	-155.09					
12	12		HILO WSO AP 87	19.72	-155.07	10.3632				21504	19540101.0	19540202.0		1.1		WBAN	0-20500-0-21504	hilo	2.1	19.7297222	-155.09		91285.0			
13	13		HILO WSO AP 87	19.72	-155.07	11.8872				21504	19480101.0	19491001.0		1.1		WBAN	0-20500-0-21504	hilo	2.1	19.7297222	-155.09					
14	14		HILO INTERNATIONAL AP	19.72	-155.06	10.3632				21504	19980101.0	20050515.0		1.5		WBAN	0-20500-0-21504	hilo	2.1	19.7297222	-155.09		91285.0			
15	15		HILO INTERNATIONAL AP 87	19.72	-155.06	10.3632				21504	20050515.0	99991231.0		1.5		WBAN	0-20500-0-21504	hilo	2.1	19.7297222	-155.09		91285.0			
16	16		HILO NAS	19.72	-155.05	11.8872				21503	19440401.0	19451231.0		2.4		WBAN	0-20500-0-21503	hilo	2.1	19.7297222	-155.09					
17	17		HILO CLOUD PHYSICS O	19.7	-155.08	237.1344				21509	10101.0	99991231.0		3.5		WBAN	0-20500-0-21509	hilo	2.1	19.7297222	-155.09					
0	0		HILO, GEN. LYMAN, HAWAII 	19.716666666666665	-155.06666666666666	-999.0				91285				1.5		WMO	0-20700-0-91285	hilo	2.1	19.7297222	-155.09		91285	69.0		
