level_0	index	WIGOS	station_name	latitude	longitude	elevation	ObsRems	original_lat	original_lon	station_id	start_date	end_date	isRadio	distance_km	distance_km_minusLat	WIGOS_calc	inventory	city	city_dist_km	city_lat	city_lon	station_id_igra	WMO_id	Unnamed: 0	date_min	date_max	lat_file	lon_file	file	file_dataset	file_min_date	file_max_date	file_statid	WIGOS_best	variables
0	0																OSCAR	college	33.0	64.8569444	-147.80277780000003						[65.12, 65.12]	[-147.48, -147.48]	era5.70192.bfr	bufr	19730207	19730628	70192	0-20500-0-26459	[36, 85, 106, 107]
0	0															0-20300-0-nan	IGRA2	college	33.0	64.8569444	-147.80277780000003						[65.12, 65.12]	[-147.48, -147.48]	era5.70192.bfr	bufr	19730207	19730628	70192	0-20500-0-26459	[36, 85, 106, 107]
0	0		POKER FLAT	65.12	-147.48	196.9008				26459.0	19720601.0	99991231.0		0.0		0-20500-0-26459	WBAN	college	33.0	64.8569444	-147.80277780000003						[65.12, 65.12]	[-147.48, -147.48]	era5.70192.bfr	bufr	19730207	19730628	70192	0-20500-0-26459	[36, 85, 106, 107]
1	1		FAIRBANKS	65.04	-147.5	790.3464				24690.0	19970320.0	99991231.0		9.0		0-20500-0-24690	WBAN	college	33.0	64.8569444	-147.80277780000003						[65.12, 65.12]	[-147.48, -147.48]	era5.70192.bfr	bufr	19730207	19730628	70192	0-20500-0-26459	[36, 85, 106, 107]
2	2		FAIRBANKS 11 NE	64.97	-147.51	374.904				26494.0	20020813.0	99991231.0		16.8		0-20500-0-26494	WBAN	college	33.0	64.8569444	-147.80277780000003						[65.12, 65.12]	[-147.48, -147.48]	era5.70192.bfr	bufr	19730207	19730628	70192	0-20500-0-26459	[36, 85, 106, 107]
0	0															0-20400-0-nan	CHUAN	college	33.0	64.8569444	-147.80277780000003						[65.12, 65.12]	[-147.48, -147.48]	era5.70192.bfr	bufr	19730207	19730628	70192	0-20500-0-26459	[36, 85, 106, 107]
0	0		Chatanika - Poker Flat Research Range, AK	65.12	-147.48	-999.0				70192.0				0.0		0-20600-0-70192	SCHROEDER	college	33.0	64.8569444	-147.80277780000003		70192.0	2212.0	1973-04-05 00:00:00	1973-04-05 00:00:00	[65.12, 65.12]	[-147.48, -147.48]	era5.70192.bfr	bufr	19730207	19730628	70192	0-20500-0-26459	[36, 85, 106, 107]
1	1		(made up station ID) Chatanika - Poker Flat Research Range, 50 MHz MST wind profiler, AK	65.13	-147.45	-999.0				70193.0				1.8		0-20600-0-70193	SCHROEDER	college	33.0	64.8569444	-147.80277780000003		70193.0	2213.0	1979-02-01 00:00:00	1979-02-01 00:00:00	[65.12, 65.12]	[-147.48, -147.48]	era5.70192.bfr	bufr	19730207	19730628	70192	0-20500-0-26459	[36, 85, 106, 107]
2	2		(made up station ID) Chatanika - Poker Flat Research Range 1290 MHz Doppler radar, AK	65.1	-147.45	-999.0				70191.0				2.6		0-20600-0-70191	SCHROEDER	college	33.0	64.8569444	-147.80277780000003		70191.0	2211.0	1976-04-20 00:00:00	1976-04-20 00:00:00	[65.12, 65.12]	[-147.48, -147.48]	era5.70192.bfr	bufr	19730207	19730628	70192	0-20500-0-26459	[36, 85, 106, 107]
0	0															0-20700-0-nan	WMO	college	33.0	64.8569444	-147.80277780000003						[65.12, 65.12]	[-147.48, -147.48]	era5.70192.bfr	bufr	19730207	19730628	70192	0-20500-0-26459	[36, 85, 106, 107]
