level_0	index	WIGOS	station_name	latitude	longitude	elevation	ObsRems	original_lat	original_lon	station_id	start_date	end_date	isRadio	distance_km	distance_km_minusLat	inventory	WIGOS_calc	city	city_dist_km	city_lat	city_lon	station_id_igra	WMO_id	Unnamed: 0	date_min	date_max	lat_file	lon_file	file	file_dataset	file_min_date	file_max_date	file_statid	WIGOS_best	variables
0	0	0-20000-0-72450	WICHITA/MID-CONTINENT, KS.	37.65	-97.43333333333334	409.0	Surface land meteorological station (SYNOP), RBSN(S), GOS	37 39 00N	097 26 00W	72450	999.0	999.0	False	6.3		OSCAR	0-20000-0-72450	wichita	5.6	37.6922222	-97.3372222						[37.7, 37.7]	[-97.4, -97.4]	era5.72450.bfr	bufr	19650815	19721231	72450	0-20000-0-72450	[36, 85, 106, 107]
0	0		WICHITA/MID-CONTINE	37.65	-97.433	409.0				72450	1930.0	1975.0	True	6.3		IGRA2	0-20300-0-72450	wichita	5.6	37.6922222	-97.3372222	USM00072450					[37.7, 37.7]	[-97.4, -97.4]	era5.72450.bfr	bufr	19650815	19721231	72450	0-20000-0-72450	[36, 85, 106, 107]
0	0		WICHITA	37.68	-97.35	387.096				13998	19531201.0	99991231.0		4.9		WBAN	0-20500-0-13998	wichita	5.6	37.6922222	-97.3372222						[37.7, 37.7]	[-97.4, -97.4]	era5.72450.bfr	bufr	19650815	19721231	72450	0-20000-0-72450	[36, 85, 106, 107]
1	1		WICHITA MID-CONTINENT	37.66	-97.44	408.7368				3928	20011001.0	20050117.0		5.7		WBAN	0-20500-0-3928	wichita	5.6	37.6922222	-97.3372222		72450.0				[37.7, 37.7]	[-97.4, -97.4]	era5.72450.bfr	bufr	19650815	19721231	72450	0-20000-0-72450	[36, 85, 106, 107]
2	2		WICHITA MID-CONTINENT	37.66	-97.44	408.7368				3928	20050117.0	99991231.0		5.7		WBAN	0-20500-0-3928	wichita	5.6	37.6922222	-97.3372222		72450.0				[37.7, 37.7]	[-97.4, -97.4]	era5.72450.bfr	bufr	19650815	19721231	72450	0-20000-0-72450	[36, 85, 106, 107]
3	3		WICHITA MID-CONTINENT	37.65	-97.43	408.7368				3928	19991207.0	20011001.0		6.1		WBAN	0-20500-0-3928	wichita	5.6	37.6922222	-97.3372222		72450.0				[37.7, 37.7]	[-97.4, -97.4]	era5.72450.bfr	bufr	19650815	19721231	72450	0-20000-0-72450	[36, 85, 106, 107]
4	4		WICHITA WSO ARPT	37.65	-97.43	408.7368				3928	19961118.0	19991207.0		6.1		WBAN	0-20500-0-3928	wichita	5.6	37.6922222	-97.3372222		72450.0				[37.7, 37.7]	[-97.4, -97.4]	era5.72450.bfr	bufr	19650815	19721231	72450	0-20000-0-72450	[36, 85, 106, 107]
5	5		WICHITA WSO ARPT	37.65	-97.43	408.7368				3928	19950101.0	19961118.0		6.1		WBAN	0-20500-0-3928	wichita	5.6	37.6922222	-97.3372222		72450.0				[37.7, 37.7]	[-97.4, -97.4]	era5.72450.bfr	bufr	19650815	19721231	72450	0-20000-0-72450	[36, 85, 106, 107]
6	6		WICHITA WSO ARPT	37.65	-97.43	405.9936				3928	19730101.0	19731201.0		6.1		WBAN	0-20500-0-3928	wichita	5.6	37.6922222	-97.3372222		72450.0				[37.7, 37.7]	[-97.4, -97.4]	era5.72450.bfr	bufr	19650815	19721231	72450	0-20000-0-72450	[36, 85, 106, 107]
7	7		WICHITA WSO ARPT	37.65	-97.43	405.9936				3928	19531201.0	19730101.0		6.1		WBAN	0-20500-0-3928	wichita	5.6	37.6922222	-97.3372222		72450.0				[37.7, 37.7]	[-97.4, -97.4]	era5.72450.bfr	bufr	19650815	19721231	72450	0-20000-0-72450	[36, 85, 106, 107]
8	8		WICHITA WSO ARPT	37.65	-97.43	405.9936				3928	19731201.0	19921101.0		6.1		WBAN	0-20500-0-3928	wichita	5.6	37.6922222	-97.3372222		72450.0				[37.7, 37.7]	[-97.4, -97.4]	era5.72450.bfr	bufr	19650815	19721231	72450	0-20000-0-72450	[36, 85, 106, 107]
9	9		WICHITA WSO ARPT	37.65	-97.43	408.7368				3928	19921101.0	19950101.0		6.1		WBAN	0-20500-0-3928	wichita	5.6	37.6922222	-97.3372222		72450.0				[37.7, 37.7]	[-97.4, -97.4]	era5.72450.bfr	bufr	19650815	19721231	72450	0-20000-0-72450	[36, 85, 106, 107]
10	10		WICHITA	37.65	-97.44	406.908				3928	19940420.0	99991231.0		6.6		WBAN	0-20500-0-3928	wichita	5.6	37.6922222	-97.3372222						[37.7, 37.7]	[-97.4, -97.4]	era5.72450.bfr	bufr	19650815	19721231	72450	0-20000-0-72450	[36, 85, 106, 107]
11	11		WICHITA	37.68	-97.33	413.9184				93982	18910101.0	19080101.0		6.6		WBAN	0-20500-0-93982	wichita	5.6	37.6922222	-97.3372222						[37.7, 37.7]	[-97.4, -97.4]	era5.72450.bfr	bufr	19650815	19721231	72450	0-20000-0-72450	[36, 85, 106, 107]
12	12		WICHITA	37.68	-97.33	413.9184				93982	18880601.0	18910101.0		6.6		WBAN	0-20500-0-93982	wichita	5.6	37.6922222	-97.3372222						[37.7, 37.7]	[-97.4, -97.4]	era5.72450.bfr	bufr	19650815	19721231	72450	0-20000-0-72450	[36, 85, 106, 107]
13	13		WICHITA	37.68	-97.33	415.1376				93982	19320101.0	19401231.0		6.6		WBAN	0-20500-0-93982	wichita	5.6	37.6922222	-97.3372222						[37.7, 37.7]	[-97.4, -97.4]	era5.72450.bfr	bufr	19650815	19721231	72450	0-20000-0-72450	[36, 85, 106, 107]
14	14		WICHITA	37.68	-97.33	430.07280000000003				93982	19170101.0	19320101.0		6.6		WBAN	0-20500-0-93982	wichita	5.6	37.6922222	-97.3372222						[37.7, 37.7]	[-97.4, -97.4]	era5.72450.bfr	bufr	19650815	19721231	72450	0-20000-0-72450	[36, 85, 106, 107]
15	15		WICHITA	37.68	-97.33	416.052				93982	19110101.0	19170101.0		6.6		WBAN	0-20500-0-93982	wichita	5.6	37.6922222	-97.3372222						[37.7, 37.7]	[-97.4, -97.4]	era5.72450.bfr	bufr	19650815	19721231	72450	0-20000-0-72450	[36, 85, 106, 107]
16	16		WICHITA	37.68	-97.33	420.0144				93982	19080101.0	19110101.0		6.6		WBAN	0-20500-0-93982	wichita	5.6	37.6922222	-97.3372222						[37.7, 37.7]	[-97.4, -97.4]	era5.72450.bfr	bufr	19650815	19721231	72450	0-20000-0-72450	[36, 85, 106, 107]
