file_statid	station_id	station_name	latitude	longitude	elevation	original_lat	original_lon	distance_km	lat_file	lon_file	inventory	WIGOS	WMO_id	WIGOS_calc	file_min_date	file_max_date	start_date	end_date	isRadio	WIGOS_best	city	variables
06034	06034	SINDAL FLYVEPLADS	57.504444444444445	10.222777777777777		57 30 16N	010 13 22E	0.5	[57.5, 57.5]	[10.22, 10.22]	OSCAR	0-20000-0-06034		0-20000-0-06034	20120419	20140501	999.0	999.0	False	0-20000-0-06034	hjorring	[36, 38, 39, 85, 104, 105, 106, 107, 117]
06034	06032	STENHOEJ	57.382777777777775	10.335	56.29	57 22 58N	010 20 06E	14.8	[57.5, 57.5]	[10.22, 10.22]	OSCAR	0-20000-0-06032		0-20000-0-06032	20120419	20140501	999.0	999.0	False	0-20000-0-06034	hjorring	[36, 38, 39, 85, 104, 105, 106, 107, 117]
06034	06033	HIRTSHALS	57.595555555555556	9.958055555555555	3.0	57 35 44N	009 57 29E	19.0	[57.5, 57.5]	[10.22, 10.22]	OSCAR	0-20000-0-06033		0-20000-0-06033	20120419	20140501	999.0	999.0	False	0-20000-0-06034	hjorring	[36, 38, 39, 85, 104, 105, 106, 107, 117]
06034	06042	FREDERIKSHAVN	57.43611111111111	10.54888888888889	3.0	57 26 10N	010 32 56E	21.0	[57.5, 57.5]	[10.22, 10.22]	OSCAR	0-20000-0-06042		0-20000-0-06042	20120419	20140501	999.0	999.0	False	0-20000-0-06034	hjorring	[36, 38, 39, 85, 104, 105, 106, 107, 117]
06034									[57.5, 57.5]	[10.22, 10.22]	IGRA2			0-20300-0-nan	20120419	20140501				0-20000-0-06034	hjorring	[36, 38, 39, 85, 104, 105, 106, 107, 117]
06034									[57.5, 57.5]	[10.22, 10.22]	WBAN			0-20500-0-nan	20120419	20140501				0-20000-0-06034	hjorring	[36, 38, 39, 85, 104, 105, 106, 107, 117]
06034									[57.5, 57.5]	[10.22, 10.22]	CHUAN			0-20400-0-nan	20120419	20140501				0-20000-0-06034	hjorring	[36, 38, 39, 85, 104, 105, 106, 107, 117]
06034									[57.5, 57.5]	[10.22, 10.22]	SCHROEDER			0-20600-0-nan	20120419	20140501				0-20000-0-06034	hjorring	[36, 38, 39, 85, 104, 105, 106, 107, 117]
06034									[57.5, 57.5]	[10.22, 10.22]	WMO			0-20700-0-nan	20120419	20140501				0-20000-0-06034	hjorring	[36, 38, 39, 85, 104, 105, 106, 107, 117]
06034									[57.5, 57.5]	[10.22, 10.22]	AMMA			0-20800-0-nan	20120419	20140501				0-20000-0-06034	hjorring	[36, 38, 39, 85, 104, 105, 106, 107, 117]
06034									[57.5, 57.5]	[10.22, 10.22]	HARA			0-20111-0-nan	20120419	20140501				0-20000-0-06034	hjorring	[36, 38, 39, 85, 104, 105, 106, 107, 117]
