level_0	index	WIGOS	station_name	latitude	longitude	elevation	ObsRems	original_lat	original_lon	station_id	start_date	end_date	isRadio	distance_km	distance_km_minusLat	inventory	WIGOS_calc	city	city_dist_km	city_lat	city_lon	station_id_igra	WMO_id	Unnamed: 0	date_min	date_max	lat_file	lon_file	file	file_dataset	file_min_date	file_max_date	file_statid	WIGOS_best	variables
0	0	0-20000-0-72785	SPOKANE/INT., WA.	47.63333333333333	-117.53333333333333	721.0	Climatological station, Surface land meteorological station (SYNOP), RBSN(S), GOS, CLIMAT(C), RBCN	47 38 00N	117 32 00W	72785	999.0	999.0	False	1.8		OSCAR	0-20000-0-72785	spokane	8.3	47.6588889	-117.425						[47.62, 47.62]	[-117.52, -117.52]	era5.1761.conv.1:72785	era5_1761	19480101	19791231	1:72785	0-20000-0-72786	[85, 106, 107, 117]
1	2	0-20000-0-72786	SPOKANE, WA.	47.68055555555555	-117.62666666666667		Upper-air / Radiosonde station, Surface land meteorological station (SYNOP), RBSN(T), GOS	47 40 50N	117 37 36W	72786	999.0	999.0	True	10.5		OSCAR	0-20000-0-72786	spokane	8.3	47.6588889	-117.425						[47.62, 47.62]	[-117.52, -117.52]	era5.1761.conv.1:72785	era5_1761	19480101	19791231	1:72785	0-20000-0-72786	[85, 106, 107, 117]
0	0		SPOKANE	47.6806	-117.6267	729.1				72786	1926.0	2021.0	True	10.5		IGRA2	0-20300-0-72786	spokane	8.3	47.6588889	-117.425	USM00072786					[47.62, 47.62]	[-117.52, -117.52]	era5.1761.conv.1:72785	era5_1761	19480101	19791231	1:72785	0-20000-0-72786	[85, 106, 107, 117]
1	1		SPOKANE (FELTS FIELD)	47.6667	-117.3333	599.8				94176	1942.0	1947.0	True	15.0		IGRA2	0-20300-0-94176	spokane	8.3	47.6588889	-117.425	USW00094176					[47.62, 47.62]	[-117.52, -117.52]	era5.1761.conv.1:72785	era5_1761	19480101	19791231	1:72785	0-20000-0-72786	[85, 106, 107, 117]
0	0		GEIGER FLD AAF	47.62	-117.52	720.8520000000001				24104	19461101.0	19471231.0		0.0		WBAN	0-20500-0-24104	spokane	8.3	47.6588889	-117.425						[47.62, 47.62]	[-117.52, -117.52]	era5.1761.conv.1:72785	era5_1761	19480101	19791231	1:72785	0-20000-0-72786	[85, 106, 107, 117]
1	1		GEIGER FLD AAF	47.62	-117.52	720.8520000000001				24104	19440101.0	19450630.0		0.0		WBAN	0-20500-0-24104	spokane	8.3	47.6588889	-117.425						[47.62, 47.62]	[-117.52, -117.52]	era5.1761.conv.1:72785	era5_1761	19480101	19791231	1:72785	0-20000-0-72786	[85, 106, 107, 117]
2	2		GEIGER FLD AAF	47.62	-117.52	722.9856000000001				24104	19550101.0	19581231.0		0.0		WBAN	0-20500-0-24104	spokane	8.3	47.6588889	-117.425						[47.62, 47.62]	[-117.52, -117.52]	era5.1761.conv.1:72785	era5_1761	19480101	19791231	1:72785	0-20000-0-72786	[85, 106, 107, 117]
3	3		GEIGER FLD AAF	47.62	-117.52	722.9856000000001				24104	19581231.0	19600101.0		0.0		WBAN	0-20500-0-24104	spokane	8.3	47.6588889	-117.425						[47.62, 47.62]	[-117.52, -117.52]	era5.1761.conv.1:72785	era5_1761	19480101	19791231	1:72785	0-20000-0-72786	[85, 106, 107, 117]
4	4		GEIGER FLD AAF	47.62	-117.52	722.9856000000001				24104	19600101.0	19601231.0		0.0		WBAN	0-20500-0-24104	spokane	8.3	47.6588889	-117.425						[47.62, 47.62]	[-117.52, -117.52]	era5.1761.conv.1:72785	era5_1761	19480101	19791231	1:72785	0-20000-0-72786	[85, 106, 107, 117]
5	5		GEIGER FLD AAF	47.62	-117.52	722.9856000000001				24104	19601231.0	19630430.0		0.0		WBAN	0-20500-0-24104	spokane	8.3	47.6588889	-117.425						[47.62, 47.62]	[-117.52, -117.52]	era5.1761.conv.1:72785	era5_1761	19480101	19791231	1:72785	0-20000-0-72786	[85, 106, 107, 117]
6	6		GEIGER FLD AAF	47.62	-117.52	720.8520000000001				24104	19450630.0	19461101.0		0.0		WBAN	0-20500-0-24104	spokane	8.3	47.6588889	-117.425						[47.62, 47.62]	[-117.52, -117.52]	era5.1761.conv.1:72785	era5_1761	19480101	19791231	1:72785	0-20000-0-72786	[85, 106, 107, 117]
7	7		SPOKANE WSO AIRPORT	47.62	-117.52	720.8520000000001				24157	19600505.0	19641231.0		0.0		WBAN	0-20500-0-24157	spokane	8.3	47.6588889	-117.425						[47.62, 47.62]	[-117.52, -117.52]	era5.1761.conv.1:72785	era5_1761	19480101	19791231	1:72785	0-20000-0-72786	[85, 106, 107, 117]
8	8		SPOKANE WSO AIRPORT	47.62	-117.52	720.8520000000001				24157	19480101.0	19600505.0		0.0		WBAN	0-20500-0-24157	spokane	8.3	47.6588889	-117.425						[47.62, 47.62]	[-117.52, -117.52]	era5.1761.conv.1:72785	era5_1761	19480101	19791231	1:72785	0-20000-0-72786	[85, 106, 107, 117]
9	9		SPOKANE INTL ARPT	47.62	-117.52	718.1088000000001				24157	19460701.0	19471208.0		0.0		WBAN	0-20500-0-24157	spokane	8.3	47.6588889	-117.425						[47.62, 47.62]	[-117.52, -117.52]	era5.1761.conv.1:72785	era5_1761	19480101	19791231	1:72785	0-20000-0-72786	[85, 106, 107, 117]
10	10		SPOKANE INTL ARPT	47.62	-117.52	718.1088000000001				24157	19471208.0	19480101.0		0.0		WBAN	0-20500-0-24157	spokane	8.3	47.6588889	-117.425						[47.62, 47.62]	[-117.52, -117.52]	era5.1761.conv.1:72785	era5_1761	19480101	19791231	1:72785	0-20000-0-72786	[85, 106, 107, 117]
11	11		SPOKANE INTERNATIONAL AIRPORT	47.62	-117.53	718.7184000000001				24157	20050224.0	99991231.0		0.8		WBAN	0-20500-0-24157	spokane	8.3	47.6588889	-117.425		72785.0				[47.62, 47.62]	[-117.52, -117.52]	era5.1761.conv.1:72785	era5_1761	19480101	19791231	1:72785	0-20000-0-72786	[85, 106, 107, 117]
12	12		SPOKANE INTL AP	47.62	-117.53	718.7184000000001				24157	20021125.0	20050224.0		0.8		WBAN	0-20500-0-24157	spokane	8.3	47.6588889	-117.425		72785.0				[47.62, 47.62]	[-117.52, -117.52]	era5.1761.conv.1:72785	era5_1761	19480101	19791231	1:72785	0-20000-0-72786	[85, 106, 107, 117]
13	13		SPOKANE AIRPORT	47.62	-117.53	718.7184000000001				24157	19971015.0	20021125.0		0.8		WBAN	0-20500-0-24157	spokane	8.3	47.6588889	-117.425		72785.0				[47.62, 47.62]	[-117.52, -117.52]	era5.1761.conv.1:72785	era5_1761	19480101	19791231	1:72785	0-20000-0-72786	[85, 106, 107, 117]
14	14		SPOKANE WSO AIRPORT	47.62	-117.53	718.7184000000001				24157	19950901.0	19971015.0		0.8		WBAN	0-20500-0-24157	spokane	8.3	47.6588889	-117.425		72785.0				[47.62, 47.62]	[-117.52, -117.52]	era5.1761.conv.1:72785	era5_1761	19480101	19791231	1:72785	0-20000-0-72786	[85, 106, 107, 117]
15	15		SPOKANE WSO AIRPORT	47.63	-117.53	719.0232000000001				24157	19871109.0	19930921.0		1.3		WBAN	0-20500-0-24157	spokane	8.3	47.6588889	-117.425		72785.0				[47.62, 47.62]	[-117.52, -117.52]	era5.1761.conv.1:72785	era5_1761	19480101	19791231	1:72785	0-20000-0-72786	[85, 106, 107, 117]
