level_0	index	WIGOS	station_name	latitude	longitude	elevation	ObsRems	original_lat	original_lon	station_id	start_date	end_date	isRadio	distance_km	distance_km_minusLat	inventory	WIGOS_calc	city	city_dist_km	city_lat	city_lon	station_id_igra	WMO_id	Unnamed: 0	date_min	date_max
0	0		ST CROIX (BENEDICT FIELD)	17.7	-64.8	16.8				11602	1948.0	1948.0	True	0.0		IGRA2	0-20300-0-11602	fajardo	113.9	18.327777800000003	-65.6527778	VQW00011602				
0	0	0-20000-0-78547	CHRISTIANSTED/ALEX. HAMILTON FIELD,  ST. CROIX	17.7	-64.8	17.0	Surface land meteorological station (SYNOP), GOS	17 42 00N	064 48 00W	78547	999.0	999.0	False	0.0		OSCAR	0-20000-0-78547	fajardo	113.9	18.327777800000003	-65.6527778					
1	1	0-20000-0-78551	CHRISTAINSTED, VI, HENRY E ROHLSEN ARPT	17.703888888888887	-64.79888888888888	13.0	Surface land meteorological station (SYNOP), GOS, CLIMAT(C)	17 42 14N	064 47 56W	78551	999.0	999.0	False	0.4		OSCAR	0-20000-0-78551	fajardo	113.9	18.327777800000003	-65.6527778					
2	2	0-20000-0-78545	HAM BLUFF LIGHT,  ST. CROIX	17.766666666666666	-64.88333333333334		Surface land meteorological station (SYNOP), GOS	17 46 00N	064 53 00W	78545	999.0	999.0	False	11.5		OSCAR	0-20000-0-78545	fajardo	113.9	18.327777800000003	-65.6527778					
0	0		ALEX HAMILTON	17.7	-64.8	10.3632				11624	19850801.0	19920501.0		0.0		WBAN	0-20500-0-11624	fajardo	113.9	18.327777800000003	-65.6527778					
1	1		ALEX HAMILTON	17.7	-64.8	10.3632				11624	19761216.0	19820101.0		0.0		WBAN	0-20500-0-11624	fajardo	113.9	18.327777800000003	-65.6527778					
2	2		ALEX HAMILTON	17.7	-64.8	10.3632				11624	19820101.0	19850801.0		0.0		WBAN	0-20500-0-11624	fajardo	113.9	18.327777800000003	-65.6527778					
3	3		ALEX HAMILTON FLD FAA	17.7	-64.8	10.3632				11624	19920501.0	19950101.0		0.0		WBAN	0-20500-0-11624	fajardo	113.9	18.327777800000003	-65.6527778					
4	4		ALEX HAMILTON FLD FAA	17.7	-64.8	10.3632				11624	20000808.0	99991231.0		0.0		WBAN	0-20500-0-11624	fajardo	113.9	18.327777800000003	-65.6527778					
5	5		ALEX HAMILTON FLD FAA	17.7	-64.8	10.3632				11624	19950101.0	20000808.0		0.0		WBAN	0-20500-0-11624	fajardo	113.9	18.327777800000003	-65.6527778					
6	6		CHRISTIANSTED ROHLSEN AP	17.7	-64.8	17.0688				11624	19451001.0	19530101.0		0.0		WBAN	0-20500-0-11624	fajardo	113.9	18.327777800000003	-65.6527778					
7	7		HAMILTON FIELD	17.7	-64.8	17.0688				11624	19530101.0	19530131.0		0.0		WBAN	0-20500-0-11624	fajardo	113.9	18.327777800000003	-65.6527778					
8	8		HAMILTON FIELD	17.7	-64.8	17.0688				11624	19530131.0	19540301.0		0.0		WBAN	0-20500-0-11624	fajardo	113.9	18.327777800000003	-65.6527778					
9	9		CHRISTIANSTED BENDCT	17.7	-64.8	17.0688				11602	19480501.0	19481231.0		0.0		WBAN	0-20500-0-11602	fajardo	113.9	18.327777800000003	-65.6527778					
10	10		CHRISTIANSTED BENDCT	17.7	-64.8	17.0688				11602	19460131.0	19480501.0		0.0		WBAN	0-20500-0-11602	fajardo	113.9	18.327777800000003	-65.6527778					
11	11		ALEX HAMILTON	17.7	-64.8	10.3632				11624	19610420.0	19761216.0		0.0		WBAN	0-20500-0-11624	fajardo	113.9	18.327777800000003	-65.6527778					
12	12		CHRISTIANSTED BENDCT	17.7	-64.8	17.0688				11602	19410901.0	19460131.0		0.0		WBAN	0-20500-0-11602	fajardo	113.9	18.327777800000003	-65.6527778					
13	13		ALEX HAMILTON	17.7	-64.8	17.0688				11624	19540301.0	19610420.0		0.0		WBAN	0-20500-0-11624	fajardo	113.9	18.327777800000003	-65.6527778					
14	14		ST CROIX AIR SAMPLE	17.75	-64.75	3.048				11654	19830512.0	19900829.0		7.7		WBAN	0-20500-0-11654	fajardo	113.9	18.327777800000003	-65.6527778					
0	0		ALEX HAMILTON, ST. CROIX 	17.7	-64.8	-999.0				78547				0.0		WMO	0-20700-0-78547	fajardo	113.9	18.327777800000003	-65.6527778		78547	1780.0		
