level_0	index	WIGOS	station_name	latitude	longitude	elevation	ObsRems	original_lat	original_lon	station_id	start_date	end_date	isRadio	distance_km	distance_km_minusLat	WIGOS_calc	inventory	city	city_dist_km	city_lat	city_lon	station_id_igra	WMO_id	Unnamed: 0	date_min	date_max	lat_file	lon_file	file	file_dataset	file_min_date	file_max_date	file_statid	WIGOS_best	variables
0	0																OSCAR	blytheville	5.5	35.9272222	-89.91888890000001						[35.97, 35.97]	[-89.95, -89.95]	era5.1761.conv.2:13814	era5_1761	19570301	19640731	2:13814	0-20300-0-13814	[85, 117]
0	0		BLYTHEVILLE AFB	35.967	-89.95	82.0				13814	1957.0	1964.0	True	0.3		0-20300-0-13814	IGRA2	blytheville	5.5	35.9272222	-89.91888890000001	USW00013814					[35.97, 35.97]	[-89.95, -89.95]	era5.1761.conv.2:13814	era5_1761	19570301	19640731	2:13814	0-20300-0-13814	[85, 117]
0	0		BLYTHEVILLE AFB	35.97	-89.95	77.1144				13814	19450701.0	19451231.0		0.0		0-20500-0-13814	WBAN	blytheville	5.5	35.9272222	-89.91888890000001						[35.97, 35.97]	[-89.95, -89.95]	era5.1761.conv.2:13814	era5_1761	19570301	19640731	2:13814	0-20300-0-13814	[85, 117]
1	1		BLYTHEVILLE AFB	35.97	-89.95	79.8576				13814	19551101.0	19811231.0		0.0		0-20500-0-13814	WBAN	blytheville	5.5	35.9272222	-89.91888890000001						[35.97, 35.97]	[-89.95, -89.95]	era5.1761.conv.2:13814	era5_1761	19570301	19640731	2:13814	0-20300-0-13814	[85, 117]
2	2		BLYTHEVILLE AFB	35.97	-89.95	79.8576				13814	19811231.0	19950101.0		0.0		0-20500-0-13814	WBAN	blytheville	5.5	35.9272222	-89.91888890000001						[35.97, 35.97]	[-89.95, -89.95]	era5.1761.conv.2:13814	era5_1761	19570301	19640731	2:13814	0-20300-0-13814	[85, 117]
3	3		BLYTHEVILLE AFB	35.97	-89.95	79.8576				13814	19950101.0	99991231.0		0.0		0-20500-0-13814	WBAN	blytheville	5.5	35.9272222	-89.91888890000001						[35.97, 35.97]	[-89.95, -89.95]	era5.1761.conv.2:13814	era5_1761	19570301	19640731	2:13814	0-20300-0-13814	[85, 117]
4	4		BLYTHEVILLE AAF	35.97	-89.87	77.1144				13814	19420901.0	19450430.0		7.2		0-20500-0-13814	WBAN	blytheville	5.5	35.9272222	-89.91888890000001						[35.97, 35.97]	[-89.95, -89.95]	era5.1761.conv.2:13814	era5_1761	19570301	19640731	2:13814	0-20300-0-13814	[85, 117]
5	5		BLYTHEVILLE MUNI AP	35.94	-89.83	77.724				53869	19981028.0	99991231.0		11.3		0-20500-0-53869	WBAN	blytheville	5.5	35.9272222	-89.91888890000001						[35.97, 35.97]	[-89.95, -89.95]	era5.1761.conv.2:13814	era5_1761	19570301	19640731	2:13814	0-20300-0-13814	[85, 117]
0	0															0-20400-0-nan	CHUAN	blytheville	5.5	35.9272222	-89.91888890000001						[35.97, 35.97]	[-89.95, -89.95]	era5.1761.conv.2:13814	era5_1761	19570301	19640731	2:13814	0-20300-0-13814	[85, 117]
0	0		(made up station ID) KBYH Blytheville Air Force Base, AR (WBAN=13814)	35.97	-89.95	-999.0				72339				0.0		0-20600-0-72339	SCHROEDER	blytheville	5.5	35.9272222	-89.91888890000001		72339.0	2467.0	1957-03-01 00:00:00	1961-02-01 00:00:00	[35.97, 35.97]	[-89.95, -89.95]	era5.1761.conv.2:13814	era5_1761	19570301	19640731	2:13814	0-20300-0-13814	[85, 117]
0	0															0-20700-0-nan	WMO	blytheville	5.5	35.9272222	-89.91888890000001						[35.97, 35.97]	[-89.95, -89.95]	era5.1761.conv.2:13814	era5_1761	19570301	19640731	2:13814	0-20300-0-13814	[85, 117]
