file_statid	station_id	station_name	latitude	longitude	elevation	original_lat	original_lon	distance_km	lat_file	lon_file	inventory	WIGOS	WMO_id	WIGOS_calc	file_min_date	file_max_date	start_date	end_date	isRadio	WIGOS_best	city	variables
2:13931	72351	WICHITA FALLS/SHEPS AFB/WICHITA FALLS/MUN., TX.	33.96666666666667	-98.48333333333333	314.0	33 58 00N	098 29 00W	2.1	[33.98, 33.98]	[-98.5, -98.5]	OSCAR	0-20000-0-72351		0-20000-0-72351	19500316	19500610	999.0	999.0	False	0-20000-0-72351	wichita falls	[85, 106, 107, 117]
2:13931	72351	WICHITA FALLS	33.98	-98.5	309.0			0.0	[33.98, 33.98]	[-98.5, -98.5]	IGRA2			0-20300-0-72351	19500316	19500610	1950.0	1950.0	True	0-20000-0-72351	wichita falls	[85, 106, 107, 117]
2:13931	13931	WICHITA FLS SHEP AAF	33.98	-98.5	312.1152			0.0	[33.98, 33.98]	[-98.5, -98.5]	WBAN			0-20500-0-13931	19500316	19500610	19661231.0	19690101.0		0-20000-0-72351	wichita falls	[85, 106, 107, 117]
2:13931	13931	WICHITA FLS SHEP AAF	33.98	-98.5	312.1152			0.0	[33.98, 33.98]	[-98.5, -98.5]	WBAN			0-20500-0-13931	19500316	19500610	19461231.0	19610101.0		0-20000-0-72351	wichita falls	[85, 106, 107, 117]
2:13931	13931	WICHITA FLS SHEP AAF	33.98	-98.5	312.1152			0.0	[33.98, 33.98]	[-98.5, -98.5]	WBAN			0-20500-0-13931	19500316	19500610	19450101.0	19461231.0		0-20000-0-72351	wichita falls	[85, 106, 107, 117]
2:13931	13931	WICHITA FLS SHEP AAF	33.98	-98.5	312.1152			0.0	[33.98, 33.98]	[-98.5, -98.5]	WBAN			0-20500-0-13931	19500316	19500610	19440331.0	19450101.0		0-20000-0-72351	wichita falls	[85, 106, 107, 117]
2:13931	13931	WICHITA FLS SHEP AAF	33.98	-98.5	312.1152			0.0	[33.98, 33.98]	[-98.5, -98.5]	WBAN			0-20500-0-13931	19500316	19500610	19420401.0	19440331.0		0-20000-0-72351	wichita falls	[85, 106, 107, 117]
2:13931	13931	WICHITA FLS SHEP AAF	33.98	-98.5	312.1152			0.0	[33.98, 33.98]	[-98.5, -98.5]	WBAN			0-20500-0-13931	19500316	19500610	19191231.0	19420401.0		0-20000-0-72351	wichita falls	[85, 106, 107, 117]
2:13931	13931	WICHITA FLS SHEP AAF	33.98	-98.5	312.1152			0.0	[33.98, 33.98]	[-98.5, -98.5]	WBAN			0-20500-0-13931	19500316	19500610	19181101.0	19191231.0		0-20000-0-72351	wichita falls	[85, 106, 107, 117]
2:13931	13931	WICHITA FLS SHEP AAF	33.98	-98.5	312.1152			0.0	[33.98, 33.98]	[-98.5, -98.5]	WBAN			0-20500-0-13931	19500316	19500610	19690101.0	19730228.0		0-20000-0-72351	wichita falls	[85, 106, 107, 117]
2:13931	13931	WICHITA FLS SHEP AAF	33.98	-98.5	312.1152			0.0	[33.98, 33.98]	[-98.5, -98.5]	WBAN			0-20500-0-13931	19500316	19500610	19610101.0	19661231.0		0-20000-0-72351	wichita falls	[85, 106, 107, 117]
2:13931	13966	WICHITA FALLS WSO AP	33.98	-98.49	306.9336			0.9	[33.98, 33.98]	[-98.5, -98.5]	WBAN		72351.0	0-20500-0-13966	19500316	19500610	19950101.0	20030401.0		0-20000-0-72351	wichita falls	[85, 106, 107, 117]
2:13931	13966	WICHITA FALLS WSO AP	33.98	-98.49	306.9336			0.9	[33.98, 33.98]	[-98.5, -98.5]	WBAN		72351.0	0-20500-0-13966	19500316	19500610	19930501.0	19950101.0		0-20000-0-72351	wichita falls	[85, 106, 107, 117]
2:13931	13966	WICHITA FALLS MUNI AP	33.98	-98.49	306.9336			0.9	[33.98, 33.98]	[-98.5, -98.5]	WBAN		72351.0	0-20500-0-13966	19500316	19500610	20030401.0	99991231.0		0-20000-0-72351	wichita falls	[85, 106, 107, 117]
2:13931	13966	WICHITA FALLS MUN AP	33.98	-98.52	314.2488			1.8	[33.98, 33.98]	[-98.5, -98.5]	WBAN			0-20500-0-13966	19500316	19500610	19440210.0	19460801.0		0-20000-0-72351	wichita falls	[85, 106, 107, 117]
2:13931	13966	WICHITA FALLS MUN AP	33.98	-98.52	314.5536			1.8	[33.98, 33.98]	[-98.5, -98.5]	WBAN			0-20500-0-13966	19500316	19500610	19440101.0	19440210.0		0-20000-0-72351	wichita falls	[85, 106, 107, 117]
2:13931	13966	WICHITA FALLS MUN AP	33.98	-98.52	314.5536			1.8	[33.98, 33.98]	[-98.5, -98.5]	WBAN			0-20500-0-13966	19500316	19500610	19430613.0	19440101.0		0-20000-0-72351	wichita falls	[85, 106, 107, 117]
2:13931	13966	WICHITA FALLS MUN AP	33.98	-98.52	314.5536			1.8	[33.98, 33.98]	[-98.5, -98.5]	WBAN			0-20500-0-13966	19500316	19500610	19390223.0	19430613.0		0-20000-0-72351	wichita falls	[85, 106, 107, 117]
2:13931	13966	WICHITA FALLS MUN AP	33.98	-98.52	313.0296			1.8	[33.98, 33.98]	[-98.5, -98.5]	WBAN			0-20500-0-13966	19500316	19500610	19390101.0	19390223.0		0-20000-0-72351	wichita falls	[85, 106, 107, 117]
2:13931	13966	WICHITA FALLS WB AP	33.98	-98.52	316.6872			1.8	[33.98, 33.98]	[-98.5, -98.5]	WBAN		72351.0	0-20500-0-13966	19500316	19500610	19591231.0	19600623.0		0-20000-0-72351	wichita falls	[85, 106, 107, 117]
