level_0	index	WIGOS	station_name	latitude	longitude	elevation	ObsRems	original_lat	original_lon	station_id	start_date	end_date	isRadio	distance_km	distance_km_minusLat	inventory	WIGOS_calc	city	city_dist_km	city_lat	city_lon	station_id_igra	WMO_id	Unnamed: 0	date_min	date_max	lat_file	lon_file	file	file_dataset	file_min_date	file_max_date	file_statid	WIGOS_best	variables
0	0	0-20000-0-72271	TRUTH OR CONSEQUENCES, NM	33.233333333333334	-107.26666666666667	1481.0	Surface land meteorological station (SYNOP), RBSN(S), GOS	33 14 00N	107 16 00W	72271	999.0	999.0	False	0.5		OSCAR	0-20000-0-72271	las cruces	111.7	32.3122222	-106.7777778						[33.23, 33.23]	[-107.27, -107.27]	era5.conv._72271	era5_1	19850201	19850201	72271	0-20000-0-72271	[36, 38, 39, 85, 104, 105, 106, 107, 117]
0	0															IGRA2	0-20300-0-nan	las cruces	111.7	32.3122222	-106.7777778						[33.23, 33.23]	[-107.27, -107.27]	era5.conv._72271	era5_1	19850201	19850201	72271	0-20000-0-72271	[36, 38, 39, 85, 104, 105, 106, 107, 117]
0	0		TRUTH OR CONSEQUENCES FAA AP	33.23	-107.27	1470.9648				93045	19510301.0	19600101.0		0.0		WBAN	0-20500-0-93045	las cruces	111.7	32.3122222	-106.7777778		72271.0				[33.23, 33.23]	[-107.27, -107.27]	era5.conv._72271	era5_1	19850201	19850201	72271	0-20000-0-72271	[36, 38, 39, 85, 104, 105, 106, 107, 117]
1	1		TRUTH OR CONSEQUENCE	33.23	-107.27	1478.28				93045	19950101.0	19960916.0		0.0		WBAN	0-20500-0-93045	las cruces	111.7	32.3122222	-106.7777778		72271.0				[33.23, 33.23]	[-107.27, -107.27]	era5.conv._72271	era5_1	19850201	19850201	72271	0-20000-0-72271	[36, 38, 39, 85, 104, 105, 106, 107, 117]
2	2		TRUTH OR CONSEQUENCE	33.23	-107.27	1478.28				93045	19930101.0	19950101.0		0.0		WBAN	0-20500-0-93045	las cruces	111.7	32.3122222	-106.7777778		72271.0				[33.23, 33.23]	[-107.27, -107.27]	era5.conv._72271	era5_1	19850201	19850201	72271	0-20000-0-72271	[36, 38, 39, 85, 104, 105, 106, 107, 117]
3	3		TRUTH OR CONSEQUENCE	33.23	-107.27	1470.9648				93045	19820228.0	19930101.0		0.0		WBAN	0-20500-0-93045	las cruces	111.7	32.3122222	-106.7777778		72271.0				[33.23, 33.23]	[-107.27, -107.27]	era5.conv._72271	era5_1	19850201	19850201	72271	0-20000-0-72271	[36, 38, 39, 85, 104, 105, 106, 107, 117]
4	4		TRUTH OR CONSEQUENCE	33.23	-107.27	1470.9648				93045	19500401.0	19500501.0		0.0		WBAN	0-20500-0-93045	las cruces	111.7	32.3122222	-106.7777778		72271.0				[33.23, 33.23]	[-107.27, -107.27]	era5.conv._72271	era5_1	19850201	19850201	72271	0-20000-0-72271	[36, 38, 39, 85, 104, 105, 106, 107, 117]
5	5		TRUTH OR CONSEQUENCES FAA AP	33.23	-107.27	1470.9648				93045	19600101.0	19820228.0		0.0		WBAN	0-20500-0-93045	las cruces	111.7	32.3122222	-106.7777778		72271.0				[33.23, 33.23]	[-107.27, -107.27]	era5.conv._72271	era5_1	19850201	19850201	72271	0-20000-0-72271	[36, 38, 39, 85, 104, 105, 106, 107, 117]
6	6		HOT SPRINGS CAA AIRPORT	33.23	-107.27	1470.9648				93045	19500501.0	19510301.0		0.0		WBAN	0-20500-0-93045	las cruces	111.7	32.3122222	-106.7777778		72271.0				[33.23, 33.23]	[-107.27, -107.27]	era5.conv._72271	era5_1	19850201	19850201	72271	0-20000-0-72271	[36, 38, 39, 85, 104, 105, 106, 107, 117]
7	7		TRUTH OR CONSEQUENCE	33.24	-107.27	1478.28				93045	19960916.0	99991231.0		1.1		WBAN	0-20500-0-93045	las cruces	111.7	32.3122222	-106.7777778		72271.0				[33.23, 33.23]	[-107.27, -107.27]	era5.conv._72271	era5_1	19850201	19850201	72271	0-20000-0-72271	[36, 38, 39, 85, 104, 105, 106, 107, 117]
8	8		ENGLE CAA AP	33.2	-107.03	1442.9232000000002				23046	19320201.0	19380101.0		22.6		WBAN	0-20500-0-23046	las cruces	111.7	32.3122222	-106.7777778						[33.23, 33.23]	[-107.27, -107.27]	era5.conv._72271	era5_1	19850201	19850201	72271	0-20000-0-72271	[36, 38, 39, 85, 104, 105, 106, 107, 117]
9	9		ENGLE CAA AP	33.2	-107.03	1453.8960000000002				23046	19380101.0	19401231.0		22.6		WBAN	0-20500-0-23046	las cruces	111.7	32.3122222	-106.7777778						[33.23, 33.23]	[-107.27, -107.27]	era5.conv._72271	era5_1	19850201	19850201	72271	0-20000-0-72271	[36, 38, 39, 85, 104, 105, 106, 107, 117]
10	10		ENGLE CAA AIRPORT	33.23	-107.02	1477.9752				23046	19460801.0	19460831.0		23.3		WBAN	0-20500-0-23046	las cruces	111.7	32.3122222	-106.7777778						[33.23, 33.23]	[-107.27, -107.27]	era5.conv._72271	era5_1	19850201	19850201	72271	0-20000-0-72271	[36, 38, 39, 85, 104, 105, 106, 107, 117]
11	11		ENGLE CAA AIRPORT	33.23	-107.02	1477.9752				23046	19460831.0	19500531.0		23.3		WBAN	0-20500-0-23046	las cruces	111.7	32.3122222	-106.7777778						[33.23, 33.23]	[-107.27, -107.27]	era5.conv._72271	era5_1	19850201	19850201	72271	0-20000-0-72271	[36, 38, 39, 85, 104, 105, 106, 107, 117]
12	12		ENGLE CAA AP	33.23	-107.02	1477.9752				23046	19410101.0	19460801.0		23.3		WBAN	0-20500-0-23046	las cruces	111.7	32.3122222	-106.7777778						[33.23, 33.23]	[-107.27, -107.27]	era5.conv._72271	era5_1	19850201	19850201	72271	0-20000-0-72271	[36, 38, 39, 85, 104, 105, 106, 107, 117]
0	0															CHUAN	0-20400-0-nan	las cruces	111.7	32.3122222	-106.7777778						[33.23, 33.23]	[-107.27, -107.27]	era5.conv._72271	era5_1	19850201	19850201	72271	0-20000-0-72271	[36, 38, 39, 85, 104, 105, 106, 107, 117]
0	0															SCHROEDER	0-20600-0-nan	las cruces	111.7	32.3122222	-106.7777778						[33.23, 33.23]	[-107.27, -107.27]	era5.conv._72271	era5_1	19850201	19850201	72271	0-20000-0-72271	[36, 38, 39, 85, 104, 105, 106, 107, 117]
0	0															WMO	0-20700-0-nan	las cruces	111.7	32.3122222	-106.7777778						[33.23, 33.23]	[-107.27, -107.27]	era5.conv._72271	era5_1	19850201	19850201	72271	0-20000-0-72271	[36, 38, 39, 85, 104, 105, 106, 107, 117]
