level_0	index	WIGOS	station_name	latitude	longitude	elevation	ObsRems	original_lat	original_lon	station_id	start_date	end_date	isRadio	distance_km	distance_km_minusLat	WIGOS_calc	inventory	city	city_dist_km	city_lat	city_lon	station_id_igra	WMO_id	Unnamed: 0	date_min	date_max	lat_file	lon_file	file	file_dataset	file_min_date	file_max_date	file_statid	WIGOS_best	variables
0	0																OSCAR	cibadak	4.6	-6.536389	106.770278						[-6.5, -6.5]	[106.75, 106.75]	era5.conv._96753	era5_1	19800522	19840403	96753	0-20400-0-4789	[104, 105, 106, 107, 117]
0	0															0-20300-0-nan	IGRA2	cibadak	4.6	-6.536389	106.770278						[-6.5, -6.5]	[106.75, 106.75]	era5.conv._96753	era5_1	19800522	19840403	96753	0-20400-0-4789	[104, 105, 106, 107, 117]
0	0															0-20500-0-nan	WBAN	cibadak	4.6	-6.536389	106.770278						[-6.5, -6.5]	[106.75, 106.75]	era5.conv._96753	era5_1	19800522	19840403	96753	0-20400-0-4789	[104, 105, 106, 107, 117]
0	0		Depok	-6.37	106.83	104				4789	-999-999	-999-999		16.9		0-20400-0-4789	CHUAN	cibadak	4.6	-6.536389	106.770278		-999				[-6.5, -6.5]	[106.75, 106.75]	era5.conv._96753	era5_1	19800522	19840403	96753	0-20400-0-4789	[104, 105, 106, 107, 117]
1	1		Depok	-6.37	106.83	104				5490	-999-999	-999-999		16.9		0-20400-0-5490	CHUAN	cibadak	4.6	-6.536389	106.770278		-999				[-6.5, -6.5]	[106.75, 106.75]	era5.conv._96753	era5_1	19800522	19840403	96753	0-20400-0-4789	[104, 105, 106, 107, 117]
2	2		Pasar Rebo	-6.33	106.87	104				5491	-999-999	-999-999		23.0		0-20400-0-5491	CHUAN	cibadak	4.6	-6.536389	106.770278		-999				[-6.5, -6.5]	[106.75, 106.75]	era5.conv._96753	era5_1	19800522	19840403	96753	0-20400-0-4789	[104, 105, 106, 107, 117]
0	0		Bogor, Java, Indonesia	-6.579	106.787	-999				96751				9.6		0-20600-0-96751	SCHROEDER	cibadak	4.6	-6.536389	106.770278		96751	4004.0	2010-01-16 00:00:00	2010-01-16 00:00:00	[-6.5, -6.5]	[106.75, 106.75]	era5.conv._96753	era5_1	19800522	19840403	96753	0-20400-0-4789	[104, 105, 106, 107, 117]
1	1		Bogor - Atang Sendjaja Air Force Base, Java, Indonesia	-6.55	106.9	-999				96755				17.5		0-20600-0-96755	SCHROEDER	cibadak	4.6	-6.536389	106.770278		96755	4006.0	1975-03-15 00:00:00	1990-06-06 00:00:00	[-6.5, -6.5]	[106.75, 106.75]	era5.conv._96753	era5_1	19800522	19840403	96753	0-20400-0-4789	[104, 105, 106, 107, 117]
2	2		(made up station ID) Serpong - PUSPIPTEK 1357.5 MHz wind profiler, Java, Indonesia	-6.36	106.67	-999				96754				17.8		0-20600-0-96754	SCHROEDER	cibadak	4.6	-6.536389	106.770278		96754	4005.0	1992-11-02 00:00:00	2010-01-15 00:00:00	[-6.5, -6.5]	[106.75, 106.75]	era5.conv._96753	era5_1	19800522	19840403	96753	0-20400-0-4789	[104, 105, 106, 107, 117]
0	0		DARMAGA BOGOR            	-6.5	106.75	-999.0				96I10				0.0		0-20700-0-96I10	WMO	cibadak	4.6	-6.536389	106.770278		96I10	3245.0			[-6.5, -6.5]	[106.75, 106.75]	era5.conv._96753	era5_1	19800522	19840403	96753	0-20400-0-4789	[104, 105, 106, 107, 117]
1	1		CIBINONG                 	-6.466666666666667	106.86666666666666	-999.0				96I08				13.4		0-20700-0-96I08	WMO	cibadak	4.6	-6.536389	106.770278		96I08	3244.0			[-6.5, -6.5]	[106.75, 106.75]	era5.conv._96753	era5_1	19800522	19840403	96753	0-20400-0-4789	[104, 105, 106, 107, 117]
2	2		STA. KLIMATOLOGI CILEDUG 	-6.266666666666667	106.66666666666669	-999.0				96I29				27.4		0-20700-0-96I29	WMO	cibadak	4.6	-6.536389	106.770278		96I29	3253.0			[-6.5, -6.5]	[106.75, 106.75]	era5.conv._96753	era5_1	19800522	19840403	96753	0-20400-0-4789	[104, 105, 106, 107, 117]
3	3		JAKARTA (HALIM P.K.)     	-6.25	106.83333333333331	-999.0				96747				29.1		0-20700-0-96747	WMO	cibadak	4.6	-6.536389	106.770278		96747	1661.0			[-6.5, -6.5]	[106.75, 106.75]	era5.conv._96753	era5_1	19800522	19840403	96753	0-20400-0-4789	[104, 105, 106, 107, 117]
4	4		HALIM PERDANA KUSUMA     	-6.266666666666667	106.88333333333334	-999.0				96J06				29.7		0-20700-0-96J06	WMO	cibadak	4.6	-6.536389	106.770278		96J06	3256.0			[-6.5, -6.5]	[106.75, 106.75]	era5.conv._96753	era5_1	19800522	19840403	96753	0-20400-0-4789	[104, 105, 106, 107, 117]
