era5.conv._40570	[17.6, 29.12]	[44.42, 46.67]	[18, 9]
era5.conv._98321	[6.33, 16.33]	[120.57, 120.57]	[99, 20]
era5.conv._96937	[-7.22, -7.22]	[113.72, 112.72]	[70, 5]
era5.conv._09291	[53.03, 53.03]	[13.0, 14.0]	[117, 15]
era5.conv._01006	[69.07, 78.23]	[15.18, 22.78]	[108, 36]
era5.conv._82010	[-11.02, 40.65]	[-68.73, -4.7]	[171, 10]
era5.conv._41350	[15.43, -0.7]	[45.33, 73.15]	[549, 207]
era5.conv._78458	[19.75, 23.217]	[-70.55, -106.411]	[576, 45]
era5.conv._94387	[-24.52, -24.87]	[152.21, 152.33]	[85, 40]
era5.conv._89059	[-63.32, -63.32]	[-57.9, -56.68]	[225, 180]
era5.conv._40420	[25.55, 25.28]	[49.63, 49.48]	[378, 15]
era5.conv._40858	[23.98, 28.95]	[50.83, 50.83]	[135, 63]
era5.conv._40740	[36.85, 37.07]	[54.27, 58.5]	[90, 37]
era5.conv._72309	[34.85, 34.85, 0.34, 34.54]	[-76.88, -76.88, -0.76, -76.53]	[815, 144, 54]
era5.conv._48501	[11.78, 11.47]	[102.88, 102.52]	[80, 5]
era5.conv._94204	[-16.4, -16.24, -16.38, -17.58]	[122.91, 122.55, 122.92, 123.83]	[187, 60, 35, 18]
era5.conv._80021	[46.3, 43.43]	[11.78, -3.82]	[171, 5]
era5.conv._60285	[28.0, 28.45]	[-10.93, -11.15]	[35, 30]
era5.conv._09001	[54.7, 40.8]	[7.17, -73.3]	[837, 15]
era5.conv._06465	[51.0, 50.0]	[5.07, 5.07]	[200, 117]
era5.conv._48374	[16.43, 16.77]	[101.15, 101.25]	[468, 10]
era5.conv._43271	[13.53, 13.31]	[78.5, 78.3]	[256, 149]
era5.conv._94368	[-21.1, -20.05]	[149.11, 148.9]	[1018, 207]
era5.conv._41941	[22.35, 22.27, 22.27, 23.27]	[91.82, 91.82, 91.82, 90.7]	[75, 35, 24]
era5.conv._48955	[15.13, 15.12, 5.38]	[105.78, 105.78, 103.1]	[387, 99, 5]
era5.conv._47770	[34.41, 34.68]	[135.11, 135.18]	[369, 27]
era5.conv._42042	[33.98, 33.58]	[74.78, 74.47]	[1560, 20]
era5.conv._40560	[21.48, 21.28]	[40.53, 40.32]	[239, 40]
era5.conv._30954	[50.27, 50.68]	[113.28, 113.58]	[6975, 567]
era5.conv._94321	[-21.25, -22.16]	[132.61, 131.47]	[126, 35]
era5.conv._59997	[10.38, 10.72]	[114.37, 115.83]	[2070, 48]
era5.conv._62441	[30.6, 27.05]	[32.28, 27.47]	[162, 65]
era5.conv._40449	[23.58, 25.35, 25.35, 25.33]	[58.28, 55.38, 55.38, 55.52]	[99, 98, 40]
era5.conv._60770	[33.35, 33.35, 33.35]	[10.98, 10.48, 10.48]	[6959, 90]
era5.conv._41852	[25.75, 25.44, 26.02]	[89.25, 89.14, 88.4]	[14185, 505, 65]
era5.conv._71851	[49.9, 49.9]	[-98.27, -96.3]	[4625, 2840]
era5.conv._41712	[28.88, 28.52]	[64.4, 64.24]	[41662, 485]
era5.conv._40597	[12.83, 12.5, 28.22]	[45.03, 45.02, 36.35]	[113314, 2663, 25]
era5.conv._71033	[57.25, 50.28]	[-105.6, -119.27]	[57134, 2086]
era5.conv._41516	[15.51, 35.92]	[107.57, 74.33]	[500, 15]
era5.conv._41685	[29.88, 29.53]	[69.72, 69.3]	[13578, 615]
era5.conv._41660	[23.22, 30.25]	[85.19, 66.88]	[454, 10]
era5.conv._41917	[23.77, 23.76, 23.78, 23.46]	[90.38, 90.38, 90.38, 90.22]	[101682, 6325, 2304, 1350]
era5.conv._48580	[6.47, 6.91, 6.78, 6.78]	[101.1, 100.41, 101.17, 101.15]	[543, 40, 25, 15]
era5.conv._55664	[28.63, 28.58, 28.63]	[87.08, 86.62, 87.08]	[71478, 1566]
era5.conv._48602	[5.46, 5.47, -5.47]	[100.38, 100.38, 100.38]	[2659, 2454, 762]
era5.conv._41940	[22.35, 22.35, 22.35, 22.21]	[91.82, 91.81, 91.82, 91.49]	[78237, 1126, 958]
era5.conv._64654	[8.4, 8.4, 8.07, 8.4]	[20.65, 20.65, 20.65, 20.65]	[28296, 8593]
era5.conv._70267	[64.0, 63.6]	[-145.73, -145.78]	[40572, 17039]
era5.conv._41710	[28.82, 28.49]	[62.75, 62.44]	[31514, 740]
era5.conv._71069	[55.3, 55.3]	[-114.28, -114.78]	[410281, 40460]
era5.conv._97120	[-2.5, -3.55]	[119.0, 118.98]	[571635, 197370]
era5.conv._15300	[45.67, 45.67, 45.7]	[24.93, 24.93, 25.53]	[10692, 1494]
era5.conv._56079	[33.33, 33.58]	[102.72, 102.97]	[20313, 1604]
era5.conv._71194	[40.0, 44.737, 44.737]	[-50.0, -63.647, -63.647]	[40410, 3618]
era5.conv._42423	[26.73, 26.07]	[94.17, 90.17]	[19852, 6305]
era5.conv._61997	[-46.5, -46.43, -7.3]	[51.0, 51.87, 72.4]	[2381, 1114, 70]
era5.conv._96845	[-7.86, -7.87, -7.51, -7.31, -7.87]	[110.91, 110.92, 110.76, 110.46, 110.92]	[103641, 925, 620, 400]
era5.conv._71117	[40.0, 43.964, 44.232, 46.266, 46.266]	[-50.0, -79.573, -79.78, -79.418, -79.418]	[53325, 11990, 704, 335]
era5.conv._71146	[53.73, 49.903, 53.548, 49.903]	[-105.27, 97.212, -114.109, -97.212]	[227487, 7565, 2499, 1345]
era5.conv._48694	[1.36, 1.37, 1.3, 1.22, 1.37]	[103.91, 103.92, 103.9, 103.55, 103.92]	[329564, 32913, 24456, 6168]
era5.conv._93246	[-38.12, -38.12, -23.35]	[176.32, 176.32, -149.48]	[58461, 2783]
era5.conv._41744	[27.83, 27.5, 6.53, 27.83]	[66.63, 66.38, 122.03, 66.63]	[26379, 525, 15]
era5.conv._41932	[22.72, 22.7, 22.7, 22.42, 22.7]	[90.37, 90.31, 90.32, 90.22, 90.32]	[28880, 16410, 625, 210]
era5.conv._41858	[24.85, 24.5, 25.75]	[89.37, 89.22, 88.92]	[73061, 1940, 25]
era5.conv._41900	[24.9, 24.53]	[91.88, 91.52]	[39833, 535]
era5.conv._55228	[32.5, 32.5, 32.12]	[80.08, 80.08, 80.07]	[146160, 2186]
era5.conv._56173	[32.82, 31.85, 32.82, 31.85]	[102.85, 102.7, 102.85, 102.7]	[96831, 5779]
era5.conv._53083	[44.62, 44.68]	[114.15, 113.7]	[210663, 6714]
era5.conv._62462	[27.28, 27.28, 27.28, 27.23, 27.78]	[33.77, 33.76, 33.77, 33.83, 33.77]	[65484, 29373, 7587, 6530]
era5.conv._59345	[23.0, 23.52, 23.52, 23.57]	[120.22, 119.57, 119.57, 119.6]	[189919, 24072, 7992]
era5.conv._91941	[-14.97, -45.97]	[-147.67, 147.67]	[211044, 6895]
era5.conv._97240	[-8.57, -8.34, -8.57, -8.53, -8.75, -8.77, -8.56, -8.533]	[116.07, 116.03, 116.07, 116.07, 116.27, 116.28, 116.09, 116.067]	[334778, 320765, 243230, 180685, 49060, 12205, 30]
era5.conv._40689	[30.56, 30.57, 30.33]	[47.78, 47.78, 47.47]	[17729, 7530, 805]
era5.conv._60769	[33.58, 33.87]	[10.78, 10.77]	[315739, 280667]
era5.conv._96655	[-1.0, -2.22, -2.23, -2.23]	[114.0, 114.0, 113.94, 113.95]	[402965, 392030, 66405, 21300]
era5.conv._74732	[32.85, 32.51]	[-106.1, -106.05]	[343656, 51714]
era5.conv._74002	[39.5, 39.5, 39.5, 39.5, 39.5, 39.45]	[-76.07, -76.57, -76.17, -76.56, -76.167, -76.167]	[1915201, 156586, 143622, 103833, 12546, 720]
era5.conv._71124	[54.8, 54.75, 53.55]	[-110.08, -110.05, -114.1]	[430691, 77239, 585]
era5.conv._74724	[32.43, 32.93]	[-112.68, -112.7]	[560520, 91255]
era5.conv._60549	[33.52, 34.93, 34.52, 33.58]	[-0.33, -0.43, -0.28, -0.28]	[568089, 267427, 126162, 15395]
era5.conv._41950	[21.43, 21.45, 22.75, 22.72]	[91.97, 91.98, 90.37, 90.37]	[333765, 182772, 26034, 5535]
era5.conv._51886	[38.37, 38.37, 38.25]	[90.15, 90.15, 90.85]	[453429, 112023]
era5.conv._98328	[16.41, 16.42, 16.42, 16.25, 16.4, 16.25, 16.404, 16.375, 0.22]	[120.6, 120.6, 120.6, 120.36, 120.6, 120.36, 120.601, 120.619, 10.24]	[3086782, 1602018, 184029, 52816, 5305, 4877, 1053]
era5.conv._67666	[-15.42, -14.45, -15.42]	[28.32, 28.47, 28.47]	[618495, 22758, 819]
era5.conv._96171	[-0.43, -0.35, -0.2, -0.43, 0.47, 0.33, -0.33, -0.35]	[102.45, 102.33, 102.19, 102.45, 102.32, 102.32, 102.32, 102.33]	[281928, 228915, 215220, 89170, 50, 40]
era5.conv._68240	[-24.22, -24.55]	[25.92, 25.92]	[714142, 527300]
era5.conv._60559	[33.5, 35.5, 33.5]	[6.78, 6.12, 6.12]	[896049, 340985, 75689]
era5.conv._03317	[52.57, 53.57]	[-3.05, -3.05]	[1189314, 657801]
