file_statid	station_id	station_name	latitude	longitude	elevation	original_lat	original_lon	distance_km	lat_file	lon_file	inventory	WIGOS	WMO_id	WIGOS_calc	file_min_date	file_max_date	start_date	end_date	isRadio	WIGOS_best	city	variables
1:72554	72554	OMAHA/OFFUTT AFB,  NE.	41.11666666666667	-95.9	315.0	41 07 00N	095 54 00W	0.4	[41.12, 41.12]	[-95.9, -95.9]	OSCAR	0-20000-0-72554		0-20000-0-72554	19481115	19540516	999	999	False	0-20000-0-72554	bellevue	[104, 105, 106, 107]
1:72554	72550	EPPLEY FIELD, OMAHA,  NE.	41.3	-95.9	299.0	41 18 00N	095 54 00W	20.0	[41.12, 41.12]	[-95.9, -95.9]	OSCAR	0-20000-0-72550		0-20000-0-72550	19481115	19540516	999	999	False	0-20000-0-72554	bellevue	[104, 105, 106, 107]
1:72554	72553	OMAHA, NE.	41.36666666666667	-96.01666666666667	406.0	41 22 00N	096 01 00W	29.1	[41.12, 41.12]	[-95.9, -95.9]	OSCAR	0-20000-0-72553		0-20000-0-72553	19481115	19540516	999	999	False	0-20000-0-72554	bellevue	[104, 105, 106, 107]
1:72554	14903	FORT OMAHA	41.3167	-95.95	345.9			22.2	[41.12, 41.12]	[-95.9, -95.9]	IGRA2			0-20300-0-14903	19481115	19540516	1918	1921	True	0-20000-0-72554	bellevue	[104, 105, 106, 107]
1:72554	14949	BELLEVUE OFFUTT AFB	41.12	-95.9	313.944			0.0	[41.12, 41.12]	[-95.9, -95.9]	WBAN		72554.0	0-20500-0-14949	19481115	19540516	19760101	19910201		0-20000-0-72554	bellevue	[104, 105, 106, 107]
1:72554	14949	BELLEVUE OFFUTT AFB	41.12	-95.9	312.1152			0.0	[41.12, 41.12]	[-95.9, -95.9]	WBAN			0-20500-0-14949	19481115	19540516	19570101	19620101		0-20000-0-72554	bellevue	[104, 105, 106, 107]
1:72554	14949	BELLEVUE OFFUTT AFB	41.12	-95.9	323.088			0.0	[41.12, 41.12]	[-95.9, -95.9]	WBAN			0-20500-0-14949	19481115	19540516	19520101	19570101		0-20000-0-72554	bellevue	[104, 105, 106, 107]
1:72554	14949	BELLEVUE OFFUTT AFB	41.12	-95.9	313.944			0.0	[41.12, 41.12]	[-95.9, -95.9]	WBAN			0-20500-0-14949	19481115	19540516	19480101	19520101		0-20000-0-72554	bellevue	[104, 105, 106, 107]
1:72554	14949	BELLEVUE OFFUTT AFB	41.12	-95.92	319.1256			1.7	[41.12, 41.12]	[-95.9, -95.9]	WBAN		72554.0	0-20500-0-14949	19481115	19540516	19950101	99991231		0-20000-0-72554	bellevue	[104, 105, 106, 107]
1:72554	14949	BELLEVUE OFFUTT AFB	41.12	-95.92	319.1256			1.7	[41.12, 41.12]	[-95.9, -95.9]	WBAN		72554.0	0-20500-0-14949	19481115	19540516	19910201	19950101		0-20000-0-72554	bellevue	[104, 105, 106, 107]
