level_0	index	WIGOS	station_name	latitude	longitude	elevation	ObsRems	original_lat	original_lon	station_id	start_date	end_date	isRadio	distance_km	distance_km_minusLat	WIGOS_calc	inventory	city	city_dist_km	city_lat	city_lon	station_id_igra	WMO_id	Unnamed: 0	date_min	date_max	GCOS	ASECNA	Frequency per day	SOP frequency	IOP frequency	Upgraded ground station	2006 Success Rate (%)	Best 2006 Monthly success (%)	min_date	max_date	files	conv_lat	conv_lon	COUNTRY	#_OF _SOUNDINGS	YEARS	lat_file	lon_file	file	file_dataset	file_min_date	file_max_date	file_statid	WIGOS_best	variables	kind
0	0																OSCAR	lakeland	8.1	28.03916670000001	-81.95																						[28.0, 28.0]	[-82.02, -82.02]	era5.conv._2:12808	era5_2	19430617	19450331	2:12808	0-20500-0-12808	[104, 105, 106, 107]	identified
0	0															0-20300-0-nan	IGRA2	lakeland	8.1	28.03916670000001	-81.95																						[28.0, 28.0]	[-82.02, -82.02]	era5.conv._2:12808	era5_2	19430617	19450331	2:12808	0-20500-0-12808	[104, 105, 106, 107]	identified
0	0		LAKELAND	28.0	-82.02	42.062400000000004				12808.0	19420801.0	19450331.0		0.0		0-20500-0-12808	WBAN	lakeland	8.1	28.03916670000001	-81.95																						[28.0, 28.0]	[-82.02, -82.02]	era5.conv._2:12808	era5_2	19430617	19450331	2:12808	0-20500-0-12808	[104, 105, 106, 107]	identified
1	1		LAKELAND LINDER AP	28.0	-82.02	45.110400000000006				12883.0	19790201.0	19800831.0		0.0		0-20500-0-12883	WBAN	lakeland	8.1	28.03916670000001	-81.95																						[28.0, 28.0]	[-82.02, -82.02]	era5.conv._2:12808	era5_2	19430617	19450331	2:12808	0-20500-0-12808	[104, 105, 106, 107]	identified
2	2		LAKELAND	28.0	-82.02	42.062400000000004				12808.0	19420501.0	19420801.0		0.0		0-20500-0-12808	WBAN	lakeland	8.1	28.03916670000001	-81.95																						[28.0, 28.0]	[-82.02, -82.02]	era5.conv._2:12808	era5_2	19430617	19450331	2:12808	0-20500-0-12808	[104, 105, 106, 107]	identified
3	3		LAKELAND LINDER AP	28.0	-82.05	45.110400000000006				12883.0	19950101.0	99991231.0		3.0		0-20500-0-12883	WBAN	lakeland	8.1	28.03916670000001	-81.95																						[28.0, 28.0]	[-82.02, -82.02]	era5.conv._2:12808	era5_2	19430617	19450331	2:12808	0-20500-0-12808	[104, 105, 106, 107]	identified
4	4		LAKELAND LINDER AP	28.0	-82.05	45.110400000000006				12883.0	19811231.0	19950101.0		3.0		0-20500-0-12883	WBAN	lakeland	8.1	28.03916670000001	-81.95																						[28.0, 28.0]	[-82.02, -82.02]	era5.conv._2:12808	era5_2	19430617	19450331	2:12808	0-20500-0-12808	[104, 105, 106, 107]	identified
5	5		LAKELAND LINDER AP	28.0	-82.05	45.110400000000006				12883.0	19810801.0	19811231.0		3.0		0-20500-0-12883	WBAN	lakeland	8.1	28.03916670000001	-81.95																						[28.0, 28.0]	[-82.02, -82.02]	era5.conv._2:12808	era5_2	19430617	19450331	2:12808	0-20500-0-12808	[104, 105, 106, 107]	identified
6	6		LAKELAND WB CITY	28.03	-81.95	73.152				12883.0	19490201.0	19720701.0		7.6		0-20500-0-12883	WBAN	lakeland	8.1	28.03916670000001	-81.95																						[28.0, 28.0]	[-82.02, -82.02]	era5.conv._2:12808	era5_2	19430617	19450331	2:12808	0-20500-0-12808	[104, 105, 106, 107]	identified
7	7		LAKELAND WSO CITY	28.03	-81.95	73.152				12883.0	19720701.0	19760101.0		7.6		0-20500-0-12883	WBAN	lakeland	8.1	28.03916670000001	-81.95																						[28.0, 28.0]	[-82.02, -82.02]	era5.conv._2:12808	era5_2	19430617	19450331	2:12808	0-20500-0-12808	[104, 105, 106, 107]	identified
8	8		LAKELAND WSO CITY	28.03	-81.95	64.92240000000001				12883.0	19760101.0	19780831.0		7.6		0-20500-0-12883	WBAN	lakeland	8.1	28.03916670000001	-81.95																						[28.0, 28.0]	[-82.02, -82.02]	era5.conv._2:12808	era5_2	19430617	19450331	2:12808	0-20500-0-12808	[104, 105, 106, 107]	identified
9	9		LAKELAND LINDER AP	28.03	-81.95	73.152				12883.0	19400101.0	19480701.0		7.6		0-20500-0-12883	WBAN	lakeland	8.1	28.03916670000001	-81.95																						[28.0, 28.0]	[-82.02, -82.02]	era5.conv._2:12808	era5_2	19430617	19450331	2:12808	0-20500-0-12808	[104, 105, 106, 107]	identified
10	10		LAKELAND LINDER AP	28.03	-81.95	67.056				12883.0	19351101.0	19400101.0		7.6		0-20500-0-12883	WBAN	lakeland	8.1	28.03916670000001	-81.95																						[28.0, 28.0]	[-82.02, -82.02]	era5.conv._2:12808	era5_2	19430617	19450331	2:12808	0-20500-0-12808	[104, 105, 106, 107]	identified
11	11		LAKELAND WB CITY	28.03	-81.95	73.152				12883.0	19480701.0	19480731.0		7.6		0-20500-0-12883	WBAN	lakeland	8.1	28.03916670000001	-81.95																						[28.0, 28.0]	[-82.02, -82.02]	era5.conv._2:12808	era5_2	19430617	19450331	2:12808	0-20500-0-12808	[104, 105, 106, 107]	identified
12	12		LAKELAND WB CITY	28.03	-81.95	73.152				12883.0	19480731.0	19490201.0		7.6		0-20500-0-12883	WBAN	lakeland	8.1	28.03916670000001	-81.95																						[28.0, 28.0]	[-82.02, -82.02]	era5.conv._2:12808	era5_2	19430617	19450331	2:12808	0-20500-0-12808	[104, 105, 106, 107]	identified
13	13		LAKELAND	28.08	-81.92	49.0728				12837.0	19361101.0	19480331.0		13.2		0-20500-0-12837	WBAN	lakeland	8.1	28.03916670000001	-81.95																						[28.0, 28.0]	[-82.02, -82.02]	era5.conv._2:12808	era5_2	19430617	19450331	2:12808	0-20500-0-12808	[104, 105, 106, 107]	identified
14	14		LAKELAND	28.08	-81.92	49.0728				12837.0	19480331.0	19750101.0		13.2		0-20500-0-12837	WBAN	lakeland	8.1	28.03916670000001	-81.95																						[28.0, 28.0]	[-82.02, -82.02]	era5.conv._2:12808	era5_2	19430617	19450331	2:12808	0-20500-0-12808	[104, 105, 106, 107]	identified
15	15		LAKELAND	28.08	-81.92	49.0728				12837.0	19750101.0	19781231.0		13.2		0-20500-0-12837	WBAN	lakeland	8.1	28.03916670000001	-81.95																						[28.0, 28.0]	[-82.02, -82.02]	era5.conv._2:12808	era5_2	19430617	19450331	2:12808	0-20500-0-12808	[104, 105, 106, 107]	identified
16	16		BARTOW MUNICIPAL ARP	27.95	-81.78	39.9288				12809.0	19451130.0	19550101.0		24.3		0-20500-0-12809	WBAN	lakeland	8.1	28.03916670000001	-81.95																						[28.0, 28.0]	[-82.02, -82.02]	era5.conv._2:12808	era5_2	19430617	19450331	2:12808	0-20500-0-12808	[104, 105, 106, 107]	identified
17	17		BARTOW MUNICIPAL ARP	27.95	-81.78	39.9288				12809.0	19440401.0	19451130.0		24.3		0-20500-0-12809	WBAN	lakeland	8.1	28.03916670000001	-81.95																						[28.0, 28.0]	[-82.02, -82.02]	era5.conv._2:12808	era5_2	19430617	19450331	2:12808	0-20500-0-12808	[104, 105, 106, 107]	identified
18	18		BARTOW MUNICIPAL ARP	27.95	-81.78	39.9288				12809.0	19431231.0	19440401.0		24.3		0-20500-0-12809	WBAN	lakeland	8.1	28.03916670000001	-81.95																						[28.0, 28.0]	[-82.02, -82.02]	era5.conv._2:12808	era5_2	19430617	19450331	2:12808	0-20500-0-12808	[104, 105, 106, 107]	identified
19	19		BARTOW MUNICIPAL ARP	27.95	-81.78	39.9288				12809.0	19430901.0	19431231.0		24.3		0-20500-0-12809	WBAN	lakeland	8.1	28.03916670000001	-81.95																						[28.0, 28.0]	[-82.02, -82.02]	era5.conv._2:12808	era5_2	19430617	19450331	2:12808	0-20500-0-12808	[104, 105, 106, 107]	identified
20	20		BARTOW MUNICIPAL ARP	27.95	-81.78	39.9288				12809.0	19550101.0	19601231.0		24.3		0-20500-0-12809	WBAN	lakeland	8.1	28.03916670000001	-81.95																						[28.0, 28.0]	[-82.02, -82.02]	era5.conv._2:12808	era5_2	19430617	19450331	2:12808	0-20500-0-12808	[104, 105, 106, 107]	identified
21	21		WINTER HAVEN GILBERT	28.06	-81.75	44.500800000000005				12876.0	19950630.0	99991231.0		27.4		0-20500-0-12876	WBAN	lakeland	8.1	28.03916670000001	-81.95																						[28.0, 28.0]	[-82.02, -82.02]	era5.conv._2:12808	era5_2	19430617	19450331	2:12808	0-20500-0-12808	[104, 105, 106, 107]	identified
0	0															0-20400-0-nan	CHUAN	lakeland	8.1	28.03916670000001	-81.95																						[28.0, 28.0]	[-82.02, -82.02]	era5.conv._2:12808	era5_2	19430617	19450331	2:12808	0-20500-0-12808	[104, 105, 106, 107]	identified
0	0															0-20600-0-nan	SCHROEDER	lakeland	8.1	28.03916670000001	-81.95																						[28.0, 28.0]	[-82.02, -82.02]	era5.conv._2:12808	era5_2	19430617	19450331	2:12808	0-20500-0-12808	[104, 105, 106, 107]	identified
0	0															0-20700-0-nan	WMO	lakeland	8.1	28.03916670000001	-81.95																						[28.0, 28.0]	[-82.02, -82.02]	era5.conv._2:12808	era5_2	19430617	19450331	2:12808	0-20500-0-12808	[104, 105, 106, 107]	identified
0	0															0-20800-0-nan	AMMA	lakeland	8.1	28.03916670000001	-81.95																						[28.0, 28.0]	[-82.02, -82.02]	era5.conv._2:12808	era5_2	19430617	19450331	2:12808	0-20500-0-12808	[104, 105, 106, 107]	identified
0	0															0-20111-0-nan	HARA	lakeland	8.1	28.03916670000001	-81.95																						[28.0, 28.0]	[-82.02, -82.02]	era5.conv._2:12808	era5_2	19430617	19450331	2:12808	0-20500-0-12808	[104, 105, 106, 107]	identified
