level_0	index	WIGOS	station_name	latitude	longitude	elevation	ObsRems	original_lat	original_lon	station_id	start_date	end_date	isRadio	distance_km	distance_km_minusLat	inventory	WIGOS_calc	city	city_dist_km	city_lat	city_lon	station_id_igra	WMO_id	Unnamed: 0	date_min	date_max	GCOS	ASECNA	Frequency per day	SOP frequency	IOP frequency	Upgraded ground station	2006 Success Rate (%)	Best 2006 Monthly success (%)	min_date	max_date	files	conv_lat	conv_lon	COUNTRY	#_OF _SOUNDINGS	YEARS	kind
0	0		TOPEKA (FORBES AFB)	38.95	-95.6667	324.3				13920	1943.0	1945.0	True	0.3		IGRA2	0-20300-0-13920	topeka	10.9	39.0483333	-95.6777778	USW00013920																					inconsistentCoordinates
1	2		TOPEKA/MUN.	39.0722	-95.6306	268.1				72456	1953.0	2021.0	True	14.0		IGRA2	0-20300-0-72456	topeka	10.9	39.0483333	-95.6777778	USM00072456																					inconsistentCoordinates
0	0	0-20000-0-72456	TOPEKA/MUN., KS.	39.07222222222222	-95.63055555555555	268.6	Upper-air / Radiosonde station, Surface land meteorological station (SYNOP), GOS, RBSN(ST)	39 04 20N	095 37 50W	72456	999.0	999.0	True	14.0		OSCAR	0-20000-0-72456	topeka	10.9	39.0483333	-95.6777778																						inconsistentCoordinates
0	0		Topeka kite station, KS	39.02	-95.67	-999.0				72456				7.8		SCHROEDER	0-20600-0-72456	topeka	10.9	39.0483333	-95.6777778		72456	2534.0	1898-04-01 00:00:00	1998-06-01 00:00:00																	inconsistentCoordinates
0	0		TOPEKA FORBES FIELD	38.95	-95.67	324.9168				13920	19530101.0	19560101.0		0.0		WBAN	0-20500-0-13920	topeka	10.9	39.0483333	-95.6777778																						inconsistentCoordinates
1	1		TOPEKA FORBES FIELD	38.95	-95.67	326.4408				13920	19970425.0	19971119.0		0.0		WBAN	0-20500-0-13920	topeka	10.9	39.0483333	-95.6777778																						inconsistentCoordinates
2	2		TOPEKA FORBES FIELD	38.95	-95.67	329.184				13920	19950101.0	19970425.0		0.0		WBAN	0-20500-0-13920	topeka	10.9	39.0483333	-95.6777778																						inconsistentCoordinates
3	3		TOPEKA FORBES FIELD	38.95	-95.67	329.184				13920	19940106.0	19950101.0		0.0		WBAN	0-20500-0-13920	topeka	10.9	39.0483333	-95.6777778																						inconsistentCoordinates
4	4		TOPEKA FORBES FIELD	38.95	-95.67	336.49920000000003				13920	19790101.0	19940106.0		0.0		WBAN	0-20500-0-13920	topeka	10.9	39.0483333	-95.6777778																						inconsistentCoordinates
5	5		TOPEKA FORBES FIELD	38.95	-95.67	337.41360000000003				13920	19780415.0	19790101.0		0.0		WBAN	0-20500-0-13920	topeka	10.9	39.0483333	-95.6777778																						inconsistentCoordinates
6	6		TOPEKA FORBES FIELD	38.95	-95.67	324.3072				13920	19610101.0	19780415.0		0.0		WBAN	0-20500-0-13920	topeka	10.9	39.0483333	-95.6777778																						inconsistentCoordinates
7	7		TOPEKA FORBES FIELD	38.95	-95.67	332.5368				13920	19580101.0	19610101.0		0.0		WBAN	0-20500-0-13920	topeka	10.9	39.0483333	-95.6777778																						inconsistentCoordinates
8	8		TOPEKA FORBES FIELD	38.95	-95.67	337.10880000000003				13920	19560101.0	19580101.0		0.0		WBAN	0-20500-0-13920	topeka	10.9	39.0483333	-95.6777778																						inconsistentCoordinates
9	9		TOPEKA FORBES FIELD	38.95	-95.67	327.9648				13920	19480101.0	19491231.0		0.0		WBAN	0-20500-0-13920	topeka	10.9	39.0483333	-95.6777778																						inconsistentCoordinates
10	10		TOPEKA FORBES FIELD	38.95	-95.67	328.5744				13920	19510301.0	19530101.0		0.0		WBAN	0-20500-0-13920	topeka	10.9	39.0483333	-95.6777778																						inconsistentCoordinates
11	11		TOPEKA FORBES FIELD	38.95	-95.67	324.3072				13920	19420901.0	19480101.0		0.0		WBAN	0-20500-0-13920	topeka	10.9	39.0483333	-95.6777778																						inconsistentCoordinates
12	12		TOPEKA FORBES FIELD	38.95	-95.66	326.4408				13920	19971119.0	99991231.0		0.9		WBAN	0-20500-0-13920	topeka	10.9	39.0483333	-95.6777778																						inconsistentCoordinates
13	13		TOPEKA WB CITY	39.05	-95.67	301.1424				93964	19480831.0	19481231.0		11.1		WBAN	0-20500-0-93964	topeka	10.9	39.0483333	-95.6777778																						inconsistentCoordinates
14	14		TOPEKA	39.05	-95.67	281.94				93964	19580531.0	19591231.0		11.1		WBAN	0-20500-0-93964	topeka	10.9	39.0483333	-95.6777778																						inconsistentCoordinates
15	15		TOPEKA	39.05	-95.67	301.1424				93964	19470101.0	19480801.0		11.1		WBAN	0-20500-0-93964	topeka	10.9	39.0483333	-95.6777778																						inconsistentCoordinates
16	16		TOPEKA	39.05	-95.67	301.1424				93964	19460831.0	19470101.0		11.1		WBAN	0-20500-0-93964	topeka	10.9	39.0483333	-95.6777778																						inconsistentCoordinates
17	17		TOPEKA	39.05	-95.67	301.1424				93964	19450701.0	19460831.0		11.1		WBAN	0-20500-0-93964	topeka	10.9	39.0483333	-95.6777778																						inconsistentCoordinates
18	18		TOPEKA	39.05	-95.67	301.1424				93964	19441231.0	19450701.0		11.1		WBAN	0-20500-0-93964	topeka	10.9	39.0483333	-95.6777778																						inconsistentCoordinates
19	19		TOPEKA	39.05	-95.67	301.1424				93964	19330101.0	19441231.0		11.1		WBAN	0-20500-0-93964	topeka	10.9	39.0483333	-95.6777778																						inconsistentCoordinates
20	20		TOPEKA	39.05	-95.67	305.1048				93964	19180101.0	19330101.0		11.1		WBAN	0-20500-0-93964	topeka	10.9	39.0483333	-95.6777778																						inconsistentCoordinates
21	21		TOPEKA	39.05	-95.67	303.8856				93964	19080101.0	19180101.0		11.1		WBAN	0-20500-0-93964	topeka	10.9	39.0483333	-95.6777778																						inconsistentCoordinates
22	22		TOPEKA WB CITY	39.05	-95.67	301.1424				93964	19480801.0	19480831.0		11.1		WBAN	0-20500-0-93964	topeka	10.9	39.0483333	-95.6777778																						inconsistentCoordinates
23	23		TOPEKA WB CITY	39.05	-95.67	301.1424				93964	19481231.0	19490301.0		11.1		WBAN	0-20500-0-93964	topeka	10.9	39.0483333	-95.6777778																						inconsistentCoordinates
24	24		TOPEKA	39.05	-95.67	301.1424				93964	18920601.0	19080101.0		11.1		WBAN	0-20500-0-93964	topeka	10.9	39.0483333	-95.6777778																						inconsistentCoordinates
25	25		TOPEKA WB CITY	39.05	-95.67	281.94				93964	19510101.0	19580501.0		11.1		WBAN	0-20500-0-93964	topeka	10.9	39.0483333	-95.6777778																						inconsistentCoordinates
26	26		TOPEKA WB CITY	39.05	-95.67	281.94				93964	19580501.0	19580531.0		11.1		WBAN	0-20500-0-93964	topeka	10.9	39.0483333	-95.6777778																						inconsistentCoordinates
27	27		TOPEKA WB CITY	39.05	-95.67	301.1424				93964	19490301.0	19501231.0		11.1		WBAN	0-20500-0-93964	topeka	10.9	39.0483333	-95.6777778																						inconsistentCoordinates
28	28		TOPEKA BILLARD MUNI AP	39.07	-95.64	269.1384				13996	20000516.0	99991231.0		13.6		WBAN	0-20500-0-13996	topeka	10.9	39.0483333	-95.6777778		72456.0																				inconsistentCoordinates
29	29		TOPEKA MUNI ARPT	39.07	-95.63	267.9192				13996	19320101.0	19340228.0		13.8		WBAN	0-20500-0-13996	topeka	10.9	39.0483333	-95.6777778																						inconsistentCoordinates
30	30		TOPEKA MUNI ARPT	39.07	-95.63	267.9192				13996	19340228.0	19440101.0		13.8		WBAN	0-20500-0-13996	topeka	10.9	39.0483333	-95.6777778																						inconsistentCoordinates
31	31		TOPEKA MUNI ARPT	39.07	-95.63	267.9192				13996	19440101.0	19440218.0		13.8		WBAN	0-20500-0-13996	topeka	10.9	39.0483333	-95.6777778																						inconsistentCoordinates
32	32		TOPEKA MUNI ARPT	39.07	-95.63	267.9192				13996	19440218.0	19460101.0		13.8		WBAN	0-20500-0-13996	topeka	10.9	39.0483333	-95.6777778																						inconsistentCoordinates
33	33		TOPEKA MUNI ARPT	39.07	-95.63	280.1112				13996	19460101.0	19470101.0		13.8		WBAN	0-20500-0-13996	topeka	10.9	39.0483333	-95.6777778																						inconsistentCoordinates
34	34		TOPEKA WSFO AIRPORT	39.07	-95.63	269.1384				13996	19950101.0	20000516.0		13.8		WBAN	0-20500-0-13996	topeka	10.9	39.0483333	-95.6777778		72456.0																				inconsistentCoordinates
35	35		TOPEKA WSFO AIRPORT	39.07	-95.63	269.4432				13996	19471101.0	19730101.0		13.8		WBAN	0-20500-0-13996	topeka	10.9	39.0483333	-95.6777778		72456.0																				inconsistentCoordinates
36	36		TOPEKA WSFO AIRPORT	39.07	-95.63	269.4432				13996	19730101.0	19920827.0		13.8		WBAN	0-20500-0-13996	topeka	10.9	39.0483333	-95.6777778		72456.0																				inconsistentCoordinates
37	37		TOPEKA WSFO AIRPORT	39.07	-95.63	269.4432				13996	19920827.0	19921201.0		13.8		WBAN	0-20500-0-13996	topeka	10.9	39.0483333	-95.6777778		72456.0																				inconsistentCoordinates
38	38		TOPEKA WSFO AIRPORT	39.07	-95.63	269.1384				13996	19921201.0	19950101.0		13.8		WBAN	0-20500-0-13996	topeka	10.9	39.0483333	-95.6777778		72456.0																				inconsistentCoordinates
39	39		TOPEKA MUNI ARPT	39.07	-95.63	269.1384				13996	19470101.0	19471101.0		13.8		WBAN	0-20500-0-13996	topeka	10.9	39.0483333	-95.6777778		72456.0																				inconsistentCoordinates
0	0		TOPEKA                   	39.06666666666667	-95.63333333333334	-999.0				72456				13.3		WMO	0-20700-0-72456	topeka	10.9	39.0483333	-95.6777778		72456	1383.0																			inconsistentCoordinates
