level_0	index	WIGOS	station_name	latitude	longitude	elevation	ObsRems	original_lat	original_lon	station_id	start_date	end_date	isRadio	distance_km	distance_km_minusLat	WIGOS_calc	inventory	city	city_dist_km	city_lat	city_lon	station_id_igra	WMO_id	Unnamed: 0	date_min	date_max	GCOS	ASECNA	Frequency per day	SOP frequency	IOP frequency	Upgraded ground station	2006 Success Rate (%)	Best 2006 Monthly success (%)	min_date	max_date	files	conv_lat	conv_lon	COUNTRY	#_OF _SOUNDINGS	YEARS	kind
1	1		CHANDLER (WILLIAMS FIELD)	33.3	-111.6667	411.8				23104	1942.0	1945.0	True	27.9		0-20300-0-23104	IGRA2	fountain hills	10.6	33.6116667	-111.71666670000002	USW00023104																					inconsistentCoordinates
0	0		PHOENIX (LUKE FIELD)	33.55	-112.3667	333.8				23111	1941.0	1945.0	True	68.4		0-20300-0-23111	IGRA2	fountain hills	10.6	33.6116667	-111.71666670000002	USW00023111																					inconsistentCoordinates
0	0		MESA FALCON FIELD	33.47	-111.73	437.69280000000003				3185	19950101.0	99991231.0		12.8		0-20500-0-3185	WBAN	fountain hills	10.6	33.6116667	-111.71666670000002																						inconsistentCoordinates
1	1		MESA FALCON FIELD	33.47	-111.73	437.69280000000003				3185	19840101.0	19950101.0		12.8		0-20500-0-3185	WBAN	fountain hills	10.6	33.6116667	-111.71666670000002																						inconsistentCoordinates
2	2		MESA FALCON FIELD	33.45	-111.72	419.1				3185	19800201.0	19840101.0		13.9		0-20500-0-3185	WBAN	fountain hills	10.6	33.6116667	-111.71666670000002																						inconsistentCoordinates
3	3		SCOTTSDALE MUNI AP	33.62	-111.91	447.75120000000004				3192	20011030.0	99991231.0		27.1		0-20500-0-3192	WBAN	fountain hills	10.6	33.6116667	-111.71666670000002																						inconsistentCoordinates
4	4		PHOENIX WILLIAMS GATEWAY AP	33.3	-111.67	412.0896				23104	19950101.0	99991231.0		28.0		0-20500-0-23104	WBAN	fountain hills	10.6	33.6116667	-111.71666670000002																						inconsistentCoordinates
5	5		SCOTTSDALE MUNI AP	33.62	-111.92	461.77200000000005				3192	19910222.0	19950101.0		28.0		0-20500-0-3192	WBAN	fountain hills	10.6	33.6116667	-111.71666670000002																						inconsistentCoordinates
6	6		SCOTTSDALE MUNI AP	33.62	-111.92	462.07680000000005				3192	19760101.0	19910222.0		28.0		0-20500-0-3192	WBAN	fountain hills	10.6	33.6116667	-111.71666670000002																						inconsistentCoordinates
7	7		SCOTTSDALE MUNI AP	33.62	-111.92	465.12480000000005				3192	19751001.0	19760101.0		28.0		0-20500-0-3192	WBAN	fountain hills	10.6	33.6116667	-111.71666670000002																						inconsistentCoordinates
8	8		PHOENIX WILLIAMS GATEWAY AP	33.3	-111.67	412.0896				23104	19940301.0	19950101.0		28.0		0-20500-0-23104	WBAN	fountain hills	10.6	33.6116667	-111.71666670000002																						inconsistentCoordinates
9	9		SCOTTSDALE MUNI AP	33.62	-111.92	461.77200000000005				3192	19950101.0	20011030.0		28.0		0-20500-0-3192	WBAN	fountain hills	10.6	33.6116667	-111.71666670000002																						inconsistentCoordinates
10	10		CHANDLER WILLIAM AFB	33.3	-111.67	412.0896				23104	19910301.0	19940301.0		28.0		0-20500-0-23104	WBAN	fountain hills	10.6	33.6116667	-111.71666670000002																						inconsistentCoordinates
11	11		CHANDLER WILLIAM AFB	33.3	-111.67	412.0896				23104	19420301.0	19910301.0		28.0		0-20500-0-23104	WBAN	fountain hills	10.6	33.6116667	-111.71666670000002																						inconsistentCoordinates
12	12		PHOENIX	33.29	-111.67	412.3944				23104	19940427.0	99991231.0		29.1		0-20500-0-23104	WBAN	fountain hills	10.6	33.6116667	-111.71666670000002																						inconsistentCoordinates
