level_0	index	WIGOS	station_name	latitude	longitude	elevation	ObsRems	original_lat	original_lon	station_id	start_date	end_date	isRadio	distance_km	distance_km_minusLat	inventory	WIGOS_calc	city	city_dist_km	city_lat	city_lon	station_id_igra	WMO_id	Unnamed: 0	date_min	date_max	GCOS	ASECNA	Frequency per day	SOP frequency	IOP frequency	Upgraded ground station	2006 Success Rate (%)	Best 2006 Monthly success (%)	min_date	max_date	files	conv_lat	conv_lon	COUNTRY	#_OF _SOUNDINGS	YEARS	lat_file	lon_file	file	file_dataset	file_min_date	file_max_date	file_statid	WIGOS_best	variables	kind
0	0	0-20000-0-81405	CAYENNE MATOURY	4.822222222222222	-52.36527777777778	9.0	Climatological station, Upper-air / Radiosonde station, Surface land meteorological station (SYNOP), GOS, GSN, CLIMAT(C), RBCN, RBSN(ST), GUAN	04 49 20N	052 21 55W	81405	999	999	True	17418.9		OSCAR	0-20000-0-81405	None	None	None	None																						[12.7, 12.7]	[143.3, 143.3]	era5.conv._2:81405	era5_2	19421015	19441113	2:81405	0-20777-0-2:81405	[104, 105, 106, 107]	noDistMatch
0	0		CAYENNE MATOURY	4.8222	-52.3653	8.0				81405	1953	2019	True	17418.9		IGRA2	0-20300-0-81405	None	None	None	None	FGM00081405																					[12.7, 12.7]	[143.3, 143.3]	era5.conv._2:81405	era5_2	19421015	19441113	2:81405	0-20777-0-2:81405	[104, 105, 106, 107]	noDistMatch
0	0															WBAN	0-20500-0-nan	None	None	None	None																						[12.7, 12.7]	[143.3, 143.3]	era5.conv._2:81405	era5_2	19421015	19441113	2:81405	0-20777-0-2:81405	[104, 105, 106, 107]	noDistMatch
0	0		Rochambeau	4.822	-52.365	4				6016	194605	-999-999		17418.9		CHUAN	0-20400-0-6016	None	None	None	None		81405																				[12.7, 12.7]	[143.3, 143.3]	era5.conv._2:81405	era5_2	19421015	19441113	2:81405	0-20777-0-2:81405	[104, 105, 106, 107]	noDistMatch
1	1		Rochambeau	4.822	-52.365	4				4366	194605	-999-999		17418.9		CHUAN	0-20400-0-4366	None	None	None	None		81405																				[12.7, 12.7]	[143.3, 143.3]	era5.conv._2:81405	era5_2	19421015	19441113	2:81405	0-20777-0-2:81405	[104, 105, 106, 107]	noDistMatch
2	2		Rochambeau	4.822	-52.365	4				4412	194605	-999-999		17418.9		CHUAN	0-20400-0-4412	None	None	None	None		81405																				[12.7, 12.7]	[143.3, 143.3]	era5.conv._2:81405	era5_2	19421015	19441113	2:81405	0-20777-0-2:81405	[104, 105, 106, 107]	noDistMatch
3	3		Rochambeau	4.822	-52.365	4				6058	194605	-999-999		17418.9		CHUAN	0-20400-0-6058	None	None	None	None		81405																				[12.7, 12.7]	[143.3, 143.3]	era5.conv._2:81405	era5_2	19421015	19441113	2:81405	0-20777-0-2:81405	[104, 105, 106, 107]	noDistMatch
0	0															SCHROEDER	0-20600-0-nan	None	None	None	None																						[12.7, 12.7]	[143.3, 143.3]	era5.conv._2:81405	era5_2	19421015	19441113	2:81405	0-20777-0-2:81405	[104, 105, 106, 107]	noDistMatch
0	0		CAYENNE ROCHAMBEAU       	4.833333333333333	-52.36666666666667	4.0				81405				17417.9		WMO	0-20700-0-81405	None	None	None	None		81405	1530.0																			[12.7, 12.7]	[143.3, 143.3]	era5.conv._2:81405	era5_2	19421015	19441113	2:81405	0-20777-0-2:81405	[104, 105, 106, 107]	noDistMatch
0	0															AMMA	0-20800-0-nan	None	None	None	None																						[12.7, 12.7]	[143.3, 143.3]	era5.conv._2:81405	era5_2	19421015	19441113	2:81405	0-20777-0-2:81405	[104, 105, 106, 107]	noDistMatch
0	0															HARA	0-20111-0-nan	None	None	None	None																						[12.7, 12.7]	[143.3, 143.3]	era5.conv._2:81405	era5_2	19421015	19441113	2:81405	0-20777-0-2:81405	[104, 105, 106, 107]	noDistMatch
