level_0	index	WIGOS	station_name	latitude	longitude	elevation	ObsRems	original_lat	original_lon	station_id	start_date	end_date	isRadio	distance_km	distance_km_minusLat	inventory	WIGOS_calc	city	city_dist_km	city_lat	city_lon	station_id_igra	WMO_id	Unnamed: 0	date_min	date_max	GCOS	ASECNA	Frequency per day	SOP frequency	IOP frequency	Upgraded ground station	2006 Success Rate (%)	Best 2006 Monthly success (%)	min_date	max_date	files	conv_lat	conv_lon	COUNTRY	#_OF _SOUNDINGS	YEARS	lat_file	lon_file	file	file_dataset	file_min_date	file_max_date	file_statid	WIGOS_best	variables	kind
0	0	0-20000-0-72434	ST.LOUIS/LAMBERT,  ST.LOUIS INT., MO.	38.75	-90.36666666666666	172.0	Climatological station, Surface land meteorological station (SYNOP), CLIMAT(C), RBCN, RBSN(S), GOS	38 45 00N	090 22 00W	72434	999.0	999.0	False	12.1		OSCAR	0-20000-0-72434	spanish lake	2.3	38.7877778	-90.2158333																						[38.77, 38.77]	[-90.23, -90.23]	era5.conv._6:110011	era5_2	19700612	19701202	6:110011	0-20000-0-72434	[38, 85, 104, 105, 106, 107, 117]	identified
0	0		ST. LOUIS/LAMBERT	38.75	-90.367	172.0				72434	1929.0	1975.0	True	12.1		IGRA2	0-20300-0-72434	spanish lake	2.3	38.7877778	-90.2158333	USM00072434																					[38.77, 38.77]	[-90.23, -90.23]	era5.conv._6:110011	era5_2	19700612	19701202	6:110011	0-20000-0-72434	[38, 85, 104, 105, 106, 107, 117]	identified
1	1		ST LOUIS	38.6333	-90.2	219.2				93963	1926.0	1929.0	True	15.4		IGRA2	0-20300-0-93963	spanish lake	2.3	38.7877778	-90.2158333	USW00093963																					[38.77, 38.77]	[-90.23, -90.23]	era5.conv._6:110011	era5_2	19700612	19701202	6:110011	0-20000-0-72434	[38, 85, 104, 105, 106, 107, 117]	identified
0	0		ST LOUIS WSCMO AIRPORT	38.75	-90.37	172.21200000000002				13994	19950101.0	19960601.0		12.4		WBAN	0-20500-0-13994	spanish lake	2.3	38.7877778	-90.2158333		72434.0																				[38.77, 38.77]	[-90.23, -90.23]	era5.conv._6:110011	era5_2	19700612	19701202	6:110011	0-20000-0-72434	[38, 85, 104, 105, 106, 107, 117]	identified
1	1		ST LOUIS WSMO ARPT	38.75	-90.37	172.21200000000002				13994	19800101.0	19810416.0		12.4		WBAN	0-20500-0-13994	spanish lake	2.3	38.7877778	-90.2158333		72434.0																				[38.77, 38.77]	[-90.23, -90.23]	era5.conv._6:110011	era5_2	19700612	19701202	6:110011	0-20000-0-72434	[38, 85, 104, 105, 106, 107, 117]	identified
2	2		ST LOUIS WSMO ARPT	38.75	-90.37	172.21200000000002				13994	19780101.0	19800101.0		12.4		WBAN	0-20500-0-13994	spanish lake	2.3	38.7877778	-90.2158333		72434.0																				[38.77, 38.77]	[-90.23, -90.23]	era5.conv._6:110011	era5_2	19700612	19701202	6:110011	0-20000-0-72434	[38, 85, 104, 105, 106, 107, 117]	identified
3	3		ST LOUIS WSCMO AIRPORT	38.75	-90.37	172.21200000000002				13994	19810416.0	19820101.0		12.4		WBAN	0-20500-0-13994	spanish lake	2.3	38.7877778	-90.2158333		72434.0																				[38.77, 38.77]	[-90.23, -90.23]	era5.conv._6:110011	era5_2	19700612	19701202	6:110011	0-20000-0-72434	[38, 85, 104, 105, 106, 107, 117]	identified
4	4		ST LOUIS LAMBERT INTL	38.75	-90.37	172.21200000000002				13994	20020118.0	99991231.0		12.4		WBAN	0-20500-0-13994	spanish lake	2.3	38.7877778	-90.2158333		72434.0																				[38.77, 38.77]	[-90.23, -90.23]	era5.conv._6:110011	era5_2	19700612	19701202	6:110011	0-20000-0-72434	[38, 85, 104, 105, 106, 107, 117]	identified
5	5		ST LOUIS WSCMO AIRPORT	38.75	-90.37	172.21200000000002				13994	19960601.0	20020118.0		12.4		WBAN	0-20500-0-13994	spanish lake	2.3	38.7877778	-90.2158333		72434.0																				[38.77, 38.77]	[-90.23, -90.23]	era5.conv._6:110011	era5_2	19700612	19701202	6:110011	0-20000-0-72434	[38, 85, 104, 105, 106, 107, 117]	identified
6	6		ST LOUIS WSCMO AIRPORT	38.75	-90.37	172.21200000000002				13994	19940412.0	19950101.0		12.4		WBAN	0-20500-0-13994	spanish lake	2.3	38.7877778	-90.2158333		72434.0																				[38.77, 38.77]	[-90.23, -90.23]	era5.conv._6:110011	era5_2	19700612	19701202	6:110011	0-20000-0-72434	[38, 85, 104, 105, 106, 107, 117]	identified
7	7		ST LOUIS WSCMO AIRPORT	38.75	-90.37	172.21200000000002				13994	19890301.0	19940412.0		12.4		WBAN	0-20500-0-13994	spanish lake	2.3	38.7877778	-90.2158333		72434.0																				[38.77, 38.77]	[-90.23, -90.23]	era5.conv._6:110011	era5_2	19700612	19701202	6:110011	0-20000-0-72434	[38, 85, 104, 105, 106, 107, 117]	identified
8	8		ST LOUIS WSCMO AIPRORT	38.75	-90.37	172.21200000000002				13994	19880711.0	19890301.0		12.4		WBAN	0-20500-0-13994	spanish lake	2.3	38.7877778	-90.2158333		72434.0																				[38.77, 38.77]	[-90.23, -90.23]	era5.conv._6:110011	era5_2	19700612	19701202	6:110011	0-20000-0-72434	[38, 85, 104, 105, 106, 107, 117]	identified
9	9		ST LOUIS WSCMO AIRPORT	38.75	-90.37	172.21200000000002				13994	19820101.0	19880711.0		12.4		WBAN	0-20500-0-13994	spanish lake	2.3	38.7877778	-90.2158333		72434.0																				[38.77, 38.77]	[-90.23, -90.23]	era5.conv._6:110011	era5_2	19700612	19701202	6:110011	0-20000-0-72434	[38, 85, 104, 105, 106, 107, 117]	identified
10	10		ST LOUIS WSMO ARPT	38.75	-90.38	172.21200000000002				13994	19771129.0	19771231.0		13.2		WBAN	0-20500-0-13994	spanish lake	2.3	38.7877778	-90.2158333																						[38.77, 38.77]	[-90.23, -90.23]	era5.conv._6:110011	era5_2	19700612	19701202	6:110011	0-20000-0-72434	[38, 85, 104, 105, 106, 107, 117]	identified
11	11		ST LOUIS WSMO ARPT	38.75	-90.38	171.90720000000002				13994	19760101.0	19771129.0		13.2		WBAN	0-20500-0-13994	spanish lake	2.3	38.7877778	-90.2158333																						[38.77, 38.77]	[-90.23, -90.23]	era5.conv._6:110011	era5_2	19700612	19701202	6:110011	0-20000-0-72434	[38, 85, 104, 105, 106, 107, 117]	identified
12	12		ST LOUIS WSMO ARPT	38.75	-90.38	171.90720000000002				13994	19741017.0	19760101.0		13.2		WBAN	0-20500-0-13994	spanish lake	2.3	38.7877778	-90.2158333																						[38.77, 38.77]	[-90.23, -90.23]	era5.conv._6:110011	era5_2	19700612	19701202	6:110011	0-20000-0-72434	[38, 85, 104, 105, 106, 107, 117]	identified
13	13		ST LOUIS WSFO ARPT	38.75	-90.38	171.90720000000002				13994	19740611.0	19741017.0		13.2		WBAN	0-20500-0-13994	spanish lake	2.3	38.7877778	-90.2158333																						[38.77, 38.77]	[-90.23, -90.23]	era5.conv._6:110011	era5_2	19700612	19701202	6:110011	0-20000-0-72434	[38, 85, 104, 105, 106, 107, 117]	identified
14	14		ST LOUIS WB ARPT	38.75	-90.38	171.90720000000002				13994	19730101.0	19740611.0		13.2		WBAN	0-20500-0-13994	spanish lake	2.3	38.7877778	-90.2158333																						[38.77, 38.77]	[-90.23, -90.23]	era5.conv._6:110011	era5_2	19700612	19701202	6:110011	0-20000-0-72434	[38, 85, 104, 105, 106, 107, 117]	identified
15	15		ST LOUIS WB ARPT	38.75	-90.38	171.90720000000002				13994	19590101.0	19711201.0		13.2		WBAN	0-20500-0-13994	spanish lake	2.3	38.7877778	-90.2158333																						[38.77, 38.77]	[-90.23, -90.23]	era5.conv._6:110011	era5_2	19700612	19701202	6:110011	0-20000-0-72434	[38, 85, 104, 105, 106, 107, 117]	identified
16	16		ST LOUIS WB ARPT	38.75	-90.38	175.86960000000002				13994	19471130.0	19590101.0		13.2		WBAN	0-20500-0-13994	spanish lake	2.3	38.7877778	-90.2158333																						[38.77, 38.77]	[-90.23, -90.23]	era5.conv._6:110011	era5_2	19700612	19701202	6:110011	0-20000-0-72434	[38, 85, 104, 105, 106, 107, 117]	identified
17	17		ST LOUIS WB ARPT	38.75	-90.38	175.86960000000002				13994	19471101.0	19471130.0		13.2		WBAN	0-20500-0-13994	spanish lake	2.3	38.7877778	-90.2158333																						[38.77, 38.77]	[-90.23, -90.23]	era5.conv._6:110011	era5_2	19700612	19701202	6:110011	0-20000-0-72434	[38, 85, 104, 105, 106, 107, 117]	identified
18	18		ST LOUIS LAMBERT AP	38.75	-90.38	175.86960000000002				13994	19390101.0	19471101.0		13.2		WBAN	0-20500-0-13994	spanish lake	2.3	38.7877778	-90.2158333																						[38.77, 38.77]	[-90.23, -90.23]	era5.conv._6:110011	era5_2	19700612	19701202	6:110011	0-20000-0-72434	[38, 85, 104, 105, 106, 107, 117]	identified
19	19		ST LOUIS LAMBERT AP	38.75	-90.38	171.90720000000002				13994	19290901.0	19390101.0		13.2		WBAN	0-20500-0-13994	spanish lake	2.3	38.7877778	-90.2158333																						[38.77, 38.77]	[-90.23, -90.23]	era5.conv._6:110011	era5_2	19700612	19701202	6:110011	0-20000-0-72434	[38, 85, 104, 105, 106, 107, 117]	identified
20	20		ST LOUIS LAMBERT	38.75	-90.38	166.116				93910	19430301.0	19460731.0		13.2		WBAN	0-20500-0-93910	spanish lake	2.3	38.7877778	-90.2158333																						[38.77, 38.77]	[-90.23, -90.23]	era5.conv._6:110011	era5_2	19700612	19701202	6:110011	0-20000-0-72434	[38, 85, 104, 105, 106, 107, 117]	identified
21	21		ST LOUIS WB ARPT	38.75	-90.38	171.90720000000002				13994	19711201.0	19730101.0		13.2		WBAN	0-20500-0-13994	spanish lake	2.3	38.7877778	-90.2158333																						[38.77, 38.77]	[-90.23, -90.23]	era5.conv._6:110011	era5_2	19700612	19701202	6:110011	0-20000-0-72434	[38, 85, 104, 105, 106, 107, 117]	identified
