file_statid	station_id	station_name	latitude	longitude	elevation	original_lat	original_lon	distance_km	lat_file	lon_file	inventory	WIGOS	WMO_id	WIGOS_calc	file_min_date	file_max_date	start_date	end_date	isRadio	WIGOS_best	city	variables
C:4911	0000000000008222	MADRID,RETIRO	40.41166666666666	-3.6780555555555554		40 24 42N	003 40 41W	3.8	[40.4, 40.4]	[-3.72, -3.72]	OSCAR	0-724-0-0000000000008222		0-724-0-0000000000008222	19230212	19230212	999	999	False	0-20001-0-08221	madrid	[106, 107]
C:4911	08222	MADRID, RETIRO	40.411944444444444	-3.6780555555555554	667.0	40 24 43N	003 40 41W	3.8	[40.4, 40.4]	[-3.72, -3.72]	OSCAR	0-20000-0-08222		0-20000-0-08222	19230212	19230212	999	999	False	0-20001-0-08221	madrid	[106, 107]
C:4911	0000000000008220	MADRID, C. UNIVERSITARIA	40.45166666666667	-3.7241666666666666		40 27 06N	003 43 27W	5.7	[40.4, 40.4]	[-3.72, -3.72]	OSCAR	0-724-0-0000000000008220		0-724-0-0000000000008220	19230212	19230212	999	999	False	0-20001-0-08221	madrid	[106, 107]
C:4911	08220	MADRID/C. UNIVERSITARIA	40.45166666666667	-3.7241666666666666	669.0	40 27 06N	003 43 27W	5.7	[40.4, 40.4]	[-3.72, -3.72]	OSCAR	0-20000-0-08220		0-20000-0-08220	19230212	19230212	999	999	False	0-20001-0-08221	madrid	[106, 107]
C:4911	08223	MADRID/CUATRO VIENTOS	40.37555555555556	-3.786111111111111	687.0	40 22 32N	003 47 10W	6.2	[40.4, 40.4]	[-3.72, -3.72]	OSCAR	0-20000-0-08223		0-20000-0-08223	19230212	19230212	999	999	False	0-20001-0-08221	madrid	[106, 107]
C:4911	08224	MADRID/GETAFE	40.29944444444444	-3.7222222222222223	617.0	40 17 58N	003 43 20W	11.2	[40.4, 40.4]	[-3.72, -3.72]	OSCAR	0-20000-0-08224		0-20000-0-08224	19230212	19230212	999	999	False	0-20001-0-08221	madrid	[106, 107]
C:4911	08221	MADRID/BARAJAS RS	40.46527777777778	-3.579722222222222		40 27 55N	003 34 47W	13.9	[40.4, 40.4]	[-3.72, -3.72]	OSCAR	0-20001-0-08221		0-20001-0-08221	19230212	19230212	999	999	True	0-20001-0-08221	madrid	[106, 107]
C:4911	08221	MADRID/BARAJAS	40.46666666666667	-3.5555555555555554	582.0	40 28 00N	003 33 20W	15.8	[40.4, 40.4]	[-3.72, -3.72]	OSCAR	0-20000-0-08221		0-20000-0-08221	19230212	19230212	999	999	False	0-20001-0-08221	madrid	[106, 107]
C:4911	08228	TORREJON DE VELASCO	40.17583333333333	-3.713611111111111		40 10 33N	003 42 49W	24.9	[40.4, 40.4]	[-3.72, -3.72]	OSCAR	0-20000-0-08228		0-20000-0-08228	19230212	19230212	999	999	False	0-20001-0-08221	madrid	[106, 107]
C:4911	08227	MADRID/TORREJON	40.483333333333334	-3.443611111111111	612.0	40 29 00N	003 26 37W	25.2	[40.4, 40.4]	[-3.72, -3.72]	OSCAR	0-20000-0-08227		0-20000-0-08227	19230212	19230212	999	999	False	0-20001-0-08221	madrid	[106, 107]
