level_0	index	WIGOS	station_name	latitude	longitude	elevation	ObsRems	original_lat	original_lon	station_id	start_date	end_date	isRadio	distance_km	distance_km_minusLat	WIGOS_calc	inventory	city	city_dist_km	city_lat	city_lon	station_id_igra	WMO_id	Unnamed: 0	date_min	date_max	GCOS	ASECNA	Frequency per day	SOP frequency	IOP frequency	Upgraded ground station	2006 Success Rate (%)	Best 2006 Monthly success (%)	min_date	max_date	files	conv_lat	conv_lon	COUNTRY	#_OF _SOUNDINGS	YEARS	lat_file	lon_file	file	file_dataset	file_min_date	file_max_date	file_statid	WIGOS_best	variables
0	0																OSCAR	peshawar	1.3	34.008	71.57848800000002																						[34.02, 34.02]	[71.58, 71.58]	4870.txt_converted_csv_reduced.csv	giub	1921-05-16	1954-09-22	4870	0-20500-0-33703	['126', '137', '106', '107', '137', '138', '139', '140', '117']
0	0															0-20300-0-nan	IGRA2	peshawar	1.3	34.008	71.57848800000002																						[34.02, 34.02]	[71.58, 71.58]	4870.txt_converted_csv_reduced.csv	giub	1921-05-16	1954-09-22	4870	0-20500-0-33703	['126', '137', '106', '107', '137', '138', '139', '140', '117']
0	0		PESHAWAR	34.02	71.58	354.17760000000004				33703	19431201	19460630		0.0		0-20500-0-33703	WBAN	peshawar	1.3	34.008	71.57848800000002																						[34.02, 34.02]	[71.58, 71.58]	4870.txt_converted_csv_reduced.csv	giub	1921-05-16	1954-09-22	4870	0-20500-0-33703	['126', '137', '106', '107', '137', '138', '139', '140', '117']
0	0		Peshawar	34.02	71.58	350				4870	-999-999	-999-999		0.0		0-20400-0-4870	CHUAN	peshawar	1.3	34.008	71.57848800000002		-999																				[34.02, 34.02]	[71.58, 71.58]	4870.txt_converted_csv_reduced.csv	giub	1921-05-16	1954-09-22	4870	0-20500-0-33703	['126', '137', '106', '107', '137', '138', '139', '140', '117']
1	1		Peshawar	34.02	71.58	350				5818	-999-999	-999-999		0.0		0-20400-0-5818	CHUAN	peshawar	1.3	34.008	71.57848800000002		-999																				[34.02, 34.02]	[71.58, 71.58]	4870.txt_converted_csv_reduced.csv	giub	1921-05-16	1954-09-22	4870	0-20500-0-33703	['126', '137', '106', '107', '137', '138', '139', '140', '117']
2	2		Peshawar	34.02	71.58	350				5819	-999-999	-999-999		0.0		0-20400-0-5819	CHUAN	peshawar	1.3	34.008	71.57848800000002		-999																				[34.02, 34.02]	[71.58, 71.58]	4870.txt_converted_csv_reduced.csv	giub	1921-05-16	1954-09-22	4870	0-20500-0-33703	['126', '137', '106', '107', '137', '138', '139', '140', '117']
3	3		Peshawar	34.03	71.62	350				5278	-999-999	-999-999		3.9		0-20400-0-5278	CHUAN	peshawar	1.3	34.008	71.57848800000002		-999																				[34.02, 34.02]	[71.58, 71.58]	4870.txt_converted_csv_reduced.csv	giub	1921-05-16	1954-09-22	4870	0-20500-0-33703	['126', '137', '106', '107', '137', '138', '139', '140', '117']
4	4		Peshawar	34.03	71.62	350				5277	-999-999	-999-999		3.9		0-20400-0-5277	CHUAN	peshawar	1.3	34.008	71.57848800000002		-999																				[34.02, 34.02]	[71.58, 71.58]	4870.txt_converted_csv_reduced.csv	giub	1921-05-16	1954-09-22	4870	0-20500-0-33703	['126', '137', '106', '107', '137', '138', '139', '140', '117']
5	7		Peshawar	34.0	71.52	363				5463	-999-999	-999-999		6.0		0-20400-0-5463	CHUAN	peshawar	1.3	34.008	71.57848800000002		-999																				[34.02, 34.02]	[71.58, 71.58]	4870.txt_converted_csv_reduced.csv	giub	1921-05-16	1954-09-22	4870	0-20500-0-33703	['126', '137', '106', '107', '137', '138', '139', '140', '117']
6	8		Peshawar	34.0	71.52	363				5550	-999-999	-999-999		6.0		0-20400-0-5550	CHUAN	peshawar	1.3	34.008	71.57848800000002		-999																				[34.02, 34.02]	[71.58, 71.58]	4870.txt_converted_csv_reduced.csv	giub	1921-05-16	1954-09-22	4870	0-20500-0-33703	['126', '137', '106', '107', '137', '138', '139', '140', '117']
