level_0	index	WIGOS	station_name	latitude	longitude	elevation	ObsRems	original_lat	original_lon	station_id	start_date	end_date	isRadio	distance_km	distance_km_minusLat	inventory	WIGOS_calc	city	city_dist_km	city_lat	city_lon	station_id_igra	WMO_id	Unnamed: 0	date_min	date_max	GCOS	ASECNA	Frequency per day	SOP frequency	IOP frequency	Upgraded ground station	2006 Success Rate (%)	Best 2006 Monthly success (%)	min_date	max_date	files	conv_lat	conv_lon	COUNTRY	#_OF _SOUNDINGS	YEARS	lat_file	lon_file	file	file_dataset	file_min_date	file_max_date	file_statid	WIGOS_best	variables
0	0	0-20000-0-10147	HAMBURG-FUHLSBUETTEL	53.63305555555556	9.988055555555555	15.11	Agricultural meteorological station, Automatic weather station (AWS), Climatological station, Cryosphere station, Precipitation station, Radiation station, Surface land meteorological station (SYNOP), Weather radar, GSN, GCW, RBCN, CLIMAT(C), GOS, WRO, RBSN(S)	53 37 59N	009 59 17E	10147	999	999	False	2.6		OSCAR	0-20000-0-10147	hamburg	6.8	53.55	10.0																						[53.61, 53.61]	[9.98, 9.98]	4994A.txt_converted_csv_reduced.csv	giub	1923-09-06	1960-12-31	4994	0-20000-0-10147	['126', '137', '106', '107', '137', '138', '139', '140', '117']
1	1	0-20000-0-10146	QUICKBORN	53.73305555555556	9.877500000000001	12.15	Agricultural meteorological station, Automatic weather station (AWS), Cryosphere station, Precipitation station, Surface land meteorological station (SYNOP), CLIMAT(C), GOS, GCW	53 43 59N	009 52 39E	10146	999	999	False	15.3		OSCAR	0-20000-0-10146	hamburg	6.8	53.55	10.0																						[53.61, 53.61]	[9.98, 9.98]	4994A.txt_converted_csv_reduced.csv	giub	1923-09-06	1960-12-31	4994	0-20000-0-10147	['126', '137', '106', '107', '137', '138', '139', '140', '117']
0	0		HAMBURG	53.62	9.98	17.0				05685	1910	1920	True	1.1		IGRA2	0-20300-0-05685	hamburg	6.8	53.55	10.0	GMXUAE05685																					[53.61, 53.61]	[9.98, 9.98]	4994A.txt_converted_csv_reduced.csv	giub	1923-09-06	1960-12-31	4994	0-20000-0-10147	['126', '137', '106', '107', '137', '138', '139', '140', '117']
0	0															WBAN	0-20500-0-nan	hamburg	6.8	53.55	10.0																						[53.61, 53.61]	[9.98, 9.98]	4994A.txt_converted_csv_reduced.csv	giub	1923-09-06	1960-12-31	4994	0-20000-0-10147	['126', '137', '106', '107', '137', '138', '139', '140', '117']
0	0		Hamburg	53.61	9.98	11,00				4994	-999-999	-999-999		0.0		CHUAN	0-20400-0-4994	hamburg	6.8	53.55	10.0		-999																				[53.61, 53.61]	[9.98, 9.98]	4994A.txt_converted_csv_reduced.csv	giub	1923-09-06	1960-12-31	4994	0-20000-0-10147	['126', '137', '106', '107', '137', '138', '139', '140', '117']
1	2		Hamburg	53.62	9.98	17				5685	-999-999	-999-999		1.1		CHUAN	0-20400-0-5685	hamburg	6.8	53.55	10.0		-999																				[53.61, 53.61]	[9.98, 9.98]	4994A.txt_converted_csv_reduced.csv	giub	1923-09-06	1960-12-31	4994	0-20000-0-10147	['126', '137', '106', '107', '137', '138', '139', '140', '117']
2	3		Hamburg	53.62	9.98	17				5684	-999-999	-999-999		1.1		CHUAN	0-20400-0-5684	hamburg	6.8	53.55	10.0		-999																				[53.61, 53.61]	[9.98, 9.98]	4994A.txt_converted_csv_reduced.csv	giub	1923-09-06	1960-12-31	4994	0-20000-0-10147	['126', '137', '106', '107', '137', '138', '139', '140', '117']
3	4		Hamburg	53.62	9.98	17				6093	-999-999	-999-999		1.1		CHUAN	0-20400-0-6093	hamburg	6.8	53.55	10.0		-999																				[53.61, 53.61]	[9.98, 9.98]	4994A.txt_converted_csv_reduced.csv	giub	1923-09-06	1960-12-31	4994	0-20000-0-10147	['126', '137', '106', '107', '137', '138', '139', '140', '117']
0	0		(made up station ID) Hamburg (Gross Borstel kite station, Viola Strasse), Germany	53.62	9.98	-999				10148				1.1		SCHROEDER	0-20600-0-10148	hamburg	6.8	53.55	10.0		10148	393.0	1903-05-01 00:00:00	1931-01-29 00:00:00																	[53.61, 53.61]	[9.98, 9.98]	4994A.txt_converted_csv_reduced.csv	giub	1923-09-06	1960-12-31	4994	0-20000-0-10147	['126', '137', '106', '107', '137', '138', '139', '140', '117']
1	1		EDDH Hamburg (Fuhlsbuettel AP (Operated by Deutschen Seewarte, Hamburg)), Germany	53.62	10.0	-999				10147				1.7		SCHROEDER	0-20600-0-10147	hamburg	6.8	53.55	10.0		10147	392.0	1921-05-11 00:00:00	1939-01-01 00:00:00																	[53.61, 53.61]	[9.98, 9.98]	4994A.txt_converted_csv_reduced.csv	giub	1923-09-06	1960-12-31	4994	0-20000-0-10147	['126', '137', '106', '107', '137', '138', '139', '140', '117']
