level_0	index	WIGOS	station_name	latitude	longitude	elevation	ObsRems	original_lat	original_lon	station_id	start_date	end_date	isRadio	distance_km	distance_km_minusLat	inventory	WIGOS_calc	city	city_dist_km	city_lat	city_lon	station_id_igra	WMO_id	Unnamed: 0	date_min	date_max	GCOS	ASECNA	Frequency per day	SOP frequency	IOP frequency	Upgraded ground station	2006 Success Rate (%)	Best 2006 Monthly success (%)	min_date	max_date	files	conv_lat	conv_lon	COUNTRY	#_OF _SOUNDINGS	YEARS	lat_file	lon_file	file	file_dataset	file_min_date	file_max_date	file_statid	WIGOS_best	variables
0	0	0-70-0-Butmir	BUTMIR	43.82555555555556	18.316944444444445		Automatic weather station (AWS), Precipitation station, Radiation station, Surface land meteorological station (SYNOP), GOS	43 49 32N	018 19 01E	Butmir	999	999	False	5.6		OSCAR	0-70-0-Butmir	sarajevo	3.5	43.85	18.3833333																						[43.87, 43.87]	[18.35, 18.35]	5295B.txt_converted_csv_reduced.csv	giub	1911-03-01	1960-12-31	5295	0-70-0-Butmir	['126', '137', '106', '107', '137', '138', '139', '140', '117']
1	1	0-20000-0-14654	SARAJEVO-BJELAVE	43.867777777777775	18.422777777777778	639.0	Automatic weather station (AWS), Climatological station, Surface land meteorological station (SYNOP), CLIMAT(C), GOS, RBSN(S), RBCN	43 52 04N	018 25 22E	14654	999	999	False	5.9		OSCAR	0-20000-0-14654	sarajevo	3.5	43.85	18.3833333																						[43.87, 43.87]	[18.35, 18.35]	5295B.txt_converted_csv_reduced.csv	giub	1911-03-01	1960-12-31	5295	0-70-0-Butmir	['126', '137', '106', '107', '137', '138', '139', '140', '117']
2	2	0-70-0-Moscanica	MOSCANICA	43.88388888888889	18.479999999999997		Automatic weather station (AWS), Precipitation station, GOS	43 53 02N	018 28 48E	Moscanica	999	999	False	10.6		OSCAR	0-70-0-Moscanica	sarajevo	3.5	43.85	18.3833333																						[43.87, 43.87]	[18.35, 18.35]	5295B.txt_converted_csv_reduced.csv	giub	1911-03-01	1960-12-31	5295	0-70-0-Butmir	['126', '137', '106', '107', '137', '138', '139', '140', '117']
3	3	0-70-0-Srednje	SREDNJE	44.00555555555555	18.440277777777776		Automatic weather station (AWS), Precipitation station, GOS	44 00 20N	018 26 25E	Srednje	999	999	False	16.7		OSCAR	0-70-0-Srednje	sarajevo	3.5	43.85	18.3833333																						[43.87, 43.87]	[18.35, 18.35]	5295B.txt_converted_csv_reduced.csv	giub	1911-03-01	1960-12-31	5295	0-70-0-Butmir	['126', '137', '106', '107', '137', '138', '139', '140', '117']
4	4	0-70-0-BabinDo	BABIN DO	43.71555555555556	18.284722222222225		Automatic weather station (AWS), Precipitation station, GOS	43 42 56N	018 17 05E	BabinDo	999	999	False	17.9		OSCAR	0-70-0-BabinDo	sarajevo	3.5	43.85	18.3833333																						[43.87, 43.87]	[18.35, 18.35]	5295B.txt_converted_csv_reduced.csv	giub	1911-03-01	1960-12-31	5295	0-70-0-Butmir	['126', '137', '106', '107', '137', '138', '139', '140', '117']
5	5	0-70-0-Visoko	VISOKO	43.99527777777778	18.173333333333336		Automatic weather station (AWS), Precipitation station, GOS	43 59 43N	018 10 24E	Visoko	999	999	False	19.9		OSCAR	0-70-0-Visoko	sarajevo	3.5	43.85	18.3833333																						[43.87, 43.87]	[18.35, 18.35]	5295B.txt_converted_csv_reduced.csv	giub	1911-03-01	1960-12-31	5295	0-70-0-Butmir	['126', '137', '106', '107', '137', '138', '139', '140', '117']
6	6	0-20000-0-14652	BJELASNICA	43.70388888888889	18.256944444444443	2073.0	Agricultural meteorological station, Automatic weather station (AWS), Climatological station, Cryosphere station, Surface land meteorological station (SYNOP), GSN, CLIMAT(C), RBSN(S), GOS, GCW CryoNet station	43 42 14N	018 15 25E	14652	999	999	False	19.9		OSCAR	0-20000-0-14652	sarajevo	3.5	43.85	18.3833333																						[43.87, 43.87]	[18.35, 18.35]	5295B.txt_converted_csv_reduced.csv	giub	1911-03-01	1960-12-31	5295	0-70-0-Butmir	['126', '137', '106', '107', '137', '138', '139', '140', '117']
7	7	0-70-0-Kiseljak	KISELJAK	43.94611111111111	18.07611111111111		Automatic weather station (AWS), Precipitation station, Surface land meteorological station (SYNOP), GOS	43 56 46N	018 04 34E	Kiseljak	999	999	False	23.6		OSCAR	0-70-0-Kiseljak	sarajevo	3.5	43.85	18.3833333																						[43.87, 43.87]	[18.35, 18.35]	5295B.txt_converted_csv_reduced.csv	giub	1911-03-01	1960-12-31	5295	0-70-0-Butmir	['126', '137', '106', '107', '137', '138', '139', '140', '117']
8	8	0-20000-0-14650	IVAN SEDLO	43.75111111111111	18.03638888888889	971.0	Agricultural meteorological station, Climatological station, Cryosphere station, Surface land meteorological station (SYNOP), GCW CryoNet station, GOS	43 45 04N	018 02 11E	14650	999	999	False	28.5		OSCAR	0-20000-0-14650	sarajevo	3.5	43.85	18.3833333																						[43.87, 43.87]	[18.35, 18.35]	5295B.txt_converted_csv_reduced.csv	giub	1911-03-01	1960-12-31	5295	0-70-0-Butmir	['126', '137', '106', '107', '137', '138', '139', '140', '117']
0	0															IGRA2	0-20300-0-nan	sarajevo	3.5	43.85	18.3833333																						[43.87, 43.87]	[18.35, 18.35]	5295B.txt_converted_csv_reduced.csv	giub	1911-03-01	1960-12-31	5295	0-70-0-Butmir	['126', '137', '106', '107', '137', '138', '139', '140', '117']
0	0															WBAN	0-20500-0-nan	sarajevo	3.5	43.85	18.3833333																						[43.87, 43.87]	[18.35, 18.35]	5295B.txt_converted_csv_reduced.csv	giub	1911-03-01	1960-12-31	5295	0-70-0-Butmir	['126', '137', '106', '107', '137', '138', '139', '140', '117']
0	0		Rajilovac	43.87	18.35	486				5295	-999-999	-999-999		0.0		CHUAN	0-20400-0-5295	sarajevo	3.5	43.85	18.3833333		-999																				[43.87, 43.87]	[18.35, 18.35]	5295B.txt_converted_csv_reduced.csv	giub	1911-03-01	1960-12-31	5295	0-70-0-Butmir	['126', '137', '106', '107', '137', '138', '139', '140', '117']
0	0															SCHROEDER	0-20600-0-nan	sarajevo	3.5	43.85	18.3833333																						[43.87, 43.87]	[18.35, 18.35]	5295B.txt_converted_csv_reduced.csv	giub	1911-03-01	1960-12-31	5295	0-70-0-Butmir	['126', '137', '106', '107', '137', '138', '139', '140', '117']
0	0		SARAJEVO                 	43.86666666666667	18.433333333333334	-999.0				13354				6.7		WMO	0-20700-0-13354	sarajevo	3.5	43.85	18.3833333		13354	1189.0																			[43.87, 43.87]	[18.35, 18.35]	5295B.txt_converted_csv_reduced.csv	giub	1911-03-01	1960-12-31	5295	0-70-0-Butmir	['126', '137', '106', '107', '137', '138', '139', '140', '117']
1	1		SARAJEVO BJELAVE         	43.86666666666667	18.433333333333334	637.0				14654				6.7		WMO	0-20700-0-14654	sarajevo	3.5	43.85	18.3833333		14654	2720.0																			[43.87, 43.87]	[18.35, 18.35]	5295B.txt_converted_csv_reduced.csv	giub	1911-03-01	1960-12-31	5295	0-70-0-Butmir	['126', '137', '106', '107', '137', '138', '139', '140', '117']
2	2		BJELASNICA               	43.71666666666667	18.266666666666666	-999.0				14652				18.3		WMO	0-20700-0-14652	sarajevo	3.5	43.85	18.3833333		14652	4013.0																			[43.87, 43.87]	[18.35, 18.35]	5295B.txt_converted_csv_reduced.csv	giub	1911-03-01	1960-12-31	5295	0-70-0-Butmir	['126', '137', '106', '107', '137', '138', '139', '140', '117']
3	3		IVAN SEDLO               	43.766666666666666	18.03333333333333	-999.0				14650				27.9		WMO	0-20700-0-14650	sarajevo	3.5	43.85	18.3833333		14650	4012.0																			[43.87, 43.87]	[18.35, 18.35]	5295B.txt_converted_csv_reduced.csv	giub	1911-03-01	1960-12-31	5295	0-70-0-Butmir	['126', '137', '106', '107', '137', '138', '139', '140', '117']
0	0															AMMA	0-20800-0-nan	sarajevo	3.5	43.85	18.3833333																						[43.87, 43.87]	[18.35, 18.35]	5295B.txt_converted_csv_reduced.csv	giub	1911-03-01	1960-12-31	5295	0-70-0-Butmir	['126', '137', '106', '107', '137', '138', '139', '140', '117']
0	0															HARA	0-20111-0-nan	sarajevo	3.5	43.85	18.3833333																						[43.87, 43.87]	[18.35, 18.35]	5295B.txt_converted_csv_reduced.csv	giub	1911-03-01	1960-12-31	5295	0-70-0-Butmir	['126', '137', '106', '107', '137', '138', '139', '140', '117']
