file_statid	station_id	station_name	latitude	longitude	elevation	original_lat	original_lon	distance_km	lat_file	lon_file	inventory	WIGOS	WMO_id	WIGOS_calc	file_min_date	file_max_date	start_date	end_date	isRadio	WIGOS_best	city	variables
5349	12982	SZEGED külterület	46.25611111111111	20.090555555555554	83.0	46 15 22N	020 05 26E	4.6	[46.25, 46.25]	[20.15, 20.15]	OSCAR	0-20000-0-12982		0-20000-0-12982	1908-07-29	1960-12-31	999	999	True	0-20000-0-12982	szeged	['126', '137', '106', '107', '137', '138', '139', '140', '117']
5349	12982	SZEGED	46.25	20.1	82.0			3.9	[46.25, 46.25]	[20.15, 20.15]	IGRA2			0-20300-0-12982	1908-07-29	1960-12-31	1965	2021	True	0-20000-0-12982	szeged	['126', '137', '106', '107', '137', '138', '139', '140', '117']
5349									[46.25, 46.25]	[20.15, 20.15]	WBAN			0-20500-0-nan	1908-07-29	1960-12-31				0-20000-0-12982	szeged	['126', '137', '106', '107', '137', '138', '139', '140', '117']
5349	5350	Szeged	46.25	20.15	80			0.0	[46.25, 46.25]	[20.15, 20.15]	CHUAN		-999	0-20400-0-5350	1908-07-29	1960-12-31	-999-999	-999-999		0-20000-0-12982	szeged	['126', '137', '106', '107', '137', '138', '139', '140', '117']
5349	5349	Szeged	46.25	20.15	80			0.0	[46.25, 46.25]	[20.15, 20.15]	CHUAN		-999	0-20400-0-5349	1908-07-29	1960-12-31	-999-999	-999-999		0-20000-0-12982	szeged	['126', '137', '106', '107', '137', '138', '139', '140', '117']
5349	12982	Szeged AP, Hungary	46.25	20.1	-999			3.9	[46.25, 46.25]	[20.15, 20.15]	SCHROEDER		12982	0-20600-0-12982	1908-07-29	1960-12-31				0-20000-0-12982	szeged	['126', '137', '106', '107', '137', '138', '139', '140', '117']
5349	12981	(made up station ID) Szeged atmospheric profiler, Hungary	46.4	20.2	-999			17.1	[46.25, 46.25]	[20.15, 20.15]	SCHROEDER		12981	0-20600-0-12981	1908-07-29	1960-12-31				0-20000-0-12982	szeged	['126', '137', '106', '107', '137', '138', '139', '140', '117']
5349	12982	SZEGED                  0	46.25	20.1	82.0			3.9	[46.25, 46.25]	[20.15, 20.15]	WMO		12982	0-20700-0-12982	1908-07-29	1960-12-31				0-20000-0-12982	szeged	['126', '137', '106', '107', '137', '138', '139', '140', '117']
5349									[46.25, 46.25]	[20.15, 20.15]	AMMA			0-20800-0-nan	1908-07-29	1960-12-31				0-20000-0-12982	szeged	['126', '137', '106', '107', '137', '138', '139', '140', '117']
5349									[46.25, 46.25]	[20.15, 20.15]	HARA			0-20111-0-nan	1908-07-29	1960-12-31				0-20000-0-12982	szeged	['126', '137', '106', '107', '137', '138', '139', '140', '117']
