file_statid	station_id	station_name	latitude	longitude	elevation	original_lat	original_lon	distance_km	lat_file	lon_file	inventory	WIGOS	WMO_id	WIGOS_calc	file_min_date	file_max_date	start_date	end_date	isRadio	WIGOS_best	city	variables
5393	11037	GROSSENZERSDORF	48.19972222222222	16.559166666666666	152.8	48 11 59N	016 33 33E	3.7	[48.22, 48.22]	[16.52, 16.52]	OSCAR	0-20000-0-11037		0-20000-0-11037	1927-02-15	1928-11-15	999	999	False	0-20001-0-11035	schwechat	['126', '137', '106', '107', '137', '138', '139', '140', '117']
5393	11090	WIEN-DONAUFELD	48.257222222222225	16.43138888888889	162.0	48 15 26N	016 25 53E	7.8	[48.22, 48.22]	[16.52, 16.52]	OSCAR	0-20000-0-11090		0-20000-0-11090	1927-02-15	1928-11-15	999	999	False	0-20001-0-11035	schwechat	['126', '137', '106', '107', '137', '138', '139', '140', '117']
5393	11034	WIEN/INNERE STADT	48.19833333333333	16.366944444444446	177.3	48 11 54N	016 22 01E	11.6	[48.22, 48.22]	[16.52, 16.52]	OSCAR	0-20000-0-11034		0-20000-0-11034	1927-02-15	1928-11-15	999	999	False	0-20001-0-11035	schwechat	['126', '137', '106', '107', '137', '138', '139', '140', '117']
5393	11036	WIEN/SCHWECHAT-FLUGHAFEN	48.1175	16.58138888888889	183.0	48 07 03N	016 34 53E	12.3	[48.22, 48.22]	[16.52, 16.52]	OSCAR	0-20000-0-11036		0-20000-0-11036	1927-02-15	1928-11-15	999	999	False	0-20001-0-11035	schwechat	['126', '137', '106', '107', '137', '138', '139', '140', '117']
5393	11035	WIEN/HOHE WARTE (11035-0)	48.24861111111111	16.35638888888889	209.0	48 14 55N	016 21 23E	12.6	[48.22, 48.22]	[16.52, 16.52]	OSCAR	0-20000-0-11035		0-20000-0-11035	1927-02-15	1928-11-15	999	999	False	0-20001-0-11035	schwechat	['126', '137', '106', '107', '137', '138', '139', '140', '117']
5393	11035	WIEN/HOHE WARTE (11035-1)	48.24861111111111	16.35638888888889		48 14 55N	016 21 23E	12.6	[48.22, 48.22]	[16.52, 16.52]	OSCAR	0-20001-0-11035		0-20001-0-11035	1927-02-15	1928-11-15	999	999	True	0-20001-0-11035	schwechat	['126', '137', '106', '107', '137', '138', '139', '140', '117']
5393	11040	WIEN/UNTERLAA	48.125	16.419444444444444	200.0	48 07 30N	016 25 10E	12.9	[48.22, 48.22]	[16.52, 16.52]	OSCAR	0-20000-0-11040		0-20000-0-11040	1927-02-15	1928-11-15	999	999	False	0-20001-0-11035	schwechat	['126', '137', '106', '107', '137', '138', '139', '140', '117']
5393	11038	RAUCHENWARTH BEI SCHWECHAT	48.073888888888895	16.53611111111111		48 04 26N	016 32 10E	16.3	[48.22, 48.22]	[16.52, 16.52]	OSCAR	0-20000-0-11038		0-20000-0-11038	1927-02-15	1928-11-15	999	999	False	0-20001-0-11035	schwechat	['126', '137', '106', '107', '137', '138', '139', '140', '117']
5393	11080	WIEN/MARIABRUNN	48.206944444444446	16.229444444444443	227.0	48 12 25N	016 13 46E	21.6	[48.22, 48.22]	[16.52, 16.52]	OSCAR	0-20000-0-11080		0-20000-0-11080	1927-02-15	1928-11-15	999	999	False	0-20001-0-11035	schwechat	['126', '137', '106', '107', '137', '138', '139', '140', '117']
5393	11085	ZWERNDORF-MARCHEGG	48.338055555555556	16.83138888888889	145.6	48 20 17N	016 49 53E	26.6	[48.22, 48.22]	[16.52, 16.52]	OSCAR	0-20000-0-11085		0-20000-0-11085	1927-02-15	1928-11-15	999	999	False	0-20001-0-11035	schwechat	['126', '137', '106', '107', '137', '138', '139', '140', '117']
5393	11387	SEIBERSDORF	47.97638888888889	16.505	185.0	47 58 35N	016 30 18E	27.1	[48.22, 48.22]	[16.52, 16.52]	OSCAR	0-20000-0-11387		0-20000-0-11387	1927-02-15	1928-11-15	999	999	False	0-20001-0-11035	schwechat	['126', '137', '106', '107', '137', '138', '139', '140', '117']
5393	11082	GUMPOLDSKIRCHEN	48.03583333333333	16.280833333333334	212.0	48 02 09N	016 16 51E	27.1	[48.22, 48.22]	[16.52, 16.52]	OSCAR	0-20000-0-11082		0-20000-0-11082	1927-02-15	1928-11-15	999	999	False	0-20001-0-11035	schwechat	['126', '137', '106', '107', '137', '138', '139', '140', '117']
5393	11035	WIEN/HOHE WARTE	48.2486	16.3564	200.0			12.6	[48.22, 48.22]	[16.52, 16.52]	IGRA2			0-20300-0-11035	1927-02-15	1928-11-15	1910	2019	True	0-20001-0-11035	schwechat	['126', '137', '106', '107', '137', '138', '139', '140', '117']
5393									[48.22, 48.22]	[16.52, 16.52]	WBAN			0-20500-0-nan	1927-02-15	1928-11-15				0-20001-0-11035	schwechat	['126', '137', '106', '107', '137', '138', '139', '140', '117']
5393	5393	Wien-Aspern	48.22	16.52	190			0.0	[48.22, 48.22]	[16.52, 16.52]	CHUAN		-999	0-20400-0-5393	1927-02-15	1928-11-15	-999-999	-999-999		0-20001-0-11035	schwechat	['126', '137', '106', '107', '137', '138', '139', '140', '117']
5393	5478	Wien	48.2	16.37	200			11.4	[48.22, 48.22]	[16.52, 16.52]	CHUAN		-999	0-20400-0-5478	1927-02-15	1928-11-15	-999-999	-999-999		0-20001-0-11035	schwechat	['126', '137', '106', '107', '137', '138', '139', '140', '117']
5393	5480	Wien	48.2	16.37	205			11.4	[48.22, 48.22]	[16.52, 16.52]	CHUAN		-999	0-20400-0-5480	1927-02-15	1928-11-15	-999-999	-999-999		0-20001-0-11035	schwechat	['126', '137', '106', '107', '137', '138', '139', '140', '117']
5393	5481	Wien	48.2	16.37	205			11.4	[48.22, 48.22]	[16.52, 16.52]	CHUAN		-999	0-20400-0-5481	1927-02-15	1928-11-15	-999-999	-999-999		0-20001-0-11035	schwechat	['126', '137', '106', '107', '137', '138', '139', '140', '117']
5393	5392	Wien	48.25	16.37	230			11.6	[48.22, 48.22]	[16.52, 16.52]	CHUAN		-999	0-20400-0-5392	1927-02-15	1928-11-15	-999-999	-999-999		0-20001-0-11035	schwechat	['126', '137', '106', '107', '137', '138', '139', '140', '117']
5393	5391	Wien	48.25	16.37	198			11.6	[48.22, 48.22]	[16.52, 16.52]	CHUAN		-999	0-20400-0-5391	1927-02-15	1928-11-15	-999-999	-999-999		0-20001-0-11035	schwechat	['126', '137', '106', '107', '137', '138', '139', '140', '117']
5393	5762	Wien	48.25	16.37	200			11.6	[48.22, 48.22]	[16.52, 16.52]	CHUAN		-999	0-20400-0-5762	1927-02-15	1928-11-15	-999-999	-999-999		0-20001-0-11035	schwechat	['126', '137', '106', '107', '137', '138', '139', '140', '117']
5393	11036	Wien / Vienna Schwechat International AP wind profiler, Austria	48.13	16.55	-999			10.3	[48.22, 48.22]	[16.52, 16.52]	SCHROEDER		11036	0-20600-0-11036	1927-02-15	1928-11-15				0-20001-0-11035	schwechat	['126', '137', '106', '107', '137', '138', '139', '140', '117']
5393	11035	Wien / Vienna (Hohe Warte), Austria	48.248	16.357	-999			12.5	[48.22, 48.22]	[16.52, 16.52]	SCHROEDER		11035	0-20600-0-11035	1927-02-15	1928-11-15				0-20001-0-11035	schwechat	['126', '137', '106', '107', '137', '138', '139', '140', '117']
5393	11035	WIEN-HOHE WARTE         0	48.25	16.366666666666667	209.0			11.9	[48.22, 48.22]	[16.52, 16.52]	WMO		11035	0-20700-0-11035	1927-02-15	1928-11-15				0-20001-0-11035	schwechat	['126', '137', '106', '107', '137', '138', '139', '140', '117']
5393	11036	WIEN/SCHWECHAT-FLUGHAFEN 	48.11666666666667	16.566666666666666	-999.0			12.0	[48.22, 48.22]	[16.52, 16.52]	WMO		11036	0-20700-0-11036	1927-02-15	1928-11-15				0-20001-0-11035	schwechat	['126', '137', '106', '107', '137', '138', '139', '140', '117']
5393									[48.22, 48.22]	[16.52, 16.52]	AMMA			0-20800-0-nan	1927-02-15	1928-11-15				0-20001-0-11035	schwechat	['126', '137', '106', '107', '137', '138', '139', '140', '117']
5393									[48.22, 48.22]	[16.52, 16.52]	HARA			0-20111-0-nan	1927-02-15	1928-11-15				0-20001-0-11035	schwechat	['126', '137', '106', '107', '137', '138', '139', '140', '117']
