level_0	index	WIGOS	station_name	latitude	longitude	elevation	ObsRems	original_lat	original_lon	station_id	start_date	end_date	isRadio	distance_km	distance_km_minusLat	inventory	WIGOS_calc	city	city_dist_km	city_lat	city_lon	station_id_igra	WMO_id	Unnamed: 0	date_min	date_max	GCOS	ASECNA	Frequency per day	SOP frequency	IOP frequency	Upgraded ground station	2006 Success Rate (%)	Best 2006 Monthly success (%)	min_date	max_date	files	conv_lat	conv_lon	COUNTRY	#_OF _SOUNDINGS	YEARS	lat_file	lon_file	file	file_dataset	file_min_date	file_max_date	file_statid	WIGOS_best	variables
0	0	0-20000-0-42474	ALLAHABAD/GHOORPUR	25.309444444444445	81.80805555555555		Climatological station, Surface land meteorological station (SYNOP), RBSN(S), RBCN, GOS, CLIMAT(C)	25 18 34N	081 48 29E	42474	999	999	False	12.3		OSCAR	0-20000-0-42474	allahabad	4.5	25.45	81.85																						[25.42, 25.42]	[81.82, 81.82]	5787.txt_converted_csv_reduced.csv	giub	-999-03-30	1954-09-22	5787	0-20000-0-42474	['126', '137', '106', '107', '137', '138', '139', '140', '117']
0	0		ALLAHABAD/BAMHRAULI	25.45	81.733	98.0				42475	1930	2018	True	9.4		IGRA2	0-20300-0-42475	allahabad	4.5	25.45	81.85	INM00042475																					[25.42, 25.42]	[81.82, 81.82]	5787.txt_converted_csv_reduced.csv	giub	-999-03-30	1954-09-22	5787	0-20000-0-42474	['126', '137', '106', '107', '137', '138', '139', '140', '117']
0	0		BAMRAULI	25.43	81.83	98.1456				32801	19420601	19450930		1.5		WBAN	0-20500-0-32801	allahabad	4.5	25.45	81.85																						[25.42, 25.42]	[81.82, 81.82]	5787.txt_converted_csv_reduced.csv	giub	-999-03-30	1954-09-22	5787	0-20000-0-42474	['126', '137', '106', '107', '137', '138', '139', '140', '117']
0	0		Allahabad	25.42	81.82	89				5787	-999-999	-999-999		0.0		CHUAN	0-20400-0-5787	allahabad	4.5	25.45	81.85		-999																				[25.42, 25.42]	[81.82, 81.82]	5787.txt_converted_csv_reduced.csv	giub	-999-03-30	1954-09-22	5787	0-20000-0-42474	['126', '137', '106', '107', '137', '138', '139', '140', '117']
1	1		Allahabad	25.42	81.82	89				5788	-999-999	-999-999		0.0		CHUAN	0-20400-0-5788	allahabad	4.5	25.45	81.85		-999																				[25.42, 25.42]	[81.82, 81.82]	5787.txt_converted_csv_reduced.csv	giub	-999-03-30	1954-09-22	5787	0-20000-0-42474	['126', '137', '106', '107', '137', '138', '139', '140', '117']
2	2		Allahabad	25.43	81.73	101				5428	-999-999	-999-999		9.1		CHUAN	0-20400-0-5428	allahabad	4.5	25.45	81.85		-999																				[25.42, 25.42]	[81.82, 81.82]	5787.txt_converted_csv_reduced.csv	giub	-999-03-30	1954-09-22	5787	0-20000-0-42474	['126', '137', '106', '107', '137', '138', '139', '140', '117']
0	0		VIAL Allahabad - Bamrauli IAF Base, Uttar Pradesh, India	25.45	81.73	-999				42475				9.6		SCHROEDER	0-20600-0-42475	allahabad	4.5	25.45	81.85		42475	1104.0	1949-01-01 00:00:00	2005-07-30 00:00:00																	[25.42, 25.42]	[81.82, 81.82]	5787.txt_converted_csv_reduced.csv	giub	-999-03-30	1954-09-22	5787	0-20000-0-42474	['126', '137', '106', '107', '137', '138', '139', '140', '117']
0	0		ALLAHABAD/BAMHRAULI      	25.45	81.73333333333333	97.0				42475				9.3		WMO	0-20700-0-42475	allahabad	4.5	25.45	81.85		42475	521.0																			[25.42, 25.42]	[81.82, 81.82]	5787.txt_converted_csv_reduced.csv	giub	-999-03-30	1954-09-22	5787	0-20000-0-42474	['126', '137', '106', '107', '137', '138', '139', '140', '117']
0	0															AMMA	0-20800-0-nan	allahabad	4.5	25.45	81.85																						[25.42, 25.42]	[81.82, 81.82]	5787.txt_converted_csv_reduced.csv	giub	-999-03-30	1954-09-22	5787	0-20000-0-42474	['126', '137', '106', '107', '137', '138', '139', '140', '117']
0	0															HARA	0-20111-0-nan	allahabad	4.5	25.45	81.85																						[25.42, 25.42]	[81.82, 81.82]	5787.txt_converted_csv_reduced.csv	giub	-999-03-30	1954-09-22	5787	0-20000-0-42474	['126', '137', '106', '107', '137', '138', '139', '140', '117']
