level_0	index	WIGOS	station_name	latitude	longitude	elevation	ObsRems	original_lat	original_lon	station_id	start_date	end_date	isRadio	distance_km	distance_km_minusLat	WIGOS_calc	inventory	city	city_dist_km	city_lat	city_lon	station_id_igra	WMO_id	Unnamed: 0	date_min	date_max	GCOS	ASECNA	Frequency per day	SOP frequency	IOP frequency	Upgraded ground station	2006 Success Rate (%)	Best 2006 Monthly success (%)	min_date	max_date	files	conv_lat	conv_lon	COUNTRY	#_OF _SOUNDINGS	YEARS	lat_file	lon_file	file	file_dataset	file_min_date	file_max_date	file_statid	WIGOS_best	variables
0	0																OSCAR	aberdeen	57.6	45.4647222	-98.4861111																						[45.98, 45.98]	[-98.57, -98.57]	6078B.txt_converted_csv_reduced.csv	giub	1923-06-12	1955-04-01	6078	0-20300-0-94937	['126', '137', '106', '107', '137', '138', '139', '140', '117']
0	0		ELLENDALE	45.9833	-98.5667	444.1				94937	1918	1932	True	0.4		0-20300-0-94937	IGRA2	aberdeen	57.6	45.4647222	-98.4861111	USW00094937																					[45.98, 45.98]	[-98.57, -98.57]	6078B.txt_converted_csv_reduced.csv	giub	1923-06-12	1955-04-01	6078	0-20300-0-94937	['126', '137', '106', '107', '137', '138', '139', '140', '117']
0	0		ELLENDALE	45.98	-98.57	444.09360000000004				94937	19171001	19331231		0.0		0-20500-0-94937	WBAN	aberdeen	57.6	45.4647222	-98.4861111																						[45.98, 45.98]	[-98.57, -98.57]	6078B.txt_converted_csv_reduced.csv	giub	1923-06-12	1955-04-01	6078	0-20300-0-94937	['126', '137', '106', '107', '137', '138', '139', '140', '117']
1	1		ELLENDALE	45.98	-98.57	67.9704				94942	10101	99991231		0.0		0-20500-0-94942	WBAN	aberdeen	57.6	45.4647222	-98.4861111																						[45.98, 45.98]	[-98.57, -98.57]	6078B.txt_converted_csv_reduced.csv	giub	1923-06-12	1955-04-01	6078	0-20300-0-94937	['126', '137', '106', '107', '137', '138', '139', '140', '117']
0	0		Ellendale	45.98	-98.57	444				4798	-999-999	-999-999		0.0		0-20400-0-4798	CHUAN	aberdeen	57.6	45.4647222	-98.4861111		-999																				[45.98, 45.98]	[-98.57, -98.57]	6078B.txt_converted_csv_reduced.csv	giub	1923-06-12	1955-04-01	6078	0-20300-0-94937	['126', '137', '106', '107', '137', '138', '139', '140', '117']
1	1		Ellendale	45.98	-98.57	435				5126	-999-999	-999-999		0.0		0-20400-0-5126	CHUAN	aberdeen	57.6	45.4647222	-98.4861111		-999																				[45.98, 45.98]	[-98.57, -98.57]	6078B.txt_converted_csv_reduced.csv	giub	1923-06-12	1955-04-01	6078	0-20300-0-94937	['126', '137', '106', '107', '137', '138', '139', '140', '117']
2	2		Ellendale	45.98	-98.57	435				6078	-999-999	-999-999		0.0		0-20400-0-6078	CHUAN	aberdeen	57.6	45.4647222	-98.4861111		-999																				[45.98, 45.98]	[-98.57, -98.57]	6078B.txt_converted_csv_reduced.csv	giub	1923-06-12	1955-04-01	6078	0-20300-0-94937	['126', '137', '106', '107', '137', '138', '139', '140', '117']
3	4		Ellendale	45.98	-98.57	435				5125	-999-999	-999-999		0.0		0-20400-0-5125	CHUAN	aberdeen	57.6	45.4647222	-98.4861111		-999																				[45.98, 45.98]	[-98.57, -98.57]	6078B.txt_converted_csv_reduced.csv	giub	1923-06-12	1955-04-01	6078	0-20300-0-94937	['126', '137', '106', '107', '137', '138', '139', '140', '117']
4	5		Ellendale	45.98	-98.57	444				4900	-999-999	-999-999		0.0		0-20400-0-4900	CHUAN	aberdeen	57.6	45.4647222	-98.4861111		-999																				[45.98, 45.98]	[-98.57, -98.57]	6078B.txt_converted_csv_reduced.csv	giub	1923-06-12	1955-04-01	6078	0-20300-0-94937	['126', '137', '106', '107', '137', '138', '139', '140', '117']
0	0		(assigned station ID) Ellendale kite station, ND	45.98	-98.57	-999				72659				0.0		0-20600-0-72659	SCHROEDER	aberdeen	57.6	45.4647222	-98.4861111		72659	2638.0	1917-12-17 00:00:00	2006-08-07 00:00:00																	[45.98, 45.98]	[-98.57, -98.57]	6078B.txt_converted_csv_reduced.csv	giub	1923-06-12	1955-04-01	6078	0-20300-0-94937	['126', '137', '106', '107', '137', '138', '139', '140', '117']
0	0															0-20700-0-nan	WMO	aberdeen	57.6	45.4647222	-98.4861111																						[45.98, 45.98]	[-98.57, -98.57]	6078B.txt_converted_csv_reduced.csv	giub	1923-06-12	1955-04-01	6078	0-20300-0-94937	['126', '137', '106', '107', '137', '138', '139', '140', '117']
0	0															0-20800-0-nan	AMMA	aberdeen	57.6	45.4647222	-98.4861111																						[45.98, 45.98]	[-98.57, -98.57]	6078B.txt_converted_csv_reduced.csv	giub	1923-06-12	1955-04-01	6078	0-20300-0-94937	['126', '137', '106', '107', '137', '138', '139', '140', '117']
0	0															0-20111-0-nan	HARA	aberdeen	57.6	45.4647222	-98.4861111																						[45.98, 45.98]	[-98.57, -98.57]	6078B.txt_converted_csv_reduced.csv	giub	1923-06-12	1955-04-01	6078	0-20300-0-94937	['126', '137', '106', '107', '137', '138', '139', '140', '117']
