level_0	index	WIGOS	station_name	latitude	longitude	elevation	ObsRems	original_lat	original_lon	station_id	start_date	end_date	isRadio	distance_km	distance_km_minusLat	inventory	WIGOS_calc	city	city_dist_km	city_lat	city_lon	station_id_igra	WMO_id	Unnamed: 0	date_min	date_max	GCOS	ASECNA	Frequency per day	SOP frequency	IOP frequency	Upgraded ground station	2006 Success Rate (%)	Best 2006 Monthly success (%)	min_date	max_date	files	conv_lat	conv_lon	COUNTRY	#_OF _SOUNDINGS	YEARS	lat_file	lon_file	file	file_dataset	file_min_date	file_max_date	file_statid	WIGOS_best	variables
0	0	0-20000-0-01030	KISTEFJELL	69.28972222222222	18.128888888888888		GOS	69 17 23N	018 07 44E	01030	999	999	False	56.6		OSCAR	0-20000-0-01030	tromso	3.3	69.666667	18.966667																						[69.69, 69.69]	[19.02, 19.02]	01030_stationfile.csv	hara	1958-05-01	1963-04-28	01030	0-20000-0-01025	['126', '137', '106', '107', '117']
1	1	0-20000-0-01025	TROMSO/LANGNES	69.67666666666668	18.913055555555555	8.8	Surface land meteorological station (SYNOP), CLIMAT(C), GOS	69 40 36N	018 54 47E	01025	999	999	False	4.4		OSCAR	0-20000-0-01025	tromso	3.3	69.666667	18.966667																						[69.69, 69.69]	[19.02, 19.02]	01030_stationfile.csv	hara	1958-05-01	1963-04-28	01030	0-20000-0-01025	['126', '137', '106', '107', '117']
2	2	0-20000-0-01026	TROMSO	69.65361111111112	18.936666666666667	114.5	Climatological station, Surface land meteorological station (SYNOP), RBCN, GOS, GSN, RBSN(S), CLIMAT(C)	69 39 13N	018 56 12E	01026	999	999	False	5.2		OSCAR	0-20000-0-01026	tromso	3.3	69.666667	18.966667																						[69.69, 69.69]	[19.02, 19.02]	01030_stationfile.csv	hara	1958-05-01	1963-04-28	01030	0-20000-0-01025	['126', '137', '106', '107', '117']
3	3	0-20000-0-01027	TROMSO-HOLT	69.65222222222222	18.905555555555555		GOS	69 39 08N	018 54 20E	01027	999	999	False	6.1		OSCAR	0-20000-0-01027	tromso	3.3	69.666667	18.966667																						[69.69, 69.69]	[19.02, 19.02]	01030_stationfile.csv	hara	1958-05-01	1963-04-28	01030	0-20000-0-01025	['126', '137', '106', '107', '117']
0	0		TROMSO	69.7	19.02	12.0				01030	1939	1959	True	1.1		IGRA2	0-20300-0-01030	tromso	3.3	69.666667	18.966667	NOM00001030																					[69.69, 69.69]	[19.02, 19.02]	01030_stationfile.csv	hara	1958-05-01	1963-04-28	01030	0-20000-0-01025	['126', '137', '106', '107', '117']
0	0															WBAN	0-20500-0-nan	tromso	3.3	69.666667	18.966667																						[69.69, 69.69]	[19.02, 19.02]	01030_stationfile.csv	hara	1958-05-01	1963-04-28	01030	0-20000-0-01025	['126', '137', '106', '107', '117']
0	0		Tromsö	69.7	19.02	12				5628	-999-999	-999-999		1.1		CHUAN	0-20400-0-5628	tromso	3.3	69.666667	18.966667		-999																				[69.69, 69.69]	[19.02, 19.02]	01030_stationfile.csv	hara	1958-05-01	1963-04-28	01030	0-20000-0-01025	['126', '137', '106', '107', '117']
0	0		Tromso/Skattora, Norway	69.7	19.02	-999				1030				1.1		SCHROEDER	0-20600-0-1030	tromso	3.3	69.666667	18.966667		1030	11.0	1949-01-01 00:00:00	1949-01-01 00:00:00																	[69.69, 69.69]	[19.02, 19.02]	01030_stationfile.csv	hara	1958-05-01	1963-04-28	01030	0-20000-0-01025	['126', '137', '106', '107', '117']
1	1		Tromso, Norway	69.7	19.02	-999				1038				1.1		SCHROEDER	0-20600-0-1038	tromso	3.3	69.666667	18.966667		1038	12.0	1958-04-01 00:00:00	1958-04-01 00:00:00																	[69.69, 69.69]	[19.02, 19.02]	01030_stationfile.csv	hara	1958-05-01	1963-04-28	01030	0-20000-0-01025	['126', '137', '106', '107', '117']
2	2		Tromso, Norway	69.65	18.95	-999				1026				5.2		SCHROEDER	0-20600-0-1026	tromso	3.3	69.666667	18.966667		1026	9.0	1939-03-31 00:00:00	1941-05-05 00:00:00																	[69.69, 69.69]	[19.02, 19.02]	01030_stationfile.csv	hara	1958-05-01	1963-04-28	01030	0-20000-0-01025	['126', '137', '106', '107', '117']
0	0		TROMSO/SKATTORA          	69.7	19.016666666666666	-999.0				01030				1.1		WMO	0-20700-0-01030	tromso	3.3	69.666667	18.966667		01030	983.0																			[69.69, 69.69]	[19.02, 19.02]	01030_stationfile.csv	hara	1958-05-01	1963-04-28	01030	0-20000-0-01025	['126', '137', '106', '107', '117']
1	2		TROMSO/LANGNES           	69.68333333333334	18.916666666666668	-999.0				01025				4.1		WMO	0-20700-0-01025	tromso	3.3	69.666667	18.966667		01025	982.0																			[69.69, 69.69]	[19.02, 19.02]	01030_stationfile.csv	hara	1958-05-01	1963-04-28	01030	0-20000-0-01025	['126', '137', '106', '107', '117']
0	0															AMMA	0-20800-0-nan	tromso	3.3	69.666667	18.966667																						[69.69, 69.69]	[19.02, 19.02]	01030_stationfile.csv	hara	1958-05-01	1963-04-28	01030	0-20000-0-01025	['126', '137', '106', '107', '117']
0	0			69.69	-19.02					01030			True	1450.3		HARA	0-20111-0-01030	tromso	3.3	69.666667	18.966667		01030																		2424.0	58-63	[69.69, 69.69]	[19.02, 19.02]	01030_stationfile.csv	hara	1958-05-01	1963-04-28	01030	0-20000-0-01025	['126', '137', '106', '107', '117']
