file_statid	station_id	station_name	latitude	longitude	elevation	original_lat	original_lon	distance_km	lat_file	lon_file	inventory	WIGOS	WMO_id	WIGOS_calc	file_min_date	file_max_date	start_date	end_date	isRadio	WIGOS_best	city	variables
01030	01030	KISTEFJELL	69.28972222222222	18.128888888888888		69 17 23N	018 07 44E	56.6	[69.69, 69.69]	[19.02, 19.02]	OSCAR	0-20000-0-01030		0-20000-0-01030	1958-05-01	1963-04-28	999	999	False	0-20000-0-01025	tromso	['126', '137', '106', '107', '117']
01030	01025	TROMSO/LANGNES	69.67666666666668	18.913055555555555	8.8	69 40 36N	018 54 47E	4.4	[69.69, 69.69]	[19.02, 19.02]	OSCAR	0-20000-0-01025		0-20000-0-01025	1958-05-01	1963-04-28	999	999	False	0-20000-0-01025	tromso	['126', '137', '106', '107', '117']
01030	01026	TROMSO	69.65361111111112	18.936666666666667	114.5	69 39 13N	018 56 12E	5.2	[69.69, 69.69]	[19.02, 19.02]	OSCAR	0-20000-0-01026		0-20000-0-01026	1958-05-01	1963-04-28	999	999	False	0-20000-0-01025	tromso	['126', '137', '106', '107', '117']
01030	01027	TROMSO-HOLT	69.65222222222222	18.905555555555555		69 39 08N	018 54 20E	6.1	[69.69, 69.69]	[19.02, 19.02]	OSCAR	0-20000-0-01027		0-20000-0-01027	1958-05-01	1963-04-28	999	999	False	0-20000-0-01025	tromso	['126', '137', '106', '107', '117']
01030	01030	TROMSO	69.7	19.02	12.0			1.1	[69.69, 69.69]	[19.02, 19.02]	IGRA2			0-20300-0-01030	1958-05-01	1963-04-28	1939	1959	True	0-20000-0-01025	tromso	['126', '137', '106', '107', '117']
01030									[69.69, 69.69]	[19.02, 19.02]	WBAN			0-20500-0-nan	1958-05-01	1963-04-28				0-20000-0-01025	tromso	['126', '137', '106', '107', '117']
01030	5628	Tromsö	69.7	19.02	12			1.1	[69.69, 69.69]	[19.02, 19.02]	CHUAN		-999	0-20400-0-5628	1958-05-01	1963-04-28	-999-999	-999-999		0-20000-0-01025	tromso	['126', '137', '106', '107', '117']
01030	1030	Tromso/Skattora, Norway	69.7	19.02	-999			1.1	[69.69, 69.69]	[19.02, 19.02]	SCHROEDER		1030	0-20600-0-1030	1958-05-01	1963-04-28				0-20000-0-01025	tromso	['126', '137', '106', '107', '117']
01030	1038	Tromso, Norway	69.7	19.02	-999			1.1	[69.69, 69.69]	[19.02, 19.02]	SCHROEDER		1038	0-20600-0-1038	1958-05-01	1963-04-28				0-20000-0-01025	tromso	['126', '137', '106', '107', '117']
01030	1026	Tromso, Norway	69.65	18.95	-999			5.2	[69.69, 69.69]	[19.02, 19.02]	SCHROEDER		1026	0-20600-0-1026	1958-05-01	1963-04-28				0-20000-0-01025	tromso	['126', '137', '106', '107', '117']
01030	01030	TROMSO/SKATTORA          	69.7	19.016666666666666	-999.0			1.1	[69.69, 69.69]	[19.02, 19.02]	WMO		01030	0-20700-0-01030	1958-05-01	1963-04-28				0-20000-0-01025	tromso	['126', '137', '106', '107', '117']
01030	01025	TROMSO/LANGNES           	69.68333333333334	18.916666666666668	-999.0			4.1	[69.69, 69.69]	[19.02, 19.02]	WMO		01025	0-20700-0-01025	1958-05-01	1963-04-28				0-20000-0-01025	tromso	['126', '137', '106', '107', '117']
01030									[69.69, 69.69]	[19.02, 19.02]	AMMA			0-20800-0-nan	1958-05-01	1963-04-28				0-20000-0-01025	tromso	['126', '137', '106', '107', '117']
01030	01030		69.69	-19.02				1450.3	[69.69, 69.69]	[19.02, 19.02]	HARA		01030	0-20111-0-01030	1958-05-01	1963-04-28			True	0-20000-0-01025	tromso	['126', '137', '106', '107', '117']
