level_0	index	WIGOS	station_name	latitude	longitude	elevation	ObsRems	original_lat	original_lon	station_id	start_date	end_date	isRadio	distance_km	distance_km_minusLat	inventory	WIGOS_calc	city	city_dist_km	city_lat	city_lon	station_id_igra	WMO_id	Unnamed: 0	date_min	date_max	lat_file	lon_file	file	file_dataset	file_min_date	file_max_date	file_statid	WIGOS_best	variables
0	0	0-20000-0-91765	PAGO PAGO/INT.AIRP. AMERICAN SAMOA	-14.338333333333335	-170.71916666666667	4.9	Climatological station, Upper-air / Radiosonde station, Surface land meteorological station (SYNOP), GUAN, GSN, RBSN(ST), CLIMAT(C), GOS, RBCN	14 20 18S	170 43 09W	91765	999.0	999.0	True	0.0		OSCAR	0-20000-0-91765	apia	122.9	-13.8333333	-171.7333333						[-14.3383, -14.3383]	[-170.7192, -170.7192]	AQM00091765	igra2	1966	2021	91765	0-20000-0-91765	['85', '38', '106', '107']
1	2	0-20000-0-91764	CAPE TAPUTAPU AWS, AMERICAN SAMOA *	-14.333333333333334	-170.83333333333334		Surface land meteorological station (SYNOP), RBSN(S), GOS	14 20 00S	170 50 00W	91764	999.0	999.0	False	12.3		OSCAR	0-20000-0-91764	apia	122.9	-13.8333333	-171.7333333						[-14.3383, -14.3383]	[-170.7192, -170.7192]	AQM00091765	igra2	1966	2021	91765	0-20000-0-91765	['85', '38', '106', '107']
2	3	0-20000-0-91766	CAPE MATATULA AWS, AMERICAN SAMOA *	-14.316666666666666	-170.56666666666666		Surface land meteorological station (SYNOP), GOS, RBSN(S)	14 19 00S	170 34 00W	91766	999.0	999.0	False	16.6		OSCAR	0-20000-0-91766	apia	122.9	-13.8333333	-171.7333333						[-14.3383, -14.3383]	[-170.7192, -170.7192]	AQM00091765	igra2	1966	2021	91765	0-20000-0-91765	['85', '38', '106', '107']
0	0		PAGO PAGO/INT.AIRP. AMERICAN S	-14.3383	-170.7192	5.5				91765	1966.0	2021.0	True	0.0		IGRA2	0-20300-0-91765	apia	122.9	-13.8333333	-171.7333333	AQM00091765					[-14.3383, -14.3383]	[-170.7192, -170.7192]	AQM00091765	igra2	1966	2021	91765	0-20000-0-91765	['85', '38', '106', '107']
1	2		LEONE BAY AMERICAN S	-14.3667	-170.7833	21.0				61704	1962.0	1962.0	True	7.6		IGRA2	0-20300-0-61704	apia	122.9	-13.8333333	-171.7333333	AQW00061704					[-14.3383, -14.3383]	[-170.7192, -170.7192]	AQM00091765	igra2	1966	2021	91765	0-20000-0-91765	['85', '38', '106', '107']
0	0		PAGO PAGO WB AP	-14.33	-170.72	3.048				61705	19660401.0	19701001.0		0.9		WBAN	0-20500-0-61705	apia	122.9	-13.8333333	-171.7333333						[-14.3383, -14.3383]	[-170.7192, -170.7192]	AQM00091765	igra2	1966	2021	91765	0-20000-0-91765	['85', '38', '106', '107']
1	1		PAGO PAGO WSO AIRPORT	-14.33	-170.72	3.048				61705	19701001.0	19820101.0		0.9		WBAN	0-20500-0-61705	apia	122.9	-13.8333333	-171.7333333						[-14.3383, -14.3383]	[-170.7192, -170.7192]	AQM00091765	igra2	1966	2021	91765	0-20000-0-91765	['85', '38', '106', '107']
2	2		PAGO PAGO WSO AIRPORT	-14.33	-170.72	3.048				61705	19820101.0	19950101.0		0.9		WBAN	0-20500-0-61705	apia	122.9	-13.8333333	-171.7333333						[-14.3383, -14.3383]	[-170.7192, -170.7192]	AQM00091765	igra2	1966	2021	91765	0-20000-0-91765	['85', '38', '106', '107']
3	3		PAGO PAGO WSO AIRPORT	-14.33	-170.72	3.048				61705	19950101.0	20040401.0		0.9		WBAN	0-20500-0-61705	apia	122.9	-13.8333333	-171.7333333						[-14.3383, -14.3383]	[-170.7192, -170.7192]	AQM00091765	igra2	1966	2021	91765	0-20000-0-91765	['85', '38', '106', '107']
4	4		PAGO PAGO WSO AIRPORT	-14.33	-170.71	3.6576000000000004				61705	20040401.0	99991231.0		1.4		WBAN	0-20500-0-61705	apia	122.9	-13.8333333	-171.7333333						[-14.3383, -14.3383]	[-170.7192, -170.7192]	AQM00091765	igra2	1966	2021	91765	0-20000-0-91765	['85', '38', '106', '107']
