level_0	index	WIGOS	station_name	latitude	longitude	elevation	ObsRems	original_lat	original_lon	station_id	start_date	end_date	isRadio	distance_km	distance_km_minusLat	inventory	WIGOS_calc	city	city_dist_km	city_lat	city_lon	station_id_igra	WMO_id	Unnamed: 0	date_min	date_max	lat_file	lon_file	file	file_dataset	file_min_date	file_max_date	file_statid	WIGOS_best	variables
0	0	0-20000-0-94970	HOBART (ELLERSLIE ROAD)	-42.88972222222222	147.32777777777778	51.4	Climatological station, Surface land meteorological station (SYNOP), Centennial Observing Stations, RBCN, GOS, CLIMAT(C)	42 53 23S	147 19 40E	94970	999.0	999.0	False	0.8		OSCAR	0-20000-0-94970	hobart	0.1	-42.883209	147.331665						[-42.8833, -42.8833]	[147.3333, 147.3333]	ASM00094970	igra2	1949	1953	94970	0-20000-0-94975	['85', '38', '106', '107']
1	2	0-20000-0-95979	MOUNT WELLINGTON	-42.894999999999996	147.23583333333332	1260.5	Surface land meteorological station (SYNOP), GOS	42 53 42S	147 14 09E	95979	999.0	999.0	False	8.1		OSCAR	0-20000-0-95979	hobart	0.1	-42.883209	147.331665						[-42.8833, -42.8833]	[147.3333, 147.3333]	ASM00094970	igra2	1949	1953	94970	0-20000-0-94975	['85', '38', '106', '107']
2	3	0-20000-0-94975	HOBART AIRPORT	-42.83388888888889	147.50333333333333	27.4	Climatological station, Precipitation station, Upper-air / Radiosonde station, Surface land meteorological station (SYNOP), Weather radar, RBSN(ST), GUAN, CLIMAT(C), GOS, WRO, RBCN	42 50 02S	147 30 12E	94975	999.0	999.0	True	14.9		OSCAR	0-20000-0-94975	hobart	0.1	-42.883209	147.331665						[-42.8833, -42.8833]	[147.3333, 147.3333]	ASM00094970	igra2	1949	1953	94970	0-20000-0-94975	['85', '38', '106', '107']
3	4	0-20000-0-94988	DENNES POINT	-43.06388888888888	147.35666666666665	6.5	Surface land meteorological station (SYNOP), GOS	43 03 50S	147 21 24E	94988	999.0	999.0	False	20.2		OSCAR	0-20000-0-94988	hobart	0.1	-42.883209	147.331665						[-42.8833, -42.8833]	[147.3333, 147.3333]	ASM00094970	igra2	1949	1953	94970	0-20000-0-94975	['85', '38', '106', '107']
4	5	0-20000-0-95975	BULL BAY (LAURISTON)	-43.09027777777778	147.36111111111111	46.0	Surface land meteorological station (SYNOP), GOS	43 05 25S	147 21 40E	95975	999.0	999.0	False	23.1		OSCAR	0-20000-0-95975	hobart	0.1	-42.883209	147.331665						[-42.8833, -42.8833]	[147.3333, 147.3333]	ASM00094970	igra2	1949	1953	94970	0-20000-0-94975	['85', '38', '106', '107']
5	6	0-20000-0-95972	CAMPANIA (KINKORA)	-42.68666666666666	147.42583333333332	45.0	Surface land meteorological station (SYNOP), GOS	42 41 12S	147 25 33E	95972	999.0	999.0	False	23.1		OSCAR	0-20000-0-95972	hobart	0.1	-42.883209	147.331665						[-42.8833, -42.8833]	[147.3333, 147.3333]	ASM00094970	igra2	1949	1953	94970	0-20000-0-94975	['85', '38', '106', '107']
6	7	0-20000-0-95977	GROVE (RESEARCH STATION)	-42.98583333333333	147.07416666666666	65.0	Climatological station, Surface land meteorological station (SYNOP), RBCN, GOS, CLIMAT(C)	42 59 09S	147 04 27E	95977	999.0	999.0	False	24.0		OSCAR	0-20000-0-95977	hobart	0.1	-42.883209	147.331665						[-42.8833, -42.8833]	[147.3333, 147.3333]	ASM00094970	igra2	1949	1953	94970	0-20000-0-94975	['85', '38', '106', '107']
0	0		HOBART	-42.8833	147.3333	55.0				94970	1949.0	1953.0	True	0.0		IGRA2	0-20300-0-94970	hobart	0.1	-42.883209	147.331665	ASM00094970					[-42.8833, -42.8833]	[147.3333, 147.3333]	ASM00094970	igra2	1949	1953	94970	0-20000-0-94975	['85', '38', '106', '107']
1	2		HOBART AIRPORT	-42.8339	147.5033	4.0				94975	1953.0	2021.0	True	14.9		IGRA2	0-20300-0-94975	hobart	0.1	-42.883209	147.331665	ASM00094975					[-42.8833, -42.8833]	[147.3333, 147.3333]	ASM00094970	igra2	1949	1953	94970	0-20000-0-94975	['85', '38', '106', '107']
0	0															WBAN	0-20500-0-nan	hobart	0.1	-42.883209	147.331665						[-42.8833, -42.8833]	[147.3333, 147.3333]	ASM00094970	igra2	1949	1953	94970	0-20000-0-94975	['85', '38', '106', '107']
