level_0	index	WIGOS	station_name	latitude	longitude	elevation	ObsRems	original_lat	original_lon	station_id	start_date	end_date	isRadio	distance_km	distance_km_minusLat	inventory	WIGOS_calc	city	city_dist_km	city_lat	city_lon	station_id_igra	WMO_id	Unnamed: 0	date_min	date_max	lat_file	lon_file	file	file_dataset	file_min_date	file_max_date	file_statid	WIGOS_best	variables
0	0	0-20000-0-06458	BEAUVECHAIN	50.745555555555555	4.763333333333334	123.0	Upper-air / Radiosonde station, Surface land meteorological station (SYNOP), RBSN(T), GOS	50 44 44N	004 45 48E	06458	999	999	True	0.0		OSCAR	0-20000-0-06458	grez-doiceau	4.7	50.733333	4.7						[50.7456, 50.7456]	[4.7633, 4.7633]	BEM00006458	igra2	2005	2021	06458	0-20000-0-06458	['85', '38', '106', '107']
1	2	0-20000-0-06459	ERNAGE	50.581944444444446	4.689166666666667	157.0	Surface land meteorological station (SYNOP), GOS	50 34 55N	004 41 21E	06459	999	999	False	18.9		OSCAR	0-20000-0-06459	grez-doiceau	4.7	50.733333	4.7						[50.7456, 50.7456]	[4.7633, 4.7633]	BEM00006458	igra2	2005	2021	06458	0-20000-0-06458	['85', '38', '106', '107']
2	3	0-20000-0-06451	BRUSSELS NATIONAL (AIRPORT)	50.896388888888886	4.527222222222222	54.9	Precipitation station, Surface land meteorological station (SYNOP), Weather radar, GOS, WRO	50 53 47N	004 31 38E	06451	999	999	False	23.6		OSCAR	0-20000-0-06451	grez-doiceau	4.7	50.733333	4.7						[50.7456, 50.7456]	[4.7633, 4.7633]	BEM00006458	igra2	2005	2021	06458	0-20000-0-06458	['85', '38', '106', '107']
3	4	0-20000-0-06447	UCCLE	50.79694444444444	4.358055555555556	101.0	Climatological station, Surface land meteorological station (SYNOP), GOS, CLIMAT(C), GSN, RBCN, RBSN(S)	50 47 49N	004 21 29E	06447	999	999	False	29.2		OSCAR	0-20000-0-06447	grez-doiceau	4.7	50.733333	4.7						[50.7456, 50.7456]	[4.7633, 4.7633]	BEM00006458	igra2	2005	2021	06458	0-20000-0-06458	['85', '38', '106', '107']
0	0		BEAUVECHAIN	50.7456	4.7633	112.8				06458	2005	2021	True	0.0		IGRA2	0-20300-0-06458	grez-doiceau	4.7	50.733333	4.7	BEM00006458					[50.7456, 50.7456]	[4.7633, 4.7633]	BEM00006458	igra2	2005	2021	06458	0-20000-0-06458	['85', '38', '106', '107']
1	2		UCCLE	50.7969	4.3581	99.0				06447	1949	2015	True	29.1		IGRA2	0-20300-0-06447	grez-doiceau	4.7	50.733333	4.7	BEM00006447					[50.7456, 50.7456]	[4.7633, 4.7633]	BEM00006458	igra2	2005	2021	06458	0-20000-0-06458	['85', '38', '106', '107']
0	0															WBAN	0-20500-0-nan	grez-doiceau	4.7	50.733333	4.7						[50.7456, 50.7456]	[4.7633, 4.7633]	BEM00006458	igra2	2005	2021	06458	0-20000-0-06458	['85', '38', '106', '107']
0	0		Bruxelles	50.9	4.5	39				5650	-999-999	-999-999		25.3		CHUAN	0-20400-0-5650	grez-doiceau	4.7	50.733333	4.7		-999				[50.7456, 50.7456]	[4.7633, 4.7633]	BEM00006458	igra2	2005	2021	06458	0-20000-0-06458	['85', '38', '106', '107']
0	0		EBBE Beauvechain - Meteorological Wing, Base Charles Roman, Beauvechain, Belgium	50.75	4.77	-999				6458				0.7		SCHROEDER	0-20600-0-6458	grez-doiceau	4.7	50.733333	4.7		6458	230.0	2004-11-22 00:00:00	2007-01-01 00:00:00	[50.7456, 50.7456]	[4.7633, 4.7633]	BEM00006458	igra2	2005	2021	06458	0-20000-0-06458	['85', '38', '106', '107']
1	1		Goetsenhoven, Belgium	50.78	4.95	-999				6463				13.7		SCHROEDER	0-20600-0-6463	grez-doiceau	4.7	50.733333	4.7		6463	231.0	2009-10-15 00:00:00	2009-10-15 00:00:00	[50.7456, 50.7456]	[4.7633, 4.7633]	BEM00006458	igra2	2005	2021	06458	0-20000-0-06458	['85', '38', '106', '107']
2	2		Brussels (Ukkel / Uccle - Royal Meteorological Institute of Belgium), Belgium	50.8	4.35	-999				6447				29.8		SCHROEDER	0-20600-0-6447	grez-doiceau	4.7	50.733333	4.7		6447	229.0	1906-01-01 00:00:00	2004-03-15 00:00:00	[50.7456, 50.7456]	[4.7633, 4.7633]	BEM00006458	igra2	2005	2021	06458	0-20000-0-06458	['85', '38', '106', '107']
0	0		ZAVENTEM                 	50.88333333333333	4.516666666666667	-999.0				06451				23.2		WMO	0-20700-0-06451	grez-doiceau	4.7	50.733333	4.7		06451	2682.0			[50.7456, 50.7456]	[4.7633, 4.7633]	BEM00006458	igra2	2005	2021	06458	0-20000-0-06458	['85', '38', '106', '107']
1	1		UCCLE                   0	50.8	4.35	-999.0				06447				29.8		WMO	0-20700-0-06447	grez-doiceau	4.7	50.733333	4.7		06447	818.0			[50.7456, 50.7456]	[4.7633, 4.7633]	BEM00006458	igra2	2005	2021	06458	0-20000-0-06458	['85', '38', '106', '107']
