file_statid	station_id	station_name	latitude	longitude	elevation	original_lat	original_lon	distance_km	lat_file	lon_file	inventory	WIGOS	WMO_id	WIGOS_calc	file_min_date	file_max_date	start_date	end_date	isRadio	WIGOS_best	city	variables
48096	48096	MINGALADON	16.9	96.18333333333334	29.0	16 54 00N	096 11 00E	0.0	[16.9, 16.9]	[96.183, 96.183]	OSCAR	0-20000-0-48096		0-20000-0-48096	1981	1983	999	999	False	0-20000-0-48097	rangoon	['85', '38', '106', '107']
48096	48097	YANGON	16.864722222222223	96.15361111111112	20.0	16 51 53N	096 09 13E	5.0	[16.9, 16.9]	[96.183, 96.183]	OSCAR	0-20000-0-48097		0-20000-0-48097	1981	1983	999	999	True	0-20000-0-48097	rangoon	['85', '38', '106', '107']
48096	48092	HMAWBI	17.109722222222224	96.03	12.0	17 06 35N	096 01 48E	28.4	[16.9, 16.9]	[96.183, 96.183]	OSCAR	0-20000-0-48092		0-20000-0-48092	1981	1983	999	999	False	0-20000-0-48097	rangoon	['85', '38', '106', '107']
48096	48096	MINGALADON	16.9	96.183	29.0			0.0	[16.9, 16.9]	[96.183, 96.183]	IGRA2			0-20300-0-48096	1981	1983	1981	1983	True	0-20000-0-48097	rangoon	['85', '38', '106', '107']
48096	48097	YANGON	16.7667	96.1667	14.0			14.9	[16.9, 16.9]	[96.183, 96.183]	IGRA2			0-20300-0-48097	1981	1983	1928	2021	True	0-20000-0-48097	rangoon	['85', '38', '106', '107']
48096	31901	RANGOON	16.92	96.15	34.1376			4.2	[16.9, 16.9]	[96.183, 96.183]	WBAN			0-20500-0-31901	1981	1983	19450601	19451231		0-20000-0-48097	rangoon	['85', '38', '106', '107']
48096	31903	ZAYATKWIN	17.13	96.33	9.144			29.9	[16.9, 16.9]	[96.183, 96.183]	WBAN			0-20500-0-31903	1981	1983	19450501	19450531		0-20000-0-48097	rangoon	['85', '38', '106', '107']
48096	5476	Yangon	16.9	96.13	27			5.6	[16.9, 16.9]	[96.183, 96.183]	CHUAN		-999	0-20400-0-5476	1981	1983	-999-999	-999-999		0-20000-0-48097	rangoon	['85', '38', '106', '107']
48096	5827	Rangun (Mingalodon)	16.78	96.22	10			13.9	[16.9, 16.9]	[96.183, 96.183]	CHUAN		-999	0-20400-0-5827	1981	1983	-999-999	-999-999		0-20000-0-48097	rangoon	['85', '38', '106', '107']
48096	48096	VYYY Rangoon - Mingaladon AP, Burma	16.9	96.18	-999			0.3	[16.9, 16.9]	[96.183, 96.183]	SCHROEDER		48096	0-20600-0-48096	1981	1983				0-20000-0-48097	rangoon	['85', '38', '106', '107']
48096	48097	Yangon / Rangoon, Burma	16.77	96.17	-999			14.5	[16.9, 16.9]	[96.183, 96.183]	SCHROEDER		48097	0-20600-0-48097	1981	1983				0-20000-0-48097	rangoon	['85', '38', '106', '107']
48096	48097	RANGOON                  	16.766666666666666	96.16666666666669	-999.0			14.9	[16.9, 16.9]	[96.183, 96.183]	WMO		48097	0-20700-0-48097	1981	1983				0-20000-0-48097	rangoon	['85', '38', '106', '107']
48096	48092	HMAWBI                   	17.1	96.06666666666666	-999.0			25.4	[16.9, 16.9]	[96.183, 96.183]	WMO		48092	0-20700-0-48092	1981	1983				0-20000-0-48097	rangoon	['85', '38', '106', '107']
