level_0	index	WIGOS	station_name	latitude	longitude	elevation	ObsRems	original_lat	original_lon	station_id	start_date	end_date	isRadio	distance_km	distance_km_minusLat	inventory	WIGOS_calc	city	city_dist_km	city_lat	city_lon	station_id_igra	WMO_id	Unnamed: 0	date_min	date_max	lat_file	lon_file	file	file_dataset	file_min_date	file_max_date	file_statid	WIGOS_best	variables
0	0	0-20000-0-83361	CUIABA (83361-0)	-15.55	-56.11666666666667	151.0	Climatological station, Surface land meteorological station (SYNOP), CLIMAT(C), RBCN, GSN, GOS	15 33 00S	056 07 00W	83361	999	999	False	5.8		OSCAR	0-20000-0-83361	cuiaba	2.6	-15.583332999999998	-56.083333						[-15.6, -15.6]	[-56.1, -56.1]	BRM00083361	igra2	1991	1993	83361	0-20000-0-83362	['85', '38', '106', '107']
1	1	0-20000-0-86705	CUIABA (86705-0)	-15.616666666666667	-56.1	152.84	Surface land meteorological station (SYNOP), GOS	15 37 00S	056 06 00W	86705	999	999	False	1.8		OSCAR	0-20000-0-86705	cuiaba	2.6	-15.583332999999998	-56.083333						[-15.6, -15.6]	[-56.1, -56.1]	BRM00083361	igra2	1991	1993	83361	0-20000-0-83362	['85', '38', '106', '107']
2	2	0-20000-0-83362	CUIABA (AERO)	-15.65	-56.1	187.0	Upper-air / Radiosonde station, Surface land meteorological station (SYNOP), GOS, RBSN(ST)	15 39 00S	056 06 00W	83362	999	999	True	5.5		OSCAR	0-20000-0-83362	cuiaba	2.6	-15.583332999999998	-56.083333						[-15.6, -15.6]	[-56.1, -56.1]	BRM00083361	igra2	1991	1993	83361	0-20000-0-83362	['85', '38', '106', '107']
3	4	0-20000-0-83364	P. RICARDO REMETTER	-15.783333333333333	-56.06666666666667	140.0	Surface land meteorological station (SYNOP), GOS	15 47 00S	056 04 00W	83364	999	999	False	20.6		OSCAR	0-20000-0-83364	cuiaba	2.6	-15.583332999999998	-56.083333						[-15.6, -15.6]	[-56.1, -56.1]	BRM00083361	igra2	1991	1993	83361	0-20000-0-83362	['85', '38', '106', '107']
0	0		CUIABA	-15.6	-56.1	165.0				83361	1991	1993	True	0.0		IGRA2	0-20300-0-83361	cuiaba	2.6	-15.583332999999998	-56.083333	BRM00083361					[-15.6, -15.6]	[-56.1, -56.1]	BRM00083361	igra2	1991	1993	83361	0-20000-0-83362	['85', '38', '106', '107']
1	2		CUIABA (AERO)	-15.65	-56.1	187.0				83362	1974	2021	True	5.5		IGRA2	0-20300-0-83362	cuiaba	2.6	-15.583332999999998	-56.083333	BRM00083362					[-15.6, -15.6]	[-56.1, -56.1]	BRM00083361	igra2	1991	1993	83361	0-20000-0-83362	['85', '38', '106', '107']
0	0															WBAN	0-20500-0-nan	cuiaba	2.6	-15.583332999999998	-56.083333						[-15.6, -15.6]	[-56.1, -56.1]	BRM00083361	igra2	1991	1993	83361	0-20000-0-83362	['85', '38', '106', '107']
0	0		Cuiabá	-15.6	-56.1	167				5107	-999-999	-999-999		0.0		CHUAN	0-20400-0-5107	cuiaba	2.6	-15.583332999999998	-56.083333		-999				[-15.6, -15.6]	[-56.1, -56.1]	BRM00083361	igra2	1991	1993	83361	0-20000-0-83362	['85', '38', '106', '107']
1	2		Cuyabá	-15.6	-56.1	228				4896	-999-999	-999-999		0.0		CHUAN	0-20400-0-4896	cuiaba	2.6	-15.583332999999998	-56.083333		-999				[-15.6, -15.6]	[-56.1, -56.1]	BRM00083361	igra2	1991	1993	83361	0-20000-0-83362	['85', '38', '106', '107']
0	0		Cuiaba, Brazil	-15.6	-56.1	-999				83361				0.0		SCHROEDER	0-20600-0-83361	cuiaba	2.6	-15.583332999999998	-56.083333		83361	3518.0	1991-08-20 00:00:00	1991-08-20 00:00:00	[-15.6, -15.6]	[-56.1, -56.1]	BRM00083361	igra2	1991	1993	83361	0-20000-0-83362	['85', '38', '106', '107']
1	1		Cuiaba AP, Brazil	-15.65	-56.1	-999				83362				5.5		SCHROEDER	0-20600-0-83362	cuiaba	2.6	-15.583332999999998	-56.083333		83362	3519.0	1975-05-23 00:00:00	1999-12-23 00:00:00	[-15.6, -15.6]	[-56.1, -56.1]	BRM00083361	igra2	1991	1993	83361	0-20000-0-83362	['85', '38', '106', '107']
0	0		CUIABA                   	-15.6	-56.1	152.0				83361				0.0		WMO	0-20700-0-83361	cuiaba	2.6	-15.583332999999998	-56.083333		83361	1466.0			[-15.6, -15.6]	[-56.1, -56.1]	BRM00083361	igra2	1991	1993	83361	0-20000-0-83362	['85', '38', '106', '107']
