file_statid	station_id	station_name	latitude	longitude	elevation	original_lat	original_lon	distance_km	lat_file	lon_file	inventory	WIGOS	WMO_id	WIGOS_calc	file_min_date	file_max_date	start_date	end_date	isRadio	WIGOS_best	city	variables
83779	83779	MARTE (AERO)	-23.5	-46.63333333333333	722.0	23 30 00S	046 38 00W	0.0	[-23.5, -23.5]	[-46.6333, -46.6333]	OSCAR	0-20000-0-83779		0-20000-0-83779	2000	2021	999.0	999.0	True	0-20000-0-83779	sao paulo	['85', '38', '106', '107']
83779	86910	SAO PAULO-MIRANTE DE SANTANA	-23.49638888888889	-46.62	793.56	23 29 47S	046 37 12W	1.4	[-23.5, -23.5]	[-46.6333, -46.6333]	OSCAR	0-20000-0-86910		0-20000-0-86910	2000	2021	999.0	999.0	False	0-20000-0-83779	sao paulo	['85', '38', '106', '107']
83779	83781	SAO PAULO	-23.5	-46.61666666666667	792.0	23 30 00S	046 37 00W	1.7	[-23.5, -23.5]	[-46.6333, -46.6333]	OSCAR	0-20000-0-83781		0-20000-0-83781	2000	2021	999.0	999.0	False	0-20000-0-83779	sao paulo	['85', '38', '106', '107']
83779	83780	SAO PAULO (AERO)	-23.616666666666667	-46.65	803.0	23 37 00S	046 39 00W	13.0	[-23.5, -23.5]	[-46.6333, -46.6333]	OSCAR	0-20000-0-83780		0-20000-0-83780	2000	2021	999.0	999.0	False	0-20000-0-83779	sao paulo	['85', '38', '106', '107']
83779	83075	GUARULHOS	-23.433333333333334	-46.46666666666667	735.0	23 26 00S	046 28 00W	18.6	[-23.5, -23.5]	[-46.6333, -46.6333]	OSCAR	0-20000-0-83075		0-20000-0-83075	2000	2021	999.0	999.0	False	0-20000-0-83779	sao paulo	['85', '38', '106', '107']
83779	83778	GARULHOS (AERO)	-23.433333333333334	-46.46666666666667	750.0	23 26 00S	046 28 00W	18.6	[-23.5, -23.5]	[-46.6333, -46.6333]	OSCAR	0-20000-0-83778		0-20000-0-83778	2000	2021	999.0	999.0	False	0-20000-0-83779	sao paulo	['85', '38', '106', '107']
83779	3510609000000470	Barueri	-23.523888888888887	-46.86944444444445		23 31 26S	046 52 10W	24.3	[-23.5, -23.5]	[-46.6333, -46.6333]	OSCAR	0-76-0-3510609000000470		0-76-0-3510609000000470	2000	2021	999.0	999.0	False	0-20000-0-83779	sao paulo	['85', '38', '106', '107']
83779	3550308000000573	São Paulo - Interlagos	-23.724444444444444	-46.677499999999995		23 43 28S	046 40 39W	25.3	[-23.5, -23.5]	[-46.6333, -46.6333]	OSCAR	0-76-0-3550308000000573		0-76-0-3550308000000573	2000	2021	999.0	999.0	False	0-20000-0-83779	sao paulo	['85', '38', '106', '107']
83779	83779	MARTE (AERO)	-23.5	-46.6333	722.0			0.0	[-23.5, -23.5]	[-46.6333, -46.6333]	IGRA2			0-20300-0-83779	2000	2021	2000.0	2021.0	True	0-20000-0-83779	sao paulo	['85', '38', '106', '107']
83779	83780	SAO PAULO	-23.617	-46.65	802.0			13.1	[-23.5, -23.5]	[-46.6333, -46.6333]	IGRA2			0-20300-0-83780	2000	2021	1955.0	2000.0	True	0-20000-0-83779	sao paulo	['85', '38', '106', '107']
83779	52402	CAMP DO MARTE	-23.52	-46.62	720.2424000000001			2.6	[-23.5, -23.5]	[-46.6333, -46.6333]	WBAN			0-20500-0-52402	2000	2021	19550201.0	19590228.0		0-20000-0-83779	sao paulo	['85', '38', '106', '107']
83779									[-23.5, -23.5]	[-46.6333, -46.6333]	CHUAN			0-20400-0-nan	2000	2021				0-20000-0-83779	sao paulo	['85', '38', '106', '107']
83779	83779	Sao Paulo - Marte Civilian/Military AP, Brazil	-23.52	-46.63	-999.0			2.2	[-23.5, -23.5]	[-46.6333, -46.6333]	SCHROEDER		83779	0-20600-0-83779	2000	2021				0-20000-0-83779	sao paulo	['85', '38', '106', '107']
83779	83780	SBSP Sao Paulo - Congonhas AP, Brazil	-23.62	-46.65	-999.0			13.4	[-23.5, -23.5]	[-46.6333, -46.6333]	SCHROEDER		83780	0-20600-0-83780	2000	2021				0-20000-0-83779	sao paulo	['85', '38', '106', '107']
83779	83780	SAO PAULO/M SANTANA      	-23.5	-46.61666666666667	-999.0			1.7	[-23.5, -23.5]	[-46.6333, -46.6333]	WMO		83780	0-20700-0-83780	2000	2021				0-20000-0-83779	sao paulo	['85', '38', '106', '107']
83779	83781	SAO PAULO                	-23.5	-46.61666666666667	798.0			1.7	[-23.5, -23.5]	[-46.6333, -46.6333]	WMO		83781	0-20700-0-83781	2000	2021				0-20000-0-83779	sao paulo	['85', '38', '106', '107']
