level_0	index	WIGOS	station_name	latitude	longitude	elevation	ObsRems	original_lat	original_lon	station_id	start_date	end_date	isRadio	distance_km	distance_km_minusLat	inventory	WIGOS_calc	city	city_dist_km	city_lat	city_lon	station_id_igra	WMO_id	Unnamed: 0	date_min	date_max	lat_file	lon_file	file	file_dataset	file_min_date	file_max_date	file_statid	WIGOS_best	variables
0	0	0-20000-0-55299	NAGQU	31.483333333333334	92.06666666666666	4508.0	Upper-air / Radiosonde station, Surface land meteorological station (SYNOP), GOS, GUAN, RBSN(ST)	31 29 00N	092 04 00E	55299	999.0	999.0	True	0.0		OSCAR	0-20000-0-55299	lasa	223.4	29.65	91.1						[31.4833, 31.4833]	[92.0667, 92.0667]	CHM00055299	igra2	1957	2021	55299	0-20000-0-55299	['85', '38', '106', '107']
0	0		NAGQU	31.4833	92.0667	4508.0				55299	1957.0	2021.0	True	0.0		IGRA2	0-20300-0-55299	lasa	223.4	29.65	91.1	CHM00055299					[31.4833, 31.4833]	[92.0667, 92.0667]	CHM00055299	igra2	1957	2021	55299	0-20000-0-55299	['85', '38', '106', '107']
0	0															WBAN	0-20500-0-nan	lasa	223.4	29.65	91.1						[31.4833, 31.4833]	[92.0667, 92.0667]	CHM00055299	igra2	1957	2021	55299	0-20000-0-55299	['85', '38', '106', '107']
0	0															CHUAN	0-20400-0-nan	lasa	223.4	29.65	91.1						[31.4833, 31.4833]	[92.0667, 92.0667]	CHM00055299	igra2	1957	2021	55299	0-20000-0-55299	['85', '38', '106', '107']
0	0		(made up station ID) Nagqu TIPMEX-86 radiosonde site	31.48	92.09	-999.0				55300				2.2		SCHROEDER	0-20600-0-55300	lasa	223.4	29.65	91.1		55300	1618.0	1986-06-10 00:00:00	1986-06-10 00:00:00	[31.4833, 31.4833]	[92.0667, 92.0667]	CHM00055299	igra2	1957	2021	55299	0-20000-0-55299	['85', '38', '106', '107']
1	1		(made up station ID) Nagqu / Naqu GAME/Tibet radiosondes at radar site	31.45	92.06	-999.0				55301				3.7		SCHROEDER	0-20600-0-55301	lasa	223.4	29.65	91.1		55301	1619.0	1997-09-01 00:00:00	1997-09-01 00:00:00	[31.4833, 31.4833]	[92.0667, 92.0667]	CHM00055299	igra2	1957	2021	55299	0-20000-0-55299	['85', '38', '106', '107']
2	2		(made up station ID) Nagqu / Naqu River Hydrological Station (NaquHy) GAME/Tibet site - wind profiler with RASS	31.42	91.98	-999.0				55302				10.8		SCHROEDER	0-20600-0-55302	lasa	223.4	29.65	91.1		55302	1620.0	2001-10-01 00:00:00	2001-10-01 00:00:00	[31.4833, 31.4833]	[92.0667, 92.0667]	CHM00055299	igra2	1957	2021	55299	0-20000-0-55299	['85', '38', '106', '107']
3	3		(made up station ID) BJ CAMP/Tibet station - water vapor radiometer	31.37	91.9	-999.0				55296				20.2		SCHROEDER	0-20600-0-55296	lasa	223.4	29.65	91.1		55296	1614.0	2004-01-01 00:00:00	2004-01-01 00:00:00	[31.4833, 31.4833]	[92.0667, 92.0667]	CHM00055299	igra2	1957	2021	55299	0-20000-0-55299	['85', '38', '106', '107']
4	4		(made up station ID) BJ CAMP/Tibet station - radiosondes	31.37	91.9	-999.0				55297				20.2		SCHROEDER	0-20600-0-55297	lasa	223.4	29.65	91.1		55297	1615.0	2001-01-01 00:00:00	2001-01-01 00:00:00	[31.4833, 31.4833]	[92.0667, 92.0667]	CHM00055299	igra2	1957	2021	55299	0-20000-0-55299	['85', '38', '106', '107']
5	5		(made up station ID) BJ CAMP/Tibet station - wind profiler with RASS	31.37	91.9	-999.0				55298				20.2		SCHROEDER	0-20600-0-55298	lasa	223.4	29.65	91.1		55298	1616.0	2001-01-01 00:00:00	2001-01-01 00:00:00	[31.4833, 31.4833]	[92.0667, 92.0667]	CHM00055299	igra2	1957	2021	55299	0-20000-0-55299	['85', '38', '106', '107']
6	6		(made up station ID) ANNI GAME/Tibet site - wind profiler with RASS, Gongxiong, Tibet	31.254	92.172	-999.0				55305				27.3		SCHROEDER	0-20600-0-55305	lasa	223.4	29.65	91.1		55305	1621.0	2001-10-01 00:00:00	2001-10-01 00:00:00	[31.4833, 31.4833]	[92.0667, 92.0667]	CHM00055299	igra2	1957	2021	55299	0-20000-0-55299	['85', '38', '106', '107']
0	0		NAGQU                    	31.48333333333333	92.06666666666666	-999.0				55299				0.0		WMO	0-20700-0-55299	lasa	223.4	29.65	91.1		55299	4503.0			[31.4833, 31.4833]	[92.0667, 92.0667]	CHM00055299	igra2	1957	2021	55299	0-20000-0-55299	['85', '38', '106', '107']
