level_0	index	WIGOS	station_name	latitude	longitude	elevation	ObsRems	original_lat	original_lon	station_id	start_date	end_date	isRadio	distance_km	distance_km_minusLat	inventory	WIGOS_calc	city	city_dist_km	city_lat	city_lon	station_id_igra	WMO_id	Unnamed: 0	date_min	date_max	lat_file	lon_file	file	file_dataset	file_min_date	file_max_date	file_statid	WIGOS_best	variables
0	0	0-20000-0-06181	JAEGERSBORG	55.76638888888889	12.52638888888889	42.0	Surface land meteorological station (SYNOP), GOS	55 45 59N	012 31 35E	06181	999.0	999.0	False	0.4		OSCAR	0-20000-0-06181	birkerod	10.5	55.84233100000001	12.433477						[55.767, 55.767]	[12.533, 12.533]	DAM00006181	igra2	1962	2006	06181	0-20000-0-06181	['85', '38', '106', '107']
1	2	0-20000-0-06184	DMI	55.71611111111111	12.562222222222223	9.8	Surface land meteorological station (SYNOP), GOS	55 42 58N	012 33 44E	06184	999.0	999.0	False	6.0		OSCAR	0-20000-0-06184	birkerod	10.5	55.84233100000001	12.433477						[55.767, 55.767]	[12.533, 12.533]	DAM00006181	igra2	1962	2006	06181	0-20000-0-06181	['85', '38', '106', '107']
2	3	0-20000-0-06186	KOEBENHAVN/LANDBOHOEJSKOLEN	55.68611111111111	12.543888888888889	7.0	Climatological station, Surface land meteorological station (SYNOP), CLIMAT(C), RBCN, GOS, GSN	55 41 10N	012 32 38E	06186	999.0	999.0	False	9.0		OSCAR	0-20000-0-06186	birkerod	10.5	55.84233100000001	12.433477						[55.767, 55.767]	[12.533, 12.533]	DAM00006181	igra2	1962	2006	06181	0-20000-0-06181	['85', '38', '106', '107']
3	4	0-20000-0-06187	KOEBENHAVNS TOLDBOD	55.68861111111111	12.598611111111111	20.0	Surface land meteorological station (SYNOP), GOS	55 41 19N	012 35 55E	06187	999.0	999.0	False	9.7		OSCAR	0-20000-0-06187	birkerod	10.5	55.84233100000001	12.433477						[55.767, 55.767]	[12.533, 12.533]	DAM00006181	igra2	1962	2006	06181	0-20000-0-06181	['85', '38', '106', '107']
4	5	0-20000-0-06188	SJAELSMARK	55.87638888888889	12.412222222222223	41.28	Surface land meteorological station (SYNOP), GOS	55 52 35N	012 24 44E	06188	999.0	999.0	False	14.3		OSCAR	0-20000-0-06188	birkerod	10.5	55.84233100000001	12.433477						[55.767, 55.767]	[12.533, 12.533]	DAM00006181	igra2	1962	2006	06181	0-20000-0-06181	['85', '38', '106', '107']
5	6	0-20000-0-06180	KOEBENHAVNS LUFTHAVN	55.61416666666667	12.645277777777777	5.0	Surface land meteorological station (SYNOP), GOS, RBSN(S)	55 36 51N	012 38 43E	06180	999.0	999.0	False	18.4		OSCAR	0-20000-0-06180	birkerod	10.5	55.84233100000001	12.433477						[55.767, 55.767]	[12.533, 12.533]	DAM00006181	igra2	1962	2006	06181	0-20000-0-06181	['85', '38', '106', '107']
6	7	0-20000-0-06183	DROGDEN FYR	55.53638888888889	12.711388888888887	14.42	Surface land meteorological station (SYNOP), GOS	55 32 11N	012 42 41E	06183	999.0	999.0	False	28.0		OSCAR	0-20000-0-06183	birkerod	10.5	55.84233100000001	12.433477						[55.767, 55.767]	[12.533, 12.533]	DAM00006181	igra2	1962	2006	06181	0-20000-0-06181	['85', '38', '106', '107']
0	0		JAEGERSBORG	55.767	12.533	40.0				06181	1962.0	2006.0	True	0.0		IGRA2	0-20300-0-06181	birkerod	10.5	55.84233100000001	12.433477	DAM00006181					[55.767, 55.767]	[12.533, 12.533]	DAM00006181	igra2	1962	2006	06181	0-20000-0-06181	['85', '38', '106', '107']
1	2		KOBENHAVN/KASTRUP	55.6333	12.6667	5.0				06180	1949.0	1962.0	True	17.1		IGRA2	0-20300-0-06180	birkerod	10.5	55.84233100000001	12.433477	DAM00006180					[55.767, 55.767]	[12.533, 12.533]	DAM00006181	igra2	1962	2006	06181	0-20000-0-06181	['85', '38', '106', '107']
0	0															WBAN	0-20500-0-nan	birkerod	10.5	55.84233100000001	12.433477						[55.767, 55.767]	[12.533, 12.533]	DAM00006181	igra2	1962	2006	06181	0-20000-0-06181	['85', '38', '106', '107']
