file_statid	station_id	station_name	latitude	longitude	elevation	original_lat	original_lon	distance_km	lat_file	lon_file	inventory	WIGOS	WMO_id	WIGOS_calc	file_min_date	file_max_date	start_date	end_date	isRadio	WIGOS_best	city	variables
84203	84203	GUAYAQUIL AEROPUERTO	-2.1580555555555554	-79.88388888888889	6.0	02 09 29S	079 53 02W	0.0	[-2.1581, -2.1581]	[-79.8839, -79.8839]	OSCAR	0-20000-0-84203		0-20000-0-84203	1957	2020	999.0	999.0	True	0-20000-0-84203	guayaquil	['85', '38', '106', '107']
84203	84204	GUAYAQUIL INAMHI	-2.2	-79.88333333333334	6.0	02 12 00S	079 53 00W	4.6	[-2.1581, -2.1581]	[-79.8839, -79.8839]	OSCAR	0-20000-0-84204		0-20000-0-84204	1957	2020	999.0	999.0	False	0-20000-0-84203	guayaquil	['85', '38', '106', '107']
84203	84203	GUAYAQUIL AEROPUERTO	-2.1581	-79.8839	6.0			0.0	[-2.1581, -2.1581]	[-79.8839, -79.8839]	IGRA2			0-20300-0-84203	1957	2020	1957.0	2020.0	True	0-20000-0-84203	guayaquil	['85', '38', '106', '107']
84203	50701	GUAYAQUIL	-2.2	-79.88	4.2672			4.7	[-2.1581, -2.1581]	[-79.8839, -79.8839]	WBAN			0-20500-0-50701	1957	2020	19570701.0	99991231.0		0-20000-0-84203	guayaquil	['85', '38', '106', '107']
84203									[-2.1581, -2.1581]	[-79.8839, -79.8839]	CHUAN			0-20400-0-nan	1957	2020				0-20000-0-84203	guayaquil	['85', '38', '106', '107']
84203	84203	SEGU Guayaquil - Simon Bolivar AP, Ecuador	-2.15	-79.88	-999.0			1.0	[-2.1581, -2.1581]	[-79.8839, -79.8839]	SCHROEDER		84203	0-20600-0-84203	1957	2020				0-20000-0-84203	guayaquil	['85', '38', '106', '107']
84203	84129	SEGU Guayaquil, Ecuador	-2.2	-79.88	-999.0			4.7	[-2.1581, -2.1581]	[-79.8839, -79.8839]	SCHROEDER		84129	0-20600-0-84129	1957	2020				0-20000-0-84203	guayaquil	['85', '38', '106', '107']
84203	84204	(made up station ID) Guayaquil - ESPOL PACS-SONET pibal site (operated by ESPOL = Higher Polytechnic School of the Coast), Ecuador	-2.14	-79.96	-999.0			8.7	[-2.1581, -2.1581]	[-79.8839, -79.8839]	SCHROEDER		84204	0-20600-0-84204	1957	2020				0-20000-0-84203	guayaquil	['85', '38', '106', '107']
84203	84203	GUAYAQUIL                	-2.15	-79.88333333333334	-999.0			0.9	[-2.1581, -2.1581]	[-79.8839, -79.8839]	WMO		84203	0-20700-0-84203	1957	2020				0-20000-0-84203	guayaquil	['85', '38', '106', '107']
84203	84129	GUAYAQUIL                	-2.183333333333333	-79.88333333333334	-999.0			2.8	[-2.1581, -2.1581]	[-79.8839, -79.8839]	WMO		84129	0-20700-0-84129	1957	2020				0-20000-0-84203	guayaquil	['85', '38', '106', '107']
