file_statid	station_id	station_name	latitude	longitude	elevation	original_lat	original_lon	distance_km	lat_file	lon_file	inventory	WIGOS	WMO_id	WIGOS_calc	file_min_date	file_max_date	start_date	end_date	isRadio	WIGOS_best	city	variables
62378	62378	HELWAN	29.86277777777778	31.349166666666665	140.7	29 51 46N	031 20 57E	0.0	[29.8628, 29.8628]	[31.3492, 31.3492]	OSCAR	0-20000-0-62378		0-20000-0-62378	1920	2021	999	999	True	0-20000-0-62378	gizeh	['85', '38', '106', '107']
62378	62375	GIZA - AGRIMET	30.05	31.216666666666665	23.0	30 03 00N	031 13 00E	24.4	[29.8628, 29.8628]	[31.3492, 31.3492]	OSCAR	0-20000-0-62375		0-20000-0-62375	1920	2021	999	999	False	0-20000-0-62378	gizeh	['85', '38', '106', '107']
62378	62371	CAIRO H.Q	30.083333333333332	31.283333333333335	26.4	30 05 00N	031 17 00E	25.3	[29.8628, 29.8628]	[31.3492, 31.3492]	OSCAR	0-20000-0-62371		0-20000-0-62371	1920	2021	999	999	False	0-20000-0-62378	gizeh	['85', '38', '106', '107']
62378	62366	CAIRO	30.11138888888889	31.413888888888888	74.5	30 06 41N	031 24 50E	28.3	[29.8628, 29.8628]	[31.3492, 31.3492]	OSCAR	0-20000-0-62366		0-20000-0-62366	1920	2021	999	999	False	0-20000-0-62378	gizeh	['85', '38', '106', '107']
62378	62378	HELWAN	29.8628	31.3492	139.3			0.0	[29.8628, 29.8628]	[31.3492, 31.3492]	IGRA2			0-20300-0-62378	1920	2021	1920	2021	True	0-20000-0-62378	gizeh	['85', '38', '106', '107']
62378	04951	AL-MINYA	29.75	31.3	25.0			13.4	[29.8628, 29.8628]	[31.3492, 31.3492]	IGRA2			0-20300-0-04951	1920	2021	1939	1956	True	0-20000-0-62378	gizeh	['85', '38', '106', '107']
62378	04950	ALMAZA	30.08	31.37	64.0			24.2	[29.8628, 29.8628]	[31.3492, 31.3492]	IGRA2			0-20300-0-04950	1920	2021	1937	1954	True	0-20000-0-62378	gizeh	['85', '38', '106', '107']
62378									[29.8628, 29.8628]	[31.3492, 31.3492]	WBAN			0-20500-0-nan	1920	2021				0-20000-0-62378	gizeh	['85', '38', '106', '107']
62378	4951	Al-Minya	29.75	31.3	25			13.4	[29.8628, 29.8628]	[31.3492, 31.3492]	CHUAN		-999	0-20400-0-4951	1920	2021	-999-999	-999-999		0-20000-0-62378	gizeh	['85', '38', '106', '107']
62378	5982	Amra	29.98	31.27	29			15.1	[29.8628, 29.8628]	[31.3492, 31.3492]	CHUAN		-999	0-20400-0-5982	1920	2021	-999-999	-999-999		0-20000-0-62378	gizeh	['85', '38', '106', '107']
62378	5156	Heliopolis	30.08	31.37	50			24.2	[29.8628, 29.8628]	[31.3492, 31.3492]	CHUAN		-999	0-20400-0-5156	1920	2021	-999-999	-999-999		0-20000-0-62378	gizeh	['85', '38', '106', '107']
62378	6122	Almaza	30.08	31.37	64			24.2	[29.8628, 29.8628]	[31.3492, 31.3492]	CHUAN		-999	0-20400-0-6122	1920	2021	-999-999	-999-999		0-20000-0-62378	gizeh	['85', '38', '106', '107']
62378	4950	Almaza, Heliopolis	30.08	31.37	64			24.2	[29.8628, 29.8628]	[31.3492, 31.3492]	CHUAN		-999	0-20400-0-4950	1920	2021	-999-999	-999-999		0-20000-0-62378	gizeh	['85', '38', '106', '107']
62378	5776	Heliopolis	30.08	31.37	50			24.2	[29.8628, 29.8628]	[31.3492, 31.3492]	CHUAN		-999	0-20400-0-5776	1920	2021	-999-999	-999-999		0-20000-0-62378	gizeh	['85', '38', '106', '107']
62378	4939	al-Qahira	30.12	31.4	93			28.9	[29.8628, 29.8628]	[31.3492, 31.3492]	CHUAN		-999	0-20400-0-4939	1920	2021	-999-999	-999-999		0-20000-0-62378	gizeh	['85', '38', '106', '107']
62378	4962	Farouk Airport	30.12	31.4	70			28.9	[29.8628, 29.8628]	[31.3492, 31.3492]	CHUAN		-999	0-20400-0-4962	1920	2021	-999-999	-999-999		0-20000-0-62378	gizeh	['85', '38', '106', '107']
62378	4963	Farouk Airport	30.12	31.4	70			28.9	[29.8628, 29.8628]	[31.3492, 31.3492]	CHUAN		-999	0-20400-0-4963	1920	2021	-999-999	-999-999		0-20000-0-62378	gizeh	['85', '38', '106', '107']
62378	62378	Cairo (Helwan Observatory), Egypt	29.8583	31.3412	-999			0.9	[29.8628, 29.8628]	[31.3492, 31.3492]	SCHROEDER		62378	0-20600-0-62378	1920	2021				0-20000-0-62378	gizeh	['85', '38', '106', '107']
62378	62372	Cairo - Almaza AP, Egypt	30.12	31.35	-999			28.5	[29.8628, 29.8628]	[31.3492, 31.3492]	SCHROEDER		62372	0-20600-0-62372	1920	2021				0-20000-0-62378	gizeh	['85', '38', '106', '107']
62378	62378	HELWAN                   	29.866666666666667	31.33333333333333	-999.0			1.6	[29.8628, 29.8628]	[31.3492, 31.3492]	WMO		62378	0-20700-0-62378	1920	2021				0-20000-0-62378	gizeh	['85', '38', '106', '107']
62378	62366	CAIRO A.P.               	30.116666666666667	31.4	-999.0			28.6	[29.8628, 29.8628]	[31.3492, 31.3492]	WMO		62366	0-20700-0-62366	1920	2021				0-20000-0-62378	gizeh	['85', '38', '106', '107']
