level_0	index	WIGOS	station_name	latitude	longitude	elevation	ObsRems	original_lat	original_lon	station_id	start_date	end_date	isRadio	distance_km	distance_km_minusLat	inventory	WIGOS_calc	city	city_dist_km	city_lat	city_lon	station_id_igra	WMO_id	Unnamed: 0	date_min	date_max	lat_file	lon_file	file	file_dataset	file_min_date	file_max_date	file_statid	WIGOS_best	variables
0	0	0-20000-0-07761	AJACCIO	41.918055555555554	8.792777777777777	9.0	Climatological station, Upper-air / Radiosonde station, Surface land meteorological station (SYNOP), RBSN(ST), RBCN, GOS, CLIMAT(C)	41 55 05N	008 47 34E	07761	999	999	True	0.0		OSCAR	0-20000-0-07761	ajaccio	4.9	41.927226	8.734619						[41.9181, 41.9181]	[8.7928, 8.7928]	FRM00007761	igra2	1951	2020	07761	0-20000-0-07761	['85', '38', '106', '107']
0	0		AJACCIO	41.9181	8.7928	6.0				07761	1951	2020	True	0.0		IGRA2	0-20300-0-07761	ajaccio	4.9	41.927226	8.734619	FRM00007761					[41.9181, 41.9181]	[8.7928, 8.7928]	FRM00007761	igra2	1951	2020	07761	0-20000-0-07761	['85', '38', '106', '107']
0	0		C DELORO CORSICA	41.92	8.8	3.048				34003	19431001	19441031		0.6		WBAN	0-20500-0-34003	ajaccio	4.9	41.927226	8.734619						[41.9181, 41.9181]	[8.7928, 8.7928]	FRM00007761	igra2	1951	2020	07761	0-20000-0-07761	['85', '38', '106', '107']
0	0		Ajaccio-aéroport	41.918	8.792	5				6009	194702	-999-999		0.1		CHUAN	0-20400-0-6009	ajaccio	4.9	41.927226	8.734619		07761				[41.9181, 41.9181]	[8.7928, 8.7928]	FRM00007761	igra2	1951	2020	07761	0-20000-0-07761	['85', '38', '106', '107']
1	1		Ajaccio-Campo dell Oro	41.918	8.793	5				4354	192011	194903		0.0		CHUAN	0-20400-0-4354	ajaccio	4.9	41.927226	8.734619		-999				[41.9181, 41.9181]	[8.7928, 8.7928]	FRM00007761	igra2	1951	2020	07761	0-20000-0-07761	['85', '38', '106', '107']
2	3		Ajaccio	41.924	8.763	4				5574	-999-999	-999-999		2.6		CHUAN	0-20400-0-5574	ajaccio	4.9	41.927226	8.734619		-999				[41.9181, 41.9181]	[8.7928, 8.7928]	FRM00007761	igra2	1951	2020	07761	0-20000-0-07761	['85', '38', '106', '107']
3	4		Ajaccio-Aspretto	41.924	8.763	4				4352	192011	194912		2.6		CHUAN	0-20400-0-4352	ajaccio	4.9	41.927226	8.734619		-999				[41.9181, 41.9181]	[8.7928, 8.7928]	FRM00007761	igra2	1951	2020	07761	0-20000-0-07761	['85', '38', '106', '107']
4	5		Ajaccio-Aspretto	41.924	8.763	4				4351	192011	194912		2.6		CHUAN	0-20400-0-4351	ajaccio	4.9	41.927226	8.734619		-999				[41.9181, 41.9181]	[8.7928, 8.7928]	FRM00007761	igra2	1951	2020	07761	0-20000-0-07761	['85', '38', '106', '107']
5	6		Ajaccio-Aspretto	41.924	8.763	4				4502	192011	194912		2.6		CHUAN	0-20400-0-4502	ajaccio	4.9	41.927226	8.734619		-999				[41.9181, 41.9181]	[8.7928, 8.7928]	FRM00007761	igra2	1951	2020	07761	0-20000-0-07761	['85', '38', '106', '107']
6	7		Ajaccio-Aspretto	41.924	8.763	4				4355	192011	194912		2.6		CHUAN	0-20400-0-4355	ajaccio	4.9	41.927226	8.734619		-999				[41.9181, 41.9181]	[8.7928, 8.7928]	FRM00007761	igra2	1951	2020	07761	0-20000-0-07761	['85', '38', '106', '107']
7	8		Ajaccio	41.92	8.75	8				5027	-999-999	-999-999		3.6		CHUAN	0-20400-0-5027	ajaccio	4.9	41.927226	8.734619		-999				[41.9181, 41.9181]	[8.7928, 8.7928]	FRM00007761	igra2	1951	2020	07761	0-20000-0-07761	['85', '38', '106', '107']
0	0		LFKJ Ajaccio, Corsica, France	41.92	8.8	-999				7761				0.6		SCHROEDER	0-20600-0-7761	ajaccio	4.9	41.927226	8.734619		7761	330.0	1918-01-01 00:00:00	2001-11-19 00:00:00	[41.9181, 41.9181]	[8.7928, 8.7928]	FRM00007761	igra2	1951	2020	07761	0-20000-0-07761	['85', '38', '106', '107']
0	0		AJACCIO/CAMPO DEL ORO   0	41.91666666666666	8.8	-999.0				07761				0.6		WMO	0-20700-0-07761	ajaccio	4.9	41.927226	8.734619		07761	850.0			[41.9181, 41.9181]	[8.7928, 8.7928]	FRM00007761	igra2	1951	2020	07761	0-20000-0-07761	['85', '38', '106', '107']
