file_statid	station_id	station_name	latitude	longitude	elevation	original_lat	original_lon	distance_km	lat_file	lon_file	inventory	WIGOS	WMO_id	WIGOS_calc	file_min_date	file_max_date	start_date	end_date	isRadio	WIGOS_best	city	variables
16716	16716	ATHINAI HELLINIKON	37.88972222222222	23.741666666666667		37 53 23N	023 44 30E	0.0	[37.8897, 37.8897]	[23.7417, 23.7417]	OSCAR	0-20000-0-16716		0-20000-0-16716	1949	2021	999.0	999.0	True	0-20000-0-16716	ellinikon	['85', '38', '106', '107']
16716	16741	EL VENIZELOS	37.92055555555555	23.93138888888889	73.45	37 55 14N	023 55 53E	17.0	[37.8897, 37.8897]	[23.7417, 23.7417]	OSCAR	0-20000-0-16741		0-20000-0-16741	1949	2021	999.0	999.0	False	0-20000-0-16716	ellinikon	['85', '38', '106', '107']
16716	16715	TATOI	38.106944444444444	23.779999999999998		38 06 25N	023 46 48E	24.3	[37.8897, 37.8897]	[23.7417, 23.7417]	OSCAR	0-20000-0-16715		0-20000-0-16715	1949	2021	999.0	999.0	False	0-20000-0-16716	ellinikon	['85', '38', '106', '107']
16716	16718	ELEFSIS (AIRPORT)	38.0675	23.552222222222223		38 04 03N	023 33 08E	25.8	[37.8897, 37.8897]	[23.7417, 23.7417]	OSCAR	0-20000-0-16718		0-20000-0-16718	1949	2021	999.0	999.0	False	0-20000-0-16716	ellinikon	['85', '38', '106', '107']
16716	16716	ATHINAI HELLINIKON	37.8897	23.7417	43.1			0.0	[37.8897, 37.8897]	[23.7417, 23.7417]	IGRA2			0-20300-0-16716	1949	2021	1949.0	2021.0	True	0-20000-0-16716	ellinikon	['85', '38', '106', '107']
16716	33206	ATHENS	37.9	23.73	9.144			1.5	[37.8897, 37.8897]	[23.7417, 23.7417]	WBAN			0-20500-0-33206	1949	2021	19610101.0	19661231.0		0-20000-0-16716	ellinikon	['85', '38', '106', '107']
16716	33206	ATHENS	37.97	23.72	110.03280000000001			9.1	[37.8897, 37.8897]	[23.7417, 23.7417]	WBAN			0-20500-0-33206	1949	2021	19441101.0	19460430.0		0-20000-0-16716	ellinikon	['85', '38', '106', '107']
16716									[37.8897, 37.8897]	[23.7417, 23.7417]	CHUAN			0-20400-0-nan	1949	2021				0-20000-0-16716	ellinikon	['85', '38', '106', '107']
16716	16716	Athinai / Athens - Hellinikon AP, Greece	37.9	23.73	-999.0			1.5	[37.8897, 37.8897]	[23.7417, 23.7417]	SCHROEDER		16716	0-20600-0-16716	1949	2021				0-20000-0-16716	ellinikon	['85', '38', '106', '107']
16716	16716	ATHENS/HELLENIKON       0	37.9	23.73333333333333	15.0			1.4	[37.8897, 37.8897]	[23.7417, 23.7417]	WMO		16716	0-20700-0-16716	1949	2021				0-20000-0-16716	ellinikon	['85', '38', '106', '107']
16716	16714	ATHENS/OBSERVATORY      0	37.96666666666667	23.716666666666665	110.0			8.8	[37.8897, 37.8897]	[23.7417, 23.7417]	WMO		16714	0-20700-0-16714	1949	2021				0-20000-0-16716	ellinikon	['85', '38', '106', '107']
16716	16741	SPATA                    	37.91666666666666	23.916666666666668	-999.0			15.7	[37.8897, 37.8897]	[23.7417, 23.7417]	WMO		16741	0-20700-0-16741	1949	2021				0-20000-0-16716	ellinikon	['85', '38', '106', '107']
16716	16717	PEIRAIAS                 	37.98333333333333	23.566666666666663	-999.0			18.6	[37.8897, 37.8897]	[23.7417, 23.7417]	WMO		16717	0-20700-0-16717	1949	2021				0-20000-0-16716	ellinikon	['85', '38', '106', '107']
16716	16701	NEA FILADELFEIA          	38.05	23.666666666666668	-999.0			19.0	[37.8897, 37.8897]	[23.7417, 23.7417]	WMO		16701	0-20700-0-16701	1949	2021				0-20000-0-16716	ellinikon	['85', '38', '106', '107']
16716	16715	TATOI                    	38.1	23.78333333333333	-999.0			23.6	[37.8897, 37.8897]	[23.7417, 23.7417]	WMO		16715	0-20700-0-16715	1949	2021				0-20000-0-16716	ellinikon	['85', '38', '106', '107']
16716	16718	ELEYSINA                 	38.06666666666667	23.55	-999.0			25.9	[37.8897, 37.8897]	[23.7417, 23.7417]	WMO		16718	0-20700-0-16718	1949	2021				0-20000-0-16716	ellinikon	['85', '38', '106', '107']
