level_0	index	WIGOS	station_name	latitude	longitude	elevation	ObsRems	original_lat	original_lon	station_id	start_date	end_date	isRadio	distance_km	distance_km_minusLat	inventory	WIGOS_calc	city	city_dist_km	city_lat	city_lon	station_id_igra	WMO_id	Unnamed: 0	date_min	date_max	lat_file	lon_file	file	file_dataset	file_min_date	file_max_date	file_statid	WIGOS_best	variables
0	0	0-20000-0-96935	JUANDA SURABAYA	-7.3725	112.78	3.0	Upper-air / Radiosonde station, Surface land meteorological station (SYNOP), GUAN, RBSN(ST), GOS	07 22 21S	112 46 48E	96935	999.0	999.0	True	1.6		OSCAR	0-20000-0-96935	gedangan	7.6	-7.390833	112.726667						[-7.3772, -7.3772]	[112.7939, 112.7939]	IDM00096935	igra2	1957	2021	96935	0-20000-0-96935	['85', '38', '106', '107']
1	2	0-20000-0-96933	SURABAYA/PERAK I	-7.223611111111111	112.7238888888889	3.0	Surface land meteorological station (SYNOP), CLIMAT(C), GOS	07 13 25S	112 43 26E	96933	999.0	999.0	False	18.7		OSCAR	0-20000-0-96933	gedangan	7.6	-7.390833	112.726667						[-7.3772, -7.3772]	[112.7939, 112.7939]	IDM00096935	igra2	1957	2021	96935	0-20000-0-96935	['85', '38', '106', '107']
2	3	0-20000-0-96937	SURABAYA/PERAK II	-7.216666666666667	112.71666666666667	3.0	Surface marine meteorological station (SYNOP), GOS	07 13 00S	112 43 00E	96937	999.0	999.0	False	19.7		OSCAR	0-20000-0-96937	gedangan	7.6	-7.390833	112.726667						[-7.3772, -7.3772]	[112.7939, 112.7939]	IDM00096935	igra2	1957	2021	96935	0-20000-0-96935	['85', '38', '106', '107']
0	0		JUANDA SURABAYA	-7.3772	112.7939	3.0				96935	1957.0	2021.0	True	0.0		IGRA2	0-20300-0-96935	gedangan	7.6	-7.390833	112.726667	IDM00096935					[-7.3772, -7.3772]	[112.7939, 112.7939]	IDM00096935	igra2	1957	2021	96935	0-20000-0-96935	['85', '38', '106', '107']
0	0															WBAN	0-20500-0-nan	gedangan	7.6	-7.390833	112.726667						[-7.3772, -7.3772]	[112.7939, 112.7939]	IDM00096935	igra2	1957	2021	96935	0-20000-0-96935	['85', '38', '106', '107']
0	0															CHUAN	0-20400-0-nan	gedangan	7.6	-7.390833	112.726667						[-7.3772, -7.3772]	[112.7939, 112.7939]	IDM00096935	igra2	1957	2021	96935	0-20000-0-96935	['85', '38', '106', '107']
0	0		WARR Surabaya - Juanda AP, Java, Indonesia	-7.37	112.77	-999.0				96935				2.8		SCHROEDER	0-20600-0-96935	gedangan	7.6	-7.390833	112.726667		96935	4021.0	1986-02-01 00:00:00	1992-05-12 00:00:00	[-7.3772, -7.3772]	[112.7939, 112.7939]	IDM00096935	igra2	1957	2021	96935	0-20000-0-96935	['85', '38', '106', '107']
1	1		WRSP Surabaya - Perak AP, Java, Indonesia	-7.22	112.72	-999.0				96933				19.2		SCHROEDER	0-20600-0-96933	gedangan	7.6	-7.390833	112.726667		96933	4020.0	1979-04-04 00:00:00	1979-04-04 00:00:00	[-7.3772, -7.3772]	[112.7939, 112.7939]	IDM00096935	igra2	1957	2021	96935	0-20000-0-96935	['85', '38', '106', '107']
2	2		(made up station ID) Watukosek LAPAN stratospheric balloon site and SHADOZ ozonesonde site, Java, Indonesia	-7.5675	112.676	-999.0				96936				24.7		SCHROEDER	0-20600-0-96936	gedangan	7.6	-7.390833	112.726667		96936	4022.0	1990-02-27 00:00:00	2000-06-16 00:00:00	[-7.3772, -7.3772]	[112.7939, 112.7939]	IDM00096935	igra2	1957	2021	96935	0-20000-0-96935	['85', '38', '106', '107']
0	0		SURABAYA_JUANDA          	-7.383333333333334	112.78333333333332	-999.0				96935				1.3		WMO	0-20700-0-96935	gedangan	7.6	-7.390833	112.726667		96935	4909.0			[-7.3772, -7.3772]	[112.7939, 112.7939]	IDM00096935	igra2	1957	2021	96935	0-20000-0-96935	['85', '38', '106', '107']
1	2		JABON                    	-7.533333333333333	112.83333333333331	-999.0				96L27				17.8		WMO	0-20700-0-96L27	gedangan	7.6	-7.390833	112.726667		96L27	3280.0			[-7.3772, -7.3772]	[112.7939, 112.7939]	IDM00096935	igra2	1957	2021	96935	0-20000-0-96935	['85', '38', '106', '107']
2	3		SURABAYA-PERAK           	-7.216666666666667	112.75	-999.0				96L67				18.4		WMO	0-20700-0-96L67	gedangan	7.6	-7.390833	112.726667		96L67	3287.0			[-7.3772, -7.3772]	[112.7939, 112.7939]	IDM00096935	igra2	1957	2021	96935	0-20000-0-96935	['85', '38', '106', '107']
3	4		SURABAYA                 	-7.216666666666667	112.71666666666668	-999.0				96933				19.7		WMO	0-20700-0-96933	gedangan	7.6	-7.390833	112.726667		96933	1669.0			[-7.3772, -7.3772]	[112.7939, 112.7939]	IDM00096935	igra2	1957	2021	96935	0-20000-0-96935	['85', '38', '106', '107']
4	5		PASURUAN                 	-7.633333333333333	112.81666666666666	-999.0				96L68				28.4		WMO	0-20700-0-96L68	gedangan	7.6	-7.390833	112.726667		96L68	3288.0			[-7.3772, -7.3772]	[112.7939, 112.7939]	IDM00096935	igra2	1957	2021	96935	0-20000-0-96935	['85', '38', '106', '107']
