file_statid	station_id	station_name	latitude	longitude	elevation	original_lat	original_lon	distance_km	lat_file	lon_file	inventory	WIGOS	WMO_id	WIGOS_calc	file_min_date	file_max_date	start_date	end_date	isRadio	WIGOS_best	city	variables
05840	43150	VISHAKHAPATNAM/WALTAIR	17.683333333333334	83.3	69.9	17 41 00N	083 18 00E	5.3	[17.68, 17.68]	[83.35, 83.35]	OSCAR	0-20000-0-43150		0-20000-0-43150	1928	1935	999	999	True	0-20000-0-43150	visakhapatnam	['85', '38', '106', '107']
05840	43149	VISHAKHAPATNAM	17.716666666666665	83.3	3.5	17 43 00N	083 18 00E	6.7	[17.68, 17.68]	[83.35, 83.35]	OSCAR	0-20000-0-43149		0-20000-0-43149	1928	1935	999	999	False	0-20000-0-43150	visakhapatnam	['85', '38', '106', '107']
05840	05840	WALTAIR	17.68	83.35	20.0			0.0	[17.68, 17.68]	[83.35, 83.35]	IGRA2			0-20300-0-05840	1928	1935	1928	1935	True	0-20000-0-43150	visakhapatnam	['85', '38', '106', '107']
05840	43150	VISHAKHAPATNAM/WALTAIR	17.6833	83.3	69.9			5.3	[17.68, 17.68]	[83.35, 83.35]	IGRA2			0-20300-0-43150	1928	1935	1938	2021	True	0-20000-0-43150	visakhapatnam	['85', '38', '106', '107']
05840	31801	VIZAGAPATAM	17.72	83.23	5.1816			13.5	[17.68, 17.68]	[83.35, 83.35]	WBAN			0-20500-0-31801	1928	1935	19441101	19460731		0-20000-0-43150	visakhapatnam	['85', '38', '106', '107']
05840	5840	Waltair (Visakhapatnam)	17.68	83.35	20			0.0	[17.68, 17.68]	[83.35, 83.35]	CHUAN		-999	0-20400-0-5840	1928	1935	-999-999	-999-999		0-20000-0-43150	visakhapatnam	['85', '38', '106', '107']
05840	5475	Visakhapatnam	17.72	83.22	7			14.5	[17.68, 17.68]	[83.35, 83.35]	CHUAN		-999	0-20400-0-5475	1928	1935	-999-999	-999-999		0-20000-0-43150	visakhapatnam	['85', '38', '106', '107']
05840	43150	Vishakhapatnam (Waltair - Cyclone Warning Centre), Andhra Pradesh, India	17.722	83.3299	-999			5.1	[17.68, 17.68]	[83.35, 83.35]	SCHROEDER		43150	0-20600-0-43150	1928	1935				0-20000-0-43150	visakhapatnam	['85', '38', '106', '107']
05840	43149	Vishakhapatnam, Andhra Pradesh, India	17.7	83.3	-999			5.7	[17.68, 17.68]	[83.35, 83.35]	SCHROEDER		43149	0-20600-0-43149	1928	1935				0-20000-0-43150	visakhapatnam	['85', '38', '106', '107']
05840	43149	VISAKHAPATNAM            	17.716666666666665	83.23333333333333	3.0			13.0	[17.68, 17.68]	[83.35, 83.35]	WMO		43149	0-20700-0-43149	1928	1935				0-20000-0-43150	visakhapatnam	['85', '38', '106', '107']
