file_statid	station_id	station_name	latitude	longitude	elevation	original_lat	original_lon	distance_km	lat_file	lon_file	inventory	WIGOS	WMO_id	WIGOS_calc	file_min_date	file_max_date	start_date	end_date	isRadio	WIGOS_best	city	variables
16546	16546	DECIMOMANNU	39.346111111111114	8.9675	24.0	39 20 46N	008 58 03E	0.0	[39.3461, 39.3461]	[8.9675, 8.9675]	OSCAR	0-20000-0-16546		0-20000-0-16546	2012	2021	999.0	999.0	False	0-20001-0-16546	assemini	['85', '38', '106', '107']
16546	16546	DECIMOMANNU RDS	39.346111111111114	8.9675		39 20 46N	008 58 03E	0.0	[39.3461, 39.3461]	[8.9675, 8.9675]	OSCAR	0-20001-0-16546		0-20001-0-16546	2012	2021	999.0	999.0	True	0-20001-0-16546	assemini	['85', '38', '106', '107']
16546	16560	CAGLIARI ELMAS	39.243611111111115	9.06	2.24	39 14 37N	009 03 36E	13.9	[39.3461, 39.3461]	[8.9675, 8.9675]	OSCAR	0-20000-0-16560		0-20000-0-16560	2012	2021	999.0	999.0	False	0-20001-0-16546	assemini	['85', '38', '106', '107']
16546	16546	DECIMOMANNU RDS	39.3461	8.9675	29.0			0.0	[39.3461, 39.3461]	[8.9675, 8.9675]	IGRA2			0-20300-0-16546	2012	2021	2012.0	2021.0	True	0-20001-0-16546	assemini	['85', '38', '106', '107']
16546	16560	CAGLIARI ELMAS	39.2436	9.06	4.0			13.9	[39.3461, 39.3461]	[8.9675, 8.9675]	IGRA2			0-20300-0-16560	2012	2021	1949.0	2012.0	True	0-20001-0-16546	assemini	['85', '38', '106', '107']
16546	33019	CAGLIARI SARDINIA	39.25	9.08	9.144			14.4	[39.3461, 39.3461]	[8.9675, 8.9675]	WBAN			0-20500-0-33019	2012	2021	19431101.0	19460630.0		0-20001-0-16546	assemini	['85', '38', '106', '107']
16546	33014	DECIMOMANNO	39.3	9.17	7.010400000000001			18.2	[39.3461, 39.3461]	[8.9675, 8.9675]	WBAN			0-20500-0-33014	2012	2021	19431101.0	19440930.0		0-20001-0-16546	assemini	['85', '38', '106', '107']
16546	33004	VILLACIDRO	39.43	8.75	81.0768			20.9	[39.3461, 39.3461]	[8.9675, 8.9675]	WBAN			0-20500-0-33004	2012	2021	19431201.0	19440930.0		0-20001-0-16546	assemini	['85', '38', '106', '107']
16546									[39.3461, 39.3461]	[8.9675, 8.9675]	CHUAN			0-20400-0-nan	2012	2021				0-20001-0-16546	assemini	['85', '38', '106', '107']
16546	16546	Decimomannu, Sardinia, Italy	39.3461	8.9675	-999.0			0.0	[39.3461, 39.3461]	[8.9675, 8.9675]	SCHROEDER		16546	0-20600-0-16546	2012	2021				0-20001-0-16546	assemini	['85', '38', '106', '107']
16546	16560	LIEE Cagliari (Elmas Aerodrome), Sardinia, Italy (WBAN 33019)	39.25	9.08	-999.0			14.4	[39.3461, 39.3461]	[8.9675, 8.9675]	SCHROEDER		16560	0-20600-0-16560	2012	2021				0-20001-0-16546	assemini	['85', '38', '106', '107']
16546	16546	DECIMOMANNU              	39.35	8.966666666666667	29.0			0.4	[39.3461, 39.3461]	[8.9675, 8.9675]	WMO		16546	0-20700-0-16546	2012	2021				0-20001-0-16546	assemini	['85', '38', '106', '107']
16546	16560	CAGLIARI ELMAS          0	39.25	9.05	-999.0			12.8	[39.3461, 39.3461]	[8.9675, 8.9675]	WMO		16560	0-20700-0-16560	2012	2021				0-20001-0-16546	assemini	['85', '38', '106', '107']
