level_0	index	WIGOS	station_name	latitude	longitude	elevation	ObsRems	original_lat	original_lon	station_id	start_date	end_date	isRadio	distance_km	distance_km_minusLat	inventory	WIGOS_calc	city	city_dist_km	city_lat	city_lon	station_id_igra	WMO_id	Unnamed: 0	date_min	date_max	lat_file	lon_file	file	file_dataset	file_min_date	file_max_date	file_statid	WIGOS_best	variables
0	0	0-20000-0-47727	SHIMOFUSA AB	35.79888888888889	140.01222222222222	32.87	Surface land meteorological station (SYNOP), GOS	35 47 56N	140 00 44E	47727	999	999	False	0.4		OSCAR	0-20000-0-47727	kamagaya	0.5	35.803041	140.021792						[35.8, 35.8]	[140.017, 140.017]	JAM00047727	igra2	1977	1979	47727	0-20000-0-47727	['85', '38', '106', '107']
1	2	0-20000-0-47695	TOKYO/KASHIWA	35.859722222222224	139.9597222222222		Precipitation station, Surface land meteorological station (SYNOP), Weather radar, GOS, WRO	35 51 35N	139 57 35E	47695	999	999	False	8.4		OSCAR	0-20000-0-47695	kamagaya	0.5	35.803041	140.021792						[35.8, 35.8]	[140.017, 140.017]	JAM00047727	igra2	1977	1979	47727	0-20000-0-47727	['85', '38', '106', '107']
2	3	0-20000-0-47682	CHIBA	35.6025	140.10444444444443	6.06	Automatic weather station (AWS), Surface land meteorological station (SYNOP), GOS	35 36 09N	140 06 16E	47682	999	999	False	23.3		OSCAR	0-20000-0-47682	kamagaya	0.5	35.803041	140.021792						[35.8, 35.8]	[140.017, 140.017]	JAM00047727	igra2	1977	1979	47727	0-20000-0-47727	['85', '38', '106', '107']
3	4	0-20000-0-47662	TOKYO	35.69166666666666	139.7511111111111	24.2	Automatic weather station (AWS), Climatological station, Surface land meteorological station (SYNOP), RBCN, RBSN(S), CLIMAT(C), GOS	35 41 30N	139 45 04E	47662	999	999	False	26.9		OSCAR	0-20000-0-47662	kamagaya	0.5	35.803041	140.021792						[35.8, 35.8]	[140.017, 140.017]	JAM00047727	igra2	1977	1979	47727	0-20000-0-47727	['85', '38', '106', '107']
0	0		SHIMOFUSA AB	35.8	140.017	33.0				47727	1977	1979	True	0.0		IGRA2	0-20300-0-47727	kamagaya	0.5	35.803041	140.021792	JAM00047727					[35.8, 35.8]	[140.017, 140.017]	JAM00047727	igra2	1977	1979	47727	0-20000-0-47727	['85', '38', '106', '107']
0	0		TOKYO	35.67	139.83	0.3048				43308	19451101	19460331		22.2		WBAN	0-20500-0-43308	kamagaya	0.5	35.803041	140.021792						[35.8, 35.8]	[140.017, 140.017]	JAM00047727	igra2	1977	1979	47727	0-20000-0-47727	['85', '38', '106', '107']
0	0		Tokyo	35.68	139.77	4				5363	-999-999	-999-999		26.0		CHUAN	0-20400-0-5363	kamagaya	0.5	35.803041	140.021792		-999				[35.8, 35.8]	[140.017, 140.017]	JAM00047727	igra2	1977	1979	47727	0-20000-0-47727	['85', '38', '106', '107']
1	1		Tateno	36.05	140.13	26				5356	-999-999	-999-999		29.6		CHUAN	0-20400-0-5356	kamagaya	0.5	35.803041	140.021792		-999				[35.8, 35.8]	[140.017, 140.017]	JAM00047727	igra2	1977	1979	47727	0-20000-0-47727	['85', '38', '106', '107']
2	3		Tateno	36.05	140.13	25				5357	-999-999	-999-999		29.6		CHUAN	0-20400-0-5357	kamagaya	0.5	35.803041	140.021792		-999				[35.8, 35.8]	[140.017, 140.017]	JAM00047727	igra2	1977	1979	47727	0-20000-0-47727	['85', '38', '106', '107']
0	0		Shimofusa Air Base, Japan	35.78	140.02	-999				47727				2.2		SCHROEDER	0-20600-0-47727	kamagaya	0.5	35.803041	140.021792		47727	1356.0	1977-04-20 00:00:00	1977-04-20 00:00:00	[35.8, 35.8]	[140.017, 140.017]	JAM00047727	igra2	1977	1979	47727	0-20000-0-47727	['85', '38', '106', '107']
1	1		Tokyo, Japan	35.68	139.77	-999				47662				26.0		SCHROEDER	0-20600-0-47662	kamagaya	0.5	35.803041	140.021792		47662	1341.0	1945-11-28 00:00:00	1949-02-01 00:00:00	[35.8, 35.8]	[140.017, 140.017]	JAM00047727	igra2	1977	1979	47727	0-20000-0-47727	['85', '38', '106', '107']
2	2		(made up station ID) Tsukuba (Tateno - Meteorological Observatory) radioactivity sonde, Nagamine 1-2, Tsukuba-shi, Ibaraki-ken 305-0052, Japan	36.05	140.12	-999				47322				29.3		SCHROEDER	0-20600-0-47322	kamagaya	0.5	35.803041	140.021792		47322	1299.0	1956-12-01 00:00:00	1994-01-01 00:00:00	[35.8, 35.8]	[140.017, 140.017]	JAM00047727	igra2	1977	1979	47727	0-20000-0-47727	['85', '38', '106', '107']
3	3		(made up station ID) Tsukuba (Tateno - Meteorological Observatory) ozonesondes, Nagamine 1-2, Tsukuba-shi, Ibaraki-ken 305-0052, Japan	36.05	140.13	-999				47647				29.6		SCHROEDER	0-20600-0-47647	kamagaya	0.5	35.803041	140.021792		47647	1337.0	1968-01-01 00:00:00	2003-01-01 00:00:00	[35.8, 35.8]	[140.017, 140.017]	JAM00047727	igra2	1977	1979	47727	0-20000-0-47727	['85', '38', '106', '107']
