level_0	index	WIGOS	station_name	latitude	longitude	elevation	ObsRems	original_lat	original_lon	station_id	start_date	end_date	isRadio	distance_km	distance_km_minusLat	inventory	WIGOS_calc	city	city_dist_km	city_lat	city_lon	station_id_igra	WMO_id	Unnamed: 0	date_min	date_max	lat_file	lon_file	file	file_dataset	file_min_date	file_max_date	file_statid	WIGOS_best	variables
0	0	0-20000-0-47119	SUWON	37.27222222222222	126.98527777777778	37.85	Surface land meteorological station (SYNOP), GOS, RBSN(S)	37 16 20N	126 59 07E	47119	999	999	False	10.5		OSCAR	0-20000-0-47119	seoul	28.1	37.5985	126.9783						[37.35, 37.35]	[126.917, 126.917]	KSI0000RKSC	igra2	1977	1989	0RKSC	0-20000-0-47119	['85', '38', '106', '107']
1	1	0-20000-0-47116	GWANAKSAN	37.445277777777775	126.96388888888889		Precipitation station, Surface land meteorological station (SYNOP), Weather radar, WRO, GOS	37 26 43N	126 57 50E	47116	999	999	False	11.4		OSCAR	0-20000-0-47116	seoul	28.1	37.5985	126.9783						[37.35, 37.35]	[126.917, 126.917]	KSI0000RKSC	igra2	1977	1989	0RKSC	0-20000-0-47119	['85', '38', '106', '107']
2	2	0-20000-0-47108	SEOUL	37.57138888888889	126.96583333333334	87.1	Climatological station, Surface land meteorological station (SYNOP), GOS, RBCN, CLIMAT(C), RBSN(S)	37 34 17N	126 57 57E	47108	999	999	False	24.9		OSCAR	0-20000-0-47108	seoul	28.1	37.5985	126.9783						[37.35, 37.35]	[126.917, 126.917]	KSI0000RKSC	igra2	1977	1989	0RKSC	0-20000-0-47119	['85', '38', '106', '107']
3	3	0-20000-0-47112	INCHEON	37.47777777777778	126.625	69.05	Climatological station, Surface land meteorological station (SYNOP), RBSN(S), GOS, GSN, RBCN, CLIMAT(C)	37 28 40N	126 37 30E	47112	999	999	False	29.5		OSCAR	0-20000-0-47112	seoul	28.1	37.5985	126.9783						[37.35, 37.35]	[126.917, 126.917]	KSI0000RKSC	igra2	1977	1989	0RKSC	0-20000-0-47119	['85', '38', '106', '107']
0	0		SV RI SAN	37.35	126.917	122.0				0RKSC	1977	1989	True	0.0		IGRA2	0-20300-0-0RKSC	seoul	28.1	37.5985	126.9783	KSI0000RKSC					[37.35, 37.35]	[126.917, 126.917]	KSI0000RKSC	igra2	1977	1989	0RKSC	0-20000-0-47119	['85', '38', '106', '107']
1	2		SEOUL AB	37.433	127.117	20.0				47111	1978	1988	True	20.0		IGRA2	0-20300-0-47111	seoul	28.1	37.5985	126.9783	KSM00047111					[37.35, 37.35]	[126.917, 126.917]	KSI0000RKSC	igra2	1977	1989	0RKSC	0-20000-0-47119	['85', '38', '106', '107']
2	3		GIMPO INTL AIRPORT	37.567	126.783	17.0				47110	1945	1990	True	26.8		IGRA2	0-20300-0-47110	seoul	28.1	37.5985	126.9783	KSM00047110					[37.35, 37.35]	[126.917, 126.917]	KSI0000RKSC	igra2	1977	1989	0RKSC	0-20000-0-47119	['85', '38', '106', '107']
0	0		SUWON ROK K-13	37.25	127.0	24.0792				43206	19501001	19701231		13.3		WBAN	0-20500-0-43206	seoul	28.1	37.5985	126.9783						[37.35, 37.35]	[126.917, 126.917]	KSI0000RKSC	igra2	1977	1989	0RKSC	0-20000-0-47119	['85', '38', '106', '107']
1	1		YONGDUNG PO	37.52	126.9	12.192				43236	19510301	19510430		18.9		WBAN	0-20500-0-43236	seoul	28.1	37.5985	126.9783						[37.35, 37.35]	[126.917, 126.917]	KSI0000RKSC	igra2	1977	1989	0RKSC	0-20000-0-47119	['85', '38', '106', '107']
2	2		YEO I DO K-16	37.53	126.95	11.277600000000001				43215	19501201	19701231		20.2		WBAN	0-20500-0-43215	seoul	28.1	37.5985	126.9783						[37.35, 37.35]	[126.917, 126.917]	KSI0000RKSC	igra2	1977	1989	0RKSC	0-20000-0-47119	['85', '38', '106', '107']
3	3		YONG SAN	37.52	127.0	15.24				43279	19720301	99991231		20.2		WBAN	0-20500-0-43279	seoul	28.1	37.5985	126.9783						[37.35, 37.35]	[126.917, 126.917]	KSI0000RKSC	igra2	1977	1989	0RKSC	0-20000-0-47119	['85', '38', '106', '107']
4	4		YONGSAN MAIN POST	37.53	126.98	45.110400000000006				43281	19780301	19790228		20.7		WBAN	0-20500-0-43281	seoul	28.1	37.5985	126.9783						[37.35, 37.35]	[126.917, 126.917]	KSI0000RKSC	igra2	1977	1989	0RKSC	0-20000-0-47119	['85', '38', '106', '107']
5	5		SEOUL ROK K-14	37.55	126.8	20.1168				43201	19600301	19701231		24.5		WBAN	0-20500-0-43201	seoul	28.1	37.5985	126.9783						[37.35, 37.35]	[126.917, 126.917]	KSI0000RKSC	igra2	1977	1989	0RKSC	0-20000-0-47119	['85', '38', '106', '107']
6	6		SEOUL ROK K-14	37.55	126.8	20.1168				43201	19451001	19581231		24.5		WBAN	0-20500-0-43201	seoul	28.1	37.5985	126.9783						[37.35, 37.35]	[126.917, 126.917]	KSI0000RKSC	igra2	1977	1989	0RKSC	0-20000-0-47119	['85', '38', '106', '107']
7	7		ASCOM A 102	37.5	126.7	21.031200000000002				43274	19640701	19720131		25.4		WBAN	0-20500-0-43274	seoul	28.1	37.5985	126.9783						[37.35, 37.35]	[126.917, 126.917]	KSI0000RKSC	igra2	1977	1989	0RKSC	0-20000-0-47119	['85', '38', '106', '107']
8	8		TACE TRACK TM 860	37.57	127.03	18.288				43260	19531201	19550430		26.4		WBAN	0-20500-0-43260	seoul	28.1	37.5985	126.9783						[37.35, 37.35]	[126.917, 126.917]	KSI0000RKSC	igra2	1977	1989	0RKSC	0-20000-0-47119	['85', '38', '106', '107']
0	0		Incheon	37.47	126.63	54,1				4788	-999-999	-999-999		28.7		CHUAN	0-20400-0-4788	seoul	28.1	37.5985	126.9783		-999				[37.35, 37.35]	[126.917, 126.917]	KSI0000RKSC	igra2	1977	1989	0RKSC	0-20000-0-47119	['85', '38', '106', '107']
0	0		Seoul Air Base, South Korea	37.43	127.12	-999				47111				20.0		SCHROEDER	0-20600-0-47111	seoul	28.1	37.5985	126.9783		47111	1266.0	1980-02-05 00:00:00	1980-02-05 00:00:00	[37.35, 37.35]	[126.917, 126.917]	KSI0000RKSC	igra2	1977	1989	0RKSC	0-20000-0-47119	['85', '38', '106', '107']
