file_statid	station_id	station_name	latitude	longitude	elevation	original_lat	original_lon	distance_km	lat_file	lon_file	inventory	WIGOS	WMO_id	WIGOS_calc	file_min_date	file_max_date	start_date	end_date	isRadio	WIGOS_best	city	variables
0RKSC	47119	SUWON	37.27222222222222	126.98527777777778	37.85	37 16 20N	126 59 07E	10.5	[37.35, 37.35]	[126.917, 126.917]	OSCAR	0-20000-0-47119		0-20000-0-47119	1977	1989	999	999	False	0-20000-0-47119	seoul	['85', '38', '106', '107']
0RKSC	47116	GWANAKSAN	37.445277777777775	126.96388888888889		37 26 43N	126 57 50E	11.4	[37.35, 37.35]	[126.917, 126.917]	OSCAR	0-20000-0-47116		0-20000-0-47116	1977	1989	999	999	False	0-20000-0-47119	seoul	['85', '38', '106', '107']
0RKSC	47108	SEOUL	37.57138888888889	126.96583333333334	87.1	37 34 17N	126 57 57E	24.9	[37.35, 37.35]	[126.917, 126.917]	OSCAR	0-20000-0-47108		0-20000-0-47108	1977	1989	999	999	False	0-20000-0-47119	seoul	['85', '38', '106', '107']
0RKSC	47112	INCHEON	37.47777777777778	126.625	69.05	37 28 40N	126 37 30E	29.5	[37.35, 37.35]	[126.917, 126.917]	OSCAR	0-20000-0-47112		0-20000-0-47112	1977	1989	999	999	False	0-20000-0-47119	seoul	['85', '38', '106', '107']
0RKSC	0RKSC	SV RI SAN	37.35	126.917	122.0			0.0	[37.35, 37.35]	[126.917, 126.917]	IGRA2			0-20300-0-0RKSC	1977	1989	1977	1989	True	0-20000-0-47119	seoul	['85', '38', '106', '107']
0RKSC	47111	SEOUL AB	37.433	127.117	20.0			20.0	[37.35, 37.35]	[126.917, 126.917]	IGRA2			0-20300-0-47111	1977	1989	1978	1988	True	0-20000-0-47119	seoul	['85', '38', '106', '107']
0RKSC	47110	GIMPO INTL AIRPORT	37.567	126.783	17.0			26.8	[37.35, 37.35]	[126.917, 126.917]	IGRA2			0-20300-0-47110	1977	1989	1945	1990	True	0-20000-0-47119	seoul	['85', '38', '106', '107']
0RKSC	43206	SUWON ROK K-13	37.25	127.0	24.0792			13.3	[37.35, 37.35]	[126.917, 126.917]	WBAN			0-20500-0-43206	1977	1989	19501001	19701231		0-20000-0-47119	seoul	['85', '38', '106', '107']
0RKSC	43236	YONGDUNG PO	37.52	126.9	12.192			18.9	[37.35, 37.35]	[126.917, 126.917]	WBAN			0-20500-0-43236	1977	1989	19510301	19510430		0-20000-0-47119	seoul	['85', '38', '106', '107']
0RKSC	43215	YEO I DO K-16	37.53	126.95	11.277600000000001			20.2	[37.35, 37.35]	[126.917, 126.917]	WBAN			0-20500-0-43215	1977	1989	19501201	19701231		0-20000-0-47119	seoul	['85', '38', '106', '107']
0RKSC	43279	YONG SAN	37.52	127.0	15.24			20.2	[37.35, 37.35]	[126.917, 126.917]	WBAN			0-20500-0-43279	1977	1989	19720301	99991231		0-20000-0-47119	seoul	['85', '38', '106', '107']
0RKSC	43281	YONGSAN MAIN POST	37.53	126.98	45.110400000000006			20.7	[37.35, 37.35]	[126.917, 126.917]	WBAN			0-20500-0-43281	1977	1989	19780301	19790228		0-20000-0-47119	seoul	['85', '38', '106', '107']
0RKSC	43201	SEOUL ROK K-14	37.55	126.8	20.1168			24.5	[37.35, 37.35]	[126.917, 126.917]	WBAN			0-20500-0-43201	1977	1989	19600301	19701231		0-20000-0-47119	seoul	['85', '38', '106', '107']
0RKSC	43201	SEOUL ROK K-14	37.55	126.8	20.1168			24.5	[37.35, 37.35]	[126.917, 126.917]	WBAN			0-20500-0-43201	1977	1989	19451001	19581231		0-20000-0-47119	seoul	['85', '38', '106', '107']
0RKSC	43274	ASCOM A 102	37.5	126.7	21.031200000000002			25.4	[37.35, 37.35]	[126.917, 126.917]	WBAN			0-20500-0-43274	1977	1989	19640701	19720131		0-20000-0-47119	seoul	['85', '38', '106', '107']
0RKSC	43260	TACE TRACK TM 860	37.57	127.03	18.288			26.4	[37.35, 37.35]	[126.917, 126.917]	WBAN			0-20500-0-43260	1977	1989	19531201	19550430		0-20000-0-47119	seoul	['85', '38', '106', '107']
