file_statid	station_id	station_name	latitude	longitude	elevation	original_lat	original_lon	distance_km	lat_file	lon_file	inventory	WIGOS	WMO_id	WIGOS_calc	file_min_date	file_max_date	start_date	end_date	isRadio	WIGOS_best	city	variables
47101	47101	CHUNCHEON	37.902499999999996	127.73583333333333	78.71	37 54 09N	127 44 09E	0.0	[37.9025, 37.9025]	[127.7358, 127.7358]	OSCAR	0-20000-0-47101		0-20000-0-47101	1970	2020	999.0	999.0	False	0-20000-0-47101	seoul	['85', '38', '106', '107']
47101	47093	BUKCHUNCHEON	37.9475	127.75472222222223		37 56 51N	127 45 17E	5.3	[37.9025, 37.9025]	[127.7358, 127.7358]	OSCAR	0-20000-0-47093		0-20000-0-47093	1970	2020	999.0	999.0	False	0-20000-0-47101	seoul	['85', '38', '106', '107']
47101	47101	CHUNCHEON	37.9025	127.7358	78.2			0.0	[37.9025, 37.9025]	[127.7358, 127.7358]	IGRA2			0-20300-0-47101	1970	2020	1970.0	2020.0	True	0-20000-0-47101	seoul	['85', '38', '106', '107']
47101	43224	CHUNCHON TEAM 825 RO	37.92	127.75	45.110400000000006			2.3	[37.9025, 37.9025]	[127.7358, 127.7358]	WBAN			0-20500-0-43224	1970	2020	19560401.0	19561031.0		0-20000-0-47101	seoul	['85', '38', '106', '107']
47101	43271	CHUNCHON CAMP PAGE	37.88	127.72	76.2			2.9	[37.9025, 37.9025]	[127.7358, 127.7358]	WBAN			0-20500-0-43271	1970	2020	19600901.0	99991231.0		0-20000-0-47101	seoul	['85', '38', '106', '107']
47101	43224	CHUNCHON TEAM 825 RO	37.93	127.77	46.0248			4.3	[37.9025, 37.9025]	[127.7358, 127.7358]	WBAN			0-20500-0-43224	1970	2020	19510601.0	19550630.0		0-20000-0-47101	seoul	['85', '38', '106', '107']
47101	43265	KAP YONG TEAM 824 RO	37.83	127.52	76.2			20.6	[37.9025, 37.9025]	[127.7358, 127.7358]	WBAN			0-20500-0-43265	1970	2020	19560401.0	19561031.0		0-20000-0-47101	seoul	['85', '38', '106', '107']
47101	43265	KAP YONG TEAM 824 RO	37.83	127.52	77.1144			20.6	[37.9025, 37.9025]	[127.7358, 127.7358]	WBAN			0-20500-0-43265	1970	2020	19541101.0	19550630.0		0-20000-0-47101	seoul	['85', '38', '106', '107']
47101	43227	HONGCHON	37.7	127.87	151.1808			25.4	[37.9025, 37.9025]	[127.7358, 127.7358]	WBAN			0-20500-0-43227	1970	2020	19510401.0	19510930.0		0-20000-0-47101	seoul	['85', '38', '106', '107']
47101	43250	HWACHON TEAM 830	38.13	127.68	145.0848			25.7	[37.9025, 37.9025]	[127.7358, 127.7358]	WBAN			0-20500-0-43250	1970	2020	19530501.0	19550331.0		0-20000-0-47101	seoul	['85', '38', '106', '107']
47101									[37.9025, 37.9025]	[127.7358, 127.7358]	CHUAN			0-20400-0-nan	1970	2020				0-20000-0-47101	seoul	['85', '38', '106', '107']
47101	47104	RKNC Chunchon (Camp Page - Airport A306), South Korea	37.87	127.72	-999.0			3.9	[37.9025, 37.9025]	[127.7358, 127.7358]	SCHROEDER		47104	0-20600-0-47104	1970	2020				0-20000-0-47101	seoul	['85', '38', '106', '107']
47101	47101	CHUNCHEON                	37.9	127.73333333333332	77.0			0.4	[37.9025, 37.9025]	[127.7358, 127.7358]	WMO		47101	0-20700-0-47101	1970	2020				0-20000-0-47101	seoul	['85', '38', '106', '107']
