file_statid	station_id	station_name	latitude	longitude	elevation	original_lat	original_lon	distance_km	lat_file	lon_file	inventory	WIGOS	WMO_id	WIGOS_calc	file_min_date	file_max_date	start_date	end_date	isRadio	WIGOS_best	city	variables
40582	40582	KUWAIT INTERNATIONAL AIRPORT (40582-0)	29.221666666666664	47.965833333333336	47.21	29 13 18N	047 57 57E	2.4	[29.2425, 29.2425]	[47.9714, 47.9714]	OSCAR	0-20000-0-40582		0-20000-0-40582	1983	2017	999.0	999.0	False	0-20001-0-40582	bayan	['85', '38', '106', '107']
40582	40582	KUWAIT INTERNATIONAL AIRPORT (40582-1)	29.2425	47.97138888888889		29 14 33N	047 58 17E	0.0	[29.2425, 29.2425]	[47.9714, 47.9714]	OSCAR	0-20001-0-40582		0-20001-0-40582	1983	2017	999.0	999.0	True	0-20001-0-40582	bayan	['85', '38', '106', '107']
40582	40580	RABYAH	29.3	47.93333333333333	20.92	29 18 00N	047 56 00E	7.4	[29.2425, 29.2425]	[47.9714, 47.9714]	OSCAR	0-20000-0-40580		0-20000-0-40580	1983	2017	999.0	999.0	False	0-20001-0-40582	bayan	['85', '38', '106', '107']
40582	40581	KUWAIT CITY	29.383333333333333	48.0	7.1	29 23 00N	048 00 00E	15.9	[29.2425, 29.2425]	[47.9714, 47.9714]	OSCAR	0-20000-0-40581		0-20000-0-40581	1983	2017	999.0	999.0	False	0-20001-0-40582	bayan	['85', '38', '106', '107']
40582	40585	SALMIYAH	29.35	48.1	7.51	29 21 00N	048 06 00E	17.3	[29.2425, 29.2425]	[47.9714, 47.9714]	OSCAR	0-20000-0-40585		0-20000-0-40585	1983	2017	999.0	999.0	False	0-20001-0-40582	bayan	['85', '38', '106', '107']
40582	40572	SOUTH DOLPHIN	29.416666666666668	48.0	6.5	29 25 00N	048 00 00E	19.5	[29.2425, 29.2425]	[47.9714, 47.9714]	OSCAR	0-20000-0-40572		0-20000-0-40572	1983	2017	999.0	999.0	False	0-20001-0-40582	bayan	['85', '38', '106', '107']
40582	40587	SULAIBIYA	29.266666666666666	47.71666666666667	54.84	29 16 00N	047 43 00E	24.9	[29.2425, 29.2425]	[47.9714, 47.9714]	OSCAR	0-20000-0-40587		0-20000-0-40587	1983	2017	999.0	999.0	False	0-20001-0-40582	bayan	['85', '38', '106', '107']
40582	40583	AHMADI OIL PIER	29.066666666666666	48.166666666666664	19.69	29 04 00N	048 10 00E	27.2	[29.2425, 29.2425]	[47.9714, 47.9714]	OSCAR	0-20000-0-40583		0-20000-0-40583	1983	2017	999.0	999.0	False	0-20001-0-40582	bayan	['85', '38', '106', '107']
40582	40582	KUWAIT INTERNATIONAL AIRPORT	29.2425	47.9714	56.0			0.0	[29.2425, 29.2425]	[47.9714, 47.9714]	IGRA2			0-20300-0-40582	1983	2017	1983.0	2017.0	True	0-20001-0-40582	bayan	['85', '38', '106', '107']
40582	32407	KUWAIT CITY NODE 20	29.23	47.98	55.168800000000005			1.6	[29.2425, 29.2425]	[47.9714, 47.9714]	WBAN			0-20500-0-32407	1983	2017	19910228.0	19910511.0		0-20001-0-40582	bayan	['85', '38', '106', '107']
40582	32402	KUWAIT INTL ARPT	29.22	47.98	18.288			2.6	[29.2425, 29.2425]	[47.9714, 47.9714]	WBAN		40372.0	0-20500-0-32402	1983	2017	19630101.0	19681231.0		0-20001-0-40582	bayan	['85', '38', '106', '107']
40582	32416		29.37	47.8	12.4968			21.8	[29.2425, 29.2425]	[47.9714, 47.9714]	WBAN			0-20500-0-32416	1983	2017	20010101.0	99991231.0		0-20001-0-40582	bayan	['85', '38', '106', '107']
40582									[29.2425, 29.2425]	[47.9714, 47.9714]	CHUAN			0-20400-0-nan	1983	2017				0-20001-0-40582	bayan	['85', '38', '106', '107']
40582	40372	OKBK Al Maqwa (Kuwait AP), Kuwait	29.22	47.98	-999.0			2.6	[29.2425, 29.2425]	[47.9714, 47.9714]	SCHROEDER		40372	0-20600-0-40372	1983	2017				0-20001-0-40582	bayan	['85', '38', '106', '107']
40582	40582	OKBK Al Maqwa (Kuwait AP), Kuwait	29.22	47.98	-999.0			2.6	[29.2425, 29.2425]	[47.9714, 47.9714]	SCHROEDER		40582	0-20600-0-40582	1983	2017				0-20001-0-40582	bayan	['85', '38', '106', '107']
40582	40582	KUWAIT INTL. AIRPORT     	29.216666666666665	47.98333333333333	49.0			3.1	[29.2425, 29.2425]	[47.9714, 47.9714]	WMO		40582	0-20700-0-40582	1983	2017				0-20001-0-40582	bayan	['85', '38', '106', '107']
40582	40372	KUWAIT INTL AIRPORT      	29.216666666666665	47.96666666666667	-999.0			2.9	[29.2425, 29.2425]	[47.9714, 47.9714]	WMO		40372	0-20700-0-40372	1983	2017				0-20001-0-40582	bayan	['85', '38', '106', '107']
40582	40580	AL-OMARIYAH(EXP. FARM)   	29.28333333333333	47.93333333333333	-999.0			5.8	[29.2425, 29.2425]	[47.9714, 47.9714]	WMO		40580	0-20700-0-40580	1983	2017				0-20001-0-40582	bayan	['85', '38', '106', '107']
40582	40365	AL-OMARIYAN EXP. FARM    	29.28333333333333	47.93333333333333	-999.0			5.8	[29.2425, 29.2425]	[47.9714, 47.9714]	WMO		40365	0-20700-0-40365	1983	2017				0-20001-0-40582	bayan	['85', '38', '106', '107']
40582	40371	SHUWAIKH                 	29.33333333333333	47.95	-999.0			10.3	[29.2425, 29.2425]	[47.9714, 47.9714]	WMO		40371	0-20700-0-40371	1983	2017				0-20001-0-40582	bayan	['85', '38', '106', '107']
40582	40581	SHUWAIKH                 	29.33333333333333	48.05	-999.0			12.6	[29.2425, 29.2425]	[47.9714, 47.9714]	WMO		40581	0-20700-0-40581	1983	2017				0-20001-0-40582	bayan	['85', '38', '106', '107']
40582	40367	AHMADI                   	29.1	48.06666666666667	-999.0			18.3	[29.2425, 29.2425]	[47.9714, 47.9714]	WMO		40367	0-20700-0-40367	1983	2017				0-20001-0-40582	bayan	['85', '38', '106', '107']
40582	40583	AHMADI                   	29.1	48.13333333333333	-999.0			22.3	[29.2425, 29.2425]	[47.9714, 47.9714]	WMO		40583	0-20700-0-40583	1983	2017				0-20001-0-40582	bayan	['85', '38', '106', '107']
40582	40584	MENA AL-AHMADI/FAHAAHEEL 	29.066666666666663	48.15	-999.0			26.1	[29.2425, 29.2425]	[47.9714, 47.9714]	WMO		40584	0-20700-0-40584	1983	2017				0-20001-0-40582	bayan	['85', '38', '106', '107']
40582	40369	MENA AL-AHMADI/FAHAHEEL  	29.05	48.15	-999.0			27.5	[29.2425, 29.2425]	[47.9714, 47.9714]	WMO		40369	0-20700-0-40369	1983	2017				0-20001-0-40582	bayan	['85', '38', '106', '107']
