level_0	index	WIGOS	station_name	latitude	longitude	elevation	ObsRems	original_lat	original_lon	station_id	start_date	end_date	isRadio	distance_km	distance_km_minusLat	inventory	WIGOS_calc	city	city_dist_km	city_lat	city_lon	station_id_igra	WMO_id	Unnamed: 0	date_min	date_max	lat_file	lon_file	file	file_dataset	file_min_date	file_max_date	file_statid	WIGOS_best	variables
0	0	0-20000-0-60250	Agadir	30.383333333333333	-9.566666666666666	18.0	Surface land meteorological station (SYNOP), CLIMAT(C), GOS, RBSN(S)	30 23 00N	009 34 00W	60250	999.0	999.0	False	0.0		OSCAR	0-20000-0-60250	agadir	4.9	30.420664	-9.593161						[30.383, 30.383]	[-9.567, -9.567]	MOM00060250	igra2	1969	1991	60250	0-20000-0-60250	['85', '38', '106', '107']
1	2	0-504-1-60254	Anza	30.434166666666666	-9.642222222222221		Automatic weather station (AWS), Precipitation station, Radiation station, Surface land meteorological station (SYNOP), GOS	30 26 03N	009 38 32W	60254	999.0	999.0	False	9.2		OSCAR	0-504-1-60254	agadir	4.9	30.420664	-9.593161						[30.383, 30.383]	[-9.567, -9.567]	MOM00060250	igra2	1969	1991	60250	0-20000-0-60250	['85', '38', '106', '107']
2	3	0-20000-0-60252	Aït Melloul	30.328888888888887	-9.399444444444445	74.0	Surface land meteorological station (SYNOP), RBSN(S), GOS	30 19 44N	009 23 58W	60252	999.0	999.0	False	17.2		OSCAR	0-20000-0-60252	agadir	4.9	30.420664	-9.593161						[30.383, 30.383]	[-9.567, -9.567]	MOM00060250	igra2	1969	1991	60250	0-20000-0-60250	['85', '38', '106', '107']
3	4	0-504-1-60271	Oulad Teima	30.51222222222222	-9.348333333333334		Automatic weather station (AWS), Precipitation station, Radiation station, Surface land meteorological station (SYNOP), GOS	30 30 44N	009 20 54W	60271	999.0	999.0	False	25.4		OSCAR	0-504-1-60271	agadir	4.9	30.420664	-9.593161						[30.383, 30.383]	[-9.567, -9.567]	MOM00060250	igra2	1969	1991	60250	0-20000-0-60250	['85', '38', '106', '107']
0	0		AGADIR INEZGANNE	30.383	-9.567	23.0				60250	1969.0	1991.0	True	0.0		IGRA2	0-20300-0-60250	agadir	4.9	30.420664	-9.593161	MOM00060250					[30.383, 30.383]	[-9.567, -9.567]	MOM00060250	igra2	1969	1991	60250	0-20000-0-60250	['85', '38', '106', '107']
1	2		AGADIR AL MASSIRA	30.333	-9.417	74.0				60252	1992.0	2003.0	True	15.4		IGRA2	0-20300-0-60252	agadir	4.9	30.420664	-9.593161	MOM00060252					[30.383, 30.383]	[-9.567, -9.567]	MOM00060250	igra2	1969	1991	60250	0-20000-0-60250	['85', '38', '106', '107']
0	0		AGADIR	30.45	-9.55	34.1376				13015	19450101.0	19460131.0		7.6		WBAN	0-20500-0-13015	agadir	4.9	30.420664	-9.593161						[30.383, 30.383]	[-9.567, -9.567]	MOM00060250	igra2	1969	1991	60250	0-20000-0-60250	['85', '38', '106', '107']
1	1		AGADIR	30.45	-9.55	30.1752				13016	19430501.0	19450531.0		7.6		WBAN	0-20500-0-13016	agadir	4.9	30.420664	-9.593161						[30.383, 30.383]	[-9.567, -9.567]	MOM00060250	igra2	1969	1991	60250	0-20000-0-60250	['85', '38', '106', '107']
0	0															CHUAN	0-20400-0-nan	agadir	4.9	30.420664	-9.593161						[30.383, 30.383]	[-9.567, -9.567]	MOM00060250	igra2	1969	1991	60250	0-20000-0-60250	['85', '38', '106', '107']
0	0		GMAA Agadir (Inezgane AP), Morocco	30.45	-9.55	-999.0				60250				7.6		SCHROEDER	0-20600-0-60250	agadir	4.9	30.420664	-9.593161		60250	1787.0	1976-02-06 00:00:00	1987-04-13 00:00:00	[30.383, 30.383]	[-9.567, -9.567]	MOM00060250	igra2	1969	1991	60250	0-20000-0-60250	['85', '38', '106', '107']
1	1		GMAD Agadir - Al Massira AP, Morocco	30.33	-9.4	-999.0				60252				17.1		SCHROEDER	0-20600-0-60252	agadir	4.9	30.420664	-9.593161		60252	1788.0	1992-08-07 00:00:00	1997-01-01 00:00:00	[30.383, 30.383]	[-9.567, -9.567]	MOM00060250	igra2	1969	1991	60250	0-20000-0-60250	['85', '38', '106', '107']
0	0		AGADIR                   	30.383333333333333	-9.566666666666666	-999.0				60250				0.0		WMO	0-20700-0-60250	agadir	4.9	30.420664	-9.593161		60250	1847.0			[30.383, 30.383]	[-9.567, -9.567]	MOM00060250	igra2	1969	1991	60250	0-20000-0-60250	['85', '38', '106', '107']
1	2		AGADIR AL MASSIRA        	30.316666666666663	-9.4	-999.0				60252				17.7		WMO	0-20700-0-60252	agadir	4.9	30.420664	-9.593161		60252	4720.0			[30.383, 30.383]	[-9.567, -9.567]	MOM00060250	igra2	1969	1991	60250	0-20000-0-60250	['85', '38', '106', '107']
