level_0	index	WIGOS	station_name	latitude	longitude	elevation	ObsRems	original_lat	original_lon	station_id	start_date	end_date	isRadio	distance_km	distance_km_minusLat	inventory	WIGOS_calc	city	city_dist_km	city_lat	city_lon	station_id_igra	WMO_id	Unnamed: 0	date_min	date_max	lat_file	lon_file	file	file_dataset	file_min_date	file_max_date	file_statid	WIGOS_best	variables
0	0	0-20000-0-41258	Sultan Qaboos Port	23.6275	58.572500000000005	3.0	Surface land meteorological station (SYNOP), CLIMAT(C), RBSN(S), GOS	23 37 39N	058 34 21E	41258	999	999	False	3.8		OSCAR	0-20000-0-41258	ruwi	1.0	23.5905556	58.55						[23.6, 23.6]	[58.55, 58.55]	MUXUAE05791	igra2	1927	1935	05791	0-20000-0-41256	['85', '38', '106', '107']
1	1	0-20000-0-41278	MUSCAT CITY	23.563333333333333	58.60194444444445		Agricultural meteorological station, Automatic weather station (AWS), Climatological station, Surface land meteorological station (SYNOP), GOS	23 33 48N	058 36 07E	41278	999	999	False	6.7		OSCAR	0-20000-0-41278	ruwi	1.0	23.5905556	58.55						[23.6, 23.6]	[58.55, 58.55]	MUXUAE05791	igra2	1927	1935	05791	0-20000-0-41256	['85', '38', '106', '107']
2	2	0-20000-0-41280	AL AMERAT	23.500833333333333	58.48083333333334	105.0	Automatic weather station (AWS), Precipitation station, Surface land meteorological station (SYNOP), GOS	23 30 03N	058 28 51E	41280	999	999	False	13.1		OSCAR	0-20000-0-41280	ruwi	1.0	23.5905556	58.55						[23.6, 23.6]	[58.55, 58.55]	MUXUAE05791	igra2	1927	1935	05791	0-20000-0-41256	['85', '38', '106', '107']
3	3	0-20000-0-41256	MUSCAT INT'L AIRPORT	23.608611111111113	58.26138888888889	8.4	Climatological station, Upper-air / Radiosonde station, Surface land meteorological station (SYNOP), GOS, CLIMAT(C), RBCN, RBSN(ST)	23 36 31N	058 15 41E	41256	999	999	True	29.5		OSCAR	0-20000-0-41256	ruwi	1.0	23.5905556	58.55						[23.6, 23.6]	[58.55, 58.55]	MUXUAE05791	igra2	1927	1935	05791	0-20000-0-41256	['85', '38', '106', '107']
0	0		BAIT AL FALAJ	23.6	58.55	0.0				05791	1927	1935	True	0.0		IGRA2	0-20300-0-05791	ruwi	1.0	23.5905556	58.55	MUXUAE05791					[23.6, 23.6]	[58.55, 58.55]	MUXUAE05791	igra2	1927	1935	05791	0-20000-0-41256	['85', '38', '106', '107']
1	2		MUSCAT INT'L AIRPORT	23.5953	58.2983	8.4				41256	1978	2021	True	25.7		IGRA2	0-20300-0-41256	ruwi	1.0	23.5905556	58.55	MUM00041256					[23.6, 23.6]	[58.55, 58.55]	MUXUAE05791	igra2	1927	1935	05791	0-20000-0-41256	['85', '38', '106', '107']
0	0		SEEB NODE 016 D S	23.6	58.28	14.630400000000002				32515	19901001	19910331		27.6		WBAN	0-20500-0-32515	ruwi	1.0	23.5905556	58.55						[23.6, 23.6]	[58.55, 58.55]	MUXUAE05791	igra2	1927	1935	05791	0-20000-0-41256	['85', '38', '106', '107']
0	0		Bait Al Falaj	23.6	58.55	0				4862	-999-999	-999-999		0.0		CHUAN	0-20400-0-4862	ruwi	1.0	23.5905556	58.55		-999				[23.6, 23.6]	[58.55, 58.55]	MUXUAE05791	igra2	1927	1935	05791	0-20000-0-41256	['85', '38', '106', '107']
1	1		Bait Al Falaj	23.6	58.55	0				5791	-999-999	-999-999		0.0		CHUAN	0-20400-0-5791	ruwi	1.0	23.5905556	58.55		-999				[23.6, 23.6]	[58.55, 58.55]	MUXUAE05791	igra2	1927	1935	05791	0-20000-0-41256	['85', '38', '106', '107']
2	2		Muscat	23.62	58.58	0				4869	-999-999	-999-999		3.8		CHUAN	0-20400-0-4869	ruwi	1.0	23.5905556	58.55		-999				[23.6, 23.6]	[58.55, 58.55]	MUXUAE05791	igra2	1927	1935	05791	0-20000-0-41256	['85', '38', '106', '107']
3	3		Muscat	23.62	58.58	0				5251	-999-999	-999-999		3.8		CHUAN	0-20400-0-5251	ruwi	1.0	23.5905556	58.55		-999				[23.6, 23.6]	[58.55, 58.55]	MUXUAE05791	igra2	1927	1935	05791	0-20000-0-41256	['85', '38', '106', '107']
0	0		Muscat - Seeb AP, Oman	23.58	58.28	-999				40462				27.6		SCHROEDER	0-20600-0-40462	ruwi	1.0	23.5905556	58.55		40462	963.0	1978-06-23 00:00:00	1978-06-23 00:00:00	[23.6, 23.6]	[58.55, 58.55]	MUXUAE05791	igra2	1927	1935	05791	0-20000-0-41256	['85', '38', '106', '107']
1	1		Seeb AP, Oman	23.58	58.28	-999				41256				27.6		SCHROEDER	0-20600-0-41256	ruwi	1.0	23.5905556	58.55		41256	1007.0	1983-07-28 00:00:00	2005-01-28 00:00:00	[23.6, 23.6]	[58.55, 58.55]	MUXUAE05791	igra2	1927	1935	05791	0-20000-0-41256	['85', '38', '106', '107']
0	0		Seeb                     	23.58333333333333	58.28333333333333	-999.0				41256				27.3		WMO	0-20700-0-41256	ruwi	1.0	23.5905556	58.55		41256	2841.0			[23.6, 23.6]	[58.55, 58.55]	MUXUAE05791	igra2	1927	1935	05791	0-20000-0-41256	['85', '38', '106', '107']
